osm_wid,name,osmtype,osmsubtype,linkuse,nnodes,lat,lng,z,x,height,levels
w5037661,Edith-Stein-Strasse,highway,residential,slowroad,23,49.9932532,8.6751332,-243.0045,-6.8986,0,0
w22679581,Elisabeth-Selbert-Allee,highway,tertiary,road,23,49.9965281,8.6733051,-377.7022,373.1813,0,0
w22679582,An der Winkelwiese,highway,residential,slowroad,5,49.9952657,8.6772005,-85.0232,226.6302,0,0
w26595169,track01,highway,track,slowroad,22,49.9969477,8.6790876,59.0269,421.8124,0,0
w27250418,Noerdliche Ringstrasse,highway,tertiary,road,2,49.9946593,8.6777532,-43.9254,156.2479,0,0
w28498127,Noerdliche Ringstrasse01,highway,tertiary,road,5,49.9947508,8.6783697,2.6836,166.8568,0,0
w31740072,secondary_link01,highway,secondary_link,road,8,49.9958773,8.6783418,1.6965,297.5888,0,0
w37296980,Elsa-Braendstroem-Strasse,highway,residential,slowroad,2,49.9945484,8.6770629,-96.1176,143.3920,0,0
w37296982,Elsa-Braendstroem-Strasse01,highway,residential,slowroad,2,49.9932687,8.6778712,-36.3922,-5.1444,0,0
w37744253,footway01,highway,footway,walkway,3,49.9932900,8.6783206,-2.4593,-2.6762,0,0
w52502757,Noerdliche Ringstrasse02,highway,tertiary,road,3,49.9945292,8.6764658,-141.1906,141.1654,0,0
w95424847,Anne-Frank-Strasse,highway,residential,slowroad,2,49.9946494,8.6753556,-224.8416,155.1348,0,0
w95424859,Anne-Frank-Strasse01,highway,service,driveway,11,49.9946251,8.6740856,-320.6939,152.3196,0,0
w95424886,Sophie-Scholl-Strasse,highway,path,walkway,14,49.9951823,8.6753160,-227.3063,216.9732,0,0
w145349757,primary01,highway,primary,road,2,49.9963892,8.6768497,-110.3817,357.0215,0,0
w145349759,primary02,highway,primary,road,5,49.9959902,8.6786092,21.9828,310.6892,0,0
w177730581,secondary_link02,highway,secondary_link,road,17,49.9965146,8.6790781,57.8844,371.5475,0,0
w215116708,Elsa-Braendstroem-Strasse02,highway,residential,slowroad,14,49.9936003,8.6772818,-80.5369,33.3532,0,0
w215116709,Noerdliche Ringstrasse03,highway,tertiary,road,3,49.9945935,8.6771995,-85.7634,148.6224,0,0
w215116710,Pestalozzistrasse,highway,residential,slowroad,9,49.9935515,8.6762461,-158.7359,27.7006,0,0
w215116711,service01,highway,service,driveway,16,49.9952773,8.6778732,-34.2592,227.9694,0,0
w215116712,service02,highway,service,driveway,2,49.9955277,8.6779999,-24.4488,257.0264,0,0
w215116713,service03,highway,service,driveway,2,49.9953606,8.6780591,-20.1470,237.6329,0,0
w215116714,service04,highway,service,driveway,3,49.9954973,8.6763013,-152.6463,253.5157,0,0
w215116715,path01,highway,path,walkway,3,49.9959572,8.6769141,-105.9506,306.8853,0,0
