osm_wid,osm_nid_1,osm_nid_2,linkuse,comment
w4218495,osm311620174,osm162648,road,"Hochstrasse.link1"
w4218495,osm534002635,osm311620174,road,"Hochstrasse.link2"
w4218495,osm1852851471,osm534002635,road,"Hochstrasse.link3"
w4218495,osm534002636,osm1852851471,road,"Hochstrasse.link4"
w4218495,osm560087,osm534002636,road,"Hochstrasse.link5"
w4218495,osm866678594,osm560087,road,"Hochstrasse.link6"
w4218495,osm1852851676,osm866678594,road,"Hochstrasse.link7"
w4218495,osm1852906074,osm1852851676,road,"Hochstrasse.link8"
w4218495,osm1852851705,osm1852906074,road,"Hochstrasse.link9"
w4218495,osm560088,osm1852851705,road,"Hochstrasse.link10"
w4218495,osm6205162334,osm560088,road,"Hochstrasse.link11"
w4218495,osm34350411,osm6205162334,road,"Hochstrasse.link12"
w4218495,osm1852906150,osm34350411,road,"Hochstrasse.link13"
w4218495,osm560092,osm1852906150,road,"Hochstrasse.link14"
w4218495,osm2536706494,osm560092,road,"Hochstrasse.link15"
w4218495,osm2708936587,osm2536706494,road,"Hochstrasse.link16"
w4223109,osm1561456753,osm641179,road,"Taunusstrasse.link1"
w4223109,osm3412616446,osm1561456753,road,"Taunusstrasse.link2"
w4223109,osm613261,osm3412616446,road,"Taunusstrasse.link3"
w4223109,osm1525445853,osm613261,road,"Taunusstrasse.link4"
w4223109,osm1525445852,osm1525445853,road,"Taunusstrasse.link5"
w4223137,osm560120,osm30748120,slowroad,"Kaiserstrasse.link1"
w4223137,osm554155947,osm560120,slowroad,"Kaiserstrasse.link2"
w4223137,osm1849775214,osm554155947,slowroad,"Kaiserstrasse.link3"
w4223137,osm560114,osm1849775214,slowroad,"Kaiserstrasse.link4"
w4223137,osm1849775264,osm560114,slowroad,"Kaiserstrasse.link5"
w4223137,osm1849775462,osm1849775264,slowroad,"Kaiserstrasse.link6"
w4223137,osm30748126,osm1849775462,slowroad,"Kaiserstrasse.link7"
w4223137,osm1849775474,osm30748126,slowroad,"Kaiserstrasse.link8"
w4223137,osm471864907,osm1849775474,slowroad,"Kaiserstrasse.link9"
w4223137,osm2543811196,osm471864907,slowroad,"Kaiserstrasse.link10"
w4223137,osm1851643995,osm2543811196,slowroad,"Kaiserstrasse.link11"
w4223137,osm30748136,osm1851643995,slowroad,"Kaiserstrasse.link12"
w4223181,osm31266672,osm31342782,slowroad,"Westendstrasse.link1"
w4223181,osm2407040558,osm31266672,slowroad,"Westendstrasse.link2"
w4223181,osm1018910472,osm2407040558,slowroad,"Westendstrasse.link3"
w4223181,osm2407040587,osm1018910472,slowroad,"Westendstrasse.link4"
w4223181,osm31266667,osm2407040587,slowroad,"Westendstrasse.link5"
w4223181,osm31266668,osm31266667,slowroad,"Westendstrasse.link6"
w4514255,osm4843119722,osm559981,road,"Untermainbruecke.link1"
w4514391,osm1524680709,osm562435,road,"Am Hauptbahnhof.link1"
w4514391,osm528920171,osm1524680709,road,"Am Hauptbahnhof.link2"
w4514391,osm1524680722,osm528920171,road,"Am Hauptbahnhof.link3"
w4514391,osm1524680742,osm1524680722,road,"Am Hauptbahnhof.link4"
w4514391,osm1524680745,osm1524680742,road,"Am Hauptbahnhof.link5"
w4514391,osm528920147,osm1524680745,road,"Am Hauptbahnhof.link6"
w4514395,osm1524779433,osm18407275,road,"Am Hauptbahnhof001.link1"
w4514395,osm268596359,osm1524779433,road,"Am Hauptbahnhof001.link2"
w4514395,osm767185749,osm268596359,road,"Am Hauptbahnhof001.link3"
w4514395,osm1524680491,osm767185749,road,"Am Hauptbahnhof001.link4"
w4514395,osm1831796573,osm1524680491,road,"Am Hauptbahnhof001.link5"
w4514396,osm1524680638,osm613177,road,"Am Hauptbahnhof002.link1"
w4514396,osm1524680619,osm1524680638,road,"Am Hauptbahnhof002.link2"
w4514396,osm613179,osm1524680619,road,"Am Hauptbahnhof002.link3"
w4514396,osm613180,osm613179,road,"Am Hauptbahnhof002.link4"
w4514396,osm1524680575,osm613180,road,"Am Hauptbahnhof002.link5"
w4514396,osm1524680570,osm1524680575,road,"Am Hauptbahnhof002.link6"
w4514396,osm27620247,osm1524680570,road,"Am Hauptbahnhof002.link7"
w4514396,osm1524680546,osm27620247,road,"Am Hauptbahnhof002.link8"
w4514396,osm299121881,osm1524680546,road,"Am Hauptbahnhof002.link9"
w4514396,osm1524680495,osm299121881,road,"Am Hauptbahnhof002.link10"
w4514396,osm613182,osm1524680495,road,"Am Hauptbahnhof002.link11"
w4514490,osm613254,osm558661,slowroad,"Weserstrasse.link1"
w4514491,osm540917995,osm558335,road,"Mainzer Landstrasse.link1"
w4514509,osm1275907460,osm603872,slowroad,"Westendstrasse001.link1"
w4515357,osm1848435277,osm587075,slowroad,"Mainluststrasse.link1"
w4515357,osm4936539284,osm1848435277,slowroad,"Mainluststrasse.link2"
w4515643,osm1849710274,osm27648840,road,"secondary001.link1"
w4515643,osm1848627816,osm1849710274,road,"secondary001.link2"
w4515643,osm1849710318,osm1848627816,road,"secondary001.link3"
w4515643,osm1848627820,osm1849710318,road,"secondary001.link4"
w4515643,osm1848627832,osm1848627820,road,"secondary001.link5"
w4515643,osm1848627838,osm1848627832,road,"secondary001.link6"
w4515643,osm1848627859,osm1848627838,road,"secondary001.link7"
w4515643,osm267280258,osm1848627859,road,"secondary001.link8"
w4515645,osm267280218,osm267280258,road,"Theatertunnel.link1"
w4515645,osm160328004,osm267280218,road,"Theatertunnel.link2"
w4515645,osm2543811213,osm160328004,road,"Theatertunnel.link3"
w4515645,osm27650918,osm2543811213,road,"Theatertunnel.link4"
w4515645,osm1851742054,osm27650918,road,"Theatertunnel.link5"
w4515645,osm1851742097,osm1851742054,road,"Theatertunnel.link6"
w4515645,osm2439679962,osm1851742097,road,"Theatertunnel.link7"
w4515645,osm30748180,osm2439679962,road,"Theatertunnel.link8"
w4519551,osm2647751236,osm559983,road,"Schweizer Strasse.link1"
w4519551,osm562330,osm2647751236,road,"Schweizer Strasse.link2"
w4554219,osm1842343061,osm28480182,road,"Elisabethenstrasse.link1"
w4554219,osm1842343051,osm1842343061,road,"Elisabethenstrasse.link2"
w4554219,osm428209145,osm1842343051,road,"Elisabethenstrasse.link3"
w4554219,osm1678728951,osm428209145,road,"Elisabethenstrasse.link4"
w4554222,osm96745615,osm562078,slowroad,"Brueckenstrasse.link1"
w4554222,osm28480179,osm96745615,slowroad,"Brueckenstrasse.link2"
w4556912,osm2879685332,osm1847064951,road,"Sachsenhaeuser Ufer.link1"
w4556912,osm1847064969,osm2879685332,road,"Sachsenhaeuser Ufer.link2"
w4556912,osm1847064984,osm1847064969,road,"Sachsenhaeuser Ufer.link3"
w4556912,osm1842343239,osm1847064984,road,"Sachsenhaeuser Ufer.link4"
w4556912,osm1842343241,osm1842343239,road,"Sachsenhaeuser Ufer.link5"
w4556912,osm43577900,osm1842343241,road,"Sachsenhaeuser Ufer.link6"
w4556912,osm1842343247,osm43577900,road,"Sachsenhaeuser Ufer.link7"
w4556912,osm1842343243,osm1842343247,road,"Sachsenhaeuser Ufer.link8"
w4556912,osm561997,osm1842343243,road,"Sachsenhaeuser Ufer.link9"
w4556912,osm1842343237,osm561997,road,"Sachsenhaeuser Ufer.link10"
w4556912,osm472582608,osm1842343237,road,"Sachsenhaeuser Ufer.link11"
w4556912,osm1842343235,osm472582608,road,"Sachsenhaeuser Ufer.link12"
w4567554,osm640549312,osm1880140565,road,"Mainkai.link1"
w4567554,osm651510,osm640549312,road,"Mainkai.link2"
w4567555,osm2543810689,osm2543810647,road,"Untermainkai.link1"
w4660879,osm1610675979,osm560408,road,"Friedberger Anlage.link1"
w4660879,osm1856003641,osm1610675979,road,"Friedberger Anlage.link2"
w4660879,osm1856003644,osm1856003641,road,"Friedberger Anlage.link3"
w4660879,osm1102636261,osm1856003644,road,"Friedberger Anlage.link4"
w4660896,osm1369186731,osm13932312,slowroad,"Sandweg.link1"
w4660896,osm1484925960,osm1369186731,slowroad,"Sandweg.link2"
w4660896,osm12898762,osm1484925960,slowroad,"Sandweg.link3"
w4660896,osm1957269857,osm12898762,slowroad,"Sandweg.link4"
w4660896,osm12898745,osm1957269857,slowroad,"Sandweg.link5"
w4660896,osm4541914932,osm12898745,slowroad,"Sandweg.link6"
w4660896,osm484793667,osm4541914932,slowroad,"Sandweg.link7"
w4660896,osm484793665,osm484793667,slowroad,"Sandweg.link8"
w4660896,osm1484926662,osm484793665,slowroad,"Sandweg.link9"
