osm_nid,lat,lng,x,z
osm162648,50.11496470,8.67278500,0.500,0.627
osm311620174,50.11502760,8.67284810,0.507,0.622
osm534002635,50.11518450,8.67300830,0.525,0.611
osm1852851471,50.11529350,8.67313320,0.537,0.602
osm534002636,50.11537610,8.67324990,0.546,0.593
osm560087,50.11546800,8.67340730,0.556,0.582
osm866678594,50.11553800,8.67355520,0.564,0.572
osm1852851676,50.11561030,8.67371890,0.572,0.560
osm1852906074,50.11565430,8.67384260,0.577,0.551
osm1852851705,50.11569230,8.67397320,0.581,0.542
osm560088,50.11573350,8.67412670,0.586,0.531
osm6205162334,50.11590490,8.67482050,0.605,0.481
osm34350411,50.11591630,8.67486670,0.606,0.478
osm1852906150,50.11623020,8.67615780,0.641,0.386
osm560092,50.11630370,8.67645130,0.649,0.365
osm2536706494,50.11634890,8.67662730,0.654,0.353
osm2708936587,50.11678580,8.67837890,0.703,0.228
osm641179,50.11047770,8.67085050,0.001,0.765
osm1561456753,50.11042660,8.67068920,-0.004,0.776
osm3412616446,50.10990600,8.66878000,-0.062,0.912
osm613261,50.10979780,8.66838220,-0.074,0.941
osm1525445853,50.10975120,8.66822780,-0.079,0.952
osm1525445852,50.10970980,8.66809700,-0.084,0.961
osm30748120,50.10767620,8.66565510,-0.310,1.135
osm560120,50.10794310,8.66672240,-0.280,1.059
osm554155947,50.10807680,8.66722140,-0.266,1.023
osm1849775214,50.10827810,8.66801500,-0.243,0.967
osm560114,50.10831730,8.66817060,-0.239,0.956
osm1849775264,50.10834890,8.66829390,-0.235,0.947
osm1849775462,50.10863920,8.66942770,-0.203,0.866
osm30748126,50.10867060,8.66955020,-0.200,0.857
osm1849775474,50.10869590,8.66963890,-0.197,0.851
osm471864907,50.10871300,8.66970770,-0.195,0.846
osm2543811196,50.10916570,8.67148790,-0.144,0.719
osm1851643995,50.10922970,8.67172340,-0.137,0.702
osm30748136,50.10927960,8.67187040,-0.132,0.692
osm31342782,50.11331120,8.66167670,0.316,1.419
osm31266672,50.11415310,8.66117770,0.410,1.454
osm2407040558,50.11458050,8.66070170,0.458,1.488
osm1018910472,50.11471960,8.66048760,0.473,1.504
osm2407040587,50.11492330,8.66012730,0.496,1.529
osm31266667,50.11508950,8.65977070,0.514,1.555
osm31266668,50.11529710,8.65924730,0.537,1.592
osm559981,50.10738330,8.67586910,-0.343,0.407
osm4843119722,50.10687600,8.67636470,-0.399,0.371
osm562435,50.10819440,8.66406140,-0.252,1.249
osm1524680709,50.10823080,8.66391670,-0.248,1.259
osm528920171,50.10829100,8.66367430,-0.242,1.276
osm1524680722,50.10832360,8.66355330,-0.238,1.285
osm1524680742,50.10836690,8.66338700,-0.233,1.297
osm1524680745,50.10841120,8.66318480,-0.228,1.311
osm528920147,50.10845230,8.66304580,-0.224,1.321
osm18407275,50.10613120,8.66530640,-0.482,1.160
osm1524779433,50.10626060,8.66534610,-0.468,1.157
osm268596359,50.10644620,8.66538570,-0.447,1.154
osm767185749,50.10668140,8.66539550,-0.421,1.154
osm1524680491,50.10671750,8.66539660,-0.417,1.153
osm1831796573,50.10673240,8.66539680,-0.415,1.153
osm613177,50.10794770,8.66403140,-0.280,1.251
osm1524680638,50.10784940,8.66420940,-0.291,1.238
osm1524680619,50.10778980,8.66430690,-0.297,1.231
osm613179,50.10756820,8.66459800,-0.322,1.210
osm613180,50.10743550,8.66474140,-0.337,1.200
osm1524680575,50.10730050,8.66485830,-0.352,1.192
osm1524680570,50.10716560,8.66496930,-0.367,1.184
osm27620247,50.10707610,8.66502900,-0.377,1.180
osm1524680546,50.10696020,8.66509250,-0.390,1.175
osm299121881,50.10685140,8.66513480,-0.402,1.172
osm1524680495,50.10675320,8.66515370,-0.413,1.171
osm613182,50.10665000,8.66514980,-0.424,1.171
osm558661,50.11179980,8.66635680,0.148,1.085
osm613254,50.11174230,8.66641320,0.142,1.081
osm558335,50.11328650,8.66851170,0.314,0.931
osm540917995,50.11319290,8.66836730,0.303,0.942
osm603872,50.11143330,8.66282650,0.108,1.337
osm1275907460,50.11089840,8.66314640,0.048,1.314
osm587075,50.10587270,8.67237740,-0.511,0.656
osm1848435277,50.10594190,8.67229960,-0.503,0.661
osm4936539284,50.10631430,8.67192250,-0.462,0.688
osm27648840,50.10720570,8.67102380,-0.362,0.752
osm1849710274,50.10723940,8.67101900,-0.359,0.753
osm1848627816,50.10725110,8.67101730,-0.357,0.753
osm1849710318,50.10726670,8.67101980,-0.356,0.752
osm1848627820,50.10728050,8.67102440,-0.354,0.752
osm1848627832,50.10730800,8.67104960,-0.351,0.750
osm1848627838,50.10733280,8.67108130,-0.348,0.748
osm1848627859,50.10737320,8.67114640,-0.344,0.743
osm267280258,50.10806110,8.67240040,-0.267,0.654
osm267280218,50.10848560,8.67318160,-0.220,0.598
osm160328004,50.10876620,8.67364990,-0.189,0.565
osm2543811213,50.10917880,8.67510400,-0.143,0.461
osm27650918,50.10947580,8.67662690,-0.110,0.353
osm1851742054,50.10955630,8.67688930,-0.101,0.334
osm1851742097,50.10965440,8.67705340,-0.090,0.322
osm2439679962,50.10971230,8.67714490,-0.084,0.316
osm30748180,50.10977010,8.67722390,-0.077,0.310
osm559983,50.10542090,8.67778140,-0.561,0.270
osm2647751236,50.10531440,8.67787360,-0.573,0.264
osm562330,50.10437010,8.67869160,-0.678,0.205
osm28480182,50.10629060,8.68706930,-0.464,-0.392
osm1842343061,50.10623960,8.68709630,-0.470,-0.394
osm1842343051,50.10618340,8.68714820,-0.476,-0.398
osm428209145,50.10614000,8.68721210,-0.481,-0.402
osm1678728951,50.10607890,8.68732300,-0.488,-0.410
osm562078,50.10531630,8.68740150,-0.573,-0.416
osm96745615,50.10471790,8.68725590,-0.639,-0.405
osm28480179,50.10427890,8.68714500,-0.688,-0.397
osm1847064951,50.10721090,8.68726050,-0.362,-0.406
osm2879685332,50.10723880,8.68701910,-0.359,-0.388
