osm_wid,name,osmtype,osmsubtype,linkuse,nnodes,lat,lng,z,x,height,levels
w4218495,Hochstrasse,highway,secondary,road,17,50.1157078,8.6744089,-0.5108,0.5830,0,0
w4223109,Taunusstrasse,highway,secondary,road,6,50.1100115,8.6691711,-0.8843,-0.0504,0,0
w4223137,Kaiserstrasse,highway,residential,slowroad,13,50.1085411,8.6690373,-0.8939,-0.2139,0,0
w4223181,Westendstrasse,highway,residential,slowroad,7,50.1145820,8.6604556,-1.5058,0.4578,0,0
w4514255,Untermainbruecke,highway,secondary,road,2,50.1071297,8.6761169,-0.3890,-0.3709,0,0
w4514391,Am Hauptbahnhof,highway,primary,road,7,50.1083243,8.6635462,-1.2854,-0.2380,0,0
w4514395,Am Hauptbahnhof001,highway,primary,road,6,50.1064949,8.6653712,-1.1553,-0.4415,0,0
w4514396,Am Hauptbahnhof002,highway,primary,road,12,50.1072790,8.6647729,-1.1980,-0.3543,0,0
w4514490,Weserstrasse,highway,residential,slowroad,2,50.1117711,8.6663850,-1.0830,0.1452,0,0
w4514491,Mainzer Landstrasse,highway,primary,road,2,50.1132397,8.6684395,-0.9365,0.3085,0,0
w4514509,Westendstrasse001,highway,residential,slowroad,2,50.1111659,8.6629865,-1.3253,0.0779,0,0
w4514608,footway001,highway,footway,walkway,31,50.1091000,8.6871155,0.3953,-0.1518,0,0
w4514609,footway002,highway,footway,walkway,10,50.1084155,8.6802209,-0.0963,-0.2279,0,0
w4515357,Mainluststrasse,highway,residential,slowroad,3,50.1060430,8.6721998,-0.6683,-0.4917,0,0
w4515643,secondary001,highway,secondary,road,9,50.1073687,8.6711980,-0.7398,-0.3443,0,0
w4515645,Theatertunnel,highway,secondary,road,9,50.1091845,8.6754749,-0.4348,-0.1424,0,0
w4519551,Schweizer Strasse,highway,secondary,road,3,50.1050351,8.6781155,-0.2465,-0.6038,0,0
w4554219,Elisabethenstrasse,highway,secondary,road,5,50.1061865,8.6871698,0.3992,-0.4757,0,0
w4554222,Brueckenstrasse,highway,residential,slowroad,3,50.1047710,8.6872675,0.4061,-0.6331,0,0
w4556912,Sachsenhaeuser Ufer,highway,secondary,road,13,50.1073727,8.6854350,0.2755,-0.3438,0,0
w4557135,Karpfengasse,highway,pedestrian,walkway,4,50.1098175,8.6812616,-0.0221,-0.0720,0,0
w4567554,Mainkai,highway,unclassified,road,3,50.1096243,8.6876129,0.4308,-0.0935,0,0
w4567555,Untermainkai,highway,unclassified,road,2,50.1075346,8.6757199,-0.4173,-0.3258,0,0
w4660879,Friedberger Anlage,highway,secondary,road,5,50.1137365,8.6948031,0.9435,0.3638,0,0
w4660896,Sandweg,highway,residential,slowroad,19,50.1182441,8.6972218,1.1160,0.8650,0,0
w4660898,Obermainanlage,highway,secondary,road,2,50.1092163,8.6943012,0.9077,-0.1388,0,0
w4660899,Hanauer Landstrasse,highway,secondary,road,12,50.1130435,8.7011351,1.3951,0.2867,0,0
w4660900,Hanauer Landstrasse001,highway,secondary,road,2,50.1133676,8.6950400,0.9604,0.3228,0,0
w4662284,service001,highway,service,driveway,5,50.1136739,8.6970336,1.1026,0.3568,0,0
w4702468,Ottostrasse,highway,residential,slowroad,7,50.1082764,8.6603029,-1.5167,-0.2434,0,0
w4722335,Kurt-Schumacher-Strasse,highway,primary,road,3,50.1144952,8.6877298,0.4391,0.4481,0,0
w4722336,Konrad-Adenauer-Strasse,highway,primary,road,2,50.1148178,8.6879522,0.4550,0.4840,0,0
w4722338,Zeil,highway,pedestrian,walkway,5,50.1139595,8.6797610,-0.1291,0.3886,0,0
w4722339,Zeil001,highway,residential,slowroad,4,50.1147863,8.6884508,0.4905,0.4805,0,0
w4722340,Lange Strasse,highway,secondary,road,7,50.1147397,8.6932920,0.8358,0.4753,0,0
w4722376,Junghofstrasse,highway,secondary_link,road,3,50.1138301,8.6700516,-0.8215,0.3742,0,0
w4722377,Grosse Bockenheimer Strasse,highway,pedestrian,walkway,5,50.1147552,8.6737762,-0.5559,0.4771,0,0
w4722378,Goethestrasse,highway,residential,slowroad,3,50.1136913,8.6758795,-0.4059,0.3587,0,0
w4722379,Rossmarkt,highway,tertiary,road,6,50.1119694,8.6763298,-0.3738,0.1673,0,0
w4723744,Zeil002,highway,residential,slowroad,3,50.1151184,8.6935871,0.8568,0.5174,0,0
w4724286,Kalbaecher Gasse,highway,pedestrian,walkway,4,50.1143979,8.6755845,-0.4270,0.4373,0,0
w4724288,An der Hauptwache,highway,living_street,slowroad,3,50.1140491,8.6789848,-0.1845,0.3985,0,0
w4724289,Schillerstrasse,highway,pedestrian,walkway,10,50.1147969,8.6785494,-0.2155,0.4817,0,0
w4793112,Grosse Gallusstrasse,highway,secondary,road,6,50.1121079,8.6758164,-0.4104,0.1827,0,0
