osm_wid,osm_nid_1,osm_nid_2,linkuse,comment
w5037654,osm33702892,osm33702741,slowroad,"Langestrasse.link1"
w5037654,osm33702893,osm33702892,slowroad,"Langestrasse.link2"
w5037654,osm473651431,osm33702893,slowroad,"Langestrasse.link3"
w5037654,osm3663456974,osm473651431,slowroad,"Langestrasse.link4"
w5037654,osm3663456972,osm3663456974,slowroad,"Langestrasse.link5"
w5037654,osm33702894,osm3663456972,slowroad,"Langestrasse.link6"
w5037654,osm3663456593,osm33702894,slowroad,"Langestrasse.link7"
w5037654,osm257683187,osm3663456593,slowroad,"Langestrasse.link8"
w5037654,osm3666428269,osm257683187,slowroad,"Langestrasse.link9"
w5037654,osm33702895,osm3666428269,slowroad,"Langestrasse.link10"
w5037654,osm3663456971,osm33702895,slowroad,"Langestrasse.link11"
w5037654,osm3663456973,osm3663456971,slowroad,"Langestrasse.link12"
w5037654,osm456054461,osm3663456973,slowroad,"Langestrasse.link13"
w5037654,osm3663456976,osm456054461,slowroad,"Langestrasse.link14"
w5037654,osm3666296267,osm3663456976,slowroad,"Langestrasse.link15"
w5037654,osm33702896,osm3666296267,slowroad,"Langestrasse.link16"
w5037661,osm738283752,osm33702042,slowroad,"Edith-Stein-Strasse.link1"
w5037661,osm5457326852,osm738283752,slowroad,"Edith-Stein-Strasse.link2"
w5037661,osm33702932,osm5457326852,slowroad,"Edith-Stein-Strasse.link3"
w5037661,osm1347958012,osm33702932,slowroad,"Edith-Stein-Strasse.link4"
w5037661,osm5467434859,osm1347958012,slowroad,"Edith-Stein-Strasse.link5"
w5037661,osm3662353680,osm5467434859,slowroad,"Edith-Stein-Strasse.link6"
w5037661,osm3666468611,osm3662353680,slowroad,"Edith-Stein-Strasse.link7"
w5037661,osm473651436,osm3666468611,slowroad,"Edith-Stein-Strasse.link8"
w5037661,osm3662352895,osm473651436,slowroad,"Edith-Stein-Strasse.link9"
w5037661,osm3662352894,osm3662352895,slowroad,"Edith-Stein-Strasse.link10"
w5037661,osm33702933,osm3662352894,slowroad,"Edith-Stein-Strasse.link11"
w5037661,osm3662352893,osm33702933,slowroad,"Edith-Stein-Strasse.link12"
w5037661,osm3662352892,osm3662352893,slowroad,"Edith-Stein-Strasse.link13"
w5037661,osm33702934,osm3662352892,slowroad,"Edith-Stein-Strasse.link14"
w5037661,osm473651438,osm33702934,slowroad,"Edith-Stein-Strasse.link15"
w5037661,osm3662352891,osm473651438,slowroad,"Edith-Stein-Strasse.link16"
w5037661,osm33702935,osm3662352891,slowroad,"Edith-Stein-Strasse.link17"
w5037661,osm5474088800,osm33702935,slowroad,"Edith-Stein-Strasse.link18"
w5037661,osm3666466781,osm5474088800,slowroad,"Edith-Stein-Strasse.link19"
w5037661,osm5474088796,osm3666466781,slowroad,"Edith-Stein-Strasse.link20"
w5037661,osm5467434854,osm5474088796,slowroad,"Edith-Stein-Strasse.link21"
w5037661,osm33702925,osm5467434854,slowroad,"Edith-Stein-Strasse.link22"
w5037678,osm3665956823,osm33702964,slowroad,"Gabelsbergerstrasse.link1"
w5037678,osm3665868530,osm3665956823,slowroad,"Gabelsbergerstrasse.link2"
w5037678,osm33702965,osm3665868530,slowroad,"Gabelsbergerstrasse.link3"
