osm_nid,lat,lng,x,z
osm33702741,49.99211890,8.66969080,-138.475,654.778
osm33702892,49.99202750,8.67021940,-149.089,614.983
osm33702893,49.99193720,8.67079180,-159.576,571.882
osm473651431,49.99188580,8.67114530,-165.546,545.260
osm3663456974,49.99185820,8.67141020,-168.752,525.299
osm3663456972,49.99183550,8.67170200,-171.390,503.304
osm33702894,49.99182250,8.67197800,-172.902,482.491
osm3663456593,49.99179300,8.67286190,-176.337,415.826
osm257683187,49.99178870,8.67309800,-176.839,398.015
osm3666428269,49.99178930,8.67315310,-176.770,393.857
osm33702895,49.99179870,8.67337250,-175.682,377.293
osm3663456971,49.99182800,8.67366450,-172.285,355.231
osm3663456973,49.99185070,8.67386220,-169.653,340.291
osm456054461,49.99187400,8.67399910,-166.951,329.939
osm3663456976,49.99190030,8.67411180,-163.900,321.409
osm3666296267,49.99192400,8.67419680,-161.151,314.972
osm33702896,49.99194920,8.67426530,-158.227,309.778
osm33702042,49.99443980,8.67456800,130.814,284.477
osm738283752,49.99438630,8.67457070,124.605,284.326
osm5457326852,49.99426410,8.67457570,110.423,284.070
osm33702932,49.99350110,8.67460700,21.873,282.462
osm1347958012,49.99339140,8.67462760,9.142,281.016
osm5467434859,49.99336390,8.67463480,5.950,280.500
osm3662353680,49.99332650,8.67464460,1.610,279.797
osm3666468611,49.99327440,8.67466670,-4.437,278.181
osm473651436,49.99324480,8.67467930,-7.872,277.260
osm3662352895,49.99317790,8.67472420,-15.637,273.938
osm3662352894,49.99310420,8.67478690,-24.191,269.280
osm33702933,49.99304040,8.67486610,-31.596,263.367
osm3662352893,49.99296250,8.67498430,-40.638,254.525
osm3662352892,49.99290440,8.67509910,-47.382,245.920
osm33702934,49.99287390,8.67519730,-50.923,238.541
osm473651438,49.99286570,8.67527700,-51.876,232.535
osm3662352891,49.99286610,8.67538220,-51.831,224.597
osm33702935,49.99288050,8.67550520,-50.161,215.302
osm5474088800,49.99291200,8.67568350,-46.508,201.817
osm3666466781,49.99291440,8.67569720,-46.229,200.781
osm5474088796,49.99300210,8.67619460,-36.058,163.163
osm5467434854,49.99301430,8.67626350,-34.643,157.952
osm33702925,49.99311380,8.67682750,-23.102,115.297
osm33702964,49.99155090,8.68061680,-204.531,-169.079
osm3665956823,49.99155400,8.68044500,-204.169,-156.119
osm3665868530,49.99155130,8.68025110,-204.480,-141.485
osm33702965,49.99152020,8.67911830,-208.075,-55.980
osm33702926,49.99146190,8.67682590,-214.812,117.050
osm3662352887,49.99140320,8.67521230,-221.605,238.862
osm473651433,49.99139450,8.67508660,-222.613,248.355
osm33702966,49.99137540,8.67490130,-224.827,262.356
osm33481724,49.99086960,8.68066370,-283.599,-171.944
osm3663515079,49.99083760,8.67993310,-287.304,-116.786
osm33706200,49.99078970,8.67917880,-292.854,-59.823
osm33706199,49.99070430,8.67780640,-302.747,43.816
osm3662982889,49.99069220,8.67770270,-304.150,51.652
osm3665076966,49.99067570,8.67759800,-306.064,59.569
osm3662982881,49.99056190,8.67708160,-319.264,98.646
osm33702928,49.99052820,8.67699890,-323.174,104.919
osm3664562881,49.99032690,8.67670360,-346.532,127.400
osm259760083,49.99028510,8.67662940,-351.383,133.040
osm3664563507,49.99023240,8.67652100,-357.497,141.272
osm3662982744,49.98980880,8.67547950,-406.645,220.276
osm33706196,49.98978110,8.67543470,-409.859,223.684
osm221503348,49.98968300,8.67533470,-421.243,231.326
osm738283751,49.99433880,8.67389020,119.101,335.720
osm3666469268,49.99398820,8.67398390,78.411,328.996
osm1347958017,49.99332060,8.67415900,0.931,316.444
osm5478816517,49.99327090,8.67416630,-4.837,315.942
osm5478816516,49.99324980,8.67416950,-7.286,315.722
osm3666466782,49.99295790,8.67422230,-41.163,312.026
osm221504332,49.98950210,8.67538370,-442.237,227.808
osm2197214756,49.98943630,8.67549550,-449.875,219.437
osm3662353674,49.98936470,8.67562750,-458.186,209.548
osm33481915,49.98931360,8.67570380,-464.118,203.841
osm2197355003,49.98917010,8.67585380,-480.773,192.665
osm269391976,49.98882590,8.67615400,-520.723,170.353
osm6385515681,49.98859310,8.67637050,-547.743,154.247
osm33481916,49.98857280,8.67638490,-550.099,153.181
osm2197362962,49.98852640,8.67641960,-555.485,150.609
osm2376685786,49.98847730,8.67644650,-561.183,148.627
osm3663514138,49.98840890,8.67647090,-569.122,146.854
osm33706185,49.98830310,8.67649970,-581.401,144.785
osm33481917,49.98773010,8.67658730,-647.901,138.742
osm3662353653,49.98768680,8.67660020,-652.926,137.811
