osm_wid,name,osmtype,osmsubtype,linkuse,nnodes,lat,lng,z,x,height,levels
w5037654,Langestrasse,highway,residential,slowroad,17,49.9918813,8.6725602,-438.5064,-166.0899,0,0
w5037661,Edith-Stein-Strasse,highway,residential,slowroad,23,49.9932532,8.6751332,-243.0045,-6.8986,0,0
w5037678,Gabelsbergerstrasse,highway,residential,slowroad,8,49.9914764,8.6778072,-42.9952,-213.1390,0,0
w5037934,Wallstrasse,highway,residential,slowroad,14,49.9904126,8.6773619,-77.6463,-336.5940,0,0
w5037952,Wormser Weg,highway,residential,slowroad,6,49.9935210,8.6740985,-320.8084,24.1930,0,0
w15219362,Rheinstrasse,highway,tertiary,road,18,49.9884601,8.6762608,-162.6559,-563.1777,0,0
w20633607,Fabrikstrasse,highway,residential,slowroad,3,49.9889757,8.6730422,-405.0029,-503.2991,0,0
w20633679,Sterzbachstrasse,highway,residential,slowroad,3,49.9880993,8.6751619,-245.9326,-605.0395,0,0
w20633954,Lutherplatz,highway,tertiary,road,21,49.9895816,8.6752534,-237.5583,-433.0112,0,0
w20923172,Borngasse,highway,residential,slowroad,19,49.9886941,8.6805138,158.4816,-536.0706,0,0
w20924171,Kirchgasse,highway,residential,slowroad,6,49.9893048,8.6802273,137.4696,-465.1996,0,0
w20924223,Bachgasse,highway,residential,slowroad,14,49.9890629,8.6812078,211.2140,-493.2765,0,0
w20924520,Kaplaneigasse,highway,residential,slowroad,2,49.9901713,8.6820397,275.0763,-364.6574,0,0
w20924619,Glockengasse,highway,residential,slowroad,5,49.9892237,8.6814695,231.1179,-474.6186,0,0
w20925054,Hegweg,highway,residential,slowroad,22,49.9901403,8.6841083,431.1324,-368.2820,0,0
w20925486,Turmgasse,highway,residential,slowroad,7,49.9900741,8.6825640,314.5460,-375.9428,0,0
w20925686,Bruchgasse,highway,residential,slowroad,11,49.9884823,8.6820756,276.1205,-560.6756,0,0
w22597291,path001,highway,path,walkway,25,49.9984913,8.6741272,-313.7356,601.0119,0,0
w22679581,Elisabeth-Selbert-Allee,highway,tertiary,road,23,49.9965281,8.6733051,-377.7022,373.1813,0,0
w22679582,An der Winkelwiese,highway,residential,slowroad,5,49.9952657,8.6772005,-85.0232,226.6302,0,0
w22679586,Adolph-Kolping-Strasse,highway,residential,slowroad,6,49.9961449,8.6714832,-515.5548,328.7329,0,0
w22679588,Adolph-Kolping-Strasse001,highway,residential,slowroad,3,49.9964977,8.6727185,-421.9968,369.6691,0,0
w22683243,Dietrich-Bonhoeffer-Strasse,highway,residential,slowroad,13,49.9955577,8.6724592,-442.4901,260.5730,0,0
w22683247,Georg-August-Zinn-Strasse,highway,residential,slowroad,5,49.9961185,8.6745397,-284.9504,325.6392,0,0
w22683249,Georg-August-Zinn-Strasse001,highway,residential,slowroad,9,49.9954717,8.6747926,-266.5076,250.5636,0,0
