osm_wid,osm_nid_1,osm_nid_2,linkuse,comment
w6344503,osm2671047988,osm2500943617,slowroad,"Northeast 36th Way.link1"
w6344503,osm407645217,osm2671047988,slowroad,"Northeast 36th Way.link2"
w6344503,osm2500943628,osm407645217,slowroad,"Northeast 36th Way.link3"
w6344503,osm53070156,osm2500943628,slowroad,"Northeast 36th Way.link4"
w6344503,osm890899227,osm53070156,slowroad,"Northeast 36th Way.link5"
w6344503,osm53070155,osm890899227,slowroad,"Northeast 36th Way.link6"
w6446872,osm53200312,osm53183299,slowroad,"Northeast 39th Street.link1"
w6446872,osm4751736337,osm53200312,slowroad,"Northeast 39th Street.link2"
w6446872,osm53200314,osm4751736337,slowroad,"Northeast 39th Street.link3"
w6446872,osm53200315,osm53200314,slowroad,"Northeast 39th Street.link4"
w6446872,osm409798985,osm53200315,slowroad,"Northeast 39th Street.link5"
w6446872,osm409798986,osm409798985,slowroad,"Northeast 39th Street.link6"
w6446872,osm2675711192,osm409798986,slowroad,"Northeast 39th Street.link7"
w6446872,osm53200316,osm2675711192,slowroad,"Northeast 39th Street.link8"
w6446872,osm2669715614,osm53200316,slowroad,"Northeast 39th Street.link9"
w6446872,osm409798987,osm2669715614,slowroad,"Northeast 39th Street.link10"
w6446872,osm1036683203,osm409798987,slowroad,"Northeast 39th Street.link11"
w6446872,osm4773656578,osm1036683203,slowroad,"Northeast 39th Street.link12"
w6446872,osm5674316763,osm4773656578,slowroad,"Northeast 39th Street.link13"
w6446872,osm5187800472,osm5674316763,slowroad,"Northeast 39th Street.link14"
w6480984,osm53227635,osm407651372,slowroad,"159th Avenue Northeast.link1"
w6480984,osm3516771338,osm53227635,slowroad,"159th Avenue Northeast.link2"
w6516018,osm7105804447,osm53070155,slowroad,"Northeast 36th Street.link1"
w6516018,osm2671047937,osm7105804447,slowroad,"Northeast 36th Street.link2"
w6516018,osm407640118,osm2671047937,slowroad,"Northeast 36th Street.link3"
w6516018,osm2671048014,osm407640118,slowroad,"Northeast 36th Street.link4"
w6516018,osm4782018108,osm2671048014,slowroad,"Northeast 36th Street.link5"
w6516018,osm2500943625,osm4782018108,slowroad,"Northeast 36th Street.link6"
w6516018,osm4782018109,osm2500943625,slowroad,"Northeast 36th Street.link7"
w6516018,osm407640115,osm4782018109,slowroad,"Northeast 36th Street.link8"
w6516018,osm4749285855,osm407640115,slowroad,"Northeast 36th Street.link9"
w6516018,osm53251452,osm4749285855,slowroad,"Northeast 36th Street.link10"
w6516018,osm5041733967,osm53251452,slowroad,"Northeast 36th Street.link11"
w6516018,osm767541788,osm5041733967,slowroad,"Northeast 36th Street.link12"
w242636498,osm5041733968,osm767541788,slowroad,"157th Avenue Northeast.link1"
w242636498,osm321406089,osm5041733968,slowroad,"157th Avenue Northeast.link2"
w242636498,osm4749589991,osm321406089,slowroad,"157th Avenue Northeast.link3"
w242636498,osm1036683204,osm4749589991,slowroad,"157th Avenue Northeast.link4"
w242636498,osm2669719186,osm1036683204,slowroad,"157th Avenue Northeast.link5"
w242636498,osm5916914854,osm2669719186,slowroad,"157th Avenue Northeast.link6"
w242636498,osm345261763,osm5916914854,slowroad,"157th Avenue Northeast.link7"
w242636498,osm2669715558,osm345261763,slowroad,"157th Avenue Northeast.link8"
w242636498,osm4749589990,osm2669715558,slowroad,"157th Avenue Northeast.link9"
w242636498,osm2669715560,osm4749589990,slowroad,"157th Avenue Northeast.link10"
w242636498,osm53183296,osm2669715560,slowroad,"157th Avenue Northeast.link11"
w242636498,osm53183297,osm53183296,slowroad,"157th Avenue Northeast.link12"
w242636498,osm53183299,osm53183297,slowroad,"157th Avenue Northeast.link13"
w242637793,osm4751736334,osm5187800472,road,"tertiary01.link1"
w242637793,osm321405918,osm4751736334,road,"tertiary01.link2"
w261486852,osm53070159,osm2500943617,slowroad,"Northeast 36th Way01.link1"
w261486852,osm1490685903,osm53070159,slowroad,"Northeast 36th Way01.link2"
w261486854,osm2671047995,osm53070155,slowroad,"Northeast 36th Way02.link1"
w261486854,osm2671047994,osm2671047995,slowroad,"Northeast 36th Way02.link2"
w261486854,osm2671047993,osm2671047994,slowroad,"Northeast 36th Way02.link3"
w261486854,osm2671047992,osm2671047993,slowroad,"Northeast 36th Way02.link4"
w261486854,osm2671047991,osm2671047992,slowroad,"Northeast 36th Way02.link5"
w261486854,osm2671047990,osm2671047991,slowroad,"Northeast 36th Way02.link6"
w261486854,osm2671047989,osm2671047990,slowroad,"Northeast 36th Way02.link7"
w261486854,osm2500943617,osm2671047989,slowroad,"Northeast 36th Way02.link8"
w622495346,osm5041733966,osm767541788,slowroad,"Northeast 36th Street01.link1"
w622495346,osm6920416189,osm5041733966,slowroad,"Northeast 36th Street01.link2"
w622495346,osm7350890262,osm6920416189,slowroad,"Northeast 36th Street01.link3"
w622495346,osm767541786,osm7350890262,slowroad,"Northeast 36th Street01.link4"
w622495346,osm2671019420,osm767541786,slowroad,"Northeast 36th Street01.link5"
w738003224,osm5674316762,osm3516771338,slowroad,"159th Avenue Northeast01.link1"
w738003224,osm5187800472,osm5674316762,slowroad,"159th Avenue Northeast01.link2"
w739879114,osm7012704862,osm1490685903,slowroad,"Northeast 36th Way03.link1"
w739879114,osm53070160,osm7012704862,slowroad,"Northeast 36th Way03.link2"
w739879114,osm7012704846,osm53070160,slowroad,"Northeast 36th Way03.link3"
w739879114,osm325619329,osm7012704846,slowroad,"Northeast 36th Way03.link4"
w739879114,osm1490685955,osm325619329,slowroad,"Northeast 36th Way03.link5"
w739879114,osm325619330,osm1490685955,slowroad,"Northeast 36th Way03.link6"
w739879114,osm325619332,osm325619330,slowroad,"Northeast 36th Way03.link7"
w739879114,osm53070163,osm325619332,slowroad,"Northeast 36th Way03.link8"
w792002966,osm7404197834,osm7404197835,road,"156th Avenue Northeast.link1"
w792002966,osm7404197833,osm7404197834,road,"156th Avenue Northeast.link2"
w792002966,osm7404197830,osm7404197833,road,"156th Avenue Northeast.link3"
w792002966,osm7404197832,osm7404197830,road,"156th Avenue Northeast.link4"
w792002966,osm7404197831,osm7404197832,road,"156th Avenue Northeast.link5"
w792002966,osm2671019420,osm7404197831,road,"156th Avenue Northeast.link6"
w797164951,osm4751736333,osm5187800472,slowroad,"159th Avenue Northeast02.link1"
w797164951,osm321405928,osm4751736333,slowroad,"159th Avenue Northeast02.link2"
