osm_nid,lat,lng,x,z
osm7473295912,47.64530940,-122.12867010,-784.539,188.724
osm409799028,47.64511640,-122.12972510,-738.025,121.077
osm2671027615,47.64406280,-122.12889340,-647.710,217.878
osm2671027616,47.64406270,-122.12841110,-659.672,251.988
osm2671027619,47.64342100,-122.12935530,-568.654,208.354
osm2671027618,47.64374650,-122.12935860,-602.852,196.385
osm3834803720,47.64495510,-122.12577920,-818.985,405.929
osm4753326325,47.64388280,-122.12611320,-697.765,420.971
osm4758568841,47.64291110,-122.12639490,-588.438,436.084
osm4758568844,47.64269390,-122.12634150,-566.889,447.691
osm4740268536,47.64316980,-122.12639020,-615.800,427.089
osm4753326326,47.64404880,-122.12585640,-721.622,433.146
osm4760408332,47.64396910,-122.12608570,-707.537,419.804
osm4775434185,47.64403470,-122.12796880,-667.702,284.275
osm2670280688,47.64392570,-122.12915680,-626.733,204.194
osm4779937956,47.64568910,-122.12591610,-892.888,369.785
osm4983712038,47.64463330,-122.13174430,-637.026,-4.294
osm2672290205,47.64342150,-122.12841100,-592.146,275.113
osm7065046248,47.64291770,-122.13110420,-472.236,102.825
osm4753326215,47.64317000,-122.12574750,-631.774,472.531
osm4806471174,47.64308950,-122.12858390,-552.890,274.856
osm4806471175,47.64314820,-122.12858490,-559.047,272.669
osm4098517739,47.64329040,-122.12842080,-578.096,279.146
osm4098517743,47.64342670,-122.12821580,-597.539,288.729
osm4098517744,47.64352620,-122.12800050,-613.362,300.366
osm4806537128,47.64352590,-122.12794650,-614.671,304.196
osm4773452876,47.64353840,-122.12807310,-612.845,294.793
osm4098517727,47.64299580,-122.12819180,-552.755,305.962
osm4098517737,47.64327080,-122.12778290,-591.866,324.962
osm7120384994,47.64487780,-122.12566080,-813.784,417.089
osm7120525634,47.64526700,-122.12866910,-780.098,190.323
osm7120525642,47.64530020,-122.12820350,-795.152,222.051
osm2675737178,47.64502420,-122.13078190,-702.083,49.669
osm336768326,47.64508870,-122.13020770,-723.129,87.949
osm336768316,47.64508730,-122.13058100,-713.715,61.601
osm336772826,47.64488940,-122.13087280,-685.630,48.101
osm336772818,47.64463480,-122.13087110,-658.859,57.401
osm2671035422,47.64312280,-122.12932250,-538.063,221.425
osm4773716039,47.64358430,-122.12863900,-603.632,253.120
osm7123400113,47.64414580,-122.12903140,-653.026,205.127
osm4777391860,47.64384260,-122.12948470,-609.842,184.003
osm7123470523,47.64326110,-122.13100180,-510.943,97.686
osm7123470544,47.64309740,-122.13150290,-481.265,68.152
osm4779937955,47.64521380,-122.12581380,-845.372,394.156
osm7132304286,47.64559880,-122.12617910,-876.850,354.442
osm7132304293,47.64508660,-122.12659330,-812.626,343.619
osm7132371562,47.64394650,-122.13141200,-572.944,43.967
osm7132371567,47.64375140,-122.13099970,-562.631,80.157
osm2675681645,47.64418410,-122.12953870,-644.467,167.872
osm7132371575,47.64410540,-122.12999600,-624.827,138.371
osm4806537131,47.64449020,-122.12942780,-679.457,164.678
osm7132384717,47.64259450,-122.12601440,-564.540,474.406
osm7132384722,47.64257490,-122.12605000,-561.593,472.595
osm4753385702,47.64460140,-122.12567270,-784.379,426.213
osm4983712048,47.64488800,-122.13185990,-660.980,-21.652
osm4781518455,47.64470310,-122.12916980,-708.283,175.247
osm4806471176,47.64295190,-122.12786550,-556.231,330.619
osm4773452875,47.64305090,-122.12771420,-570.413,337.749
osm4773476250,47.64426570,-122.12840690,-681.155,244.966
osm4779937984,47.64448700,-122.12834050,-706.109,241.682
osm4060068699,47.64342060,-122.12967650,-560.638,185.654
osm4806471180,47.64337440,-122.12999430,-547.884,164.847
osm7132384719,47.64263330,-122.12508070,-591.803,539.034
osm4806537129,47.64397790,-122.13033160,-603.069,119.236
osm7472985454,47.64281450,-122.13164970,-447.827,67.971
osm7484825433,47.64554830,-122.12751390,-838.399,261.872
osm3516771316,47.64531680,-122.12777450,-807.549,251.790
osm7484830111,47.64515240,-122.12810150,-782.119,234.593
osm4985583154,47.64574550,-122.13058380,-782.964,37.672
osm4985583152,47.64526600,-122.13104410,-721.040,22.410
osm4985583151,47.64519990,-122.13114090,-711.675,17.948
