osm_wid,osm_nid_1,osm_nid_2,linkuse,comment
w5037661,osm738283752,osm33702042,slowroad,"Edith-Stein-Strasse.link1"
w5037661,osm5457326852,osm738283752,slowroad,"Edith-Stein-Strasse.link2"
w5037661,osm33702932,osm5457326852,slowroad,"Edith-Stein-Strasse.link3"
w5037661,osm1347958012,osm33702932,slowroad,"Edith-Stein-Strasse.link4"
w5037661,osm5467434859,osm1347958012,slowroad,"Edith-Stein-Strasse.link5"
w5037661,osm3662353680,osm5467434859,slowroad,"Edith-Stein-Strasse.link6"
w5037661,osm3666468611,osm3662353680,slowroad,"Edith-Stein-Strasse.link7"
w5037661,osm473651436,osm3666468611,slowroad,"Edith-Stein-Strasse.link8"
w5037661,osm3662352895,osm473651436,slowroad,"Edith-Stein-Strasse.link9"
w5037661,osm3662352894,osm3662352895,slowroad,"Edith-Stein-Strasse.link10"
w5037661,osm33702933,osm3662352894,slowroad,"Edith-Stein-Strasse.link11"
w5037661,osm3662352893,osm33702933,slowroad,"Edith-Stein-Strasse.link12"
w5037661,osm3662352892,osm3662352893,slowroad,"Edith-Stein-Strasse.link13"
w5037661,osm33702934,osm3662352892,slowroad,"Edith-Stein-Strasse.link14"
w5037661,osm473651438,osm33702934,slowroad,"Edith-Stein-Strasse.link15"
w5037661,osm3662352891,osm473651438,slowroad,"Edith-Stein-Strasse.link16"
w5037661,osm33702935,osm3662352891,slowroad,"Edith-Stein-Strasse.link17"
w5037661,osm5474088800,osm33702935,slowroad,"Edith-Stein-Strasse.link18"
w5037661,osm3666466781,osm5474088800,slowroad,"Edith-Stein-Strasse.link19"
w5037661,osm5474088796,osm3666466781,slowroad,"Edith-Stein-Strasse.link20"
w5037661,osm5467434854,osm5474088796,slowroad,"Edith-Stein-Strasse.link21"
w5037661,osm33702925,osm5467434854,slowroad,"Edith-Stein-Strasse.link22"
w22679581,osm738281714,osm248731300,road,"Elisabeth-Selbert-Allee.link1"
w22679581,osm6373715031,osm738281714,road,"Elisabeth-Selbert-Allee.link2"
w22679581,osm3666999699,osm6373715031,road,"Elisabeth-Selbert-Allee.link3"
w22679581,osm243312270,osm3666999699,road,"Elisabeth-Selbert-Allee.link4"
w22679581,osm2769223913,osm243312270,road,"Elisabeth-Selbert-Allee.link5"
w22679581,osm3666999698,osm2769223913,road,"Elisabeth-Selbert-Allee.link6"
w22679581,osm243312208,osm3666999698,road,"Elisabeth-Selbert-Allee.link7"
w22679581,osm2769223901,osm243312208,road,"Elisabeth-Selbert-Allee.link8"
w22679581,osm243312276,osm2769223901,road,"Elisabeth-Selbert-Allee.link9"
w22679581,osm2769404079,osm243312276,road,"Elisabeth-Selbert-Allee.link10"
w22679581,osm243312283,osm2769404079,road,"Elisabeth-Selbert-Allee.link11"
w22679581,osm2769404063,osm243312283,road,"Elisabeth-Selbert-Allee.link12"
w22679581,osm243312291,osm2769404063,road,"Elisabeth-Selbert-Allee.link13"
w22679581,osm2769404025,osm243312291,road,"Elisabeth-Selbert-Allee.link14"
w22679581,osm6373714855,osm2769404025,road,"Elisabeth-Selbert-Allee.link15"
w22679581,osm243312239,osm6373714855,road,"Elisabeth-Selbert-Allee.link16"
w22679581,osm3666040458,osm243312239,road,"Elisabeth-Selbert-Allee.link17"
w22679581,osm5443078096,osm3666040458,road,"Elisabeth-Selbert-Allee.link18"
w22679581,osm243312210,osm5443078096,road,"Elisabeth-Selbert-Allee.link19"
w22679581,osm3666040648,osm243312210,road,"Elisabeth-Selbert-Allee.link20"
w22679581,osm3666040647,osm3666040648,road,"Elisabeth-Selbert-Allee.link21"
w22679581,osm3666040645,osm3666040647,road,"Elisabeth-Selbert-Allee.link22"
w22679582,osm2245330472,osm33702006,slowroad,"An der Winkelwiese.link1"
w22679582,osm2697503323,osm2245330472,slowroad,"An der Winkelwiese.link2"
w22679582,osm5455174268,osm2697503323,slowroad,"An der Winkelwiese.link3"
w22679582,osm243312298,osm5455174268,slowroad,"An der Winkelwiese.link4"
w27250418,osm33702008,osm33702006,road,"Noerdliche Ringstrasse.link1"
w28498127,osm3662352904,osm33702008,road,"Noerdliche Ringstrasse001.link1"
w28498127,osm3662353689,osm3662352904,road,"Noerdliche Ringstrasse001.link2"
w28498127,osm456054460,osm3662353689,road,"Noerdliche Ringstrasse001.link3"
