osm_nid,lat,lng,x,z
osm33702042,49.99443980,8.67456800,-0.014,0.158
osm738283752,49.99438630,8.67457070,-0.020,0.158
osm5457326852,49.99426410,8.67457570,-0.034,0.157
osm33702932,49.99350110,8.67460700,-0.119,0.155
osm1347958012,49.99339140,8.67462760,-0.131,0.154
osm5467434859,49.99336390,8.67463480,-0.134,0.153
osm3662353680,49.99332650,8.67464460,-0.138,0.152
osm3666468611,49.99327440,8.67466670,-0.144,0.151
osm473651436,49.99324480,8.67467930,-0.147,0.150
osm3662352895,49.99317790,8.67472420,-0.155,0.147
osm3662352894,49.99310420,8.67478690,-0.163,0.142
osm33702933,49.99304040,8.67486610,-0.170,0.136
osm3662352893,49.99296250,8.67498430,-0.179,0.128
osm3662352892,49.99290440,8.67509910,-0.185,0.120
osm33702934,49.99287390,8.67519730,-0.189,0.113
osm473651438,49.99286570,8.67527700,-0.190,0.107
osm3662352891,49.99286610,8.67538220,-0.189,0.100
osm33702935,49.99288050,8.67550520,-0.188,0.091
osm5474088800,49.99291200,8.67568350,-0.184,0.078
osm3666466781,49.99291440,8.67569720,-0.184,0.077
osm5474088796,49.99300210,8.67619460,-0.174,0.041
osm5467434854,49.99301430,8.67626350,-0.173,0.037
osm33702925,49.99311380,8.67682750,-0.162,-0.004
osm248731300,49.99750650,8.66916120,0.327,0.544
osm738281714,49.99747370,8.66934930,0.323,0.531
osm6373715031,49.99734130,8.67010740,0.308,0.477
osm3666999699,49.99727590,8.67051660,0.301,0.447
osm243312270,49.99720740,8.67103300,0.293,0.410
osm2769223913,49.99717910,8.67127640,0.290,0.393
osm3666999698,49.99711490,8.67180170,0.283,0.356
osm243312208,49.99705400,8.67221440,0.276,0.326
osm2769223901,49.99698300,8.67267200,0.268,0.293
osm243312276,49.99691730,8.67296380,0.261,0.272
osm2769404079,49.99684080,8.67320620,0.253,0.255
osm243312283,49.99669610,8.67365170,0.236,0.223
osm2769404063,49.99649910,8.67416460,0.215,0.187
osm243312291,49.99630880,8.67459270,0.193,0.156
osm2769404025,49.99611380,8.67497050,0.172,0.129
osm6373714855,49.99599490,8.67516230,0.158,0.115
osm243312239,49.99586870,8.67536590,0.144,0.101
osm3666040458,49.99578110,8.67547790,0.135,0.093
osm5443078096,49.99572760,8.67554290,0.129,0.088
osm243312210,49.99569700,8.67558000,0.125,0.085
osm3666040648,49.99562100,8.67565930,0.117,0.080
osm3666040647,49.99552300,8.67573910,0.106,0.074
osm3666040645,49.99542040,8.67580930,0.095,0.069
osm33702006,49.99461380,8.67737600,0.005,-0.043
osm2245330472,49.99499020,8.67727960,0.047,-0.036
osm2697503323,49.99538240,8.67716640,0.090,-0.028
osm5455174268,49.99565080,8.67709570,0.120,-0.023
osm243312298,49.99569130,8.67708500,0.125,-0.022
osm33702008,49.99470480,8.67813030,0.015,-0.097
osm3662352904,49.99472380,8.67824750,0.017,-0.105
osm3662353689,49.99474570,8.67837480,0.020,-0.114
osm456054460,49.99478180,8.67852960,0.024,-0.125
osm2761659548,49.99479780,8.67856610,0.025,-0.128
osm33701942,49.99609110,8.67801830,0.169,-0.089
osm2347271301,49.99601370,8.67818910,0.161,-0.101
osm3662352910,49.99597280,8.67827220,0.156,-0.107
osm33701943,49.99591840,8.67834800,0.150,-0.112
