osm_wid,name,osmtype,osmsubtype,linkuse,nnodes,lat,lng,z,x,height,levels
w5037661,Edith-Stein-Strasse,highway,residential,slowroad,23,49.9932532,8.6751332,-0.1174,-0.1464,0,0
w22679581,Elisabeth-Selbert-Allee,highway,tertiary,road,23,49.9965281,8.6733051,-0.2480,0.2177,0,0
w22679582,An der Winkelwiese,highway,residential,slowroad,5,49.9952657,8.6772005,0.0304,0.0774,0,0
w26595169,track001,highway,track,slowroad,22,49.9969477,8.6790876,0.1653,0.2644,0,0
w27250418,Noerdliche Ringstrasse,highway,tertiary,road,2,49.9946593,8.6777532,0.0699,0.0099,0,0
w28498127,Noerdliche Ringstrasse001,highway,tertiary,road,5,49.9947508,8.6783697,0.1140,0.0201,0,0
w31740072,secondary_link001,highway,secondary_link,road,8,49.9958773,8.6783418,0.1120,0.1454,0,0
w37296980,Elsa-Braendstroem-Strasse,highway,residential,slowroad,2,49.9945484,8.6770629,0.0206,-0.0024,0,0
w37296982,Elsa-Braendstroem-Strasse001,highway,residential,slowroad,2,49.9932687,8.6778712,0.0784,-0.1447,0,0
w37744253,footway001,highway,footway,walkway,3,49.9932900,8.6783206,0.1105,-0.1423,0,0
w52502757,Noerdliche Ringstrasse002,highway,tertiary,road,3,49.9945292,8.6764658,-0.0221,-0.0045,0,0
w95424847,Anne-Frank-Strasse,highway,residential,slowroad,2,49.9946494,8.6753556,-0.1015,0.0088,0,0
w95424859,Anne-Frank-Strasse001,highway,service,driveway,11,49.9946251,8.6740856,-0.1922,0.0061,0,0
w95424886,Sophie-Scholl-Strasse,highway,path,walkway,14,49.9951823,8.6753160,-0.1043,0.0681,0,0
w145349757,primary001,highway,primary,road,2,49.9963892,8.6768497,0.0053,0.2023,0,0
w145349759,primary002,highway,primary,road,5,49.9959902,8.6786092,0.1311,0.1579,0,0
w177730581,secondary_link002,highway,secondary_link,road,17,49.9965146,8.6790781,0.1646,0.2162,0,0
w215116708,Elsa-Braendstroem-Strasse002,highway,residential,slowroad,14,49.9936003,8.6772818,0.0362,-0.1078,0,0
w215116709,Noerdliche Ringstrasse003,highway,tertiary,road,3,49.9945935,8.6771995,0.0303,0.0026,0,0
w215116710,Pestalozzistrasse,highway,residential,slowroad,9,49.9935515,8.6762461,-0.0378,-0.1133,0,0
w215116711,service001,highway,service,driveway,16,49.9952773,8.6778732,0.0785,0.0786,0,0
w215116712,service002,highway,service,driveway,2,49.9955277,8.6779999,0.0876,0.1065,0,0
