osm_wid,osm_nid_1,osm_nid_2,linkuse,comment
w13821869,osm129209733,osm129209730,road,"National Forest Development Road 1614.link1"
w13821869,osm129209737,osm129209733,road,"National Forest Development Road 1614.link2"
w13821869,osm129209740,osm129209737,road,"National Forest Development Road 1614.link3"
w13821869,osm129209744,osm129209740,road,"National Forest Development Road 1614.link4"
w13821869,osm129209746,osm129209744,road,"National Forest Development Road 1614.link5"
w13821869,osm129209748,osm129209746,road,"National Forest Development Road 1614.link6"
w13821869,osm129209750,osm129209748,road,"National Forest Development Road 1614.link7"
w13821869,osm129209754,osm129209750,road,"National Forest Development Road 1614.link8"
w13821869,osm129209757,osm129209754,road,"National Forest Development Road 1614.link9"
w13821869,osm129209761,osm129209757,road,"National Forest Development Road 1614.link10"
w13821869,osm129209763,osm129209761,road,"National Forest Development Road 1614.link11"
w13821869,osm129209767,osm129209763,road,"National Forest Development Road 1614.link12"
w13821869,osm129209770,osm129209767,road,"National Forest Development Road 1614.link13"
w13821869,osm129209772,osm129209770,road,"National Forest Development Road 1614.link14"
w13821869,osm129209775,osm129209772,road,"National Forest Development Road 1614.link15"
w13821869,osm129209778,osm129209775,road,"National Forest Development Road 1614.link16"
w13821869,osm129209780,osm129209778,road,"National Forest Development Road 1614.link17"
w13821869,osm129209782,osm129209780,road,"National Forest Development Road 1614.link18"
w13821869,osm129209784,osm129209782,road,"National Forest Development Road 1614.link19"
w13821869,osm129209785,osm129209784,road,"National Forest Development Road 1614.link20"
w13821869,osm129209788,osm129209785,road,"National Forest Development Road 1614.link21"
w13821869,osm129209791,osm129209788,road,"National Forest Development Road 1614.link22"
w13821869,osm129209795,osm129209791,road,"National Forest Development Road 1614.link23"
w13821869,osm129209798,osm129209795,road,"National Forest Development Road 1614.link24"
w13821869,osm129209801,osm129209798,road,"National Forest Development Road 1614.link25"
w13821869,osm129209805,osm129209801,road,"National Forest Development Road 1614.link26"
w13821869,osm129209810,osm129209805,road,"National Forest Development Road 1614.link27"
w13821869,osm129209812,osm129209810,road,"National Forest Development Road 1614.link28"
w13821869,osm129209817,osm129209812,road,"National Forest Development Road 1614.link29"
w13821869,osm129209820,osm129209817,road,"National Forest Development Road 1614.link30"
w13821869,osm129209822,osm129209820,road,"National Forest Development Road 1614.link31"
w13821869,osm129209824,osm129209822,road,"National Forest Development Road 1614.link32"
w13821869,osm129209828,osm129209824,road,"National Forest Development Road 1614.link33"
w13821869,osm129209829,osm129209828,road,"National Forest Development Road 1614.link34"
w13821869,osm129209831,osm129209829,road,"National Forest Development Road 1614.link35"
w13821869,osm129209832,osm129209831,road,"National Forest Development Road 1614.link36"
w13821869,osm129209833,osm129209832,road,"National Forest Development Road 1614.link37"
w13821869,osm129209836,osm129209833,road,"National Forest Development Road 1614.link38"
w13821869,osm129209837,osm129209836,road,"National Forest Development Road 1614.link39"
w13821869,osm129209840,osm129209837,road,"National Forest Development Road 1614.link40"
w13821869,osm129209841,osm129209840,road,"National Forest Development Road 1614.link41"
w13821869,osm129209843,osm129209841,road,"National Forest Development Road 1614.link42"
w13821869,osm129209845,osm129209843,road,"National Forest Development Road 1614.link43"
w13821869,osm129209848,osm129209845,road,"National Forest Development Road 1614.link44"
w13821869,osm129209851,osm129209848,road,"National Forest Development Road 1614.link45"
w13821869,osm129209853,osm129209851,road,"National Forest Development Road 1614.link46"
w13821869,osm129209857,osm129209853,road,"National Forest Development Road 1614.link47"
w13821869,osm129209860,osm129209857,road,"National Forest Development Road 1614.link48"
w13821869,osm129209863,osm129209860,road,"National Forest Development Road 1614.link49"
w13821869,osm129209866,osm129209863,road,"National Forest Development Road 1614.link50"
w13821869,osm129209869,osm129209866,road,"National Forest Development Road 1614.link51"
w13821869,osm129209871,osm129209869,road,"National Forest Development Road 1614.link52"
w13821869,osm129209873,osm129209871,road,"National Forest Development Road 1614.link53"
w13821869,osm129209876,osm129209873,road,"National Forest Development Road 1614.link54"
w13821869,osm129209877,osm129209876,road,"National Forest Development Road 1614.link55"
w13821869,osm129209879,osm129209877,road,"National Forest Development Road 1614.link56"
w13821869,osm129209882,osm129209879,road,"National Forest Development Road 1614.link57"
w13821869,osm129209885,osm129209882,road,"National Forest Development Road 1614.link58"
w13821869,osm129209888,osm129209885,road,"National Forest Development Road 1614.link59"
w13821869,osm129209891,osm129209888,road,"National Forest Development Road 1614.link60"
w13821869,osm129209893,osm129209891,road,"National Forest Development Road 1614.link61"
w13821869,osm129209895,osm129209893,road,"National Forest Development Road 1614.link62"
w13821869,osm129209899,osm129209895,road,"National Forest Development Road 1614.link63"
w13821869,osm129209903,osm129209899,road,"National Forest Development Road 1614.link64"
w13821869,osm129209905,osm129209903,road,"National Forest Development Road 1614.link65"
w13821869,osm129209908,osm129209905,road,"National Forest Development Road 1614.link66"
w13821869,osm129209911,osm129209908,road,"National Forest Development Road 1614.link67"
w13821869,osm129209912,osm129209911,road,"National Forest Development Road 1614.link68"
w13821869,osm129209914,osm129209912,road,"National Forest Development Road 1614.link69"
w13821869,osm129209917,osm129209914,road,"National Forest Development Road 1614.link70"
w13821869,osm129209921,osm129209917,road,"National Forest Development Road 1614.link71"
w13821869,osm129209923,osm129209921,road,"National Forest Development Road 1614.link72"
w13821869,osm129209927,osm129209923,road,"National Forest Development Road 1614.link73"
w13821869,osm129209929,osm129209927,road,"National Forest Development Road 1614.link74"
w13821869,osm129209932,osm129209929,road,"National Forest Development Road 1614.link75"
w13821869,osm129209933,osm129209932,road,"National Forest Development Road 1614.link76"
w13821869,osm129209936,osm129209933,road,"National Forest Development Road 1614.link77"
w13821869,osm129209939,osm129209936,road,"National Forest Development Road 1614.link78"
w13821869,osm129209941,osm129209939,road,"National Forest Development Road 1614.link79"
w13821869,osm129209942,osm129209941,road,"National Forest Development Road 1614.link80"
w13821869,osm129209944,osm129209942,road,"National Forest Development Road 1614.link81"
w13821869,osm129209947,osm129209944,road,"National Forest Development Road 1614.link82"
w13821869,osm129209950,osm129209947,road,"National Forest Development Road 1614.link83"
w13821869,osm129209953,osm129209950,road,"National Forest Development Road 1614.link84"
w13821869,osm129209955,osm129209953,road,"National Forest Development Road 1614.link85"
w13821869,osm129209957,osm129209955,road,"National Forest Development Road 1614.link86"
w13821869,osm129209959,osm129209957,road,"National Forest Development Road 1614.link87"
w13821869,osm129209962,osm129209959,road,"National Forest Development Road 1614.link88"
w13821869,osm129209966,osm129209962,road,"National Forest Development Road 1614.link89"
w13821869,osm129209969,osm129209966,road,"National Forest Development Road 1614.link90"
w13821869,osm129209971,osm129209969,road,"National Forest Development Road 1614.link91"
w13821869,osm129209972,osm129209971,road,"National Forest Development Road 1614.link92"
w13821869,osm129209975,osm129209972,road,"National Forest Development Road 1614.link93"
w13821869,osm129209977,osm129209975,road,"National Forest Development Road 1614.link94"
w13821869,osm129209981,osm129209977,road,"National Forest Development Road 1614.link95"
w13821869,osm129209985,osm129209981,road,"National Forest Development Road 1614.link96"
w13821869,osm129209987,osm129209985,road,"National Forest Development Road 1614.link97"
w13821869,osm129209990,osm129209987,road,"National Forest Development Road 1614.link98"
w13821869,osm129209991,osm129209990,road,"National Forest Development Road 1614.link99"
w13821869,osm129209993,osm129209991,road,"National Forest Development Road 1614.link100"
w13821869,osm129209995,osm129209993,road,"National Forest Development Road 1614.link101"
w13821869,osm129209996,osm129209995,road,"National Forest Development Road 1614.link102"
w13821869,osm129209998,osm129209996,road,"National Forest Development Road 1614.link103"
w13821869,osm129210001,osm129209998,road,"National Forest Development Road 1614.link104"
w13821869,osm129210004,osm129210001,road,"National Forest Development Road 1614.link105"
w13821869,osm129210006,osm129210004,road,"National Forest Development Road 1614.link106"
w13821869,osm129210009,osm129210006,road,"National Forest Development Road 1614.link107"
w13821869,osm129210011,osm129210009,road,"National Forest Development Road 1614.link108"
w13821869,osm129210013,osm129210011,road,"National Forest Development Road 1614.link109"
w13821869,osm129210016,osm129210013,road,"National Forest Development Road 1614.link110"
w13821869,osm129210019,osm129210016,road,"National Forest Development Road 1614.link111"
w13821869,osm129210022,osm129210019,road,"National Forest Development Road 1614.link112"
w13821869,osm129210025,osm129210022,road,"National Forest Development Road 1614.link113"
w13821869,osm129210027,osm129210025,road,"National Forest Development Road 1614.link114"
w13821869,osm129210030,osm129210027,road,"National Forest Development Road 1614.link115"
w13821869,osm129210032,osm129210030,road,"National Forest Development Road 1614.link116"
w13821869,osm129210035,osm129210032,road,"National Forest Development Road 1614.link117"
w13821869,osm129210038,osm129210035,road,"National Forest Development Road 1614.link118"
