osm_nid,lat,lng,x,z
osm129209730,45.41324900,-116.32054300,0.115,-0.654
osm129209733,45.41353500,-116.31928100,0.146,-0.752
osm129209737,45.41361600,-116.31878000,0.155,-0.792
osm129209740,45.41362400,-116.31843400,0.156,-0.819
osm129209744,45.41360600,-116.31809200,0.154,-0.845
osm129209746,45.41354900,-116.31785100,0.148,-0.864
osm129209748,45.41342300,-116.31746400,0.134,-0.894
osm129209750,45.41326100,-116.31709800,0.116,-0.923
osm129209754,45.41303000,-116.31671200,0.090,-0.953
osm129209757,45.41257200,-116.31607300,0.039,-1.003
osm129209761,45.41221600,-116.31552300,-0.000,-1.046
osm129209763,45.41197800,-116.31508200,-0.027,-1.080
osm129209767,45.41173900,-116.31454900,-0.053,-1.122
osm129209770,45.41149600,-116.31393600,-0.080,-1.170
osm129209772,45.41133900,-116.31345900,-0.098,-1.207
osm129209775,45.41123000,-116.31305300,-0.110,-1.239
osm129209778,45.41110700,-116.31250400,-0.124,-1.281
osm129209780,45.41102200,-116.31225400,-0.133,-1.301
osm129209782,45.41092300,-116.31185000,-0.144,-1.333
osm129209784,45.41081700,-116.31137000,-0.156,-1.370
osm129209785,45.41075800,-116.31093300,-0.162,-1.404
osm129209788,45.41074800,-116.31084800,-0.164,-1.411
osm129209791,45.41064600,-116.30998500,-0.175,-1.478
osm129209795,45.41063100,-116.30941000,-0.177,-1.523
osm129209798,45.41058600,-116.30895600,-0.182,-1.558
osm129209801,45.41058900,-116.30837800,-0.181,-1.604
osm129209805,45.41067900,-116.30757400,-0.171,-1.666
osm129209810,45.41070100,-116.30698600,-0.169,-1.712
osm129209812,45.41073000,-116.30677800,-0.166,-1.728
osm129209817,45.41090200,-116.30599300,-0.146,-1.790
osm129209820,45.41103100,-116.30549000,-0.132,-1.829
osm129209822,45.41107200,-116.30522600,-0.128,-1.850
osm129209824,45.41108700,-116.30501800,-0.126,-1.866
osm129209828,45.41109300,-116.30451700,-0.125,-1.905
osm129209829,45.41110700,-116.30412500,-0.124,-1.936
osm129209831,45.41114400,-116.30386400,-0.120,-1.956
osm129209832,45.41118900,-116.30367300,-0.115,-1.971
osm129209833,45.41126800,-116.30347200,-0.106,-1.987
osm129209836,45.41139600,-116.30323900,-0.092,-2.005
osm129209837,45.41168300,-116.30276400,-0.060,-2.042
osm129209840,45.41184800,-116.30238800,-0.041,-2.071
osm129209841,45.41203600,-116.30187100,-0.020,-2.111
osm129209843,45.41219200,-116.30168500,-0.003,-2.126
osm129209845,45.41240300,-116.30156900,0.020,-2.135
osm129209848,45.41271100,-116.30142500,0.055,-2.146
osm129209851,45.41293600,-116.30128100,0.080,-2.158
osm129209853,45.41318700,-116.30109800,0.108,-2.172
osm129209857,45.41337600,-116.30098200,0.129,-2.181
osm129209860,45.41382100,-116.30078200,0.178,-2.197
osm129209863,45.41408400,-116.30062900,0.207,-2.208
osm129209866,45.41447800,-116.30046300,0.251,-2.221
osm129209869,45.41478600,-116.30037900,0.285,-2.228
osm129209871,45.41503100,-116.30028900,0.313,-2.235
osm129209873,45.41529400,-116.30017200,0.342,-2.244
osm129209876,45.41573500,-116.29995300,0.391,-2.261
osm129209877,45.41615700,-116.29971000,0.438,-2.280
osm129209879,45.41669700,-116.29945600,0.498,-2.300
osm129209882,45.41701200,-116.29928900,0.533,-2.313
osm129209885,45.41827700,-116.29872400,0.674,-2.357
osm129209888,45.41858000,-116.29854900,0.707,-2.371
osm129209891,45.41862900,-116.29851600,0.713,-2.373
osm129209893,45.41887800,-116.29834900,0.740,-2.386
osm129209895,45.41903700,-116.29818300,0.758,-2.399
osm129209899,45.41921200,-116.29792400,0.778,-2.420
osm129209903,45.41931200,-116.29772900,0.789,-2.435
osm129209905,45.41941900,-116.29741000,0.801,-2.460
osm129209908,45.41950300,-116.29701800,0.810,-2.490
osm129209911,45.41951700,-116.29695800,0.812,-2.495
osm129209912,45.41986600,-116.29547800,0.850,-2.611
osm129209914,45.42001000,-116.29497900,0.866,-2.649
osm129209917,45.42002900,-116.29491100,0.868,-2.655
osm129209921,45.42036200,-116.29393400,0.905,-2.731
osm129209923,45.42057300,-116.29338300,0.929,-2.774
osm129209927,45.42074000,-116.29298300,0.947,-2.805
osm129209929,45.42084200,-116.29271400,0.959,-2.826
osm129209932,45.42094100,-116.29237200,0.970,-2.853
osm129209933,45.42122800,-116.29130900,1.002,-2.936
osm129209936,45.42142700,-116.29022300,1.024,-3.021
osm129209939,45.42157500,-116.28972200,1.040,-3.060
osm129209941,45.42168600,-116.28924600,1.053,-3.097
osm129209942,45.42184800,-116.28807600,1.071,-3.188
osm129209944,45.42200800,-116.28635300,1.088,-3.323
osm129209947,45.42200500,-116.28577300,1.088,-3.368
osm129209950,45.42197900,-116.28535100,1.085,-3.401
osm129209953,45.42195400,-116.28501500,1.082,-3.427
osm129209955,45.42185100,-116.28400500,1.071,-3.506
osm129209957,45.42176400,-116.28345900,1.061,-3.549
osm129209959,45.42167200,-116.28278600,1.051,-3.601
osm129209962,45.42159500,-116.28232900,1.043,-3.637
osm129209966,45.42105800,-116.28014800,0.983,-3.807
osm129209969,45.42052100,-116.27757500,0.923,-4.008
osm129209971,45.42047400,-116.27725900,0.918,-4.033
osm129209972,45.42046100,-116.27702800,0.916,-4.051
osm129209975,45.42046500,-116.27671100,0.917,-4.075
osm129209977,45.42042800,-116.27635000,0.913,-4.104
osm129209981,45.42041500,-116.27613900,0.911,-4.120
osm129209985,45.42034700,-116.27574700,0.904,-4.151
osm129209987,45.42033700,-116.27550300,0.903,-4.170
osm129209990,45.42035300,-116.27493900,0.904,-4.214
osm129209991,45.42032600,-116.27472900,0.901,-4.230
osm129209993,45.42025500,-116.27436400,0.894,-4.259
osm129209995,45.42012300,-116.27381400,0.879,-4.302
osm129209996,45.42005500,-116.27346200,0.871,-4.329
osm129209998,45.42003700,-116.27321100,0.869,-4.349
osm129210001,45.42004300,-116.27288200,0.870,-4.374
osm129210004,45.42002400,-116.27263500,0.868,-4.394
osm129210006,45.41996800,-116.27229400,0.862,-4.420
osm129210009,45.41988500,-116.27184900,0.852,-4.455
osm129210011,45.41979800,-116.27157800,0.843,-4.476
osm129210013,45.41972800,-116.27140500,0.835,-4.490
osm129210016,45.41967200,-116.27119100,0.829,-4.506
osm129210019,45.41961600,-116.27084200,0.823,-4.534
osm129210022,45.41947400,-116.27016200,0.807,-4.587
osm129210025,45.41930100,-116.26945900,0.787,-4.642
osm129210027,45.41922300,-116.26891200,0.779,-4.684
osm129210030,45.41912200,-116.26825600,0.768,-4.735
osm129210032,45.41898700,-116.26777100,0.753,-4.773
osm129210035,45.41884100,-116.26727300,0.736,-4.812
osm129210038,45.41881100,-116.26704300,0.733,-4.830
osm129210043,45.41880400,-116.26686000,0.732,-4.844
osm129210047,45.41875400,-116.26664600,0.727,-4.861
osm129210050,45.41865000,-116.26637500,0.715,-4.882
osm129210053,45.41856800,-116.26606400,0.706,-4.907
osm129210054,45.41852300,-116.26574000,0.701,-4.932
osm129210056,45.41846800,-116.26521700,0.695,-4.973
osm129210057,45.41844300,-116.26492100,0.692,-4.996
osm129210060,45.41841300,-116.26463700,0.689,-5.018
osm129210062,45.41834500,-116.26434200,0.681,-5.041
osm129210063,45.41824000,-116.26403900,0.670,-5.065
osm129210066,45.41814500,-116.26386200,0.659,-5.078
osm129210070,45.41805300,-116.26371700,0.649,-5.090
osm129210071,45.41794000,-116.26349500,0.636,-5.107
osm129210073,45.41787300,-116.26326500,0.629,-5.125
osm129210075,45.41775900,-116.26299100,0.616,-5.146
osm129210078,45.41765500,-116.26276900,0.604,-5.164
osm129210079,45.41751100,-116.26260000,0.588,-5.177
osm129210080,45.41720900,-116.26228000,0.555,-5.202
osm129210081,45.41706800,-116.26207400,0.539,-5.218
osm129210082,45.41681600,-116.26168800,0.511,-5.248
osm129210083,45.41645900,-116.26112500,0.471,-5.292
osm129210084,45.41617000,-116.26064600,0.439,-5.329
osm129210086,45.41598100,-116.26025900,0.418,-5.360
osm129210089,45.41588200,-116.25995200,0.407,-5.384
osm129210092,45.41577300,-116.25941300,0.395,-5.426
osm129210093,45.41574800,-116.25913000,0.392,-5.448
osm129210097,45.41571000,-116.25848900,0.388,-5.498
osm129210100,45.41567500,-116.25799900,0.384,-5.536
osm129210105,45.41565100,-116.25773900,0.382,-5.556
osm129210106,45.41558300,-116.25747200,0.374,-5.577
osm129210107,45.41550500,-116.25731100,0.365,-5.590
osm129210109,45.41537600,-116.25715900,0.351,-5.602
osm129210111,45.41517400,-116.25699500,0.329,-5.614
osm129210113,45.41497700,-116.25682100,0.307,-5.628
osm129210116,45.41491600,-116.25676700,0.300,-5.632
osm129210118,45.41475500,-116.25664700,0.282,-5.642
osm129210121,45.41452000,-116.25658600,0.256,-5.646
osm129210123,45.41433400,-116.25655200,0.235,-5.649
osm129210126,45.41414300,-116.25656600,0.214,-5.648
osm129210129,45.41381400,-116.25655000,0.177,-5.649
osm129210130,45.41352300,-116.25656200,0.145,-5.648
osm129210132,45.41337700,-116.25653200,0.129,-5.651
osm129210135,45.41324500,-116.25643200,0.114,-5.658
osm129210137,45.41309200,-116.25623500,0.097,-5.674
osm129210139,45.41300200,-116.25605000,0.087,-5.688
osm129210142,45.41294900,-116.25577900,0.081,-5.709
osm129210145,45.41291900,-116.25556400,0.078,-5.726
osm129210148,45.41284600,-116.25532600,0.070,-5.745
osm129210151,45.41278700,-116.25515300,0.063,-5.758
osm129210155,45.41274400,-116.25502700,0.058,-5.768
osm129210158,45.41264800,-116.25468300,0.048,-5.795
osm129210161,45.41260800,-116.25438700,0.043,-5.818
osm129210164,45.41261000,-116.25415200,0.043,-5.836
osm129210166,45.41257400,-116.25388900,0.039,-5.857
osm129210169,45.41251500,-116.25359300,0.033,-5.880
osm129210172,45.41245800,-116.25317600,0.027,-5.913
osm129210175,45.41242700,-116.25286000,0.023,-5.937
osm129210177,45.41243600,-116.25247500,0.024,-5.967
osm129210179,45.41239100,-116.25217100,0.019,-5.991
osm129210182,45.41238700,-116.25193600,0.019,-6.009
osm129210186,45.41241200,-116.25181000,0.021,-6.019
osm129210187,45.41246700,-116.25161000,0.028,-6.035
osm129210189,45.41250400,-116.25149600,0.032,-6.044
