osm_wid,name,osmtype,osmsubtype,linkuse,nnodes,lat,lng,z,x,height,levels
w13821869,National Forest Development Road 1614,highway,unclassified,road,263,45.4124398,-116.2677050,4.7785,0.0246,0,0
w13822710,track001,highway,track,slowroad,37,45.4174338,-116.2960831,2.5633,0.5799,0,0
w13822717,service001,highway,service,driveway,15,45.4087475,-116.3894529,-4.7251,-0.3860,0,0
w13822889,track002,highway,track,slowroad,86,45.4476213,-116.2856116,3.3807,3.9366,0,0
w13823211,residential001,highway,residential,slowroad,38,45.4177793,-116.2947183,2.6698,0.6183,0,0
w13823327,residential002,highway,residential,slowroad,2,45.3723524,-116.3597598,-2.4072,-4.4330,0,0
w13823330,residential003,highway,residential,slowroad,2,45.3722210,-116.3616250,-2.5528,-4.4476,0,0
w13823673,service002,highway,service,driveway,2,45.3937230,-116.3434136,-1.1313,-2.0567,0,0
w13823896,track003,highway,track,slowroad,108,45.3841032,-116.3120854,1.3142,-3.1263,0,0
w13823989,service003,highway,service,driveway,8,45.4435522,-116.3573559,-2.2196,3.4841,0,0
w13825005,residential004,highway,residential,slowroad,9,45.4246257,-116.3628197,-2.6461,1.3796,0,0
w13825007,residential005,highway,residential,slowroad,5,45.4240108,-116.3146587,1.1133,1.3112,0,0
w13825013,School Driveway,highway,service,driveway,3,45.4199787,-116.3184127,0.8203,0.8628,0,0
w13825405,service004,highway,service,driveway,16,45.4105696,-116.3289894,-0.0053,-0.1834,0,0
w13825726,track004,highway,track,slowroad,15,45.3998642,-116.3335621,-0.3623,-1.3738,0,0
w13825738,track005,highway,track,slowroad,3,45.3928823,-116.3458817,-1.3239,-2.1501,0,0
w13825922,track006,highway,track,slowroad,14,45.4096035,-116.3275925,0.1037,-0.2908,0,0
w13826021,track007,highway,track,slowroad,10,45.4170036,-116.2941933,2.7108,0.5320,0,0
w13826193,track008,highway,track,slowroad,16,45.3801653,-116.3518324,-1.7884,-3.5642,0,0
w13826599,track009,highway,track,slowroad,110,45.3880266,-116.2466771,6.4199,-2.6901,0,0
w13826615,service005,highway,service,driveway,8,45.4463169,-116.3485250,-1.5303,3.7915,0,0
