osm_wid,osm_nid_1,osm_nid_2,linkuse,comment
w8915796,osm1243846520,osm65287209,road,"Fulton Street.link1"
w8915796,osm6945724320,osm1243846520,road,"Fulton Street.link2"
w8915796,osm5352470007,osm6945724320,road,"Fulton Street.link3"
w8915796,osm6945721809,osm5352470007,road,"Fulton Street.link4"
w8915796,osm6945730954,osm6945721809,road,"Fulton Street.link5"
w8915796,osm65287213,osm6945730954,road,"Fulton Street.link6"
w8915986,osm5437877182,osm65288752,slowroad,"Colton Street.link1"
w8915986,osm5437877180,osm5437877182,slowroad,"Colton Street.link2"
w8915986,osm65288754,osm5437877180,slowroad,"Colton Street.link3"
w8915986,osm65288759,osm65288754,slowroad,"Colton Street.link4"
w8916048,osm1266060473,osm65289131,slowroad,"Isis Street.link1"
w8916048,osm1266060498,osm1266060473,slowroad,"Isis Street.link2"
w8916048,osm1266060501,osm1266060498,slowroad,"Isis Street.link3"
w8916048,osm65289134,osm1266060501,slowroad,"Isis Street.link4"
w8916048,osm1266060472,osm65289134,slowroad,"Isis Street.link5"
w8916048,osm1266060467,osm1266060472,slowroad,"Isis Street.link6"
w8916048,osm65289146,osm1266060467,slowroad,"Isis Street.link7"
w8916048,osm1266060485,osm65289146,slowroad,"Isis Street.link8"
w8916246,osm65292400,osm65292403,slowroad,"Pearl Street.link1"
w8916246,osm6338751438,osm65292400,slowroad,"Pearl Street.link2"
w8916246,osm65292398,osm6338751438,slowroad,"Pearl Street.link3"
w8916498,osm6639198518,osm65297954,slowroad,"Washburn Street.link1"
w8916826,osm65304898,osm298082883,slowroad,"Lily Street.link1"
w8916826,osm65304896,osm65304898,slowroad,"Lily Street.link2"
w8916930,osm65306942,osm65306940,slowroad,"Jessie Street.link1"
w8916932,osm4485990007,osm65306958,slowroad,"Jessie Street001.link1"
w8916932,osm65306956,osm4485990007,slowroad,"Jessie Street001.link2"
w8916934,osm65306985,osm65306982,slowroad,"Jessie Street002.link1"
w8917174,osm1266445598,osm65312158,slowroad,"Kissling Street.link1"
w8917174,osm65312159,osm1266445598,slowroad,"Kissling Street.link2"
w8917174,osm65312160,osm65312159,slowroad,"Kissling Street.link3"
w8917174,osm65312162,osm65312160,slowroad,"Kissling Street.link4"
w8917174,osm1266422705,osm65312162,slowroad,"Kissling Street.link5"
w8917174,osm65312163,osm1266422705,slowroad,"Kissling Street.link6"
w8917174,osm1266422694,osm65312163,slowroad,"Kissling Street.link7"
w8917174,osm539990278,osm1266422694,slowroad,"Kissling Street.link8"
w8917174,osm1266422706,osm539990278,slowroad,"Kissling Street.link9"
w8917174,osm65312164,osm1266422706,slowroad,"Kissling Street.link10"
w8917348,osm65315832,osm65315830,road,"Otis Street.link1"
w8917348,osm65315834,osm65315832,road,"Otis Street.link2"
w8917348,osm6906659799,osm65315834,road,"Otis Street.link3"
w8917348,osm65315835,osm6906659799,road,"Otis Street.link4"
w8917348,osm5034169052,osm65315835,road,"Otis Street.link5"
w8917349,osm3742505389,osm65315836,road,"Otis Street001.link1"
w8917349,osm65315843,osm3742505389,road,"Otis Street001.link2"
