osm_nid,lat,lng,x,z
osm65287209,37.77895930,37.77895930,0.451,0.204
osm1243846520,37.77894380,37.77894380,0.450,0.215
osm6945724320,37.77876160,37.77876160,0.429,0.340
osm5352470007,37.77874840,37.77874840,0.428,0.349
osm6945721809,37.77873450,37.77873450,0.426,0.359
osm6945730954,37.77855250,37.77855250,0.406,0.485
osm65287213,37.77854010,37.77854010,0.405,0.494
osm65288752,37.77328100,37.77328100,-0.180,0.042
osm5437877182,37.77321600,37.77321600,-0.187,0.050
osm5437877180,37.77310320,37.77310320,-0.200,0.062
osm65288754,37.77287470,37.77287470,-0.225,0.088
osm65288759,37.77237500,37.77237500,-0.281,0.144
osm65289131,37.77060750,37.77060750,-0.477,-0.445
osm1266060473,37.77048460,37.77048460,-0.491,-0.438
osm1266060498,37.77037180,37.77037180,-0.504,-0.432
osm1266060501,37.77025530,37.77025530,-0.516,-0.426
osm65289134,37.77014160,37.77014160,-0.529,-0.421
osm1266060472,37.77003370,37.77003370,-0.541,-0.417
osm1266060467,37.76993400,37.76993400,-0.552,-0.413
osm65289146,37.76982760,37.76982760,-0.564,-0.410
osm1266060485,37.76961460,37.76961460,-0.588,-0.405
osm65292403,37.76978760,37.76978760,-0.568,0.389
osm65292400,37.77066110,37.77066110,-0.471,0.396
osm6338751438,37.77124730,37.77124730,-0.406,0.402
osm65292398,37.77134790,37.77134790,-0.395,0.403
osm65297954,37.77589290,37.77589290,0.110,-0.374
osm6639198518,37.77513650,37.77513650,0.026,-0.457
osm65299541,37.77216100,37.77216100,-0.305,-0.438
osm298082883,37.77438520,37.77438520,-0.057,0.396
osm65304898,37.77456180,37.77456180,-0.038,0.275
osm65304896,37.77477160,37.77477160,-0.014,0.130
osm298082886,37.77531280,37.77531280,0.046,0.413
osm65306289,37.77550330,37.77550330,0.067,0.291
osm65306288,37.77569620,37.77569620,0.089,0.147
osm65306286,37.77589520,37.77589520,0.111,0.009
osm65306940,37.77569990,37.77569990,0.089,-0.260
osm65306942,37.77527260,37.77527260,0.041,-0.213
osm65306958,37.77576380,37.77576380,0.096,-0.253
osm4485990007,37.77642920,37.77642920,0.170,-0.326
osm65306956,37.77671400,37.77671400,0.202,-0.358
