osm_wid,name,osmtype,osmsubtype,linkuse,nnodes,lat,lng,z,x,height,levels
w8915796,Fulton Street,highway,tertiary,road,7,37.7787486,-122.4233754,-0.3494,0.4279,0,0
w8915986,Colton Street,highway,residential,slowroad,5,37.7729700,-122.4202785,-0.0772,-0.2146,0,0
w8916048,Isis Street,highway,residential,slowroad,9,37.7701412,-122.4145879,0.4229,-0.5292,0,0
w8916246,Pearl Street,highway,residential,slowroad,4,37.7707610,-122.4239191,-0.3972,-0.4602,0,0
w8916498,Washburn Street,highway,residential,slowroad,2,37.7755147,-122.4146716,0.4156,0.0684,0,0
w8916570,Burns Place,highway,service,driveway,5,37.7719452,-122.4146779,0.4150,-0.3286,0,0
w8916826,Lily Street,highway,residential,slowroad,3,37.7745729,-122.4224386,-0.2671,-0.0364,0,0
w8916889,Hickory Street,highway,service,driveway,18,37.7756071,-122.4218022,-0.2111,0.0786,0,0
w8916930,Jessie Street,highway,residential,slowroad,2,37.7754863,-122.4167129,0.2362,0.0652,0,0
w8916932,Jessie Street001,highway,residential,slowroad,3,37.7763023,-122.4158463,0.3123,0.1559,0,0
w8916934,Jessie Street002,highway,residential,slowroad,2,37.7713431,-122.4210580,-0.1457,-0.3955,0,0
w8917174,Kissling Street,highway,residential,slowroad,11,37.7721963,-122.4154606,0.3462,-0.3006,0,0
w8917348,Otis Street,highway,secondary,road,6,37.7726710,-122.4192108,0.0166,-0.2479,0,0
w8917349,Otis Street001,highway,secondary,road,5,37.7714387,-122.4203058,-0.0796,-0.3849,0,0
w8917448,Stevenson Street,highway,residential,slowroad,2,37.7737112,-122.4198994,-0.0439,-0.1322,0,0
w8917449,Stevenson Street001,highway,pedestrian,walkway,3,37.7765010,-122.4163394,0.2690,0.1780,0,0
w8917451,Stevenson Street002,highway,residential,slowroad,2,37.7707796,-122.4216830,-0.2007,-0.4582,0,0
w8917455,Stevenson Street003,highway,residential,slowroad,3,37.7729730,-122.4210252,-0.1428,-0.2143,0,0
w8917456,Stevenson Street004,highway,footway,walkway,4,37.7785702,-122.4137463,0.4969,0.4081,0,0
w8917489,Laguna Street,highway,residential,slowroad,6,37.7706983,-122.4249188,-0.4851,-0.4672,0,0
w8917500,Minna Street,highway,residential,slowroad,7,37.7740886,-122.4163395,0.2690,-0.0902,0,0
w8917590,Ash Street,highway,residential,slowroad,2,37.7792405,-122.4232732,-0.3404,0.4826,0,0
w8917756,Dr. Tom Waddell Place,highway,residential,slowroad,4,37.7778781,-122.4189418,0.0403,0.3311,0,0
w8917757,Ivy Street,highway,residential,slowroad,15,37.7769470,-122.4262922,-0.6058,0.2276,0,0
w8917791,11th Street,highway,tertiary,road,4,37.7754709,-122.4185676,0.0732,0.0635,0,0
w8917801,Natoma Street,highway,service,driveway,16,37.7788563,-122.4093852,0.8802,0.4399,0,0
w8917828,Plum Street,highway,residential,slowroad,6,37.7709525,-122.4188765,0.0460,-0.4389,0,0
w8917959,Laskie Street,highway,residential,slowroad,4,37.7770287,-122.4145282,0.4282,0.2367,0,0
w8918406,Gough Street,highway,secondary,road,6,37.7722664,-122.4209266,-0.1342,-0.2928,0,0
w8918885,Waller Street,highway,residential,slowroad,2,37.7719079,-122.4245432,-0.4520,-0.3327,0,0
w8919006,South Van Ness Avenue,highway,primary,road,2,37.7730658,-122.4185637,0.0735,-0.2040,0,0
w8919084,Rose Street,highway,residential,slowroad,6,37.7737175,-122.4215284,-0.1871,-0.1315,0,0
w8919794,Grace Street,highway,residential,slowroad,2,37.7746312,-122.4142831,0.4497,-0.0299,0,0
w8919948,Dore Street,highway,residential,slowroad,3,37.7737275,-122.4127803,0.5818,-0.1304,0,0
w8920106,Octavia Street,highway,residential,slowroad,8,37.7762413,-122.4245912,-0.4563,0.1491,0,0
w8920203,Birch Street,highway,residential,slowroad,4,37.7779730,-122.4257467,-0.5578,0.3417,0,0
w8920306,Fell Street,highway,secondary,road,7,37.7761526,-122.4212815,-0.1654,0.1393,0,0
w8920338,Larkin Street,highway,secondary,road,3,37.7776462,-122.4163950,0.2641,0.3054,0,0
w8920411,Chase Court,highway,residential,slowroad,2,37.7729725,-122.4197210,-0.0282,-0.2143,0,0
w8921118,12th Street,highway,residential,slowroad,3,37.7732600,-122.4189077,0.0433,-0.1824,0,0
w8921122,12th Street001,highway,residential,slowroad,2,37.7722469,-122.4183762,0.0900,-0.2950,0,0
w8921141,8th Street,highway,secondary,road,4,37.7780297,-122.4138947,0.4839,0.3480,0,0
w8921779,McCoppin Street,highway,tertiary,road,11,37.7716668,-122.4213616,-0.1724,-0.3595,0,0
w8921849,Lafayette Street,highway,residential,slowroad,4,37.7729728,-122.4171933,0.1939,-0.2143,0,0
w8922065,Elgin Park,highway,residential,slowroad,4,37.7710329,-122.4232830,-0.3413,-0.4300,0,0
w8922122,Pink Alley,highway,service,driveway,2,37.7706520,-122.4240846,-0.4117,-0.4724,0,0
w8922158,Linden Street,unknown,living_street,unknown,3,37.7763161,-122.4237330,-0.3808,0.1575,0,0
w8922342,Colusa Place,highway,residential,slowroad,2,37.7731720,-122.4197445,-0.0303,-0.1921,0,0
w8922462,Central Freeway,highway,motorway,highway,8,37.7709062,-122.4225652,-0.2782,-0.4441,0,0
w23959829,Mission Street,highway,secondary,road,6,37.7735388,-122.4179568,0.1268,-0.1514,0,0
w24310636,Howard Street,highway,secondary,road,13,37.7723005,-122.4164495,0.2593,-0.2890,0,0
w24335439,11th Street001,highway,tertiary,road,6,37.7736411,-122.4162637,0.2757,-0.1400,0,0
w24335440,11th Street002,highway,tertiary,road,5,37.7725896,-122.4149481,0.3913,-0.2569,0,0
w24335441,Mission Street001,highway,secondary,road,4,37.7741743,-122.4173409,0.1810,-0.0807,0,0
w24603531,primary_link001,highway,primary_link,road,4,37.7735608,-122.4190081,0.0344,-0.1489,0,0
w24603573,Octavia Boulevard,highway,primary,road,4,37.7719262,-122.4233643,-0.3484,-0.3307,0,0
w25337673,Mission Street002,highway,secondary,road,4,37.7705004,-122.4198219,-0.0371,-0.4892,0,0
w25371417,Mission Street003,highway,secondary,road,2,37.7703260,-122.4201864,-0.0691,-0.5086,0,0
w25371449,secondary_link001,highway,secondary_link,road,11,37.7703519,-122.4200282,-0.0552,-0.5057,0,0
w25371463,Natoma Street001,highway,residential,slowroad,4,37.7726756,-122.4170622,0.2055,-0.2473,0,0
w26943461,South Van Ness Avenue001,highway,primary,road,4,37.7703868,-122.4176353,0.1551,-0.5018,0,0
w26943482,South Van Ness Avenue002,highway,primary,road,6,37.7743733,-122.4191081,0.0257,-0.0586,0,0
w26943484,Mission Street004,highway,primary,road,13,37.7714357,-122.4194505,-0.0044,-0.3852,0,0
w26988030,Larkin Street001,highway,secondary,road,11,37.7796983,-122.4168335,0.2256,0.5335,0,0
w26988051,Hayes Street,highway,secondary,road,7,37.7776331,-122.4166240,0.2440,0.3039,0,0
w26988058,Hayes Street001,highway,residential,slowroad,3,37.7768150,-122.4235758,-0.3670,0.2129,0,0
w26988066,Fell Street001,highway,secondary,road,3,37.7759008,-122.4232673,-0.3399,0.1113,0,0
w26988072,Oak Street,highway,unclassified,road,6,37.7753468,-122.4200693,-0.0588,0.0497,0,0
w27028275,Valencia Street,highway,tertiary,road,3,37.7712522,-122.4225061,-0.2730,-0.4056,0,0
w27029263,Mission Street005,highway,secondary,road,3,37.7748902,-122.4164126,0.2626,-0.0011,0,0
w27029264,10th Street,highway,secondary,road,4,37.7746645,-122.4151492,0.3736,-0.0262,0,0
w27029265,10th Street001,highway,secondary,road,12,37.7728306,-122.4128476,0.5759,-0.2301,0,0
w27167481,Octavia Street001,highway,footway,walkway,3,37.7787735,-122.4250695,-0.4983,0.4307,0,0
w27167896,Rose Street001,highway,residential,slowroad,2,37.7733106,-122.4248251,-0.4768,-0.1767,0,0
w27167899,Lily Street001,highway,residential,slowroad,3,37.7742134,-122.4252561,-0.5147,-0.0763,0,0
w27167926,Octavia Boulevard001,highway,primary,road,2,37.7743548,-122.4241161,-0.4145,-0.0606,0,0
w27167933,Linden Street001,highway,residential,slowroad,3,37.7760764,-122.4256182,-0.5465,0.1308,0,0
w27167935,Octavia Street002,highway,residential,slowroad,6,37.7780636,-122.4249214,-0.4853,0.3518,0,0
w27374548,Howard Street001,highway,secondary,road,4,37.7707742,-122.4175219,0.1651,-0.4588,0,0
w27397892,Howard Street002,highway,secondary,road,4,37.7706437,-122.4174877,0.1681,-0.4733,0,0
w27398196,Haight Street,highway,residential,slowroad,2,37.7729638,-122.4237780,-0.3848,-0.2153,0,0
w28015825,Octavia Boulevard002,highway,primary,road,5,37.7755374,-122.4243374,-0.4340,0.0709,0,0
w28596014,Central Freeway001,highway,motorway,highway,7,37.7715379,-122.4231131,-0.3263,-0.3739,0,0
w28596015,Central Freeway002,highway,motorway,highway,6,37.7714367,-122.4231744,-0.3317,-0.3851,0,0
w32121427,Page Street,highway,residential,slowroad,3,37.7742289,-122.4213625,-0.1725,-0.0746,0,0
w32865611,footway001,highway,footway,walkway,4,37.7792464,-122.4175830,0.1597,0.4833,0,0
w32865664,footway002,highway,footway,walkway,2,37.7793799,-122.4176318,0.1554,0.4981,0,0
w32945960,footway003,highway,footway,walkway,11,37.7755500,-122.4234708,-0.3578,0.0723,0,0
w33293282,McCoppin Street001,highway,service,driveway,7,37.7714932,-122.4235514,-0.3649,-0.3788,0,0
w33790108,service001,highway,service,driveway,11,37.7781843,-122.4209029,-0.1321,0.3652,0,0
w33790699,footway004,highway,footway,walkway,2,37.7789652,-122.4177550,0.1446,0.4520,0,0
w33790703,footway005,highway,footway,walkway,2,37.7790270,-122.4172652,0.1876,0.4589,0,0
w34128766,Mission Street006,highway,secondary,road,2,37.7731258,-122.4186484,0.0661,-0.1973,0,0
w34128773,South Van Ness Avenue003,highway,primary,road,5,37.7742408,-122.4189421,0.0402,-0.0733,0,0
w35174739,pedestrian001,highway,pedestrian,walkway,10,37.7775457,-122.4167443,0.2334,0.2942,0,0
w35306508,service002,highway,service,driveway,4,37.7711001,-122.4189070,0.0433,-0.4225,0,0
w35393257,primary_link002,highway,primary_link,road,5,37.7711748,-122.4180560,0.1181,-0.4142,0,0
w38095719,Rose Street002,highway,residential,slowroad,3,37.7735162,-122.4232031,-0.3343,-0.1539,0,0
w38095913,Stevenson Street005,highway,residential,slowroad,4,37.7725384,-122.4215635,-0.1902,-0.2626,0,0
w38095937,service003,highway,service,driveway,3,37.7720908,-122.4205443,-0.1006,-0.3124,0,0
w38095939,Gough Street001,highway,secondary,road,7,37.7723723,-122.4211723,-0.1558,-0.2811,0,0
w38095950,service004,highway,service,driveway,3,37.7725709,-122.4218290,-0.2135,-0.2590,0,0
w42916772,service005,highway,service,driveway,11,37.7704273,-122.4179477,0.1276,-0.4973,0,0
w47161038,Hickory Street001,highway,residential,slowroad,3,37.7751400,-122.4254297,-0.5300,0.0267,0,0
w47170567,Natoma Street002,highway,residential,slowroad,5,37.7737815,-122.4157912,0.3172,-0.1244,0,0
w52827230,Octavia Boulevard Bike Connector,highway,cycleway,walkway,5,37.7719339,-122.4233029,-0.3430,-0.3298,0,0
w60831744,footway006,highway,footway,walkway,7,37.7761914,-122.4244118,-0.4405,0.1436,0,0
w60831748,footway007,highway,footway,walkway,8,37.7762599,-122.4244233,-0.4415,0.1512,0,0
w60831760,footway008,highway,footway,walkway,10,37.7765205,-122.4244720,-0.4458,0.1802,0,0
w60831767,footway009,highway,footway,walkway,3,37.7764671,-122.4243839,-0.4380,0.1743,0,0
w60831771,footway010,highway,footway,walkway,3,37.7764445,-122.4245638,-0.4538,0.1717,0,0
w60831829,footway011,highway,footway,walkway,7,37.7758543,-122.4243448,-0.4346,0.1061,0,0
w60831850,footway012,highway,footway,walkway,2,37.7762876,-122.4243258,-0.4329,0.1543,0,0
w60831869,footway013,highway,footway,walkway,2,37.7761643,-122.4245313,-0.4510,0.1406,0,0
w60831902,footway014,highway,footway,walkway,2,37.7761933,-122.4243068,-0.4313,0.1438,0,0
w60831962,footway015,highway,footway,walkway,28,37.7761889,-122.4244111,-0.4404,0.1433,0,0
w60831986,footway016,highway,footway,walkway,2,37.7759838,-122.4244310,-0.4422,0.1205,0,0
w60831995,footway017,highway,footway,walkway,2,37.7759996,-122.4243220,-0.4326,0.1223,0,0
w60831998,footway018,highway,footway,walkway,2,37.7762618,-122.4245522,-0.4528,0.1514,0,0
w60832004,footway019,highway,footway,walkway,3,37.7758716,-122.4244566,-0.4444,0.1080,0,0
w60834361,footway020,highway,footway,walkway,3,37.7758985,-122.4242586,-0.4270,0.1110,0,0
w61154525,Fell Street002,highway,primary,road,2,37.7757531,-122.4244201,-0.4412,0.0949,0,0
w84654228,Van Ness Avenue,highway,primary,road,3,37.7751762,-122.4192078,0.0169,0.0307,0,0
w86289459,Octavia Boulevard003,highway,primary,road,2,37.7734367,-122.4238178,-0.3883,-0.1627,0,0
w86289461,Haight Street001,highway,residential,slowroad,2,37.7729507,-122.4238814,-0.3939,-0.2167,0,0
