osm_wid,osm_nid_1,osm_nid_2,linkuse,comment
w4712882,osm760856407,osm30003843,highway,"motorway_link001.link1"
w4712882,osm1707777802,osm760856407,highway,"motorway_link001.link2"
w4712882,osm1707777809,osm1707777802,highway,"motorway_link001.link3"
w4712882,osm1707777779,osm1707777809,highway,"motorway_link001.link4"
w4712882,osm345731744,osm1707777779,highway,"motorway_link001.link5"
w4712882,osm30003845,osm345731744,highway,"motorway_link001.link6"
w4712882,osm345731747,osm30003845,highway,"motorway_link001.link7"
w4712882,osm1707777781,osm345731747,highway,"motorway_link001.link8"
w4712882,osm1707777763,osm1707777781,highway,"motorway_link001.link9"
w4712882,osm1707777826,osm1707777763,highway,"motorway_link001.link10"
w4712882,osm1707777744,osm1707777826,highway,"motorway_link001.link11"
w4712882,osm1707777804,osm1707777744,highway,"motorway_link001.link12"
w4712882,osm1707777838,osm1707777804,highway,"motorway_link001.link13"
w4712882,osm1707777801,osm1707777838,highway,"motorway_link001.link14"
w4712882,osm1707777767,osm1707777801,highway,"motorway_link001.link15"
w4712882,osm1707777803,osm1707777767,highway,"motorway_link001.link16"
w4712882,osm1707777788,osm1707777803,highway,"motorway_link001.link17"
w4712882,osm1707777818,osm1707777788,highway,"motorway_link001.link18"
w4712882,osm1707777749,osm1707777818,highway,"motorway_link001.link19"
w4712882,osm1707777765,osm1707777749,highway,"motorway_link001.link20"
w4712882,osm1707777782,osm1707777765,highway,"motorway_link001.link21"
w4712882,osm1707777817,osm1707777782,highway,"motorway_link001.link22"
w4712882,osm1707777832,osm1707777817,highway,"motorway_link001.link23"
w4712882,osm30003846,osm1707777832,highway,"motorway_link001.link24"
w4712882,osm30003847,osm30003846,highway,"motorway_link001.link25"
w4712882,osm1703906837,osm30003847,highway,"motorway_link001.link26"
w4712882,osm30003848,osm1703906837,highway,"motorway_link001.link27"
w4712882,osm1703906836,osm30003848,highway,"motorway_link001.link28"
w4712882,osm30003849,osm1703906836,highway,"motorway_link001.link29"
w4712882,osm1703906838,osm30003849,highway,"motorway_link001.link30"
w4712882,osm30003850,osm1703906838,highway,"motorway_link001.link31"
w4712882,osm1703906835,osm30003850,highway,"motorway_link001.link32"
w4722443,osm30079049,osm30079048,highway,"motorway_link002.link1"
w4722443,osm30079053,osm30079049,highway,"motorway_link002.link2"
w4722443,osm1735843901,osm30079053,highway,"motorway_link002.link3"
w4748960,osm29978284,osm30345366,highway,"motorway001.link1"
w4748960,osm30345410,osm29978284,highway,"motorway001.link2"
