osm_nid,lat,lng,x,z
osm30003843,47.59227810,-122.32679310,-1.797,-1.047
osm760856407,47.59224370,-122.32733620,-1.801,-1.007
osm1707777802,47.59221490,-122.32788280,-1.804,-0.966
osm1707777809,47.59221610,-122.32803370,-1.804,-0.954
osm1707777779,47.59221720,-122.32812900,-1.804,-0.947
osm345731744,47.59222200,-122.32822410,-1.803,-0.940
osm30003845,47.59223040,-122.32831860,-1.802,-0.933
osm345731747,47.59224240,-122.32841220,-1.801,-0.926
osm1707777781,47.59225800,-122.32850470,-1.799,-0.919
osm1707777763,47.59227710,-122.32859580,-1.797,-0.912
osm1707777826,47.59229970,-122.32868510,-1.795,-0.906
osm1707777744,47.59232560,-122.32877230,-1.792,-0.899
osm1707777804,47.59235480,-122.32885720,-1.788,-0.893
osm1707777838,47.59238720,-122.32893960,-1.785,-0.887
osm1707777801,47.59242270,-122.32901900,-1.781,-0.881
osm1707777767,47.59246120,-122.32909540,-1.777,-0.875
osm1707777803,47.59250260,-122.32916840,-1.772,-0.869
osm1707777788,47.59254670,-122.32923780,-1.767,-0.864
osm1707777818,47.59259330,-122.32930340,-1.762,-0.859
osm1707777749,47.59264240,-122.32936490,-1.757,-0.855
osm1707777765,47.59269380,-122.32942220,-1.751,-0.850
osm1707777782,47.59274730,-122.32947520,-1.745,-0.846
osm1707777817,47.59280270,-122.32952350,-1.739,-0.843
osm1707777832,47.59285990,-122.32956710,-1.732,-0.839
osm30003846,47.59291870,-122.32960580,-1.726,-0.837
osm30003847,47.59297880,-122.32963950,-1.719,-0.834
osm1703906837,47.59304010,-122.32966810,-1.712,-0.832
osm30003848,47.59310250,-122.32969150,-1.705,-0.830
osm1703906836,47.59316560,-122.32970960,-1.698,-0.829
osm30003849,47.59322930,-122.32972240,-1.691,-0.828
osm1703906838,47.59329340,-122.32972970,-1.684,-0.827
osm30003850,47.59335770,-122.32973170,-1.677,-0.827
osm1703906835,47.59342190,-122.32972830,-1.670,-0.827
osm30079048,47.62326180,-122.32866730,1.648,-0.907
osm30079049,47.62260610,-122.32882080,1.575,-0.895
osm30079053,47.62191940,-122.32892710,1.499,-0.887
osm1735843901,47.62156500,-122.32895470,1.460,-0.885
osm30345366,47.61313410,-122.33008210,0.522,-0.801
osm29978284,47.61554810,-122.32915000,0.790,-0.871
osm30345410,47.61655900,-122.32877070,0.903,-0.899
osm5172544599,47.61710720,-122.32859560,0.964,-0.912
osm29978285,47.61766100,-122.32846540,1.025,-0.922
osm412119034,47.61818590,-122.32835290,1.084,-0.930
osm29978286,47.61914440,-122.32821880,1.190,-0.941
osm30230266,47.60832090,-122.33102670,-0.013,-0.730
osm30230267,47.60773810,-122.33064130,-0.078,-0.759
osm30230268,47.60689580,-122.32999920,-0.172,-0.807
osm30230269,47.60603940,-122.32924390,-0.267,-0.864
osm1125195117,47.60531490,-122.32860200,-0.347,-0.912
osm30279408,47.60957480,-122.33139740,0.126,-0.702
osm1806299914,47.60919060,-122.33134190,0.084,-0.706
osm30230265,47.60899380,-122.33130360,0.062,-0.709
osm1806299904,47.60884730,-122.33126460,0.045,-0.712
osm3913957535,47.60855060,-122.33114300,0.012,-0.721
osm30279458,47.60498440,-122.32792890,-0.384,-0.962
osm5172544598,47.60557810,-122.32851350,-0.318,-0.918
osm1730789466,47.60591190,-122.32881860,-0.281,-0.896
osm30279689,47.60630290,-122.32921040,-0.238,-0.866
osm30279690,47.60695110,-122.32979400,-0.165,-0.822
osm1730789527,47.60761550,-122.33032900,-0.092,-0.782
osm30279691,47.60792460,-122.33055150,-0.057,-0.766
osm30279692,47.60822740,-122.33074300,-0.024,-0.751
osm1730789469,47.60590540,-122.32869530,-0.282,-0.905
osm1822049804,47.60717960,-122.32979180,-0.140,-0.823
osm30760194,47.62090920,-122.34378280,1.387,0.226
osm6251917878,47.62070780,-122.34377590,1.364,0.226
osm7395934377,47.62021970,-122.34377350,1.310,0.226
osm30345319,47.61665380,-122.32788080,0.913,-0.966
osm30345372,47.61670930,-122.32796030,0.920,-0.960
osm5767275463,47.61673190,-122.32799060,0.922,-0.958
osm1641274911,47.61676690,-122.32803760,0.926,-0.954
osm1641274913,47.61680500,-122.32807330,0.930,-0.951
osm30345373,47.61684610,-122.32810050,0.935,-0.949
osm1641274917,47.61688950,-122.32811870,0.940,-0.948
osm1641274914,47.61693410,-122.32812750,0.945,-0.947
osm30345375,47.61717260,-122.32817570,0.971,-0.944
osm30345392,47.61636740,-122.32858930,0.882,-0.913
osm1641274916,47.61644060,-122.32851370,0.890,-0.918
osm30345393,47.61653280,-122.32842430,0.900,-0.925
osm1641274915,47.61660190,-122.32837460,0.908,-0.929
osm30345394,47.61668210,-122.32832510,0.917,-0.933
osm1641274918,47.61676420,-122.32828300,0.926,-0.936
osm1641274912,47.61684790,-122.32824860,0.935,-0.938
osm30345395,47.61693290,-122.32822190,0.944,-0.940
osm1641274910,47.61701890,-122.32820310,0.954,-0.942
osm30345078,47.61752500,-122.32971780,1.010,-0.828
osm5767262881,47.61747140,-122.32960780,1.004,-0.836
osm1806324433,47.61744160,-122.32954660,1.001,-0.841
osm30345403,47.61738760,-122.32946530,0.995,-0.847
osm1806324444,47.61732760,-122.32939380,0.988,-0.852
osm30345404,47.61726240,-122.32933310,0.981,-0.857
osm30345463,47.61279120,-122.33096610,0.484,-0.735
osm30345464,47.61295740,-122.33084970,0.502,-0.743
osm30345465,47.61342030,-122.33066950,0.554,-0.757
osm1383614371,47.61920450,-122.32878380,1.197,-0.898
osm7262737382,47.61965850,-122.32873190,1.248,-0.902
osm3666588994,47.62154340,-122.32869790,1.457,-0.905
osm1383614373,47.62217850,-122.32863570,1.528,-0.909
osm1806343880,47.61845820,-122.32911060,1.114,-0.874
osm1806343870,47.61859520,-122.32903710,1.129,-0.879
osm1806343857,47.61868180,-122.32900860,1.139,-0.881
osm6807315423,47.61873090,-122.32899240,1.144,-0.883
osm1730900358,47.61889270,-122.32893910,1.162,-0.887
osm30345488,47.61905650,-122.32890520,1.181,-0.889
osm1730900360,47.61966720,-122.32883770,1.249,-0.894
osm6807315422,47.61986690,-122.32883110,1.271,-0.895
osm30345489,47.62007970,-122.32882410,1.294,-0.895
osm30345492,47.62361750,-122.32863830,1.688,-0.909
osm30458563,47.62471150,-122.32864470,1.809,-0.909
osm30458564,47.62586740,-122.32866020,1.938,-0.907
osm1233812747,47.62629950,-122.32865900,1.986,-0.908
osm30345012,47.61856310,-122.34358640,1.126,0.212
osm2497926565,47.61863900,-122.34356430,1.134,0.210
osm30760202,47.61870930,-122.34355990,1.142,0.210
osm2497926573,47.61881960,-122.34356370,1.154,0.210
osm3693938269,47.61920380,-122.34357650,1.197,0.211
osm30345491,47.62187880,-122.32880920,1.494,-0.896
osm2499719095,47.62173830,-122.32882130,1.479,-0.895
osm30345490,47.62039630,-122.32882640,1.330,-0.895
osm29979598,47.61507110,-122.32969230,0.737,-0.830
osm4045197467,47.61454960,-122.32992390,0.679,-0.813
osm30230263,47.61407460,-122.33012950,0.627,-0.797
osm53147426,47.61856760,-122.34500980,1.126,0.318
osm4350558466,47.61869890,-122.34500980,1.141,0.318
osm2143279453,47.61905580,-122.34500980,1.181,0.318
osm2143279477,47.61929200,-122.34500990,1.207,0.318
osm53234183,47.61972680,-122.34500990,1.255,0.318
osm6965930720,47.62024160,-122.34501000,1.312,0.318
osm4346289798,47.62039920,-122.34501000,1.330,0.318
osm7505167362,47.62081700,-122.34501000,1.376,0.318
osm2704769652,47.62090980,-122.34501000,1.387,0.318
osm53008649,47.62324750,-122.34756060,1.647,0.509
osm540175073,47.62311660,-122.34709930,1.632,0.475
osm4077414854,47.62321870,-122.32794050,1.643,-0.961
osm53036746,47.60999020,-122.34625740,0.172,0.412
osm53018454,47.61207130,-122.34822910,0.404,0.560
osm2474133149,47.61213030,-122.34815150,0.410,0.554
osm2474133157,47.61238380,-122.34781840,0.439,0.529
osm3653205229,47.61239440,-122.34780450,0.440,0.528
osm3653205227,47.61259960,-122.34753500,0.463,0.508
osm5772144018,47.61264400,-122.34747670,0.468,0.503
osm1134260736,47.61274620,-122.34734710,0.479,0.493
osm53070502,47.61453060,-122.33292260,0.677,-0.588
osm5767241279,47.61446530,-122.33286490,0.670,-0.592
osm7398873806,47.61856380,-122.33720720,1.126,-0.267
osm5772001058,47.61865630,-122.33720680,1.136,-0.267
osm4449838215,47.61870950,-122.33720610,1.142,-0.267
osm53009977,47.60171940,-122.33653540,-0.747,-0.317
osm2320108058,47.60173210,-122.33647170,-0.746,-0.322
osm53071891,47.60172030,-122.33027700,-0.747,-0.786
osm5321357364,47.60159810,-122.33027610,-0.761,-0.786
osm764028174,47.60157760,-122.33027600,-0.763,-0.786
osm2485617531,47.60122280,-122.33027400,-0.802,-0.786
osm53086660,47.61160470,-122.34648930,0.352,0.429
osm5772144569,47.61166960,-122.34640920,0.359,0.423
osm5772144573,47.61188320,-122.34614580,0.383,0.403
osm53086661,47.61195300,-122.34605980,0.391,0.397
osm1926509619,47.59921400,-122.33586230,-1.026,-0.368
osm2235761305,47.59921960,-122.33557790,-1.025,-0.389
osm30345462,47.61253320,-122.33116040,0.455,-0.720
osm5767180635,47.61243470,-122.33114640,0.444,-0.721
osm1388978393,47.61237430,-122.33113640,0.438,-0.722
osm53091442,47.61333970,-122.35216760,0.545,0.855
osm2511024353,47.61340110,-122.35208720,0.552,0.849
osm2705168271,47.61343250,-122.35204620,0.555,0.846
osm639363241,47.61348250,-122.35198070,0.561,0.841
osm53236113,47.61351140,-122.35194290,0.564,0.838
osm5772144606,47.61386210,-122.35148390,0.603,0.804
osm53091444,47.61391800,-122.35141080,0.609,0.798
osm53099320,47.61857210,-122.34633750,1.127,0.418
osm2475908515,47.61866700,-122.34631360,1.137,0.416
osm7505167381,47.61867630,-122.34631370,1.138,0.416
osm6308887532,47.61917290,-122.34631730,1.194,0.416
osm53099321,47.61973450,-122.34631570,1.256,0.416
osm3990987551,47.61951190,-122.34238270,1.231,0.121
osm53107466,47.61973210,-122.34237980,1.256,0.121
osm6898880404,47.62045390,-122.34237130,1.336,0.120
osm53107468,47.62089160,-122.34236610,1.385,0.120
osm53108773,47.59871310,-122.32919200,-1.081,-0.868
osm4401936900,47.59867300,-122.32915700,-1.086,-0.870
osm1758887726,47.59862160,-122.32911540,-1.092,-0.873
osm4401936899,47.59856720,-122.32908290,-1.098,-0.876
osm1758887735,47.59851060,-122.32906010,-1.104,-0.877
osm1758887806,47.59845260,-122.32904740,-1.110,-0.878
