osm_wid,name,osmtype,osmsubtype,linkuse,nnodes,lat,lng,z,x,height,levels
w4712882,motorway_link001,highway,motorway_link,highway,33,47.5926227,-122.3289663,0.8845,-1.7587,0,0
w4722443,motorway_link002,highway,motorway_link,highway,4,47.6223381,-122.3288425,0.8938,1.5455,0,0
w4748960,motorway001,highway,motorway,highway,7,47.6167628,-122.3288051,0.8966,0.9256,0,0
w4748962,motorway002,highway,motorway,highway,5,47.6068618,-122.3299026,0.8143,-0.1754,0,0
w4748963,motorway003,highway,motorway,highway,5,47.6090314,-122.3312901,0.7103,0.0659,0,0
w4748969,motorway_link003,highway,motorway_link,highway,8,47.6066870,-122.3294861,0.8455,-0.1948,0,0
w4748973,motorway004,highway,motorway,highway,3,47.6060231,-122.3288053,0.8966,-0.2686,0,0
w4755100,7th Avenue North,highway,primary,road,3,47.6206122,-122.3437774,-0.2258,1.3536,0,0
w4755208,motorway_link004,highway,motorway_link,highway,9,47.6168344,-122.3280517,0.9531,0.9335,0,0
w4755209,motorway_link005,highway,motorway_link,highway,10,47.6167361,-122.3283359,0.9318,0.9226,0,0
w4755219,motorway_link006,highway,motorway_link,highway,6,47.6174026,-122.3295107,0.8437,0.9967,0,0
w4755239,motorway_link007,highway,motorway_link,highway,3,47.6130563,-122.3308284,0.7449,0.5134,0,0
w4755244,motorway_link008,highway,motorway_link,highway,4,47.6206462,-122.3287123,0.9036,1.3574,0,0
w4755249,motorway_link009,highway,motorway_link,highway,9,47.6191143,-122.3289429,0.8863,1.1870,0,0
w4755256,motorway005,highway,motorway,highway,4,47.6251240,-122.3286506,0.9082,1.8553,0,0
w4794449,7th Avenue North001,highway,primary,road,5,47.6187870,-122.3435702,-0.2103,1.1506,0,0
w4848632,motorway_link010,highway,motorway_link,highway,4,47.6210233,-122.3288203,0.8955,1.3993,0,0
w4848633,motorway_link011,highway,motorway_link,highway,2,47.6227481,-122.3287237,0.9027,1.5911,0,0
w5130429,motorway006,highway,motorway,highway,3,47.6145651,-122.3299152,0.8134,0.6812,0,0
w6324947,6th Avenue North,highway,secondary,road,9,47.6197454,-122.3450099,-0.3182,1.2572,0,0
w6325234,service001,highway,service,driveway,4,47.6232155,-122.3472913,-0.4893,1.6431,0,0
w6327309,Bell Street,highway,footway,walkway,4,47.6115447,-122.3487878,-0.6014,0.3453,0,0
w6328897,East Republican Street,highway,footway,walkway,4,47.6231751,-122.3278316,0.9696,1.6386,0,0
w6328899,East Harrison Street,highway,steps,walkway,7,47.6220078,-122.3275790,0.9885,1.5088,0,0
w6332135,Lenora Street,highway,service,driveway,5,47.6100772,-122.3461406,-0.4030,0.1822,0,0
w6344499,Bell Street001,highway,residential,slowroad,7,47.6124242,-122.3477660,-0.5248,0.4431,0,0
w6344595,9th Avenue,highway,tertiary,road,2,47.6144980,-122.3328938,0.5901,0.6737,0,0
w6344763,Terry Avenue North,highway,unclassified,road,3,47.6186432,-122.3372067,0.2668,1.1347,0,0
w6344809,Yesler Way,highway,secondary,road,2,47.6017257,-122.3365036,0.3195,-0.7465,0,0
w6347526,3rd Avenue South,highway,residential,slowroad,4,47.6015297,-122.3302758,0.7863,-0.7683,0,0
w6349037,Blanchard Street,highway,tertiary,road,4,47.6117776,-122.3462760,-0.4131,0.3712,0,0
w6350948,South Jackson Street,highway,tertiary,road,2,47.5992168,-122.3357201,0.3782,-1.0255,0,0
w6351990,Convention Place,highway,unclassified,road,3,47.6124474,-122.3311477,0.7210,0.4457,0,0
w6352930,Vine Street,highway,tertiary,road,7,47.6135639,-122.3518742,-0.8328,0.5699,0,0
w6359288,Taylor Avenue North,highway,residential,slowroad,5,47.6189646,-122.3463196,-0.4164,1.1704,0,0
w6365884,Dexter Avenue North,highway,secondary,road,4,47.6201474,-122.3423750,-0.1207,1.3019,0,0
w6367020,2nd Avenue Extension South,highway,primary,road,6,47.5985897,-122.3291091,0.8738,-1.0952,0,0
w6368829,East Olive Place,highway,residential,slowroad,9,47.6170608,-122.3273148,1.0083,0.9587,0,0
w6371912,Western Avenue,highway,tertiary,road,18,47.6031028,-122.3363822,0.3286,-0.5934,0,0
w6375772,Hubbell Place,highway,residential,slowroad,6,47.6094776,-122.3307033,0.7543,0.1155,0,0
w6378201,Eastlake Avenue East,highway,secondary,road,3,47.6187323,-122.3291123,0.8736,1.1446,0,0
w6383224,footway001,highway,footway,walkway,32,47.6192268,-122.3502682,-0.7124,1.1995,0,0
