osm_wid,osm_nid_1,osm_nid_2,linkuse,comment
w10569943,osm1770259269,osm3150901698,road,"شارع الكورنيش.link1"
w10569943,osm1107042879,osm1770259269,road,"شارع الكورنيش.link2"
w10569943,osm5891716726,osm1107042879,road,"شارع الكورنيش.link3"
w10569943,osm1107042857,osm5891716726,road,"شارع الكورنيش.link4"
w10569943,osm1107042847,osm1107042857,road,"شارع الكورنيش.link5"
w10569943,osm1357786161,osm1107042847,road,"شارع الكورنيش.link6"
w10569943,osm1357786162,osm1357786161,road,"شارع الكورنيش.link7"
w10569943,osm4726887464,osm1357786162,road,"شارع الكورنيش.link8"
w10569943,osm4726887465,osm4726887464,road,"شارع الكورنيش.link9"
w10569943,osm1107042754,osm4726887465,road,"شارع الكورنيش.link10"
w10569943,osm1271189272,osm1107042754,road,"شارع الكورنيش.link11"
w10569943,osm1107042818,osm1271189272,road,"شارع الكورنيش.link12"
w10569943,osm5891716722,osm1107042818,road,"شارع الكورنيش.link13"
w10569943,osm1107042804,osm5891716722,road,"شارع الكورنيش.link14"
w10569943,osm1271189556,osm1107042804,road,"شارع الكورنيش.link15"
w10852905,osm7050534625,osm4843990287,road,"شارع الكورنيش01.link1"
w10852905,osm1109748610,osm7050534625,road,"شارع الكورنيش01.link2"
w10852905,osm5883169306,osm1109748610,road,"شارع الكورنيش01.link3"
w10852905,osm5883169307,osm5883169306,road,"شارع الكورنيش01.link4"
w10852905,osm5883169305,osm5883169307,road,"شارع الكورنيش01.link5"
w10852905,osm96443134,osm5883169305,road,"شارع الكورنيش01.link6"
w10852905,osm4843990288,osm96443134,road,"شارع الكورنيش01.link7"
w10852905,osm96444667,osm4843990288,road,"شارع الكورنيش01.link8"
w10852905,osm1667058506,osm96444667,road,"شارع الكورنيش01.link9"
w10852905,osm5883169304,osm1667058506,road,"شارع الكورنيش01.link10"
w10852905,osm5891879783,osm5883169304,road,"شارع الكورنيش01.link11"
w10852905,osm1770259289,osm5891879783,road,"شارع الكورنيش01.link12"
w10852905,osm96444670,osm1770259289,road,"شارع الكورنيش01.link13"
w10852905,osm5891847068,osm96444670,road,"شارع الكورنيش01.link14"
w10852905,osm96444672,osm5891847068,road,"شارع الكورنيش01.link15"
w10852905,osm1109749365,osm96444672,road,"شارع الكورنيش01.link16"
w11826241,osm4818913309,osm2519600885,road,"البدع.link1"
w11826241,osm2519600886,osm4818913309,road,"البدع.link2"
w12062977,osm5891852594,osm109140806,slowroad,"residential01.link1"
w12062977,osm109141683,osm5891852594,slowroad,"residential01.link2"
w12062977,osm5891852595,osm109141683,slowroad,"residential01.link3"
w12062977,osm109141684,osm5891852595,slowroad,"residential01.link4"
w12062977,osm1667058661,osm109141684,slowroad,"residential01.link5"
w12062977,osm109141685,osm1667058661,slowroad,"residential01.link6"
w12062977,osm1735144284,osm109141685,slowroad,"residential01.link7"
w12062977,osm5891852596,osm1735144284,slowroad,"residential01.link8"
w12063159,osm2272873828,osm2272873821,driveway,"service01.link1"
w12063159,osm2272873826,osm2272873828,driveway,"service01.link2"
w12063159,osm5896901039,osm2272873826,driveway,"service01.link3"
w12063159,osm2272873823,osm5896901039,driveway,"service01.link4"
w12063159,osm109143327,osm2272873823,driveway,"service01.link5"
w12063716,osm4818424582,osm109149583,driveway,"service02.link1"
w25920600,osm6935427547,osm1107043631,road,"راس ابو عبود.link1"
w25920600,osm1769824139,osm6935427547,road,"راس ابو عبود.link2"
w25920600,osm1769824153,osm1769824139,road,"راس ابو عبود.link3"
w25920600,osm1769824211,osm1769824153,road,"راس ابو عبود.link4"
w25920600,osm1107043449,osm1769824211,road,"راس ابو عبود.link5"
w25920600,osm1665957365,osm1107043449,road,"راس ابو عبود.link6"
w25920600,osm1107043374,osm1665957365,road,"راس ابو عبود.link7"
w25937920,osm1272998633,osm282929103,slowroad,"امرير.link1"
w25937920,osm5891376873,osm1272998633,slowroad,"امرير.link2"
w25937920,osm4726715746,osm5891376873,slowroad,"امرير.link3"
w25937920,osm4726715745,osm4726715746,slowroad,"امرير.link4"
w25937920,osm282929124,osm4726715745,slowroad,"امرير.link5"
w25938082,osm4837258619,osm4837258618,slowroad,"residential02.link1"
w25938082,osm3296266308,osm4837258619,slowroad,"residential02.link2"
w25938082,osm3296266309,osm3296266308,slowroad,"residential02.link3"
w25938082,osm3296266310,osm3296266309,slowroad,"residential02.link4"
w25938082,osm4837258612,osm3296266310,slowroad,"residential02.link5"
w25938082,osm4837258613,osm4837258612,slowroad,"residential02.link6"
w25938082,osm282929767,osm4837258613,slowroad,"residential02.link7"
w25938082,osm3296266300,osm282929767,slowroad,"residential02.link8"
w25938082,osm3296266301,osm3296266300,slowroad,"residential02.link9"
w25938082,osm4837258614,osm3296266301,slowroad,"residential02.link10"
w25938082,osm4837258615,osm4837258614,slowroad,"residential02.link11"
w25938082,osm282929727,osm4837258615,slowroad,"residential02.link12"
w25938082,osm282929862,osm282929727,slowroad,"residential02.link13"
w25938082,osm2609099401,osm282929862,slowroad,"residential02.link14"
w25938082,osm4837258616,osm2609099401,slowroad,"residential02.link15"
w25938082,osm4837258617,osm4837258616,slowroad,"residential02.link16"
w25938082,osm3296266305,osm4837258617,slowroad,"residential02.link17"
w25938082,osm282929769,osm3296266305,slowroad,"residential02.link18"
w25938082,osm2609099400,osm282929769,slowroad,"residential02.link19"
w25938082,osm4837258618,osm2609099400,slowroad,"residential02.link20"
w25938088,osm4837230647,osm2609099393,slowroad,"طارق بن زياد.link1"
w25938089,osm4837230646,osm2609099392,slowroad,"خيبر.link1"
w25938090,osm1362902751,osm4837184239,slowroad,"ابن نوفل.link1"
w25938104,osm282929767,osm4837258608,slowroad,"الوفاق.link1"
w25938115,osm282929899,osm282929898,slowroad,"ابن الزبير.link1"
w25938138,osm4777448175,osm96422602,slowroad,"طارق بن زياد01.link1"
w25938138,osm4777448176,osm4777448175,slowroad,"طارق بن زياد01.link2"
w25938138,osm1279251435,osm4777448176,slowroad,"طارق بن زياد01.link3"
w25938141,osm282929975,osm282929957,slowroad,"ابن المسيب.link1"
w25938142,osm282930069,osm282930001,slowroad,"الاماني.link1"
w25938142,osm282930026,osm282930069,slowroad,"الاماني.link2"
w25938142,osm2608539888,osm282930026,slowroad,"الاماني.link3"
w25938142,osm282930017,osm2608539888,slowroad,"الاماني.link4"
w25938142,osm2309326655,osm282930017,slowroad,"الاماني.link5"
w25938146,osm282930030,osm282930005,slowroad,"الثقافة.link1"
w25938146,osm282930015,osm282930030,slowroad,"الثقافة.link2"
w25938146,osm282930032,osm282930015,slowroad,"الثقافة.link3"
w25938148,osm282930015,osm282930019,slowroad,"شارع ابن عبد المطلب.link1"
w25938148,osm282930026,osm282930015,slowroad,"شارع ابن عبد المطلب.link2"
w25938148,osm282930027,osm282930026,slowroad,"شارع ابن عبد المطلب.link3"
w25938152,osm282930030,osm282930028,slowroad,"بيت الحكمة.link1"
w25938152,osm282930069,osm282930030,slowroad,"بيت الحكمة.link2"
w25938165,osm6165070730,osm1506292411,slowroad,"الطائي.link1"
w25938165,osm2609099399,osm6165070730,slowroad,"الطائي.link2"
w25938165,osm282930123,osm2609099399,slowroad,"الطائي.link3"
w25938165,osm2609099395,osm282930123,slowroad,"الطائي.link4"
w25938165,osm282929858,osm2609099395,slowroad,"الطائي.link5"
w25938165,osm282929955,osm282929858,slowroad,"الطائي.link6"
w25938165,osm282929902,osm282929955,slowroad,"الطائي.link7"
w25938165,osm4728558608,osm282929902,slowroad,"الطائي.link8"
w25938165,osm2608539873,osm4728558608,slowroad,"الطائي.link9"
w25938165,osm1306774281,osm2608539873,slowroad,"الطائي.link10"
w25938165,osm1306774217,osm1306774281,slowroad,"الطائي.link11"
w25938176,osm4728264109,osm282930151,slowroad,"وادي الخرج.link1"
w25938176,osm4728264111,osm4728264109,slowroad,"وادي الخرج.link2"
w25938176,osm4567553465,osm4728264111,slowroad,"وادي الخرج.link3"
w25938176,osm4777811062,osm4567553465,slowroad,"وادي الخرج.link4"
w25938176,osm4567553467,osm4777811062,slowroad,"وادي الخرج.link5"
w25938176,osm4728569406,osm4567553467,slowroad,"وادي الخرج.link6"
w25938177,osm4728569916,osm3661040813,road,"الجهرة.link1"
w25938177,osm282930222,osm4728569916,road,"الجهرة.link2"
w25938184,osm4728569937,osm282930169,slowroad,"الخليل بن احمد.link1"
w25938184,osm1264609119,osm4728569937,slowroad,"الخليل بن احمد.link2"
w25938184,osm282930196,osm1264609119,slowroad,"الخليل بن احمد.link3"
w25938199,osm4779084845,osm282930302,slowroad,"الكسائي.link1"
w25938199,osm4779091904,osm4779084845,slowroad,"الكسائي.link2"
w25938199,osm4779091912,osm4779091904,slowroad,"الكسائي.link3"
w25938199,osm4779091914,osm4779091912,slowroad,"الكسائي.link4"
w25938199,osm282930322,osm4779091914,slowroad,"الكسائي.link5"
w25938199,osm4728516483,osm282930322,slowroad,"الكسائي.link6"
w25938199,osm282930323,osm4728516483,slowroad,"الكسائي.link7"
w25938199,osm1264608801,osm282930323,slowroad,"الكسائي.link8"
w25938199,osm6415256626,osm1264608801,slowroad,"الكسائي.link9"
w25938199,osm282930324,osm6415256626,slowroad,"الكسائي.link10"
w25938199,osm4728518489,osm282930324,slowroad,"الكسائي.link11"
w25938209,osm4728504178,osm96419868,slowroad,"ابن خلدون.link1"
w25938209,osm4728504183,osm4728504178,slowroad,"ابن خلدون.link2"
w25938209,osm4728518491,osm4728504183,slowroad,"ابن خلدون.link3"
w25938209,osm282930453,osm4728518491,slowroad,"ابن خلدون.link4"
w25938209,osm282930463,osm282930453,slowroad,"ابن خلدون.link5"
w25938209,osm4777471756,osm282930463,slowroad,"ابن خلدون.link6"
w25938213,osm5885976892,osm282930453,slowroad,"الكسائي01.link1"
w25938213,osm4728516488,osm5885976892,slowroad,"الكسائي01.link2"
w25938213,osm6415256627,osm4728516488,slowroad,"الكسائي01.link3"
w25938213,osm6415256625,osm6415256627,slowroad,"الكسائي01.link4"
w25938213,osm282930324,osm6415256625,slowroad,"الكسائي01.link5"
w25938220,osm282930502,osm282930463,slowroad,"ام بركة.link1"
w25938226,osm282930502,osm282930513,slowroad,"كعب بن زهير.link1"
w25938226,osm4728518490,osm282930502,slowroad,"كعب بن زهير.link2"
w25938226,osm4728504184,osm4728518490,slowroad,"كعب بن زهير.link3"
w25938226,osm2431829469,osm4728504184,slowroad,"كعب بن زهير.link4"
w25938226,osm4728518494,osm2431829469,slowroad,"كعب بن زهير.link5"
w25938226,osm282930520,osm4728518494,slowroad,"كعب بن زهير.link6"
w25938226,osm4728504168,osm282930520,slowroad,"كعب بن زهير.link7"
w25938226,osm4779232228,osm4728504168,slowroad,"كعب بن زهير.link8"
w25938237,osm4728504151,osm282930543,slowroad,"حكيم بن حزام.link1"
w25938237,osm282930542,osm4728504151,slowroad,"حكيم بن حزام.link2"
w25938237,osm4777755670,osm282930542,slowroad,"حكيم بن حزام.link3"
w25938237,osm4777755672,osm4777755670,slowroad,"حكيم بن حزام.link4"
w25938237,osm4728504159,osm4777755672,slowroad,"حكيم بن حزام.link5"
w25938237,osm4728504160,osm4728504159,slowroad,"حكيم بن حزام.link6"
w25938237,osm7411995093,osm4728504160,slowroad,"حكيم بن حزام.link7"
w25938237,osm7411995098,osm7411995093,slowroad,"حكيم بن حزام.link8"
w25938237,osm282930611,osm7411995098,slowroad,"حكيم بن حزام.link9"
w25938237,osm282930540,osm282930611,slowroad,"حكيم بن حزام.link10"
w25938237,osm2431829473,osm282930540,slowroad,"حكيم بن حزام.link11"
w25938237,osm282930608,osm2431829473,slowroad,"حكيم بن حزام.link12"
w25938237,osm4728518497,osm282930608,slowroad,"حكيم بن حزام.link13"
w25938237,osm282930610,osm4728518497,slowroad,"حكيم بن حزام.link14"
w25938237,osm282930522,osm282930610,slowroad,"حكيم بن حزام.link15"
w25938237,osm4777688294,osm282930522,slowroad,"حكيم بن حزام.link16"
w25938241,osm282930604,osm282930542,slowroad,"ابو بكر الصديق.link1"
w25938241,osm282930562,osm282930604,slowroad,"ابو بكر الصديق.link2"
w25938241,osm282930660,osm282930562,slowroad,"ابو بكر الصديق.link3"
w25938241,osm1264608710,osm282930660,slowroad,"ابو بكر الصديق.link4"
w25938245,osm4728504153,osm282930561,slowroad,"ام غويلينة.link1"
w25938245,osm4728504150,osm4728504153,slowroad,"ام غويلينة.link2"
w25938245,osm282930562,osm4728504150,slowroad,"ام غويلينة.link3"
w25938245,osm4777755674,osm282930562,slowroad,"ام غويلينة.link4"
w25938245,osm4728504155,osm4777755674,slowroad,"ام غويلينة.link5"
w25938245,osm4728516476,osm4728504155,slowroad,"ام غويلينة.link6"
w25938245,osm4728504158,osm4728516476,slowroad,"ام غويلينة.link7"
w25938255,osm6227849586,osm282930599,slowroad,"ابن الجوزي.link1"
w25938255,osm4728503294,osm6227849586,slowroad,"ابن الجوزي.link2"
w25938255,osm282930600,osm4728503294,slowroad,"ابن الجوزي.link3"
w25938255,osm7411995104,osm282930600,slowroad,"ابن الجوزي.link4"
w25938255,osm7411995103,osm7411995104,slowroad,"ابن الجوزي.link5"
w25938255,osm4728504146,osm7411995103,slowroad,"ابن الجوزي.link6"
w25938255,osm282930661,osm4728504146,slowroad,"ابن الجوزي.link7"
w25938255,osm282930602,osm282930661,slowroad,"ابن الجوزي.link8"
w25938255,osm282930561,osm282930602,slowroad,"ابن الجوزي.link9"
w25938255,osm282930662,osm282930561,slowroad,"ابن الجوزي.link10"
w25938255,osm4728573595,osm282930662,slowroad,"ابن الجوزي.link11"
w25938255,osm7411995099,osm4728573595,slowroad,"ابن الجوزي.link12"
w25938255,osm282930603,osm7411995099,slowroad,"ابن الجوزي.link13"
w25938261,osm6227849585,osm282930599,slowroad,"ابن الجوزي01.link1"
w25938261,osm4728503293,osm6227849585,slowroad,"ابن الجوزي01.link2"
w25938261,osm4728502887,osm4728503293,slowroad,"ابن الجوزي01.link3"
w25938261,osm4728503292,osm4728502887,slowroad,"ابن الجوزي01.link4"
w25938261,osm282930614,osm4728503292,slowroad,"ابن الجوزي01.link5"
w25938263,osm4728502885,osm282930661,slowroad,"ثمامة بن عدي.link1"
w25938263,osm4728503289,osm4728502885,slowroad,"ثمامة بن عدي.link2"
w25938263,osm282930618,osm4728503289,slowroad,"ثمامة بن عدي.link3"
w25938268,osm4728264118,osm4728503295,road,"ابن افلح.link1"
w25938268,osm282930647,osm4728264118,road,"ابن افلح.link2"
w25938268,osm4728264116,osm282930647,road,"ابن افلح.link3"
w25938268,osm282930671,osm4728264116,road,"ابن افلح.link4"
w25938268,osm282930201,osm282930671,road,"ابن افلح.link5"
w25938269,osm282930648,osm282930647,slowroad,"جبل طارق.link1"
w25938271,osm282930650,osm282930671,slowroad,"ابن جندب.link1"
w25938271,osm4728264113,osm282930650,slowroad,"ابن جندب.link2"
w25938271,osm282930651,osm4728264113,slowroad,"ابن جندب.link3"
w25938271,osm282930652,osm282930651,slowroad,"ابن جندب.link4"
w25938271,osm4728569939,osm282930652,slowroad,"ابن جندب.link5"
w25938271,osm282930648,osm4728569939,slowroad,"ابن جندب.link6"
w25938272,osm4728502884,osm282930602,slowroad,"حارثة بن سهل.link1"
w25938272,osm4728502888,osm4728502884,slowroad,"حارثة بن سهل.link2"
w25938272,osm282930660,osm4728502888,slowroad,"حارثة بن سهل.link3"
w25938273,osm282930666,osm282930662,slowroad,"لمعتز.link1"
w25938279,osm1105614719,osm1105615753,road,"الطريق الدائري الثالثي.link1"
w25938279,osm3661044263,osm1105614719,road,"الطريق الدائري الثالثي.link2"
w25938279,osm98747989,osm3661044263,road,"الطريق الدائري الثالثي.link3"
w25938279,osm1221483799,osm98747989,road,"الطريق الدائري الثالثي.link4"
w25938279,osm1221483476,osm1221483799,road,"الطريق الدائري الثالثي.link5"
w25938279,osm98747990,osm1221483476,road,"الطريق الدائري الثالثي.link6"
w25938279,osm1105612289,osm98747990,road,"الطريق الدائري الثالثي.link7"
w25938279,osm3661046951,osm1105612289,road,"الطريق الدائري الثالثي.link8"
w25938279,osm1513907614,osm3661046951,road,"الطريق الدائري الثالثي.link9"
w25947558,osm5883169376,osm2532375052,road,"شارع محمد بن ثاني.link1"
w25947558,osm5883169375,osm5883169376,road,"شارع محمد بن ثاني.link2"
w25947558,osm2328401082,osm5883169375,road,"شارع محمد بن ثاني.link3"
w25947558,osm4831210717,osm2328401082,road,"شارع محمد بن ثاني.link4"
