osm_nid,lat,lng,x,z
osm3150901698,25.29092330,51.53937390,0.473,-0.607
osm1770259269,25.29091750,51.53993000,0.473,-0.663
osm1107042879,25.29093480,51.54030290,0.475,-0.701
osm5891716726,25.29094600,51.54042720,0.476,-0.713
osm1107042857,25.29096630,51.54055630,0.478,-0.726
osm1107042847,25.29100880,51.54078900,0.483,-0.750
osm1357786161,25.29117760,51.54146510,0.502,-0.818
osm1357786162,25.29124680,51.54170080,0.509,-0.841
osm4726887464,25.29129260,51.54188750,0.514,-0.860
osm4726887465,25.29134260,51.54209870,0.520,-0.881
osm1107042754,25.29138660,51.54231420,0.525,-0.903
osm1271189272,25.29142900,51.54259380,0.530,-0.931
osm1107042818,25.29145650,51.54289460,0.533,-0.961
osm5891716722,25.29148360,51.54324150,0.536,-0.996
osm1107042804,25.29149310,51.54336300,0.537,-1.008
osm1271189556,25.29156030,51.54403090,0.544,-1.076
osm4843990287,25.30414990,51.51768280,1.944,1.573
osm7050534625,25.30404090,51.51768780,1.932,1.573
osm1109748610,25.30353790,51.51771100,1.876,1.571
osm5883169306,25.30332250,51.51773350,1.852,1.568
osm5883169307,25.30305590,51.51777230,1.822,1.564
osm5883169305,25.30264570,51.51784160,1.777,1.558
osm96443134,25.30231650,51.51790670,1.740,1.551
osm4843990288,25.30202710,51.51797510,1.708,1.544
osm96444667,25.30179490,51.51803340,1.682,1.538
osm1667058506,25.30115040,51.51824250,1.610,1.517
osm5883169304,25.30050060,51.51848030,1.538,1.493
osm5891879783,25.30020590,51.51860190,1.505,1.481
osm1770259289,25.30016830,51.51861680,1.501,1.480
osm96444670,25.29959670,51.51886300,1.438,1.455
osm5891847068,25.29909940,51.51910800,1.382,1.430
osm96444672,25.29873430,51.51929470,1.342,1.411
osm1109749365,25.29840650,51.51944560,1.305,1.396
osm2519600885,25.30409510,51.51519940,1.938,1.823
osm4818913309,25.30419230,51.51516060,1.949,1.827
osm2519600886,25.30430290,51.51513930,1.961,1.829
osm109140806,25.29321180,51.52394770,0.728,0.944
osm5891852594,25.29333360,51.52362200,0.741,0.976
osm109141683,25.29350630,51.52317550,0.760,1.021
osm5891852595,25.29365900,51.52287010,0.777,1.052
osm109141684,25.29383670,51.52253920,0.797,1.085
osm1667058661,25.29411750,51.52204110,0.828,1.135
osm109141685,25.29428120,51.52175490,0.847,1.164
osm1735144284,25.29436670,51.52163130,0.856,1.176
osm5891852596,25.29461080,51.52132450,0.883,1.207
osm2272873821,25.29204520,51.51548090,0.598,1.795
osm2272873828,25.29204220,51.51539850,0.598,1.803
osm2272873826,25.29204280,51.51534350,0.598,1.809
osm5896901039,25.29204580,51.51532070,0.598,1.811
osm2272873823,25.29205370,51.51528990,0.599,1.814
osm109143327,25.29208010,51.51523490,0.602,1.820
osm109149583,25.28983990,51.52234980,0.353,1.104
osm4818424582,25.28987800,51.52283260,0.357,1.056
osm1107043631,25.28286740,51.54482700,-0.422,-1.156
osm6935427547,25.28297530,51.54533300,-0.410,-1.206
osm1769824139,25.28309220,51.54587780,-0.397,-1.261
osm1769824153,25.28313260,51.54611520,-0.393,-1.285
osm1769824211,25.28318920,51.54643830,-0.387,-1.318
osm1107043449,25.28341270,51.54853600,-0.362,-1.529
osm1665957365,25.28348170,51.54898240,-0.354,-1.573
osm1107043374,25.28351590,51.54917270,-0.350,-1.593
osm282929103,25.28845830,51.54465240,0.199,-1.138
osm1272998633,25.28773770,51.54483830,0.119,-1.157
osm5891376873,25.28765540,51.54486980,0.110,-1.160
osm4726715746,25.28760730,51.54489770,0.105,-1.163
osm4726715745,25.28753170,51.54495770,0.096,-1.169
osm282929124,25.28738190,51.54510050,0.079,-1.183
osm4837258618,25.28037840,51.53995520,-0.699,-0.666
osm4837258619,25.28038020,51.53998550,-0.699,-0.669
osm3296266308,25.28039030,51.54001380,-0.698,-0.672
osm3296266309,25.28040690,51.54003650,-0.696,-0.674
osm3296266310,25.28043000,51.54005350,-0.694,-0.676
osm4837258612,25.28045670,51.54006190,-0.691,-0.677
osm4837258613,25.28048450,51.54006070,-0.687,-0.676
osm282929767,25.28051050,51.54005020,-0.685,-0.675
osm3296266300,25.28053320,51.54003030,-0.682,-0.673
osm3296266301,25.28054870,51.54000410,-0.680,-0.671
osm4837258614,25.28055590,51.53997380,-0.680,-0.668
osm4837258615,25.28055430,51.53994260,-0.680,-0.665
osm282929727,25.28054380,51.53991350,-0.681,-0.662
osm282929862,25.28052610,51.53988990,-0.683,-0.659
osm2609099401,25.28050230,51.53987330,-0.685,-0.658
osm4837258616,25.28047510,51.53986570,-0.689,-0.657
osm4837258617,25.28044710,51.53986790,-0.692,-0.657
osm3296266305,25.28042110,51.53987960,-0.695,-0.658
osm282929769,25.28039950,51.53989990,-0.697,-0.660
osm2609099400,25.28038500,51.53992570,-0.699,-0.663
osm2609099393,25.27942710,51.53999460,-0.805,-0.670
osm4837230647,25.27959670,51.53992020,-0.786,-0.662
osm2609099392,25.27938820,51.53986110,-0.809,-0.656
osm4837230646,25.27934640,51.53967530,-0.814,-0.638
osm4837184239,25.27923180,51.53675120,-0.827,-0.344
osm1362902751,25.27863400,51.53665800,-0.893,-0.334
osm4837258608,25.28044480,51.54020590,-0.692,-0.691
osm282929898,25.28040140,51.54104300,-0.697,-0.775
osm282929899,25.27930830,51.54099130,-0.818,-0.770
osm96422602,25.27803090,51.54108200,-0.960,-0.779
osm4777448175,25.27795660,51.54112080,-0.969,-0.783
osm4777448176,25.27787960,51.54114290,-0.977,-0.785
osm1279251435,25.27773740,51.54116810,-0.993,-0.788
osm282929957,25.27928760,51.54153890,-0.821,-0.825
osm282929975,25.28037980,51.54160720,-0.699,-0.832
osm282930001,25.28035620,51.54226990,-0.702,-0.899
osm282930069,25.28087540,51.54227500,-0.644,-0.899
osm282930026,25.28135310,51.54229020,-0.591,-0.901
osm2608539888,25.28180280,51.54230150,-0.541,-0.902
osm282930017,25.28211730,51.54230460,-0.506,-0.902
osm2309326655,25.28238180,51.54226840,-0.476,-0.898
osm282930005,25.28039260,51.54124160,-0.698,-0.795
osm282930030,25.28089960,51.54125610,-0.641,-0.797
osm282930015,25.28140150,51.54127040,-0.585,-0.798
osm282930032,25.28192470,51.54128520,-0.527,-0.800
osm282930019,25.28149160,51.53999580,-0.575,-0.670
osm282930027,25.28120600,51.54401390,-0.607,-1.074
osm282930028,25.28094080,51.53998880,-0.637,-0.669
osm1506292411,25.28080290,51.53654930,-0.652,-0.323
osm6165070730,25.28067660,51.53662720,-0.666,-0.331
osm2609099399,25.28036290,51.53682060,-0.701,-0.351
osm282930123,25.28010980,51.53697920,-0.729,-0.367
osm2609099395,25.27992180,51.53711200,-0.750,-0.380
osm282929858,25.27956650,51.53736410,-0.790,-0.405
osm282929955,25.27877310,51.53787580,-0.878,-0.457
osm282929902,25.27755130,51.53906990,-1.014,-0.577
osm4728558608,25.27749440,51.53912470,-1.020,-0.582
osm2608539873,25.27716150,51.53941890,-1.057,-0.612
osm1306774281,25.27688180,51.53969460,-1.088,-0.640
osm1306774217,25.27680290,51.53977120,-1.097,-0.647
osm282930151,25.28093560,51.54961650,-0.637,-1.637
osm4728264109,25.28049390,51.54970570,-0.686,-1.646
osm4728264111,25.28040640,51.54972230,-0.696,-1.648
osm4567553465,25.27988490,51.54982690,-0.754,-1.658
osm4777811062,25.27982660,51.54983910,-0.761,-1.660
osm4567553467,25.27942100,51.54992400,-0.806,-1.668
osm4728569406,25.27888670,51.55003630,-0.865,-1.679
osm3661040813,25.27401320,51.55188960,-1.407,-1.866
osm4728569916,25.27405420,51.55155570,-1.402,-1.832
osm282930222,25.27412070,51.55121730,-1.395,-1.798
osm282930169,25.27919930,51.55066870,-0.830,-1.743
osm4728569937,25.27853940,51.55076980,-0.904,-1.753
osm1264609119,25.27816430,51.55082220,-0.945,-1.758
osm282930196,25.27773140,51.55088260,-0.994,-1.764
osm282930302,25.27351880,51.54504330,-1.462,-1.177
osm4779084845,25.27383140,51.54477400,-1.427,-1.150
osm4779091904,25.27413500,51.54449350,-1.393,-1.122
osm4779091912,25.27443540,51.54421600,-1.360,-1.094
osm4779091914,25.27480290,51.54387650,-1.319,-1.060
osm282930322,25.27516280,51.54354400,-1.279,-1.027
osm4728516483,25.27549500,51.54318900,-1.242,-0.991
osm282930323,25.27583260,51.54282830,-1.205,-0.955
osm1264608801,25.27594110,51.54273170,-1.193,-0.945
osm6415256626,25.27619160,51.54250060,-1.165,-0.922
osm282930324,25.27624680,51.54248830,-1.159,-0.920
osm4728518489,25.27696910,51.54181430,-1.078,-0.853
osm96419868,25.27825080,51.54248580,-0.936,-0.920
osm4728504178,25.27785660,51.54281940,-0.980,-0.954
osm4728504183,25.27743800,51.54317360,-1.026,-0.989
osm4728518491,25.27706850,51.54348620,-1.067,-1.021
osm282930453,25.27678590,51.54372540,-1.099,-1.045
osm282930463,25.27662980,51.54387080,-1.116,-1.059
osm4777471756,25.27619910,51.54436910,-1.164,-1.110
osm5885976892,25.27661000,51.54328340,-1.118,-1.000
osm4728516488,25.27658290,51.54321540,-1.121,-0.994
osm6415256627,25.27633350,51.54254880,-1.149,-0.927
osm6415256625,25.27629710,51.54250060,-1.153,-0.922
osm282930502,25.27695810,51.54455120,-1.080,-1.128
osm282930513,25.27625260,51.54479360,-1.158,-1.152
osm4728518490,25.27746380,51.54433080,-1.023,-1.106
osm4728504184,25.27783540,51.54416890,-0.982,-1.089
osm2431829469,25.27834820,51.54394540,-0.925,-1.067
osm4728518494,25.27870950,51.54379420,-0.885,-1.052
osm282930520,25.27889460,51.54375790,-0.864,-1.048
osm4728504168,25.27899320,51.54371890,-0.853,-1.044
osm4779232228,25.27915470,51.54360740,-0.835,-1.033
osm282930543,25.28176550,51.54495820,-0.545,-1.169
osm4728504151,25.28130390,51.54504600,-0.596,-1.178
osm282930542,25.28083360,51.54512600,-0.649,-1.186
osm4777755670,25.28033810,51.54520750,-0.704,-1.194
osm4777755672,25.28027090,51.54521960,-0.711,-1.195
osm4728504159,25.27980950,51.54533070,-0.763,-1.206
osm4728504160,25.27958790,51.54537860,-0.787,-1.211
osm7411995093,25.27950350,51.54539870,-0.797,-1.213
osm7411995098,25.27942950,51.54540940,-0.805,-1.214
osm282930611,25.27930930,51.54541630,-0.818,-1.215
osm282930540,25.27912850,51.54546580,-0.838,-1.220
osm2431829473,25.27854460,51.54567720,-0.903,-1.241
osm282930608,25.27840040,51.54571880,-0.919,-1.245
osm4728518497,25.27807570,51.54582740,-0.955,-1.256
osm282930610,25.27760430,51.54598500,-1.008,-1.272
osm282930522,25.27688650,51.54627100,-1.088,-1.301
osm4777688294,25.27643660,51.54649820,-1.138,-1.324
osm282930604,25.28096250,51.54614480,-0.634,-1.288
osm282930562,25.28112090,51.54718570,-0.617,-1.393
osm282930660,25.28127560,51.54820290,-0.599,-1.495
osm1264608710,25.28135090,51.54871160,-0.591,-1.546
osm282930561,25.28260680,51.54686700,-0.451,-1.361
osm4728504153,25.28211910,51.54696620,-0.506,-1.371
osm4728504150,25.28162250,51.54706760,-0.561,-1.381
osm4777755674,25.28059190,51.54727690,-0.676,-1.402
osm4728504155,25.28026500,51.54733320,-0.712,-1.408
osm4728516476,25.28021050,51.54731790,-0.718,-1.406
osm4728504158,25.28016300,51.54728430,-0.723,-1.403
osm282930599,25.28305740,51.55095730,-0.401,-1.772
osm6227849586,25.28307600,51.55090660,-0.399,-1.767
osm4728503294,25.28307600,51.55084360,-0.399,-1.761
osm282930600,25.28308930,51.54991180,-0.398,-1.667
osm7411995104,25.28307580,51.54979270,-0.399,-1.655
osm7411995103,25.28305900,51.54963900,-0.401,-1.639
osm4728504146,25.28301280,51.54939240,-0.406,-1.615
osm282930661,25.28293130,51.54889420,-0.415,-1.565
osm282930602,25.28277150,51.54788980,-0.433,-1.464
osm282930662,25.28252700,51.54638210,-0.460,-1.312
osm4728573595,25.28243990,51.54600000,-0.470,-1.274
osm7411995099,25.28242960,51.54597130,-0.471,-1.271
osm282930603,25.28240550,51.54593330,-0.474,-1.267
osm6227849585,25.28303720,51.55097370,-0.404,-1.774
osm4728503293,25.28299230,51.55099110,-0.409,-1.775
osm4728502887,25.28257150,51.55090930,-0.455,-1.767
osm4728503292,25.28215190,51.55085430,-0.502,-1.762
osm282930614,25.28170570,51.55086500,-0.552,-1.763
osm4728502885,25.28246470,51.54900490,-0.467,-1.576
osm4728503289,25.28195640,51.54912550,-0.524,-1.588
osm282930618,25.28143480,51.54924930,-0.582,-1.600
osm4728503295,25.27882830,51.54922460,-0.872,-1.598
osm4728264118,25.27885060,51.54917710,-0.869,-1.593
osm282930647,25.27931700,51.54827500,-0.817,-1.502
osm4728264116,25.27934100,51.54815640,-0.815,-1.490
osm282930671,25.27933130,51.54784800,-0.816,-1.459
osm282930201,25.27928770,51.54731960,-0.821,-1.406
osm282930648,25.28028570,51.54857640,-0.710,-1.533
osm282930650,25.27956150,51.54787300,-0.790,-1.462
osm4728264113,25.27981150,51.54796330,-0.762,-1.471
osm282930651,25.27998500,51.54807020,-0.743,-1.482
osm282930652,25.28015570,51.54828480,-0.724,-1.503
osm4728569939,25.28023420,51.54841060,-0.715,-1.516
osm4728502884,25.28230220,51.54798790,-0.485,-1.473
osm4728502888,25.28179570,51.54809400,-0.542,-1.484
osm282930666,25.28295120,51.54631190,-0.413,-1.305
osm1105615753,25.27452560,51.55272020,-1.350,-1.949
osm1105614719,25.27491260,51.55268190,-1.307,-1.945
osm3661044263,25.27599060,51.55256480,-1.187,-1.934
osm98747989,25.27675290,51.55246260,-1.102,-1.923
osm1221483799,25.27719950,51.55240940,-1.053,-1.918
osm1221483476,25.27894200,51.55223700,-0.859,-1.901
osm98747990,25.27977130,51.55212840,-0.767,-1.890
osm1105612289,25.28036180,51.55202700,-0.701,-1.880
osm3661046951,25.28116120,51.55189210,-0.612,-1.866
osm1513907614,25.28136520,51.55186870,-0.590,-1.864
osm2532375052,25.30429040,51.51487850,1.960,1.855
osm5883169376,25.30427070,51.51466510,1.957,1.877
osm5883169375,25.30423410,51.51437930,1.953,1.906
osm2328401082,25.30419710,51.51411900,1.949,1.932
osm4831210717,25.30415430,51.51386990,1.944,1.957
osm4831210718,25.30412440,51.51372730,1.941,1.971
osm283059578,25.30398870,51.51322760,1.926,2.021
osm4765006133,25.30387810,51.51287790,1.914,2.057
osm283059580,25.30366490,51.51232550,1.890,2.112
osm5883169377,25.30340940,51.51165430,1.862,2.180
osm5883169378,25.30320740,51.51106090,1.839,2.239
osm5883169380,25.30302760,51.51048050,1.819,2.298
osm5883169381,25.30287110,51.50992040,1.802,2.354
osm5883169379,25.30274490,51.50950200,1.788,2.396
osm1675818871,25.30240330,51.50848710,1.750,2.498
osm4728501556,25.30222080,51.50794570,1.730,2.552
osm1108487443,25.30200490,51.50728260,1.705,2.619
osm1105615648,25.27416210,51.55250800,-1.390,-1.928
osm5869594540,25.27404760,51.55251390,-1.403,-1.928
osm3999472546,25.27394780,51.55251300,-1.414,-1.928
osm3661040823,25.27341190,51.55247760,-1.474,-1.925
osm1105610683,25.27272880,51.55240980,-1.550,-1.918
osm1105610684,25.27220980,51.55230250,-1.608,-1.907
osm1105610685,25.27166650,51.55217640,-1.668,-1.895
osm2178829509,25.27124080,51.55205170,-1.715,-1.882
osm1105610687,25.27067200,51.55184920,-1.779,-1.862
osm1706195814,25.27029850,51.55165340,-1.820,-1.842
osm283408179,25.27028020,51.51408610,-1.822,1.935
osm283408180,25.27058320,51.51387340,-1.788,1.956
osm4779898760,25.26889310,51.53312080,-1.976,0.021
osm1704251783,25.26870390,51.53205360,-1.997,0.129
osm283548751,25.26868840,51.53195060,-1.999,0.139
osm1770398755,25.26866550,51.53183300,-2.002,0.151
osm2009307875,25.26860930,51.53154490,-2.008,0.180
osm4779858945,25.26853130,51.53117390,-2.017,0.217
osm4779858946,25.26853480,51.53061150,-2.016,0.274
osm1740192765,25.26863740,51.52998800,-2.005,0.336
osm283549405,25.26868590,51.52958170,-1.999,0.377
osm283549002,25.26871190,51.52938300,-1.997,0.397
osm283548897,25.26878300,51.52872610,-1.989,0.463
osm5885176801,25.26895520,51.52729780,-1.969,0.607
osm3234109217,25.27459530,51.52353420,-1.342,0.985
osm4732380763,25.27452880,51.52353570,-1.350,0.985
osm4728095680,25.27432630,51.52354180,-1.372,0.984
osm6420668367,25.27396740,51.52356500,-1.412,0.982
osm1352549657,25.27356990,51.52359080,-1.456,0.979
osm4728095665,25.27349110,51.52359350,-1.465,0.979
osm1280269259,25.27313820,51.52360960,-1.504,0.978
osm4728095650,25.27252330,51.52364050,-1.573,0.974
osm4732371130,25.27244210,51.52363420,-1.582,0.975
osm4732371129,25.27238630,51.52361810,-1.588,0.977
osm1280269261,25.27232340,51.52359350,-1.595,0.979
osm283548310,25.27221710,51.52406040,-1.607,0.932
osm2009308128,25.27221480,51.52441480,-1.607,0.897
osm1225618989,25.27221830,51.52518500,-1.607,0.819
osm1280269258,25.27221310,51.52584360,-1.607,0.753
osm4779829753,25.27219660,51.52698220,-1.609,0.639
osm283548323,25.27191910,51.52373420,-1.640,0.965
osm1225619102,25.27093400,51.52376600,-1.749,0.962
osm1238509205,25.27064970,51.52377770,-1.781,0.961
osm1306743841,25.27043950,51.52378630,-1.804,0.960
osm1306743905,25.26997190,51.52380550,-1.856,0.958
osm1240229138,25.26957740,51.52382470,-1.900,0.956
osm2009308034,25.26954040,51.52382590,-1.904,0.956
osm1261045915,25.26924460,51.52383530,-1.937,0.955
osm6167488744,25.26899530,51.52384060,-1.965,0.954
osm2009307881,25.26880520,51.52384470,-1.986,0.954
osm283548324,25.26861730,51.52384870,-2.007,0.954
osm6167488748,25.26856650,51.52387800,-2.013,0.951
osm6167488749,25.26852890,51.52391690,-2.017,0.947
osm6167488747,25.26849860,51.52396110,-2.020,0.942
osm283548325,25.26847870,51.52401400,-2.022,0.937
osm1361125030,25.26846990,51.52412630,-2.023,0.926
osm1361125029,25.26845380,51.52433220,-2.025,0.905
osm1225618976,25.26841730,51.52479750,-2.029,0.858
osm1225619050,25.26835940,51.52548960,-2.036,0.789
osm1105627186,25.26831530,51.52586780,-2.041,0.751
osm283548315,25.27223420,51.52354710,-1.605,0.984
osm4732370414,25.27220230,51.52354950,-1.608,0.984
osm1448839006,25.27217200,51.52356040,-1.612,0.983
osm4732370417,25.27214490,51.52357900,-1.615,0.981
osm4732370418,25.27212390,51.52360240,-1.617,0.978
osm4821100887,25.27210830,51.52363050,-1.619,0.975
osm4732370419,25.27209820,51.52366540,-1.620,0.972
osm4821100885,25.27209630,51.52370200,-1.620,0.968
osm4732370420,25.27210280,51.52373800,-1.619,0.965
osm1280269265,25.27211720,51.52377100,-1.618,0.961
osm4732371121,25.27214120,51.52380150,-1.615,0.958
osm4732371122,25.27216630,51.52382040,-1.612,0.956
osm4821100884,25.27219470,51.52383240,-1.609,0.955
osm4732371123,25.27222480,51.52383690,-1.606,0.955
osm4732371124,25.27225510,51.52383360,-1.603,0.955
osm4821100886,25.27228380,51.52382260,-1.599,0.956
osm1280269263,25.27230630,51.52380750,-1.597,0.958
osm4732371131,25.27232550,51.52378770,-1.595,0.960
osm4732371126,25.27234640,51.52375210,-1.592,0.963
osm283548308,25.27235700,51.52371140,-1.591,0.967
osm4732371127,25.27235650,51.52366900,-1.591,0.972
osm4732371128,25.27234500,51.52362850,-1.593,0.976
osm4732370415,25.27229470,51.52356770,-1.598,0.982
osm4732370416,25.27226560,51.52355330,-1.601,0.983
osm4779898759,25.26868490,51.53338920,-2.000,-0.006
