osm_wid,name,osmtype,osmsubtype,linkuse,nnodes,lat,lng,z,x,height,levels
w10569943,شارع الكورنيش,highway,trunk,road,16,25.2912228,51.5416856,0.8398,0.5066,0,0
w10852905,شارع الكورنيش01,highway,trunk,road,17,25.3014561,51.5182939,-1.5120,1.6445,0,0
w11826241,البدع,highway,secondary,road,3,25.3041968,51.5151664,-1.8265,1.9492,0,0
w12062977,residential01,highway,residential,slowroad,9,25.2938804,51.5225451,-1.0846,0.8021,0,0
w12063159,service01,highway,service,driveway,6,25.2920516,51.5153447,-1.8085,0.5987,0,0
w12063716,service02,highway,service,driveway,2,25.2898590,51.5225912,-1.0800,0.3549,0,0
w25920600,راس ابو عبود,highway,primary,road,8,25.2832084,51.5469103,1.3651,-0.3846,0,0
w25937920,امرير,highway,residential,slowroad,6,25.2877287,51.5448861,1.1616,0.1181,0,0
w25938082,residential02,highway,residential,slowroad,21,25.2804623,51.5399638,0.6667,-0.6899,0,0
w25938088,طارق بن زياد,highway,residential,slowroad,2,25.2795119,51.5399574,0.6660,-0.7956,0,0
w25938089,خيبر,highway,residential,slowroad,2,25.2793673,51.5397682,0.6470,-0.8117,0,0
w25938090,ابن نوفل,highway,residential,slowroad,2,25.2789329,51.5367046,0.3390,-0.8600,0,0
w25938104,الوفاق,highway,residential,slowroad,2,25.2804777,51.5401280,0.6832,-0.6882,0,0
w25938115,ابن الزبير,highway,residential,slowroad,2,25.2798548,51.5410172,0.7726,-0.7575,0,0
w25938138,طارق بن زياد01,highway,residential,slowroad,4,25.2779011,51.5411285,0.7838,-0.9747,0,0
w25938141,ابن المسيب,highway,residential,slowroad,2,25.2798337,51.5415730,0.8285,-0.7598,0,0
w25938142,الاماني,highway,residential,slowroad,6,25.2814811,51.5422849,0.9000,-0.5766,0,0
w25938146,الثقافة,highway,residential,slowroad,4,25.2811546,51.5412633,0.7973,-0.6130,0,0
w25938148,شارع ابن عبد المطلب,highway,residential,slowroad,4,25.2813630,51.5418926,0.8606,-0.5898,0,0
w25938152,بيت الحكمة,highway,residential,slowroad,3,25.2809053,51.5411733,0.7883,-0.6407,0,0
w25938165,الطائي,highway,residential,slowroad,12,25.2788421,51.5380340,0.4726,-0.8701,0,0
w25938176,وادي الخرج,highway,residential,slowroad,7,25.2799793,51.5498101,1.6566,-0.7436,0,0
w25938177,الجهرة,highway,unclassified,road,3,25.2740627,51.5515542,1.8320,-1.4015,0,0
w25938184,الخليل بن احمد,highway,residential,slowroad,4,25.2784086,51.5507858,1.7547,-0.9183,0,0
w25938199,الكسائي,highway,residential,slowroad,12,25.2752135,51.5434583,1.0180,-1.2736,0,0
w25938209,ابن خلدون,highway,residential,slowroad,7,25.2771755,51.5434186,1.0140,-1.0554,0,0
w25938213,الكسائي01,highway,residential,slowroad,6,25.2764760,51.5429603,0.9679,-1.1332,0,0
w25938220,ام بركة,highway,residential,slowroad,2,25.2767939,51.5442110,1.0937,-1.0978,0,0
w25938226,كعب بن زهير,highway,residential,slowroad,9,25.2780678,51.5440743,1.0799,-0.9562,0,0
w25938237,حكيم بن حزام,highway,residential,slowroad,17,25.2792487,51.5455256,1.2258,-0.8249,0,0
w25938241,ابو بكر الصديق,highway,residential,slowroad,5,25.2811087,51.5470742,1.3815,-0.6181,0,0
w25938245,ام غويلينة,highway,residential,slowroad,8,25.2810875,51.5471624,1.3904,-0.6204,0,0
w25938255,ابن الجوزي,highway,residential,slowroad,14,25.2828256,51.5485272,1.5276,-0.4271,0,0
w25938261,ابن الجوزي01,highway,residential,slowroad,6,25.2825860,51.5509251,1.7687,-0.4538,0,0
w25938263,ثمامة بن عدي,highway,residential,slowroad,4,25.2821968,51.5490685,1.5821,-0.4971,0,0
w25938268,ابن افلح,highway,unclassified,road,6,25.2791593,51.5483335,1.5082,-0.8348,0,0
w25938269,جبل طارق,highway,residential,slowroad,2,25.2798013,51.5484257,1.5174,-0.7634,0,0
w25938271,ابن جندب,highway,residential,slowroad,7,25.2799093,51.5481466,1.4894,-0.7514,0,0
w25938272,حارثة بن سهل,highway,residential,slowroad,4,25.2820363,51.5480437,1.4790,-0.5149,0,0
w25938273,لمعتز,highway,residential,slowroad,2,25.2827391,51.5463470,1.3084,-0.4368,0,0
w25938279,الطريق الدائري الثالثي,highway,trunk,road,10,25.2780983,51.5522992,1.9069,-0.9528,0,0
w25947558,شارع محمد بن ثاني,highway,primary,road,17,25.3034525,51.5117884,-2.1661,1.8665,0,0
w25977972,الطريق الدائري الثالثي01,highway,trunk,road,10,25.2724386,51.5522455,1.9015,-1.5821,0,0
w25979097,service03,highway,service,driveway,2,25.2704317,51.5139798,-1.9458,-1.8053,0,0
w25991628,شارع المنصورة,highway,secondary,road,6,25.2686819,51.5319461,-0.1394,-1.9999,0,0
w25991630,شارع المنصورة01,highway,secondary,road,6,25.2687180,51.5292647,-0.4090,-1.9958,0,0
w25991632,وادي رشيدة,highway,tertiary,road,11,25.2733902,51.5235870,-0.9799,-1.4763,0,0
w25991633,حطين,highway,residential,slowroad,5,25.2722120,51.5252972,-0.8079,-1.6073,0,0
w25991637,وادي رشيدة01,highway,residential,slowroad,20,25.2692391,51.5241136,-0.9269,-1.9379,0,0
w25991641,tertiary01,highway,tertiary,road,26,25.2722239,51.5236889,-0.9696,-1.6060,0,0
w25991657,ابن درهم,highway,tertiary,road,8,25.2673202,51.5334927,0.0161,-2.1513,0,0
w25991679,ابو مسلم,highway,residential,slowroad,13,25.2672521,51.5347905,0.1465,-2.1588,0,0
w25991684,الصالحية,highway,residential,slowroad,8,25.2689728,51.5359943,0.2676,-1.9675,0,0
w25991686,الصالحية01,highway,residential,slowroad,3,25.2689645,51.5360365,0.2718,-1.9684,0,0
w25991693,قباء,highway,residential,slowroad,4,25.2681586,51.5320072,-0.1333,-2.0580,0,0
w25991722,هشام بن عقبة,highway,unclassified,road,10,25.2662966,51.5288438,-0.4514,-2.2651,0,0
w25991741,حرملة بن زيد,highway,residential,slowroad,3,25.2672579,51.5294514,-0.3903,-2.1582,0,0
w25991772,العرب,highway,unclassified,road,6,25.2723583,51.5386438,0.5340,-1.5911,0,0
w25991774,المناخ,highway,residential,slowroad,4,25.2739417,51.5408484,0.7556,-1.4150,0,0
w25991775,service04,highway,service,driveway,6,25.2706050,51.5399169,0.6620,-1.7860,0,0
w25991779,ابن فرناس,highway,residential,slowroad,7,25.2710738,51.5387910,0.5488,-1.7339,0,0
w25991787,شارع نجمة,highway,residential,slowroad,9,25.2718544,51.5372158,0.3904,-1.6471,0,0
w25991793,الخبيب,highway,residential,slowroad,7,25.2729198,51.5338866,0.0557,-1.5286,0,0
w25991799,عاصم بن علي,highway,residential,slowroad,2,25.2705481,51.5338146,0.0484,-1.7923,0,0
w25991801,البراء بن مالك,highway,residential,slowroad,12,25.2725961,51.5356652,0.2345,-1.5646,0,0
w25991806,العرب01,highway,unclassified,road,4,25.2723058,51.5350929,0.1769,-1.5969,0,0
w25991810,ابن درهم01,highway,tertiary,road,4,25.2736677,51.5331140,-0.0220,-1.4455,0,0
w25991813,العروبة,highway,residential,slowroad,2,25.2746699,51.5310482,-0.2297,-1.3340,0,0
w25991815,البخاري,highway,residential,slowroad,10,25.2707624,51.5301546,-0.3196,-1.7685,0,0
w25991817,عاصم بن عمر,highway,residential,slowroad,10,25.2704289,51.5296168,-0.3736,-1.8056,0,0
w25991820,شارع الخدري,highway,residential,slowroad,7,25.2737674,51.5279015,-0.5461,-1.4344,0,0
w25991821,محمد بن مسلمة,highway,residential,slowroad,4,25.2732614,51.5287445,-0.4613,-1.4906,0,0
w26096106,شارع الكورنيش02,highway,unclassified,road,3,25.2914465,51.5393612,0.6061,0.5315,0,0
w26096124,شارع المينا,highway,unclassified,road,10,25.2951844,51.5457521,1.2486,0.9471,0,0
w26096125,service05,highway,service,driveway,17,25.2978871,51.5471087,1.3850,1.2476,0,0
w26096134,service06,highway,service,driveway,5,25.2953758,51.5465621,1.3301,0.9684,0,0
w26116585,الاخاء,highway,residential,slowroad,6,25.2857231,51.5153322,-1.8098,-0.1050,0,0
w26583174,القدس الشريف,highway,residential,slowroad,9,25.2825921,51.5126443,-2.0801,-0.4531,0,0
w28971736,نصر بن سيار,highway,residential,slowroad,6,25.2785869,51.5143572,-1.9078,-0.8985,0,0
w43684047,شارع علي بن عبدالله,highway,tertiary,road,16,25.2858896,51.5332285,-0.0105,-0.0864,0,0
w43684050,شارع جاسم بن محمد,highway,tertiary,road,5,25.2858158,51.5309161,-0.2430,-0.0946,0,0
w43688097,الجسرة,highway,residential,slowroad,2,25.2885714,51.5312720,-0.2072,0.2118,0,0
w44037424,الجسرة01,highway,residential,slowroad,11,25.2882405,51.5309519,-0.2394,0.1750,0,0
w44037604,السوق,highway,residential,slowroad,6,25.2887406,51.5322277,-0.1111,0.2306,0,0
w44037605,السوق01,highway,residential,slowroad,12,25.2899170,51.5329933,-0.0342,0.3614,0,0
w44037608,الجسرة02,highway,residential,slowroad,5,25.2902618,51.5312777,-0.2066,0.3997,0,0
w46961689,living_street01,highway,living_street,slowroad,3,25.2706875,51.5140137,-1.9424,-1.7768,0,0
w46961690,living_street02,highway,living_street,slowroad,2,25.2713606,51.5140623,-1.9375,-1.7020,0,0
w48865767,شارع جبر بن محمد,highway,tertiary,road,7,25.2874573,51.5398942,0.6597,0.0879,0,0
w58882934,بحر العرب,highway,residential,slowroad,7,25.2851610,51.5454318,1.2164,-0.1675,0,0
w58883273,شارع السليمي,highway,residential,slowroad,2,25.2813970,51.5238881,-0.9496,-0.5860,0,0
w58883274,ابو العلاء,highway,residential,slowroad,10,25.2776021,51.5265495,-0.6820,-1.0080,0,0
w58883278,ابن الهيثم,highway,residential,slowroad,9,25.2784502,51.5226544,-1.0736,-0.9137,0,0
w58974245,المدينة,highway,residential,slowroad,3,25.2821995,51.5358503,0.2531,-0.4968,0,0
w58974276,خالد بن الوليد,highway,residential,slowroad,11,25.2854043,51.5381261,0.4819,-0.1404,0,0
w58974277,شارع الأسحاط,highway,residential,slowroad,5,25.2858179,51.5375569,0.4247,-0.0944,0,0
w88237266,الكندي,highway,residential,slowroad,9,25.2780833,51.5143937,-1.9042,-0.9545,0,0
w88237290,شارع وادي مشيرب,highway,primary,road,3,25.2763920,51.5159432,-1.7484,-1.1425,0,0
w88237313,طريق سلوى,highway,primary,road,7,25.2758712,51.5150423,-1.8390,-1.2004,0,0
w88239542,دوار جدة,building,construction,bldwall,6,25.2789399,51.5192938,-1.4115,-0.8592,0,0
w88240289,الفارابي,highway,residential,slowroad,16,25.2764043,51.5231313,-1.0257,-1.1412,0,0
w88242908,شارع وادي مشيرب01,highway,primary,road,3,25.2770683,51.5167593,-1.6663,-1.0673,0,0
w88243466,شارع وادي مشيرب02,highway,primary,road,10,25.2794395,51.5203400,-1.3063,-0.8037,0,0
w88243585,شارع وادي مشيرب03,highway,primary,road,9,25.2795909,51.5201237,-1.3281,-0.7868,0,0
w88243881,شارع وادي مشيرب04,highway,primary,road,3,25.2776395,51.5172710,-1.6149,-1.0038,0,0
w88243904,شارع وادي مشيرب05,highway,primary,road,2,25.2786579,51.5189149,-1.4496,-0.8906,0,0
w88243917,شارع وادي مشيرب06,highway,primary,road,2,25.2787162,51.5188794,-1.4532,-0.8841,0,0
w88243933,شارع وادي مشريب,highway,primary,road,4,25.2797052,51.5206593,-1.2742,-0.7741,0,0
w88246023,ابن سينا,highway,residential,slowroad,15,25.2740397,51.5172150,-1.6205,-1.4041,0,0
w88251326,الكندي01,highway,residential,slowroad,6,25.2765446,51.5155109,-1.7918,-1.1256,0,0
w88251388,الكندي02,highway,residential,slowroad,6,25.2764993,51.5154547,-1.7975,-1.1306,0,0
w95324508,الروابي,highway,tertiary,road,2,25.2692130,51.5159706,-1.7456,-1.9408,0,0
w95328703,سعيد بن العاص,highway,tertiary,road,16,25.2800152,51.5483603,1.5109,-0.7396,0,0
w95332399,مدرسة النهضة,highway,residential,slowroad,8,25.2693930,51.5516010,1.8367,-1.9208,0,0
w95332526,مدرسة النهضة01,highway,residential,slowroad,5,25.2696469,51.5517643,1.8531,-1.8926,0,0
w95333767,trunk_link01,highway,trunk_link,road,9,25.2682016,51.5493038,1.6057,-2.0533,0,0
w95333842,trunk_link02,highway,trunk_link,road,6,25.2685628,51.5502159,1.6974,-2.0131,0,0
