osm_nid,lat,lng,x,z
osm33702741,49.99211890,49.99211890,-138.475,654.778
osm33702892,49.99202750,49.99202750,-149.089,614.983
osm33702893,49.99193720,49.99193720,-159.576,571.882
osm473651431,49.99188580,49.99188580,-165.546,545.260
osm3663456974,49.99185820,49.99185820,-168.752,525.299
osm3663456972,49.99183550,49.99183550,-171.390,503.304
osm33702894,49.99182250,49.99182250,-172.902,482.491
osm3663456593,49.99179300,49.99179300,-176.337,415.826
osm257683187,49.99178870,49.99178870,-176.839,398.015
osm3666428269,49.99178930,49.99178930,-176.770,393.857
osm33702895,49.99179870,49.99179870,-175.682,377.293
osm3663456971,49.99182800,49.99182800,-172.285,355.231
osm3663456973,49.99185070,49.99185070,-169.653,340.291
osm456054461,49.99187400,49.99187400,-166.951,329.939
osm3663456976,49.99190030,49.99190030,-163.900,321.409
osm3666296267,49.99192400,49.99192400,-161.151,314.972
osm33702896,49.99194920,49.99194920,-158.227,309.778
osm33702042,49.99443980,49.99443980,130.814,284.477
osm738283752,49.99438630,49.99438630,124.605,284.326
osm5457326852,49.99426410,49.99426410,110.423,284.070
osm33702932,49.99350110,49.99350110,21.873,282.462
osm1347958012,49.99339140,49.99339140,9.142,281.016
osm5467434859,49.99336390,49.99336390,5.950,280.500
osm3662353680,49.99332650,49.99332650,1.610,279.797
osm3666468611,49.99327440,49.99327440,-4.437,278.181
osm473651436,49.99324480,49.99324480,-7.872,277.260
osm3662352895,49.99317790,49.99317790,-15.637,273.938
osm3662352894,49.99310420,49.99310420,-24.191,269.280
osm33702933,49.99304040,49.99304040,-31.596,263.367
osm3662352893,49.99296250,49.99296250,-40.638,254.525
osm3662352892,49.99290440,49.99290440,-47.382,245.920
osm33702934,49.99287390,49.99287390,-50.923,238.541
osm473651438,49.99286570,49.99286570,-51.876,232.535
osm3662352891,49.99286610,49.99286610,-51.831,224.597
osm33702935,49.99288050,49.99288050,-50.161,215.302
osm5474088800,49.99291200,49.99291200,-46.508,201.817
osm3666466781,49.99291440,49.99291440,-46.229,200.781
osm5474088796,49.99300210,49.99300210,-36.058,163.163
osm5467434854,49.99301430,49.99301430,-34.643,157.952
osm33702925,49.99311380,49.99311380,-23.102,115.297
osm33702964,49.99155090,49.99155090,-204.531,-169.079
osm3665956823,49.99155400,49.99155400,-204.169,-156.119
osm3665868530,49.99155130,49.99155130,-204.480,-141.485
osm33702965,49.99152020,49.99152020,-208.075,-55.980
osm33702926,49.99146190,49.99146190,-214.812,117.050
osm3662352887,49.99140320,49.99140320,-221.605,238.862
osm473651433,49.99139450,49.99139450,-222.613,248.355
osm33702966,49.99137540,49.99137540,-224.827,262.356
osm33481724,49.99086960,49.99086960,-283.599,-171.944
osm3663515079,49.99083760,49.99083760,-287.304,-116.786
osm33706200,49.99078970,49.99078970,-292.854,-59.823
osm33706199,49.99070430,49.99070430,-302.747,43.816
osm3662982889,49.99069220,49.99069220,-304.150,51.652
osm3665076966,49.99067570,49.99067570,-306.064,59.569
osm3662982881,49.99056190,49.99056190,-319.264,98.646
osm33702928,49.99052820,49.99052820,-323.174,104.919
osm3664562881,49.99032690,49.99032690,-346.532,127.400
osm259760083,49.99028510,49.99028510,-351.383,133.040
osm3664563507,49.99023240,49.99023240,-357.497,141.272
osm3662982744,49.98980880,49.98980880,-406.645,220.276
osm33706196,49.98978110,49.98978110,-409.859,223.684
osm221503348,49.98968300,49.98968300,-421.243,231.326
osm738283751,49.99433880,49.99433880,119.101,335.720
osm3666469268,49.99398820,49.99398820,78.411,328.996
osm1347958017,49.99332060,49.99332060,0.931,316.444
osm5478816517,49.99327090,49.99327090,-4.837,315.942
osm5478816516,49.99324980,49.99324980,-7.286,315.722
osm3666466782,49.99295790,49.99295790,-41.163,312.026
osm221504332,49.98950210,49.98950210,-442.237,227.808
osm2197214756,49.98943630,49.98943630,-449.875,219.437
osm3662353674,49.98936470,49.98936470,-458.186,209.548
osm33481915,49.98931360,49.98931360,-464.118,203.841
osm2197355003,49.98917010,49.98917010,-480.773,192.665
osm269391976,49.98882590,49.98882590,-520.723,170.353
osm6385515681,49.98859310,49.98859310,-547.743,154.247
osm33481916,49.98857280,49.98857280,-550.099,153.181
osm2197362962,49.98852640,49.98852640,-555.485,150.609
osm2376685786,49.98847730,49.98847730,-561.183,148.627
osm3663514138,49.98840890,49.98840890,-569.122,146.854
osm33706185,49.98830310,49.98830310,-581.401,144.785
osm33481917,49.98773010,49.98773010,-647.901,138.742
osm3662353653,49.98768680,49.98768680,-652.926,137.811
osm3663514650,49.98765280,49.98765280,-656.872,136.471
osm33481918,49.98761950,49.98761950,-660.737,134.701
osm3662353652,49.98757080,49.98757080,-666.389,131.157
osm221477473,49.98752740,49.98752740,-671.427,126.967
osm221498579,49.98904420,49.98904420,-495.337,478.680
osm473651448,49.98897720,49.98897720,-503.124,413.289
osm221490931,49.98890570,49.98890570,-511.437,323.040
osm221499337,49.98884390,49.98884390,-518.621,250.748
osm221500127,49.98798560,49.98798560,-618.230,250.570
osm221481923,49.98746830,49.98746830,-678.268,236.480
osm266524463,49.98954340,49.98954340,-437.441,248.796
osm3662982405,49.98951210,49.98951210,-441.074,246.715
osm678534466,49.98948830,49.98948830,-443.836,243.554
osm336322072,49.98947470,49.98947470,-445.415,239.651
osm678534480,49.98947240,49.98947240,-445.683,235.436
osm248730752,49.98948190,49.98948190,-444.581,231.337
osm678534483,49.98952780,49.98952780,-439.255,225.428
osm456054454,49.98955830,49.98955830,-435.716,224.032
osm678534486,49.98959600,49.98959600,-431.341,223.792
osm221504337,49.98963200,49.98963200,-427.162,225.054
osm678534490,49.98966220,49.98966220,-423.657,227.665
osm221504310,49.98969170,49.98969170,-420.232,235.106
osm678534493,49.98969030,49.98969030,-420.394,239.023
osm456054450,49.98967890,49.98967890,-421.717,242.732
osm221504312,49.98966020,49.98966020,-423.886,245.708
osm678534498,49.98963500,49.98963500,-426.811,247.944
osm221504316,49.98960550,49.98960550,-430.234,249.263
osm678534505,49.98957410,49.98957410,-433.878,249.558
osm224782087,49.98926290,49.98926290,-470.059,-143.744
osm2197214743,49.98907980,49.98907980,-491.309,-142.454
osm2376685801,49.98902150,49.98902150,-498.075,-142.396
osm2376685797,49.98897580,49.98897580,-503.378,-142.675
osm3663800470,49.98894770,49.98894770,-506.640,-143.191
osm2376685796,49.98892770,49.98892770,-508.961,-143.956
osm2197214752,49.98889570,49.98889570,-512.675,-145.614
osm2376685794,49.98885900,49.98885900,-516.935,-148.800
osm224782083,49.98877760,49.98877760,-526.383,-156.657
osm2376685792,49.98873680,49.98873680,-531.118,-160.262
osm2376685789,49.98869710,49.98869710,-535.726,-163.369
osm224775173,49.98863820,49.98863820,-542.562,-165.687
osm2376685787,49.98859620,49.98859620,-547.437,-166.544
osm224775174,49.98852070,49.98852070,-556.199,-167.458
osm3664266043,49.98846380,49.98846380,-562.803,-168.933
osm224775177,49.98841030,49.98841030,-569.012,-171.235
osm224775178,49.98830160,49.98830160,-581.628,-177.661
osm224773148,49.98821920,49.98821920,-591.191,-179.942
osm224775179,49.98785680,49.98785680,-633.250,-180.572
osm2197214738,49.98938210,49.98938210,-456.223,-125.420
osm7414978834,49.98937750,49.98937750,-456.757,-126.027
osm2197214755,49.98934080,49.98934080,-461.017,-130.850
osm2376685810,49.98932160,49.98932160,-463.245,-133.057
osm224783705,49.98914370,49.98914370,-483.897,-165.719
osm224782530,49.98909050,49.98909050,-490.073,-175.762
osm3663800478,49.98905920,49.98905920,-493.706,-181.474
osm3663800477,49.98904810,49.98904810,-494.995,-184.021
osm849326070,49.98903630,49.98903630,-496.365,-187.759
osm3663800474,49.98902870,49.98902870,-497.248,-193.048
osm224783707,49.98902780,49.98902780,-497.353,-200.367
osm848947889,49.98902980,49.98902980,-497.123,-210.034
osm224783709,49.98903700,49.98903700,-496.289,-220.997
osm3663800476,49.98904640,49.98904640,-495.199,-228.250
osm224783710,49.98906020,49.98906020,-493.599,-235.040
osm224785126,49.98907770,49.98907770,-491.569,-243.214
osm224783712,49.98909720,49.98909720,-489.309,-261.637
osm224783714,49.98909860,49.98909860,-489.148,-269.674
osm224787695,49.98952060,49.98952060,-440.173,-268.469
osm224787700,49.99082200,49.99082200,-289.142,-281.684
osm224785119,49.98938710,49.98938710,-455.655,-198.337
osm224785123,49.98922030,49.98922030,-475.019,-235.839
osm2376685809,49.98920130,49.98920130,-477.224,-238.748
osm224785125,49.98918120,49.98918120,-479.557,-240.743
osm1881642005,49.98912880,49.98912880,-485.639,-241.921
osm3664564325,49.99087180,49.99087180,-283.346,-185.838
osm3634284255,49.99080490,49.99080490,-291.131,-306.582
osm224792834,49.99078180,49.99078180,-293.815,-328.645
osm2769403850,49.99073100,49.99073100,-299.718,-375.384
osm224792836,49.99068370,49.99068370,-305.209,-383.343
osm224792839,49.99079140,49.99079140,-292.719,-435.468
osm848947858,49.99024860,49.99024860,-355.715,-446.846
osm480452499,49.99012810,49.99012810,-369.700,-449.006
osm1260073295,49.99000020,49.99000020,-384.544,-451.377
osm3663798482,49.98996370,49.98996370,-388.780,-452.465
osm3664266491,49.98994600,49.98994600,-390.834,-453.444
osm224792841,49.98993080,49.98993080,-392.598,-454.991
osm224792843,49.98980040,49.98980040,-407.735,-474.103
osm3663800491,49.98976920,49.98976920,-411.357,-479.557
osm224792845,49.98960710,49.98960710,-430.174,-510.741
osm1260073324,49.98950070,49.98950070,-442.527,-535.181
osm2769403812,49.98949140,49.98949140,-443.608,-545.178
osm1260073401,49.98949190,49.98949190,-443.552,-561.167
osm423203318,49.98946820,49.98946820,-446.306,-581.728
osm257692146,49.98938390,49.98938390,-456.096,-620.239
osm3664517278,49.99022550,49.99022550,-358.375,-318.905
osm2769403834,49.99019020,49.99019020,-362.471,-317.897
osm3664517277,49.98998470,49.98998470,-386.319,-311.152
osm3664517276,49.98994350,49.98994350,-391.100,-310.243
osm2769403823,49.98989350,49.98989350,-396.903,-309.552
osm224787966,49.98949960,49.98949960,-442.616,-305.428
osm224798676,49.98892500,49.98892500,-509.296,-277.440
osm3663800548,49.98888020,49.98888020,-514.496,-278.452
osm3663800538,49.98882700,49.98882700,-520.670,-279.094
osm224798678,49.98874350,49.98874350,-530.361,-279.638
osm224798680,49.98854350,49.98854350,-553.572,-280.081
osm3662353669,49.98844290,49.98844290,-565.247,-279.522
osm3662353659,49.98804250,49.98804250,-611.714,-273.233
osm3662353658,49.98798950,49.98798950,-617.865,-272.826
osm3662353657,49.98793030,49.98793030,-624.735,-273.092
osm33705590,49.98788210,49.98788210,-630.329,-274.274
osm248731300,49.99750650,49.99750650,486.785,689.415
osm738281714,49.99747370,49.99747370,482.976,675.254
osm6373715031,49.99734130,49.99734130,467.601,618.183
osm3666999699,49.99727590,49.99727590,460.006,587.372
osm243312270,49.99720740,49.99720740,452.050,548.475
osm2769223913,49.99717910,49.99717910,448.763,530.137
osm3666999698,49.99711490,49.99711490,441.305,490.564
osm243312208,49.99705400,49.99705400,434.233,459.484
osm2769223901,49.99698300,49.99698300,425.987,425.026
osm243312276,49.99691730,49.99691730,418.358,403.073
osm2769404079,49.99684080,49.99684080,409.477,384.859
osm243312283,49.99669610,49.99669610,392.679,351.386
osm2769404063,49.99649910,49.99649910,369.810,312.880
osm243312291,49.99630880,49.99630880,347.719,280.766
osm2769404025,49.99611380,49.99611380,325.084,252.452
osm6373714855,49.99599490,49.99599490,311.282,238.097
osm243312239,49.99586870,49.99586870,296.634,222.860
osm3666040458,49.99578110,49.99578110,286.466,214.495
osm5443078096,49.99572760,49.99572760,280.256,209.644
osm243312210,49.99569700,49.99569700,276.705,206.874
osm3666040648,49.99562100,49.99562100,267.884,200.966
osm3666040647,49.99552300,49.99552300,256.509,195.042
osm3666040645,49.99542040,49.99542040,244.601,189.846
osm33702006,49.99461380,49.99461380,150.972,72.428
osm2245330472,49.99499020,49.99499020,194.656,79.330
osm2697503323,49.99538240,49.99538240,240.174,87.484
osm5455174268,49.99565080,49.99565080,271.324,92.553
osm243312298,49.99569130,49.99569130,276.024,93.321
osm2165140364,49.99608000,49.99608000,321.212,559.058
osm2165140365,49.99611870,49.99611870,325.701,542.216
osm3666999599,49.99614450,49.99614450,328.692,527.122
osm243312174,49.99616240,49.99616240,330.767,514.255
osm3666999609,49.99618190,49.99618190,333.026,487.238
osm243312322,49.99618170,49.99618170,332.999,463.440
osm243312325,49.99617050,49.99617050,331.695,436.755
osm5964960087,49.99640540,49.99640540,358.954,426.163
osm33706209,49.99538620,49.99538620,240.688,525.336
osm3666999431,49.99547320,49.99547320,250.781,503.263
osm3666999450,49.99549670,49.99549670,253.507,495.060
osm243319515,49.99552030,49.99552030,256.244,485.583
osm3666999462,49.99554420,49.99554420,259.016,474.482
osm3666999469,49.99557470,49.99557470,262.553,457.596
osm243312215,49.99559160,49.99559160,264.512,445.929
osm3666998992,49.99560370,49.99560370,265.914,433.527
osm3666998996,49.99561530,49.99561530,267.258,417.074
osm243319516,49.99561820,49.99561820,267.592,402.403
osm3666998997,49.99561720,49.99561720,267.473,383.729
osm3666998994,49.99561140,49.99561140,266.798,370.235
osm243319511,49.99559690,49.99559690,265.113,358.154
osm6373714860,49.99675710,49.99675710,399.741,246.233
osm6373714854,49.99620390,49.99620390,335.546,286.680
osm243312326,49.99581220,49.99581220,290.090,300.875
osm243319512,49.99551070,49.99551070,255.101,310.198
osm243312235,49.99571160,49.99571160,278.412,286.035
osm243319522,49.99562340,49.99562340,268.175,276.222
osm3666999463,49.99555190,49.99555190,259.876,269.268
osm243319523,49.99550040,49.99550040,253.898,264.626
osm3666999415,49.99542060,49.99542060,244.636,258.676
osm2769223840,49.99528550,49.99528550,228.956,250.841
osm1106476125,49.99518940,49.99518940,217.802,246.582
osm243319524,49.99515000,49.99515000,213.229,245.444
osm5810944912,49.99665440,49.99665440,387.866,515.255
osm5445739629,49.99504830,49.99504830,201.457,431.344
osm1106475885,49.99497690,49.99497690,193.171,428.910
osm243319526,49.99494900,49.99494900,189.933,427.836
osm33702040,49.99409200,49.99409200,90.477,445.102
osm3662352896,49.99424250,49.99424250,107.936,404.381
osm456054458,49.99428350,49.99428350,112.692,391.400
