osm_nid,lat,lng,x,z
osm33702042,49.99443980,49.99443980,130.814,284.477
osm738283752,49.99438630,49.99438630,124.605,284.326
osm5457326852,49.99426410,49.99426410,110.423,284.070
osm33702932,49.99350110,49.99350110,21.873,282.462
osm1347958012,49.99339140,49.99339140,9.142,281.016
osm5467434859,49.99336390,49.99336390,5.950,280.500
osm3662353680,49.99332650,49.99332650,1.610,279.797
osm3666468611,49.99327440,49.99327440,-4.437,278.181
osm473651436,49.99324480,49.99324480,-7.872,277.260
osm3662352895,49.99317790,49.99317790,-15.637,273.938
osm3662352894,49.99310420,49.99310420,-24.191,269.280
osm33702933,49.99304040,49.99304040,-31.596,263.367
osm3662352893,49.99296250,49.99296250,-40.638,254.525
osm3662352892,49.99290440,49.99290440,-47.382,245.920
osm33702934,49.99287390,49.99287390,-50.923,238.541
osm473651438,49.99286570,49.99286570,-51.876,232.535
osm3662352891,49.99286610,49.99286610,-51.831,224.597
osm33702935,49.99288050,49.99288050,-50.161,215.302
osm5474088800,49.99291200,49.99291200,-46.508,201.817
osm3666466781,49.99291440,49.99291440,-46.229,200.781
osm5474088796,49.99300210,49.99300210,-36.058,163.163
osm5467434854,49.99301430,49.99301430,-34.643,157.952
osm33702925,49.99311380,49.99311380,-23.102,115.297
osm248731300,49.99750650,49.99750650,486.785,689.415
osm738281714,49.99747370,49.99747370,482.976,675.254
osm6373715031,49.99734130,49.99734130,467.601,618.183
osm3666999699,49.99727590,49.99727590,460.006,587.372
osm243312270,49.99720740,49.99720740,452.050,548.475
osm2769223913,49.99717910,49.99717910,448.763,530.137
osm3666999698,49.99711490,49.99711490,441.305,490.564
osm243312208,49.99705400,49.99705400,434.233,459.484
osm2769223901,49.99698300,49.99698300,425.987,425.026
osm243312276,49.99691730,49.99691730,418.358,403.073
osm2769404079,49.99684080,49.99684080,409.477,384.859
osm243312283,49.99669610,49.99669610,392.679,351.386
osm2769404063,49.99649910,49.99649910,369.810,312.880
osm243312291,49.99630880,49.99630880,347.719,280.766
osm2769404025,49.99611380,49.99611380,325.084,252.452
osm6373714855,49.99599490,49.99599490,311.282,238.097
osm243312239,49.99586870,49.99586870,296.634,222.860
osm3666040458,49.99578110,49.99578110,286.466,214.495
osm5443078096,49.99572760,49.99572760,280.256,209.644
osm243312210,49.99569700,49.99569700,276.705,206.874
osm3666040648,49.99562100,49.99562100,267.884,200.966
osm3666040647,49.99552300,49.99552300,256.509,195.042
osm3666040645,49.99542040,49.99542040,244.601,189.846
osm33702006,49.99461380,49.99461380,150.972,72.428
osm2245330472,49.99499020,49.99499020,194.656,79.330
osm2697503323,49.99538240,49.99538240,240.174,87.484
osm5455174268,49.99565080,49.99565080,271.324,92.553
osm243312298,49.99569130,49.99569130,276.024,93.321
osm33702008,49.99470480,49.99470480,161.524,15.423
osm3662352904,49.99472380,49.99472380,163.727,6.561
osm3662353689,49.99474570,49.99474570,166.267,-3.066
osm456054460,49.99478180,49.99478180,170.455,-14.782
osm2761659548,49.99479780,49.99479780,172.311,-17.552
osm33701942,49.99609110,49.99609110,322.411,22.504
osm2347271301,49.99601370,49.99601370,313.426,9.692
osm3662352910,49.99597280,49.99597280,308.679,3.463
osm33701943,49.99591840,49.99591840,302.364,-2.203
osm3662353589,49.99587290,49.99587290,297.083,-6.157
osm3662353587,49.99582830,49.99582830,291.907,-9.101
osm266520730,49.99577570,49.99577570,285.802,-11.411
osm33482004,49.99554510,49.99554510,259.038,-20.358
osm33702044,49.99457820,49.99457820,146.845,96.352
osm5891568362,49.99451870,49.99451870,139.939,95.883
osm434631893,49.99326330,49.99326330,-5.761,60.671
osm434631896,49.99327400,49.99327400,-4.528,12.113
osm3662352902,49.99449690,49.99449690,137.422,173.585
osm3666040550,49.99451250,49.99451250,139.229,153.635
osm1106475589,49.99476570,49.99476570,168.626,225.164
osm1881642037,49.99453320,49.99453320,141.643,224.519
osm243312243,49.99479100,49.99479100,171.555,183.541
osm2245330484,49.99525610,49.99525610,225.533,185.353
osm1587776905,49.99643630,49.99643630,362.490,123.362
osm6638749507,49.99634210,49.99634210,351.553,97.401
osm2347271303,49.99603350,49.99603350,315.723,2.618
osm2347271302,49.99598930,49.99598930,310.590,-18.036
osm3662352908,49.99594300,49.99594300,305.212,-43.411
osm33702434,49.99589390,49.99589390,299.509,-73.589
osm616247,49.99680590,49.99680590,405.339,-146.452
osm2347271310,49.99681030,49.99681030,405.854,-117.270
osm6638749506,49.99680370,49.99680370,405.090,-107.983
osm33482006,49.99679100,49.99679100,403.617,-98.787
osm3662353711,49.99677360,49.99677360,401.599,-91.625
osm33701937,49.99674980,49.99674980,398.839,-83.791
osm3662353710,49.99671210,49.99671210,394.465,-74.239
osm1881642050,49.99666820,49.99666820,389.371,-65.790
osm3662353708,49.99662410,49.99662410,384.255,-59.031
osm33702330,49.99657060,49.99657060,378.047,-51.931
osm33701936,49.99644350,49.99644350,363.298,-40.668
osm2347271307,49.99626670,49.99626670,342.782,-27.085
osm2347271306,49.99618870,49.99618870,333.731,-18.701
osm33701950,49.99615420,49.99615420,329.728,-11.974
osm33701935,49.99613670,49.99613670,327.699,-4.101
osm3662353700,49.99612580,49.99612580,326.435,2.783
osm33701944,49.99612340,49.99612340,326.158,12.610
osm456054459,49.99373180,49.99373180,48.616,94.216
osm3666040363,49.99370180,49.99370180,45.134,93.876
osm434631885,49.99367850,49.99367850,42.430,93.069
osm3666040353,49.99364810,49.99364810,38.901,90.601
osm3666040300,49.99354660,49.99354660,27.120,79.519
osm3662353685,49.99353340,49.99353340,25.588,76.718
osm3666040294,49.99353570,49.99353570,25.854,73.048
osm3662353686,49.99354720,49.99354720,27.188,66.435
osm434631889,49.99354270,49.99354270,26.665,63.934
osm3666040217,49.99353030,49.99353030,25.226,62.520
osm3662353683,49.99351240,49.99351240,23.148,61.730
osm2245330467,49.99458860,49.99458860,148.050,88.510
osm738283754,49.99443340,49.99443340,130.054,183.449
osm5457326850,49.99431580,49.99431580,116.406,183.339
osm3665957604,49.99387940,49.99387940,65.760,182.940
osm3665957603,49.99384210,49.99384210,61.431,182.427
osm33702924,49.99380710,49.99380710,57.369,180.703
osm5548868468,49.99370350,49.99370350,45.344,170.928
osm3665957584,49.99246800,49.99246800,-98.050,114.464
osm33702899,49.99240030,49.99240030,-105.907,115.074
osm33701960,49.99596020,49.99596020,307.201,-87.297
osm449011090,49.99598950,49.99598950,310.606,-63.218
osm3662352911,49.99602130,49.99602130,314.300,-38.553
osm2347271304,49.99605630,49.99605630,318.365,-20.660
osm3662352915,49.99609310,49.99609310,322.639,-2.436
osm1587776903,49.99621080,49.99621080,336.308,55.917
osm268560288,49.99532640,49.99532640,233.692,186.868
osm3662352900,49.99439640,49.99439640,125.786,335.082
osm3662352901,49.99443180,49.99443180,129.888,300.481
osm1881642018,49.99444040,49.99444040,130.883,280.673
osm667020999,49.99447150,49.99447150,134.480,208.516
osm2137895182,49.99508870,49.99508870,206.105,183.632
osm5926244886,49.99448580,49.99448580,136.137,191.343
osm5891573270,49.99449160,49.99449160,136.809,183.218
osm6373714848,49.99683790,49.99683790,409.120,258.316
osm6373715030,49.99799420,49.99799420,543.357,520.050
osm6373714863,49.99801570,49.99801570,545.851,512.137
osm6373714864,49.99803120,49.99803120,547.645,483.388
osm6373714865,49.99811750,49.99811750,557.657,460.832
osm6373714866,49.99813810,49.99813810,560.046,453.931
osm6373714867,49.99813120,49.99813120,559.245,449.086
osm6373714862,49.99774160,49.99774160,514.021,397.860
osm6373714868,49.99757780,49.99757780,495.007,372.322
osm6373714861,49.99731230,49.99731230,464.188,329.273
osm6373714860,49.99675710,49.99675710,399.741,246.233
osm6373714859,49.99655530,49.99655530,376.316,218.506
osm6373714858,49.99639500,49.99639500,357.708,190.128
osm6373714857,49.99636740,49.99636740,354.505,188.940
osm6373714856,49.99633290,49.99633290,350.501,192.619
osm6638749509,49.99627150,49.99627150,343.356,76.298
osm2137895149,49.99420900,49.99420900,103.989,45.544
osm2137895151,49.99421360,49.99421360,104.521,37.133
osm2137895137,49.99401460,49.99401460,81.426,35.814
osm2137895138,49.99401690,49.99401690,81.693,31.669
osm2137895129,49.99395640,49.99395640,74.671,31.268
osm2137895130,49.99396290,49.99396290,75.424,19.581
osm2137895147,49.99419840,49.99419840,102.755,21.145
osm2137895148,49.99420150,49.99420150,103.113,15.543
osm2137895154,49.99422860,49.99422860,106.259,15.727
osm2137895155,49.99423390,49.99423390,106.872,6.154
osm2137895135,49.99399910,49.99399910,79.622,4.606
osm2137895136,49.99400880,49.99400880,80.745,-12.864
osm2137895150,49.99421270,49.99421270,104.409,-11.519
osm2137895153,49.99421550,49.99421550,104.733,-16.736
osm2137895156,49.99424370,49.99424370,108.006,-16.545
osm2137895157,49.99424890,49.99424890,108.608,-26.065
osm2137895133,49.99398650,49.99398650,78.155,-27.797
osm2137895134,49.99399450,49.99399450,79.081,-42.270
osm2137895131,49.99396820,49.99396820,76.028,-42.440
osm2137895121,49.99372530,49.99372530,47.838,-44.049
osm2137895120,49.99372230,49.99372230,47.491,-38.613
osm2137895119,49.99369010,49.99369010,43.754,-38.823
osm2137895118,49.99368460,49.99368460,43.118,-28.751
osm2137895128,49.99391870,49.99391870,70.286,-27.195
osm3666029366,49.99391650,49.99391650,70.032,-23.337
osm3666040376,49.99387590,49.99387590,65.320,-23.606
osm3666040373,49.99387020,49.99387020,64.660,-13.301
osm3666029365,49.99391060,49.99391060,69.349,-13.031
osm2137895127,49.99390890,49.99390890,69.152,-10.079
osm2137895117,49.99367760,49.99367760,42.308,-11.616
osm2137895116,49.99366900,49.99366900,41.313,3.958
osm2137895126,49.99390110,49.99390110,68.249,5.502
osm2137895125,49.99389730,49.99389730,67.809,12.267
osm2137895124,49.99383940,49.99383940,61.090,11.886
osm2137895122,49.99382220,49.99382220,59.099,42.976
osm3177096959,49.99428860,49.99428860,113.234,87.131
osm3177096960,49.99429200,49.99429200,113.626,70.430
osm3177098461,49.99399460,49.99399460,79.111,69.901
osm3177098462,49.99399120,49.99399120,78.719,86.603
osm3177098463,49.99444790,49.99444790,131.718,69.619
osm3666040533,49.99446830,49.99446830,134.084,61.284
osm3666040528,49.99444550,49.99444550,131.438,60.537
osm3666040532,49.99445850,49.99445850,132.946,55.227
osm3666040538,49.99448140,49.99448140,135.604,55.974
osm3177098464,49.99449860,49.99449860,137.599,48.970
osm3177098465,49.99447630,49.99447630,135.011,48.245
osm3666040541,49.99449650,49.99449650,137.353,38.620
osm3177098466,49.99450680,49.99450680,138.548,33.727
osm3666040527,49.99443950,49.99443950,130.737,31.968
osm3666040525,49.99442900,49.99442900,129.519,31.692
osm3177098467,49.99439810,49.99439810,125.935,48.232
osm3666040397,49.99436250,49.99436250,121.806,62.830
osm3666040400,49.99437850,49.99437850,123.663,63.350
osm3177098468,49.99436950,49.99436950,122.619,67.056
osm3472027587,49.99511460,49.99511460,209.090,58.434
osm344604967,49.99520880,49.99520880,220.023,60.326
osm3472027591,49.99519610,49.99519610,218.550,68.608
osm3472027593,49.99541670,49.99541670,244.152,73.038
osm3472027592,49.99540370,49.99540370,242.645,81.585
osm3472027596,49.99551940,49.99551940,256.073,83.908
osm3472027597,49.99553180,49.99553180,257.511,75.807
osm3472027598,49.99568710,49.99568710,275.534,78.921
osm3472027599,49.99572860,49.99572860,280.346,51.754
osm3472027594,49.99544560,49.99544560,247.502,46.072
osm3472027595,49.99545470,49.99545470,248.557,40.117
osm3472027590,49.99516010,49.99516010,214.366,34.199
osm3472027589,49.99515200,49.99515200,213.427,39.511
osm3472027588,49.99514380,49.99514380,212.476,39.346
osm3472027603,49.99595720,49.99595720,306.900,193.511
osm3472027608,49.99620980,49.99620980,336.210,160.069
osm3472027609,49.99630090,49.99630090,346.785,179.936
