osm_nid,lat,lng,x,z
osm243551291,48.51415400,-121.22191990,0.175,-1.016
osm243551294,48.51419800,-121.22249600,0.180,-0.974
osm243551296,48.51411620,-121.22327310,0.171,-0.917
osm243551298,48.51385500,-121.22390500,0.142,-0.870
osm243551299,48.51373740,-121.22434250,0.129,-0.838
osm243551300,48.51353150,-121.22487070,0.106,-0.799
osm243551301,48.51353500,-121.22517700,0.107,-0.777
osm1953997273,48.51355000,-121.22592330,0.108,-0.722
osm243551303,48.51362600,-121.22665600,0.117,-0.668
osm243551305,48.51362380,-121.22756410,0.116,-0.601
osm243551309,48.51373810,-121.22808140,0.129,-0.563
osm1953997274,48.51381700,-121.22922030,0.138,-0.479
osm243551311,48.51444500,-121.23260600,0.208,-0.229
osm243551312,48.51451410,-121.23394110,0.215,-0.131
osm243551315,48.51449460,-121.23431240,0.213,-0.104
osm243551316,48.51456380,-121.23433820,0.221,-0.102
osm243551317,48.51461670,-121.23417140,0.227,-0.114
osm243551321,48.51487560,-121.23238100,0.256,-0.246
osm243551322,48.51487910,-121.23159650,0.256,-0.304
osm243551324,48.51497460,-121.23152430,0.267,-0.309
osm243551325,48.51503340,-121.23167150,0.273,-0.298
osm243551326,48.51510250,-121.23285650,0.281,-0.211
osm243551327,48.51522090,-121.23409840,0.294,-0.119
osm243551329,48.51497480,-121.23504780,0.267,-0.049
osm1953997276,48.51482100,-121.23550680,0.250,-0.016
osm1953997275,48.51475500,-121.23584150,0.242,0.009
osm1953997277,48.51482550,-121.23615530,0.250,0.032
osm1953997279,48.51487990,-121.23635810,0.256,0.047
osm1953997278,48.51482900,-121.23658150,0.251,0.064
osm243551330,48.51471800,-121.23686100,0.238,0.084
osm243551331,48.51422880,-121.23742540,0.184,0.126
osm243551332,48.51389620,-121.23759170,0.147,0.138
osm243551334,48.51340650,-121.23767040,0.092,0.144
osm243551335,48.51326330,-121.23783200,0.076,0.156
osm243551336,48.51343630,-121.23799890,0.096,0.168
osm243551338,48.51432960,-121.23776390,0.195,0.151
osm243551340,48.51476420,-121.23740140,0.243,0.124
osm243551341,48.51513280,-121.23709160,0.284,0.101
osm243551343,48.51526760,-121.23640490,0.299,0.051
osm243551345,48.51518400,-121.23580050,0.290,0.006
osm243551347,48.51579710,-121.23495580,0.358,-0.056
osm243551349,48.51599950,-121.23368860,0.381,-0.150
osm1953997280,48.51612460,-121.23324290,0.395,-0.182
osm243551352,48.51631630,-121.23210650,0.416,-0.266
osm1953997282,48.51641750,-121.23210300,0.427,-0.266
osm243551354,48.51648230,-121.23221990,0.434,-0.258
osm243551356,48.51645970,-121.23310410,0.432,-0.193
osm1953997283,48.51644360,-121.23587640,0.430,0.012
osm1953997281,48.51635240,-121.23653480,0.420,0.060
osm243551358,48.51649030,-121.23739250,0.435,0.123
osm243551360,48.51617060,-121.23834100,0.400,0.193
osm243551362,48.51672800,-121.23847410,0.462,0.203
osm1953997284,48.51699030,-121.23815610,0.491,0.180
osm243551363,48.51710100,-121.23770310,0.503,0.146
osm243551364,48.51725110,-121.23685820,0.520,0.084
osm243551365,48.51739450,-121.23635700,0.536,0.047
osm243551367,48.51766140,-121.23512390,0.565,-0.044
osm243551369,48.51765680,-121.23404090,0.565,-0.124
osm243551371,48.51777500,-121.23395750,0.578,-0.130
osm243551372,48.51795840,-121.23395060,0.598,-0.130
