osm_wid,osm_nid_1,osm_nid_2,linkuse,comment
w15005218,osm1363479432,osm148149877,highway,"Ayer Rajah Expressway.link1"
w15774741,osm6167590454,osm148145984,highway,"motorway_link01.link1"
w15774741,osm6064069013,osm6167590454,highway,"motorway_link01.link2"
w15774741,osm1363457041,osm6064069013,highway,"motorway_link01.link3"
w22674908,osm1867272142,osm1948683079,slowroad,"Mount Faber Road.link1"
w22674908,osm26782226,osm1867272142,slowroad,"Mount Faber Road.link2"
w22674908,osm4381835613,osm26782226,slowroad,"Mount Faber Road.link3"
w22674908,osm5150001280,osm4381835613,slowroad,"Mount Faber Road.link4"
w22674908,osm1867272136,osm5150001280,slowroad,"Mount Faber Road.link5"
w22674908,osm5150001281,osm1867272136,slowroad,"Mount Faber Road.link6"
w22674908,osm26782289,osm5150001281,slowroad,"Mount Faber Road.link7"
w22674908,osm682716375,osm26782289,slowroad,"Mount Faber Road.link8"
w22674908,osm4381835611,osm682716375,slowroad,"Mount Faber Road.link9"
w22674908,osm4381835612,osm4381835611,slowroad,"Mount Faber Road.link10"
w22674908,osm1867272140,osm4381835612,slowroad,"Mount Faber Road.link11"
w22674908,osm26782190,osm1867272140,slowroad,"Mount Faber Road.link12"
w22674908,osm26782142,osm26782190,slowroad,"Mount Faber Road.link13"
w22674908,osm26782150,osm26782142,slowroad,"Mount Faber Road.link14"
w22674908,osm26782262,osm26782150,slowroad,"Mount Faber Road.link15"
w22674908,osm26782299,osm26782262,slowroad,"Mount Faber Road.link16"
w22674908,osm1867272149,osm26782299,slowroad,"Mount Faber Road.link17"
w22674908,osm26782013,osm1867272149,slowroad,"Mount Faber Road.link18"
w22674908,osm26782198,osm26782013,slowroad,"Mount Faber Road.link19"
w22674908,osm5148627213,osm26782198,slowroad,"Mount Faber Road.link20"
w22674908,osm5148627214,osm5148627213,slowroad,"Mount Faber Road.link21"
w22674908,osm26782040,osm5148627214,slowroad,"Mount Faber Road.link22"
w22674909,osm26781962,osm4600797368,road,"Kampong Bahru Road.link1"
w22674909,osm4600797374,osm26781962,road,"Kampong Bahru Road.link2"
w22674909,osm4600797373,osm4600797374,road,"Kampong Bahru Road.link3"
w22674909,osm4600797372,osm4600797373,road,"Kampong Bahru Road.link4"
w22674909,osm4600797371,osm4600797372,road,"Kampong Bahru Road.link5"
w22674909,osm4600797370,osm4600797371,road,"Kampong Bahru Road.link6"
w22674909,osm4600797369,osm4600797370,road,"Kampong Bahru Road.link7"
w22674911,osm8061269209,osm26782266,road,"Jalan Bukit Merah.link1"
w22674911,osm1814209871,osm8061269209,road,"Jalan Bukit Merah.link2"
w22674911,osm1814209872,osm1814209871,road,"Jalan Bukit Merah.link3"
w22674911,osm5284743539,osm1814209872,road,"Jalan Bukit Merah.link4"
w22674911,osm5284743541,osm5284743539,road,"Jalan Bukit Merah.link5"
w22674911,osm5284743540,osm5284743541,road,"Jalan Bukit Merah.link6"
w22674911,osm1829828106,osm5284743540,road,"Jalan Bukit Merah.link7"
w22674911,osm5969122793,osm1829828106,road,"Jalan Bukit Merah.link8"
w22741870,osm1363457023,osm4606255053,road,"Lower Delta Road.link1"
w22741870,osm243995673,osm1363457023,road,"Lower Delta Road.link2"
w22741870,osm5282726987,osm243995673,road,"Lower Delta Road.link3"
w22741870,osm4736527023,osm5282726987,road,"Lower Delta Road.link4"
w22741871,osm1366339445,osm1366339442,driveway,"Kampong Bahru Road01.link1"
w22741871,osm4600763572,osm1366339445,driveway,"Kampong Bahru Road01.link2"
w22741871,osm4600763571,osm4600763572,driveway,"Kampong Bahru Road01.link3"
w22741871,osm6899945853,osm4600763571,driveway,"Kampong Bahru Road01.link4"
w22741872,osm243995727,osm243995671,road,"Lower Delta Road01.link1"
w22741873,osm243995734,osm243995697,road,"Lower Delta Road02.link1"
w22741874,osm4736645218,osm243995723,road,"Lower Delta Road03.link1"
w22741875,osm1363457022,osm1363457021,highway,"motorway_link02.link1"
w22741875,osm243995729,osm1363457022,highway,"motorway_link02.link2"
w22741877,osm243995731,osm243995730,highway,"motorway_link03.link1"
w22741877,osm4738210404,osm243995731,highway,"motorway_link03.link2"
w22741879,osm4606255049,osm243995727,road,"Lower Delta Road04.link1"
w22741879,osm7190969842,osm4606255049,road,"Lower Delta Road04.link2"
w22741879,osm243995733,osm7190969842,road,"Lower Delta Road04.link3"
w22741881,osm7190969843,osm243995742,road,"Lower Delta Road05.link1"
w22741881,osm4606255042,osm7190969843,road,"Lower Delta Road05.link2"
w22741881,osm1363457055,osm4606255042,road,"Lower Delta Road05.link3"
w22741882,osm243995742,osm243995734,road,"Lower Delta Road06.link1"
w22741883,osm1363457044,osm243995733,road,"Lower Delta Road07.link1"
w22741884,osm7424704075,osm243995736,highway,"motorway_link04.link1"
w22741884,osm243995737,osm7424704075,highway,"motorway_link04.link2"
w22741884,osm566531150,osm243995737,highway,"motorway_link04.link3"
w22741885,osm6096268908,osm148145557,highway,"motorway_link05.link1"
w22741885,osm6096268907,osm6096268908,highway,"motorway_link05.link2"
w22741885,osm243995739,osm6096268907,highway,"motorway_link05.link3"
w22741885,osm1363457051,osm243995739,highway,"motorway_link05.link4"
w22741885,osm4738210407,osm1363457051,highway,"motorway_link05.link5"
w22892546,osm4841159881,osm566522004,road,"Keppel Road.link1"
w22920142,osm1829435347,osm243210137,slowroad,"Everton Road.link1"
w22920144,osm4600811394,osm4710801499,slowroad,"Spottiswoode Park Road.link1"
w22920144,osm4600811390,osm4600811394,slowroad,"Spottiswoode Park Road.link2"
w22920144,osm4600811391,osm4600811390,slowroad,"Spottiswoode Park Road.link3"
w22920144,osm4600811392,osm4600811391,slowroad,"Spottiswoode Park Road.link4"
w22920144,osm246801937,osm4600811392,slowroad,"Spottiswoode Park Road.link5"
w22920144,osm4600811393,osm246801937,slowroad,"Spottiswoode Park Road.link6"
w22920144,osm4600811389,osm4600811393,slowroad,"Spottiswoode Park Road.link7"
w22920144,osm4600811388,osm4600811389,slowroad,"Spottiswoode Park Road.link8"
w22920144,osm246801936,osm4600811388,slowroad,"Spottiswoode Park Road.link9"
w22920144,osm7095020353,osm246801936,slowroad,"Spottiswoode Park Road.link10"
w22920144,osm246801932,osm7095020353,slowroad,"Spottiswoode Park Road.link11"
w22920145,osm5138586971,osm1829622647,slowroad,"Spottiswoode Park Road01.link1"
w22920145,osm5138586970,osm5138586971,slowroad,"Spottiswoode Park Road01.link2"
w22920145,osm246801942,osm5138586970,slowroad,"Spottiswoode Park Road01.link3"
w22920145,osm7095000228,osm246801942,slowroad,"Spottiswoode Park Road01.link4"
w22920146,osm1829622676,osm1829622682,slowroad,"Spottiswoode Park Road02.link1"
w22920146,osm5138586969,osm1829622676,slowroad,"Spottiswoode Park Road02.link2"
w22920146,osm246801940,osm5138586969,slowroad,"Spottiswoode Park Road02.link3"
w22920147,osm7095000232,osm246801944,slowroad,"Everton Road01.link1"
w22920147,osm246801948,osm7095000232,slowroad,"Everton Road01.link2"
w22920147,osm6930072905,osm246801948,slowroad,"Everton Road01.link3"
w22964876,osm7007316893,osm236822800,walkway,"footway01.link1"
w22964876,osm236822831,osm7007316893,walkway,"footway01.link2"
w22964876,osm5686987800,osm236822831,walkway,"footway01.link3"
w22964876,osm236822864,osm5686987800,walkway,"footway01.link4"
w22964876,osm236822893,osm236822864,walkway,"footway01.link5"
w22964876,osm1363479446,osm236822893,walkway,"footway01.link6"
w22964876,osm236822921,osm1363479446,walkway,"footway01.link7"
w22964876,osm236822950,osm236822921,walkway,"footway01.link8"
w22964876,osm4280013887,osm236822950,walkway,"footway01.link9"
w22964876,osm236822985,osm4280013887,walkway,"footway01.link10"
w22964876,osm4280014496,osm236822985,walkway,"footway01.link11"
w22964876,osm236823008,osm4280014496,walkway,"footway01.link12"
w23065345,osm248902875,osm248902766,driveway,"service01.link1"
w23135308,osm249797211,osm249797210,slowroad,"Third Hospital Avenue.link1"
w23135308,osm1814232981,osm249797211,slowroad,"Third Hospital Avenue.link2"
w23135308,osm249797212,osm1814232981,slowroad,"Third Hospital Avenue.link3"
w23135308,osm1814232985,osm249797212,slowroad,"Third Hospital Avenue.link4"
w23135308,osm1814232988,osm1814232985,slowroad,"Third Hospital Avenue.link5"
w23135308,osm249797213,osm1814232988,slowroad,"Third Hospital Avenue.link6"
w23135308,osm1814232990,osm249797213,slowroad,"Third Hospital Avenue.link7"
w23135308,osm249797230,osm1814232990,slowroad,"Third Hospital Avenue.link8"
w23135308,osm249797231,osm249797230,slowroad,"Third Hospital Avenue.link9"
w23135308,osm249797232,osm249797231,slowroad,"Third Hospital Avenue.link10"
w23135308,osm249797233,osm249797232,slowroad,"Third Hospital Avenue.link11"
w23135308,osm249797234,osm249797233,slowroad,"Third Hospital Avenue.link12"
w23135371,osm4711961689,osm4606265663,slowroad,"College Road.link1"
w23135371,osm4711961690,osm4711961689,slowroad,"College Road.link2"
w23135371,osm4711961691,osm4711961690,slowroad,"College Road.link3"
w23135371,osm4711961692,osm4711961691,slowroad,"College Road.link4"
w23135371,osm4711961693,osm4711961692,slowroad,"College Road.link5"
w23135371,osm5131269923,osm4711961693,slowroad,"College Road.link6"
w23135371,osm5131269922,osm5131269923,slowroad,"College Road.link7"
w23135371,osm409640448,osm5131269922,slowroad,"College Road.link8"
w23135373,osm1831896373,osm5974710529,slowroad,"Hospital Drive.link1"
w23135373,osm1831896125,osm1831896373,slowroad,"Hospital Drive.link2"
w23135373,osm249797206,osm1831896125,slowroad,"Hospital Drive.link3"
w23135741,osm1790050938,osm243210031,highway,"motorway_link06.link1"
w23135741,osm1790050936,osm1790050938,highway,"motorway_link06.link2"
w23135741,osm1790050937,osm1790050936,highway,"motorway_link06.link3"
w23135741,osm1790050939,osm1790050937,highway,"motorway_link06.link4"
w23135741,osm1790050941,osm1790050939,highway,"motorway_link06.link5"
w23135741,osm249799926,osm1790050941,highway,"motorway_link06.link6"
w23135742,osm8024177546,osm249799927,highway,"motorway_link07.link1"
w23135742,osm1790050932,osm8024177546,highway,"motorway_link07.link2"
w23135742,osm1790050935,osm1790050932,highway,"motorway_link07.link3"
w23135742,osm1790050940,osm1790050935,highway,"motorway_link07.link4"
w23135742,osm249799926,osm1790050940,highway,"motorway_link07.link5"
w23135743,osm6076285972,osm249799932,highway,"motorway_link08.link1"
w23135743,osm6064232258,osm6076285972,highway,"motorway_link08.link2"
w23135743,osm6076285971,osm6064232258,highway,"motorway_link08.link3"
w23135743,osm1790057745,osm6076285971,highway,"motorway_link08.link4"
w23135743,osm249799934,osm1790057745,highway,"motorway_link08.link5"
w23135743,osm5980910306,osm249799934,highway,"motorway_link08.link6"
w23135744,osm1790050929,osm249799946,highway,"motorway_link09.link1"
w23135744,osm1790057741,osm1790050929,highway,"motorway_link09.link2"
w23135744,osm249799947,osm1790057741,highway,"motorway_link09.link3"
w23135744,osm1790057737,osm249799947,highway,"motorway_link09.link4"
w23135744,osm1790057734,osm1790057737,highway,"motorway_link09.link5"
w23135744,osm249799948,osm1790057734,highway,"motorway_link09.link6"
w23135745,osm249799927,osm249799949,highway,"motorway_link10.link1"
