osm_nid,lat,lng,x,z
osm148149877,1.27241840,103.83409990,0.092,-0.551
osm1363479432,1.27248240,103.83665370,0.099,-0.835
osm148145984,1.27888190,103.82325780,0.811,0.654
osm6167590454,1.27883540,103.82333550,0.806,0.645
osm6064069013,1.27880260,103.82341490,0.802,0.636
osm1363457041,1.27876170,103.82354670,0.797,0.622
osm1948683079,1.26788770,103.82431210,-0.412,0.537
osm1867272142,1.26785230,103.82429120,-0.416,0.539
osm26782226,1.26782530,103.82427530,-0.419,0.541
osm4381835613,1.26776460,103.82421110,-0.425,0.548
osm5150001280,1.26774120,103.82413410,-0.428,0.556
osm1867272136,1.26772840,103.82404770,-0.429,0.566
osm5150001281,1.26774240,103.82390870,-0.428,0.582
osm26782289,1.26774470,103.82382940,-0.428,0.590
osm682716375,1.26769160,103.82337500,-0.433,0.641
osm4381835611,1.26771090,103.82325810,-0.431,0.654
osm4381835612,1.26778100,103.82314230,-0.424,0.667
osm1867272140,1.26787450,103.82305890,-0.413,0.676
osm26782190,1.26799750,103.82298780,-0.399,0.684
osm26782142,1.26836940,103.82282720,-0.358,0.702
osm26782150,1.26861320,103.82264430,-0.331,0.722
osm26782262,1.26881240,103.82243390,-0.309,0.746
osm26782299,1.26908980,103.82204360,-0.278,0.789
osm1867272149,1.26917110,103.82192770,-0.269,0.802
osm26782013,1.26925540,103.82182100,-0.260,0.814
osm26782198,1.26935770,103.82172140,-0.248,0.825
osm5148627213,1.26948090,103.82167510,-0.235,0.830
osm5148627214,1.26961230,103.82166980,-0.220,0.830
osm26782040,1.26996890,103.82167790,-0.180,0.830
osm4600797368,1.27293790,103.82858490,0.150,0.062
osm26781962,1.27303420,103.82866670,0.161,0.053
osm4600797374,1.27310550,103.82870890,0.169,0.048
osm4600797373,1.27318730,103.82873270,0.178,0.045
osm4600797372,1.27325720,103.82874060,0.185,0.044
osm4600797371,1.27333910,103.82873140,0.194,0.045
osm4600797370,1.27342750,103.82871290,0.204,0.047
osm4600797369,1.27351510,103.82868640,0.214,0.050
osm26782266,1.27666770,103.83355600,0.565,-0.491
osm8061269209,1.27670690,103.83350080,0.569,-0.485
osm1814209871,1.27674440,103.83344820,0.573,-0.479
osm1814209872,1.27681420,103.83336040,0.581,-0.469
osm5284743539,1.27686050,103.83330240,0.586,-0.463
osm5284743541,1.27691580,103.83322630,0.592,-0.454
osm5284743540,1.27696480,103.83314680,0.598,-0.445
osm1829828106,1.27704090,103.83300510,0.606,-0.430
osm5969122793,1.27728690,103.83252870,0.633,-0.377
osm4606255053,1.27773120,103.82360650,0.683,0.615
