osm_wid,name,osmtype,osmsubtype,linkuse,nnodes,lat,lng,z,x,height,levels
w15005218,Ayer Rajah Expressway,highway,motorway,highway,2,1.2724504,103.8353768,0.6933,0.0957,0,0
w15774741,motorway_link01,highway,motorway_link,highway,4,1.2788204,103.8233887,-0.6394,0.8040,0,0
w22674908,Mount Faber Road,highway,residential,slowroad,23,1.2683945,103.8230119,-0.6812,-0.3553,0,0
w22674909,Kampong Bahru Road,highway,secondary,road,8,1.2732255,103.8286956,-0.0494,0.1819,0,0
w22674911,Jalan Bukit Merah,highway,primary,road,9,1.2768891,103.8332305,0.4547,0.5892,0,0
w22741870,Lower Delta Road,highway,primary,road,5,1.2771058,103.8234516,-0.6324,0.6133,0,0
w22741871,Kampong Bahru Road01,highway,service,driveway,5,1.2658952,103.8272272,-0.2126,-0.6332,0,0
w22741872,Lower Delta Road01,highway,primary,road,2,1.2794570,103.8238575,-0.5872,0.8748,0,0
w22741873,Lower Delta Road02,highway,primary,road,2,1.2786290,103.8236080,-0.6150,0.7827,0,0
w22741874,Lower Delta Road03,highway,primary,road,2,1.2799175,103.8236411,-0.6113,0.9260,0,0
w22741875,motorway_link02,highway,motorway_link,highway,3,1.2775335,103.8249721,-0.4633,0.6609,0,0
w22741877,motorway_link03,highway,motorway_link,highway,3,1.2784698,103.8224114,-0.7480,0.7650,0,0
w22741879,Lower Delta Road04,highway,primary,road,4,1.2792409,103.8238639,-0.5865,0.8507,0,0
w22741881,Lower Delta Road05,highway,primary,road,4,1.2792816,103.8236634,-0.6088,0.8553,0,0
w22741882,Lower Delta Road06,highway,primary,road,2,1.2790215,103.8236558,-0.6097,0.8263,0,0
w22741883,Lower Delta Road07,highway,primary,road,2,1.2789826,103.8238530,-0.5877,0.8220,0,0
w22741884,motorway_link04,highway,motorway_link,highway,4,1.2777743,103.8260314,-0.3456,0.6877,0,0
w22741885,motorway_link05,highway,motorway_link,highway,6,1.2791581,103.8207167,-0.9364,0.8415,0,0
w22892546,Keppel Road,highway,primary,road,2,1.2713064,103.8313191,0.2422,-0.0315,0,0
w22920142,Everton Road,highway,residential,slowroad,2,1.2771287,103.8381820,1.0052,0.6159,0,0
w22920144,Spottiswoode Park Road,highway,residential,slowroad,12,1.2733820,103.8378864,0.9723,0.1993,0,0
w22920145,Spottiswoode Park Road01,highway,residential,slowroad,5,1.2754323,103.8372275,0.8991,0.4272,0,0
w22920146,Spottiswoode Park Road02,highway,residential,slowroad,4,1.2743643,103.8360954,0.7732,0.3085,0,0
w22920147,Everton Road01,highway,residential,slowroad,4,1.2765671,103.8375099,0.9305,0.5534,0,0
w22964876,footway01,highway,footway,walkway,13,1.2737660,103.8320285,0.3211,0.2420,0,0
w23065345,service01,highway,service,driveway,2,1.2629344,103.8319834,0.3161,-0.9625,0,0
w23135308,Third Hospital Avenue,highway,residential,slowroad,13,1.2812742,103.8368588,0.8581,1.0768,0,0
w23135371,College Road,highway,residential,slowroad,9,1.2785959,103.8324492,0.3679,0.7790,0,0
w23135373,Hospital Drive,highway,residential,slowroad,4,1.2791360,103.8362380,0.7891,0.8391,0,0
w23135741,motorway_link06,highway,motorway_link,highway,7,1.2795133,103.8288328,-0.0341,0.8810,0,0
w23135742,motorway_link07,highway,motorway_link,highway,6,1.2793767,103.8290058,-0.0149,0.8658,0,0
w23135743,motorway_link08,highway,motorway_link,highway,7,1.2803665,103.8304051,0.1406,0.9759,0,0
w23135744,motorway_link09,highway,motorway_link,highway,7,1.2790636,103.8295595,0.0466,0.8310,0,0
w23135745,motorway_link10,highway,motorway_link,highway,2,1.2790850,103.8289794,-0.0178,0.8334,0,0
w23135746,motorway_link11,highway,motorway_link,highway,2,1.2789883,103.8291179,-0.0025,0.8226,0,0
w28755864,Brani Causeway,highway,service,driveway,8,1.2613095,103.8240853,-0.5619,-1.1431,0,0
w28755866,Sentosa Gateway,highway,secondary,road,5,1.2657619,103.8238318,-0.5901,-0.6481,0,0
w32341050,Kampong Bahru Road02,highway,primary,road,12,1.2763258,103.8343237,0.5763,0.5266,0,0
w32341093,Kampong Bahru Road03,highway,primary,road,5,1.2776289,103.8368065,0.8523,0.6715,0,0
w33913122,Keppel Road01,highway,primary,road,8,1.2725528,103.8324093,0.3634,0.1071,0,0
w33913321,motorway_link12,highway,motorway_link,highway,13,1.2732422,103.8317513,0.2903,0.1837,0,0
