osm_wid,osm_nid_1,osm_nid_2,linkuse,comment
w22906724,osm4487809746,osm4487809744,road,"Tuas Road.link1"
w22906724,osm246626745,osm4487809746,road,"Tuas Road.link2"
w22906724,osm5152341181,osm246626745,road,"Tuas Road.link3"
w22906724,osm1864383403,osm5152341181,road,"Tuas Road.link4"
w22906724,osm246627623,osm1864383403,road,"Tuas Road.link5"
w22906724,osm5152341178,osm246627623,road,"Tuas Road.link6"
w22906724,osm4487809748,osm5152341178,road,"Tuas Road.link7"
w22906724,osm1864383401,osm4487809748,road,"Tuas Road.link8"
w22906724,osm246627622,osm1864383401,road,"Tuas Road.link9"
w22906724,osm1864383398,osm246627622,road,"Tuas Road.link10"
w22906724,osm246627621,osm1864383398,road,"Tuas Road.link11"
w22906724,osm1864383397,osm246627621,road,"Tuas Road.link12"
w22906724,osm246627620,osm1864383397,road,"Tuas Road.link13"
w22906724,osm1864383399,osm246627620,road,"Tuas Road.link14"
w22906724,osm246627619,osm1864383399,road,"Tuas Road.link15"
w22906724,osm1864383400,osm246627619,road,"Tuas Road.link16"
w22906724,osm246627618,osm1864383400,road,"Tuas Road.link17"
w22906724,osm1864383402,osm246627618,road,"Tuas Road.link18"
w22906724,osm4487809744,osm1864383402,road,"Tuas Road.link19"
w32634723,osm1865254898,osm5268869991,driveway,"service01.link1"
w32634723,osm5268694672,osm1865254898,driveway,"service01.link2"
w32634723,osm5556948838,osm5268694672,driveway,"service01.link3"
w32634724,osm6212312821,osm366920310,slowroad,"Pioneer Sector 3.link1"
w32634724,osm6212312822,osm6212312821,slowroad,"Pioneer Sector 3.link2"
w32634732,osm366920566,osm6235220960,slowroad,"Pioneer Sector 2.link1"
w32634732,osm5268684996,osm366920566,slowroad,"Pioneer Sector 2.link2"
w175879009,osm4735172207,osm5266834657,road,"Tuas Road01.link1"
w251582122,osm1865254895,osm5268704168,slowroad,"Pioneer Sector 1.link1"
w251582122,osm366921569,osm1865254895,slowroad,"Pioneer Sector 1.link2"
w251582122,osm5268779384,osm366921569,slowroad,"Pioneer Sector 1.link3"
w251582122,osm1865254893,osm5268779384,slowroad,"Pioneer Sector 1.link4"
w251582122,osm1865254892,osm1865254893,slowroad,"Pioneer Sector 1.link5"
w251582122,osm366921566,osm1865254892,slowroad,"Pioneer Sector 1.link6"
w451996542,osm6596800126,osm4488011059,driveway,"service02.link1"
w451996542,osm4488011061,osm6596800126,driveway,"service02.link2"
w451996559,osm4488012004,osm4488012005,driveway,"service03.link1"
w451996560,osm4488012007,osm4488012010,driveway,"service04.link1"
w451996560,osm4488012006,osm4488012007,driveway,"service04.link2"
w451996561,osm4488012010,osm4488012011,driveway,"service05.link1"
w451996562,osm4488012015,osm4488354711,driveway,"service06.link1"
w451996562,osm5268761459,osm4488012015,driveway,"service06.link2"
w451996562,osm4488012014,osm5268761459,driveway,"service06.link3"
w451996562,osm5268761460,osm4488012014,driveway,"service06.link4"
w451996562,osm4488012013,osm5268761460,driveway,"service06.link5"
w451996562,osm4488012012,osm4488012013,driveway,"service06.link6"
w451996562,osm4488012016,osm4488012012,driveway,"service06.link7"
w451996563,osm4488012009,osm4488012018,driveway,"service07.link1"
w451996564,osm4488012020,osm4488011063,driveway,"service08.link1"
w451996565,osm4488012019,osm4488012022,driveway,"service09.link1"
w451996566,osm4488012023,osm4488012026,driveway,"service10.link1"
w451996567,osm4488012024,osm4488012028,driveway,"service11.link1"
w451996568,osm4488011059,osm4488012029,driveway,"service12.link1"
w451996569,osm4488012032,osm4488012033,driveway,"service13.link1"
w451996569,osm4488012031,osm4488012032,driveway,"service13.link2"
w451996570,osm4488012034,osm4488012035,driveway,"service14.link1"
w451996571,osm4488012037,osm4488011075,driveway,"service15.link1"
w451996571,osm4488012035,osm4488012037,driveway,"service15.link2"
w451996572,osm4488012039,osm4488012036,driveway,"service16.link1"
w451996572,osm5220515347,osm4488012039,driveway,"service16.link2"
w451996572,osm4488011997,osm5220515347,driveway,"service16.link3"
w451996573,osm4488012046,osm4488012047,driveway,"service17.link1"
w451996573,osm4488012045,osm4488012046,driveway,"service17.link2"
w451996574,osm4488012050,osm6666605882,driveway,"service18.link1"
w451996575,osm4488012051,osm4488012050,driveway,"service19.link1"
w451996576,osm4488012052,osm4488012054,driveway,"service20.link1"
w451996576,osm6381603191,osm4488012052,driveway,"service20.link2"
