osm_nid,lat,lng,x,z
osm4487809744,1.30768550,103.64944530,0.788,0.691
osm4487809746,1.30772260,103.64947400,0.792,0.688
osm246626745,1.30774820,103.64951330,0.795,0.683
osm5152341181,1.30775920,103.64955550,0.796,0.679
osm1864383403,1.30775670,103.64959900,0.796,0.674
osm246627623,1.30774110,103.64963970,0.794,0.669
osm5152341178,1.30771370,103.64967370,0.791,0.665
osm4487809748,1.30767730,103.64969770,0.787,0.663
osm1864383401,1.30763140,103.64970970,0.782,0.661
osm246627622,1.30758420,103.64970590,0.777,0.662
osm1864383398,1.30754090,103.64968660,0.772,0.664
osm246627621,1.30750650,103.64965400,0.768,0.668
osm1864383397,1.30748480,103.64961180,0.766,0.672
osm246627620,1.30747840,103.64956490,0.765,0.678
osm1864383399,1.30748790,103.64951840,0.766,0.683
osm246627619,1.30751220,103.64947780,0.769,0.687
osm1864383400,1.30754870,103.64944750,0.773,0.691
osm246627618,1.30759320,103.64943100,0.778,0.692
osm1864383402,1.30764050,103.64943030,0.783,0.693
osm5268869991,1.30353010,103.65424820,0.326,0.157
osm1865254898,1.30366820,103.65440390,0.341,0.140
osm5268694672,1.30369450,103.65444570,0.344,0.135
osm5556948838,1.30372510,103.65455250,0.347,0.123
osm366920310,1.30631200,103.66214780,0.635,-0.721
osm6212312821,1.30624330,103.66233050,0.628,-0.742
osm6212312822,1.30615750,103.66257320,0.618,-0.769
osm6235220960,1.30231620,103.66459230,0.191,-0.993
osm366920566,1.30227720,103.66451650,0.186,-0.985
osm5268684996,1.30220000,103.66442580,0.178,-0.974
osm5266834657,1.30953760,103.65118760,0.994,0.497
osm4735172207,1.30973040,103.65136890,1.015,0.477
osm5268704168,1.30071450,103.65805410,0.013,-0.266
osm1865254895,1.30070370,103.65807750,0.012,-0.269
osm366921569,1.30061240,103.65811120,0.001,-0.272
osm5268779384,1.30058430,103.65809790,-0.002,-0.271
osm1865254893,1.30052850,103.65807160,-0.008,-0.268
osm1865254892,1.30047890,103.65798990,-0.013,-0.259
osm366921566,1.30049540,103.65790130,-0.012,-0.249
