osm_wid,name,osmtype,osmsubtype,linkuse,nnodes,lat,lng,z,x,height,levels
w22906724,Tuas Road,highway,unclassified,road,20,1.3076249,103.6495641,-0.6777,0.7811,0,0
w32634723,service01,highway,service,driveway,4,1.3036545,103.6544126,-0.1387,0.3396,0,0
w32634724,Pioneer Sector 3,highway,residential,slowroad,3,1.3062376,103.6623505,0.7438,0.6269,0,0
w32634732,Pioneer Sector 2,highway,residential,slowroad,3,1.3022645,103.6645115,0.9840,0.1851,0,0
w175879009,Tuas Road01,highway,unclassified,road,2,1.3096340,103.6512782,-0.4871,1.0045,0,0
w251582122,Pioneer Sector 1,highway,residential,slowroad,7,1.3005882,103.6580434,0.2649,-0.0013,0,0
w451996542,service02,highway,service,driveway,3,1.2947922,103.6610945,0.6041,-0.6458,0,0
w451996559,service03,highway,service,driveway,2,1.2957683,103.6606091,0.5502,-0.5373,0,0
w451996560,service04,highway,service,driveway,3,1.2959666,103.6611382,0.6090,-0.5152,0,0
w451996561,service05,highway,service,driveway,2,1.2961926,103.6610367,0.5977,-0.4901,0,0
w451996562,service06,highway,service,driveway,8,1.2973231,103.6609462,0.5876,-0.3644,0,0
w451996563,service07,highway,service,driveway,2,1.2955819,103.6604549,0.5330,-0.5580,0,0
w451996564,service08,highway,service,driveway,2,1.2947555,103.6605244,0.5408,-0.6499,0,0
w451996565,service09,highway,service,driveway,2,1.2952779,103.6596053,0.4386,-0.5918,0,0
w451996566,service10,highway,service,driveway,2,1.2953055,103.6624463,0.7544,-0.5887,0,0
w451996567,service11,highway,service,driveway,2,1.2949323,103.6617896,0.6814,-0.6302,0,0
w451996568,service12,highway,service,driveway,2,1.2943054,103.6613508,0.6326,-0.6999,0,0
w451996569,service13,highway,service,driveway,3,1.2952555,103.6643603,0.9672,-0.5943,0,0
w451996570,service14,highway,service,driveway,2,1.2932577,103.6639007,0.9161,-0.8164,0,0
w451996571,service15,highway,service,driveway,3,1.2933650,103.6646353,0.9977,-0.8045,0,0
w451996572,service16,highway,service,driveway,4,1.2919889,103.6646745,1.0021,-0.9575,0,0
w451996573,service17,highway,service,driveway,3,1.2951048,103.6631200,0.8293,-0.6110,0,0
w451996574,service18,highway,service,driveway,2,1.2949453,103.6614742,0.6463,-0.6288,0,0
w451996575,service19,highway,service,driveway,2,1.2953477,103.6616168,0.6622,-0.5840,0,0
w451996576,service20,highway,service,driveway,3,1.2961689,103.6620964,0.7155,-0.4927,0,0
w451996577,service21,highway,service,driveway,7,1.2963838,103.6626971,0.7823,-0.4688,0,0
w451996578,service22,highway,service,driveway,3,1.2957811,103.6626026,0.7718,-0.5358,0,0
w451996579,service23,highway,service,driveway,3,1.2958285,103.6615626,0.6562,-0.5306,0,0
w452030811,service24,highway,service,driveway,2,1.3097703,103.6586397,0.3312,1.0197,0,0
w452030812,service25,highway,service,driveway,2,1.3095028,103.6589115,0.3615,0.9899,0,0
w452030814,service26,highway,service,driveway,2,1.3097226,103.6597327,0.4528,1.0144,0,0
w452030815,service27,highway,service,driveway,2,1.3096010,103.6594171,0.4177,1.0009,0,0
w452030816,service28,highway,service,driveway,3,1.3093066,103.6598460,0.4653,0.9681,0,0
w452030817,service29,highway,service,driveway,2,1.3086263,103.6600208,0.4848,0.8925,0,0
w452030821,service30,highway,service,driveway,2,1.3097276,103.6626653,0.7788,1.0149,0,0
w452033712,service31,highway,service,driveway,6,1.3079042,103.6504031,-0.5844,0.8122,0,0
w452033713,service32,highway,service,driveway,2,1.3096379,103.6514696,-0.4658,1.0050,0,0
w452033715,service33,highway,service,driveway,8,1.3080100,103.6469099,-0.9727,0.8240,0,0
w452033716,service34,highway,service,driveway,2,1.3069423,103.6478764,-0.8653,0.7052,0,0
w452034981,service35,highway,service,driveway,2,1.2983054,103.6609306,0.5859,-0.2551,0,0
w452034982,service36,highway,service,driveway,4,1.2983012,103.6607750,0.5686,-0.2556,0,0
w452034983,service37,highway,service,driveway,3,1.3003582,103.6604392,0.5313,-0.0269,0,0
w452034984,service38,highway,service,driveway,2,1.3006338,103.6606053,0.5498,0.0038,0,0
w452034985,service39,highway,service,driveway,2,1.3010384,103.6595082,0.4278,0.0487,0,0
w452034986,service40,highway,service,driveway,2,1.3011355,103.6596311,0.4415,0.0595,0,0
w452034987,service41,highway,service,driveway,2,1.3012374,103.6597575,0.4555,0.0709,0,0
w452034988,service42,highway,service,driveway,2,1.3013383,103.6598811,0.4692,0.0821,0,0
w452034989,service43,highway,service,driveway,2,1.3014321,103.6600097,0.4835,0.0925,0,0
w452034990,service44,highway,service,driveway,2,1.3015052,103.6601564,0.4998,0.1007,0,0
w452034991,service45,highway,service,driveway,10,1.3012429,103.6599770,0.4799,0.0715,0,0
w452034992,service46,highway,service,driveway,6,1.3004008,103.6610336,0.5974,-0.0222,0,0
w452034993,service47,highway,service,driveway,2,1.3018571,103.6615821,0.6583,0.1398,0,0
w452034994,service48,highway,service,driveway,4,1.3014613,103.6611059,0.6054,0.0958,0,0
w452034995,service49,highway,service,driveway,2,1.3021330,103.6610080,0.5945,0.1705,0,0
w452034996,service50,highway,service,driveway,2,1.3016032,103.6618395,0.6869,0.1116,0,0
w452034997,service51,highway,service,driveway,3,1.3015104,103.6616175,0.6623,0.1012,0,0
w452034998,service52,highway,service,driveway,5,1.2989749,103.6625786,0.7691,-0.1807,0,0
