osm_nid,lat,lng,x,z
osm3801669054,47.63609750,47.63609750,540.528,-490.249
osm1738771463,47.63621600,47.63621600,525.395,-486.962
osm1738771464,47.63632370,47.63632370,511.910,-484.742
osm1835922398,47.63640890,47.63640890,500.321,-480.361
osm1835922405,47.63648750,47.63648750,488.260,-472.418
osm1835922420,47.63653880,47.63653880,478.876,-462.924
osm1835922416,47.63656160,47.63656160,472.920,-453.620
osm1835922403,47.63657210,47.63657210,468.158,-443.582
osm1835922414,47.63655400,47.63655400,465.671,-430.413
osm1835922426,47.63651040,47.63651040,465.656,-415.716
osm1835922401,47.63645710,47.63645710,468.491,-405.881
osm1738771466,47.63638370,47.63638370,473.503,-395.492
osm1835922427,47.63630460,47.63630460,480.019,-387.470
osm1835922404,47.63619940,47.63619940,489.534,-379.222
osm1835922434,47.63608630,47.63608630,500.726,-373.094
osm1835922402,47.63598070,47.63598070,511.812,-369.188
osm1835922419,47.63587140,47.63587140,524.269,-367.941
osm1835922425,47.63575840,47.63575840,538.088,-369.333
osm1835922421,47.63566010,47.63566010,550.772,-372.430
osm1561048741,47.63550650,47.63550650,572.397,-382.414
osm53124320,47.65563520,47.65563520,-1951.347,42.480
osm53036753,47.63655660,47.63655660,505.473,-544.677
osm346082665,47.63610810,47.63610810,552.518,-527.969
osm1738771455,47.63344780,47.63344780,861.018,-512.763
osm1835922431,47.63383800,47.63383800,797.760,-463.689
osm53048851,47.63433630,47.63433630,721.405,-413.633
osm53048853,47.63457470,47.63457470,684.440,-388.448
osm53048854,47.63466510,47.63466510,669.116,-375.174
osm1835922396,47.63470990,47.63470990,658.865,-361.026
osm53048855,47.63471590,47.63471590,653.737,-348.436
osm1835922409,47.63468170,47.63468170,652.261,-332.735
osm53048858,47.63462880,47.63462880,654.322,-320.828
osm1835922400,47.63454560,47.63454560,659.537,-307.723
osm1738771459,47.63444350,47.63444350,667.733,-296.758
osm53048860,47.63431550,47.63431550,679.381,-286.925
osm1835922411,47.63418040,47.63418040,692.857,-279.911
osm1835922418,47.63401330,47.63401330,710.641,-274.417
osm53048862,47.63387710,47.63387710,726.276,-273.183
osm1835922433,47.63378450,47.63378450,737.781,-274.837
osm1835922422,47.63367700,47.63367700,752.178,-279.723
osm1835922424,47.63358800,47.63358800,765.445,-287.610
osm1835922397,47.63353040,47.63353040,775.007,-295.490
osm53048865,47.63349530,47.63349530,782.925,-306.253
osm1561048735,47.63348300,47.63348300,790.218,-322.894
osm53048866,47.63348850,47.63348850,801.397,-356.591
osm1835922412,47.63351270,47.63351270,806.107,-378.140
osm2500975384,47.63353760,47.63353760,806.391,-387.319
osm6219028619,47.63355800,47.63355800,805.459,-391.520
osm53048867,47.63356800,47.63356800,804.934,-393.386
osm1561048737,47.63362110,47.63362110,801.149,-400.449
osm3801669564,47.63369930,47.63369930,794.001,-406.366
osm53051520,47.63585040,47.63585040,569.997,-491.156
osm740159762,47.63516590,47.63516590,645.208,-475.373
osm1835922435,47.63502030,47.63502030,665.069,-483.022
osm1835922417,47.63484650,47.63484650,688.998,-492.780
osm1835922407,47.63422050,47.63422050,774.247,-525.255
osm1835922408,47.63404990,47.63404990,796.727,-531.960
osm1835922406,47.63385280,47.63385280,824.176,-543.919
osm1835922415,47.63338310,47.63338310,890.376,-574.654
osm1835922413,47.63297820,47.63297820,947.132,-600.264
osm53048880,47.63261500,47.63261500,907.174,-364.366
osm53055991,47.63328150,47.63328150,835.167,-383.227
osm53055993,47.63334870,47.63334870,826.439,-380.947
osm2500975386,47.63337780,47.63337780,822.570,-379.705
osm1561048733,47.63341000,47.63341000,815.895,-371.510
osm2500975381,47.63340300,47.63340300,813.351,-361.909
osm2500975385,47.63339250,47.63339250,799.940,-320.176
osm347260117,47.63340660,47.63340660,793.635,-306.951
osm1835922395,47.63343400,47.63343400,786.475,-295.762
