osm_nid,lat,lng,x,z
osm3801669054,47.63609750,-122.14296820,540.528,-490.249
osm53124320,47.65563520,-122.12547360,-1951.347,42.480
osm7622471767,47.65559530,-122.12542890,-1948.254,47.080
osm53124321,47.65553900,-122.12536580,-1943.891,53.572
osm53124323,47.65537660,-122.12517390,-1931.551,72.997
osm53124325,47.65522940,-122.12503570,-1919.480,88.077
osm2493146344,47.65510350,-122.12496710,-1907.923,97.467
osm53124327,47.65484330,-122.12493190,-1881.394,109.338
osm53124330,47.65473900,-122.12492740,-1870.521,113.417
osm53124332,47.65457160,-122.12491420,-1853.219,120.385
osm52969097,47.65442000,-122.12488930,-1837.872,127.612
osm52969099,47.65425070,-122.12482970,-1821.521,137.931
osm52969101,47.65411340,-122.12473750,-1809.350,149.401
osm7098810380,47.65401920,-122.12465970,-1801.361,158.299
osm2493146392,47.65393970,-122.12459400,-1794.619,165.811
osm7098810377,47.65390400,-122.12458410,-1791.105,167.798
osm2493146351,47.65385200,-122.12456960,-1785.988,170.698
osm52969105,47.65271930,-122.11931010,-1797.252,583.465
osm52969107,47.65280180,-122.11941830,-1803.255,572.840
osm52992721,47.65741530,-122.13553150,-1889.155,-732.950
osm5935457010,47.65734670,-122.13539750,-1885.257,-721.001
osm53040237,47.65505110,-122.14403320,-1429.135,-1248.914
osm53040234,47.65491210,-122.14399220,-1415.514,-1241.003
osm53040232,47.65469150,-122.14399840,-1392.128,-1233.488
osm53040230,47.65461750,-122.14419620,-1379.425,-1244.808
osm53194110,47.65449640,-122.14458580,-1357.000,-1267.992
osm53033838,47.65440350,-122.14489150,-1339.628,-1286.261
osm2298873022,47.65473750,-122.14514400,-1368.536,-1316.158
osm2298873021,47.65468510,-122.14532630,-1358.492,-1327.160
osm53033839,47.65498290,-122.14545850,-1386.573,-1347.246
osm53036753,47.63655660,-122.14350380,505.473,-544.677
osm6938353680,47.63658550,-122.14355270,503.643,-549.177
osm740155267,47.63659470,-122.14356820,503.059,-550.605
osm2500881952,47.63664740,-122.14365450,499.651,-558.607
osm2500881958,47.63670170,-122.14371530,495.442,-564.865
osm2500881942,47.63675110,-122.14375030,491.108,-569.121
osm2500881966,47.63680070,-122.14377290,486.445,-572.507
osm2500881945,47.63682860,-122.14378350,483.770,-574.263
osm53036754,47.63687500,-122.14400510,484.384,-591.606
osm346082782,47.63688510,-122.14589030,530.116,-725.283
osm53036756,47.63689600,-122.14798730,581.021,-873.967
osm346082664,47.63613880,-122.14798700,660.758,-846.646
osm346082763,47.63612690,-122.14588930,609.941,-697.877
osm3731157574,47.63611070,-122.14361320,555.149,-536.337
osm6938353767,47.63611020,-122.14358980,554.620,-534.664
osm346082665,47.63610810,-122.14349620,552.518,-527.969
osm53040303,47.63689250,-122.11966410,-121.665,1129.051
osm809266924,47.63694050,-122.11965830,-126.864,1127.731
osm53040304,47.63822940,-122.11961500,-263.679,1084.323
osm53040325,47.63384100,-122.11841000,168.574,1327.754
osm53040326,47.63375130,-122.11820000,172.808,1345.839
osm3801669564,47.63369930,-122.14300470,794.001,-406.366
osm53051520,47.63585040,-122.14310700,569.997,-491.156
osm53048880,47.63261500,-122.14296360,907.174,-364.366
osm53059586,47.63007610,-122.13928110,1083.149,-12.418
osm7300789337,47.63024990,-122.13928030,1064.826,-18.628
osm767507598,47.63057430,-122.13927880,1030.624,-30.218
osm4280806672,47.63070130,-122.13929120,1017.557,-35.674
osm4280806684,47.63082760,-122.13930350,1004.561,-41.097
osm4280809712,47.63130180,-122.13934980,955.770,-61.468
osm6199263527,47.63140410,-122.13935950,945.237,-65.842
osm741747629,47.63141660,-122.13935800,943.883,-66.187
osm6199263532,47.63149970,-122.13935820,935.136,-69.197
osm53059588,47.63153270,-122.13935680,931.626,-70.288
osm53060103,47.63765690,-122.11411010,-340.032,1494.246
osm53060105,47.63766400,-122.11444820,-332.387,1470.081
osm53063144,47.63205020,-122.11605720,298.770,1558.699
osm434291625,47.63198080,-122.11598850,304.374,1566.060
osm434291626,47.63192300,-122.11589410,308.118,1574.819
osm434291627,47.63188250,-122.11579110,309.826,1583.563
osm434230715,47.63184200,-122.11565380,310.683,1594.733
osm434230717,47.63182450,-122.11552570,309.347,1604.422
osm434291628,47.63182190,-122.11482370,292.195,1654.158
osm1997381887,47.63180710,-122.11464860,289.407,1667.074
osm53063145,47.63175220,-122.11441160,289.306,1685.813
osm2500943617,47.64226030,-122.12628070,-522.734,467.624
osm2671047988,47.64230350,-122.12644070,-523.312,454.752
osm407645217,47.64235150,-122.12660760,-524.224,441.219
osm2500943628,47.64239630,-122.12673260,-525.839,430.764
osm53070156,47.64246480,-122.12686920,-529.663,418.635
osm890899227,47.64272840,-122.12724810,-548.018,382.337
osm53070155,47.64274960,-122.12741110,-546.205,370.046
osm53070305,47.65225870,-122.12187580,-1685.057,418.637
osm1679011608,47.65228070,-122.12181840,-1688.799,421.903
osm2493194109,47.65229570,-122.12174330,-1692.243,426.673
osm53070306,47.65229920,-122.12167590,-1694.284,431.313
osm53043091,47.65231950,-122.12098310,-1713.619,479.573
osm53070308,47.65235860,-122.12076040,-1723.265,493.911
osm1679011605,47.65240920,-122.12053000,-1734.313,508.380
osm53070309,47.65242680,-122.12028940,-1742.139,524.759
osm1679011610,47.65242290,-122.11998350,-1749.321,546.532
osm1679011601,47.65245160,-122.11971560,-1758.994,564.442
osm53070310,47.65251540,-122.11953800,-1770.121,574.701
osm53070311,47.65265220,-122.11938760,-1788.262,580.404
osm53070313,47.65282220,-122.11895730,-1816.847,604.704
osm53070314,47.65293190,-122.11844770,-1841.049,636.786
osm1679011607,47.65296060,-122.11823930,-1849.245,650.488
