osm_nid,lat,lng,x,z
osm3801669054,47.63609750,-122.14296820,540.528,-490.249
osm53124320,47.65563520,-122.12547360,-1951.347,42.480
osm53036753,47.63655660,-122.14350380,505.473,-544.677
osm346082665,47.63610810,-122.14349620,552.518,-527.969
osm3801669564,47.63369930,-122.14300470,794.001,-406.366
osm53051520,47.63585040,-122.14310700,569.997,-491.156
osm53048880,47.63261500,-122.14296360,907.174,-364.366
osm6199263532,47.63149970,-122.13935820,935.136,-69.197
osm53070318,47.65294710,-122.11711700,-1875.681,730.339
osm53081274,47.64007330,-122.12055460,-434.546,951.398
osm53081337,47.64178070,-122.11841130,-667.563,1041.405
osm53084592,47.64830560,-122.11540090,-1429.459,1019.038
osm53089852,47.63599020,-122.12166860,23.118,1019.833
osm53091684,47.64892330,-122.11570190,-1487.041,975.482
osm53097858,47.65472200,-122.13249720,-1680.829,-421.273
osm53098139,47.63326720,-122.12167220,309.980,1117.754
osm53100935,47.65403730,-122.13461230,-1556.218,-546.158
osm4272141026,47.65923680,-122.14338540,-1886.033,-1354.015
osm53102800,47.65923890,-122.14319880,-1890.886,-1340.896
osm6199263533,47.63157060,-122.13935620,927.620,-71.612
osm53116727,47.63236930,-122.12166960,404.478,1150.310
osm53124370,47.65696050,-122.12328530,-2145.240,149.445
osm53124375,47.64605350,-122.12432560,-970.746,469.120
osm53133391,47.65936920,-122.12330650,-2398.386,61.102
osm2298864238,47.64595380,-122.14503640,-446.151,-991.862
osm4272218341,47.64678010,-122.14310310,-581.162,-884.939
osm4272203606,47.64019160,-122.14309950,112.617,-647.143
osm53152233,47.65837270,-122.13255620,-2063.838,-557.068
osm53152869,47.65577430,-122.11907210,-2124.898,490.151
osm53162445,47.65432350,-122.13125920,-1669.591,-319.360
osm53162576,47.65686960,-122.12027660,-2210.350,365.484
osm53174314,47.65018490,-122.11633470,-1604.199,885.248
osm53176109,47.65481060,-122.12713940,-1823.154,-45.588
osm53135404,47.63416700,-122.12167050,215.176,1085.433
osm53190554,47.65888440,-122.13257690,-2117.214,-576.981
osm53191528,47.64608980,-122.11571690,-1188.258,1076.581
osm53135409,47.63691370,-122.12166150,-74.317,987.040
osm53195739,47.64605900,-122.12608530,-927.645,344.483
osm53195788,47.63147640,-122.12702550,631.461,803.757
osm53191552,47.65675570,-122.13253210,-1894.142,-497.064
osm4272203617,47.64437280,-122.14305710,-328.779,-794.893
osm53200311,47.64436560,-122.14290740,-331.736,-784.048
osm5187800472,47.64489710,-122.12707570,-780.695,316.338
osm53200804,47.65234790,-122.14319880,-1165.160,-1092.448
osm4272141003,47.65234400,-122.14338540,-1160.117,-1105.503
osm53217134,47.64606770,-122.11952180,-1091.484,808.312
osm53222541,47.64605290,-122.12295120,-1004.798,566.333
osm53227633,47.63150780,-122.12839020,662.030,706.120
osm407651372,47.64606060,-122.12707650,-903.209,274.332
osm1738648109,47.64606050,-122.12786140,-883.715,218.831
osm53227661,47.65465360,-122.12842360,-1774.743,-130.740
osm53135406,47.63504770,-122.12166200,122.214,1054.281
osm2502193874,47.65965420,-122.13258990,-2197.963,-605.654
osm4272141009,47.65465020,-122.13968380,-1494.878,-926.889
osm6898831330,47.65461740,-122.13940790,-1498.272,-906.196
osm1052709790,47.65458900,-122.13916930,-1501.204,-888.300
osm4272203603,47.63881540,-122.14309080,257.336,-596.910
osm53220870,47.64871140,-122.14309670,-784.716,-954.117
osm4272218348,47.64998950,-122.14326800,-915.067,-1012.312
osm53222823,47.64997390,-122.11331630,-1656.902,1106.303
osm53237531,47.65448000,-122.12984390,-1721.205,-224.919
osm53191556,47.66008920,-122.13262100,-2243.003,-623.537
osm53220861,47.63785930,-122.14303510,356.645,-558.500
osm53191553,47.65752900,-122.13254140,-1975.351,-525.603
osm53135596,47.64608860,-122.11432190,-1222.760,1175.272
osm796674146,47.64619120,-122.11436130,-1232.587,1168.787
osm6902707573,47.64831950,-122.11540770,-1430.755,1018.056
osm796660850,47.65076400,-122.11659590,-1658.703,845.898
osm53252643,47.65101100,-122.11668520,-1682.499,830.678
osm327737720,47.64428100,-122.14023690,-389.115,-592.151
osm4272203612,47.64240680,-122.14305510,-121.779,-723.870
osm53048846,47.63487290,-122.14310290,672.841,-455.623
osm3801669662,47.63398930,-122.14311040,766.083,-424.296
osm321378847,47.63154070,-122.12993800,696.985,595.480
osm321405918,47.64488280,-122.12671910,-788.040,342.071
osm407638590,47.64419150,-122.12645040,-721.906,385.996
osm321405917,47.64479930,-122.12644980,-785.931,364.125
osm690687732,47.65042560,-122.11528510,-1655.602,950.793
osm321549405,47.63865490,-122.14296270,271.059,-582.065
osm327748939,47.64122680,-122.14042280,-62.848,-495.181
osm1738823908,47.64058790,-122.13703840,-79.571,-232.817
osm4294894960,47.64133660,-122.13675140,-165.545,-239.515
osm2500883983,47.64029930,-122.13632630,-66.854,-172.055
osm321548679,47.64104760,-122.13935990,-70.359,-413.557
osm3227263344,47.64288380,-122.14290690,-175.693,-730.587
osm53033470,47.64774560,-122.13234060,-949.996,-158.672
osm1036683207,47.64604450,-122.13330560,-746.891,-165.582
osm321550409,47.64831350,-122.13234910,-1009.594,-179.749
osm2671019418,47.64604960,-122.13073990,-811.115,15.670
osm674168908,47.63146640,-122.14196420,1003.331,-252.281
osm7313622611,47.65737830,-122.13670860,-1856.040,-814.855
osm321709193,47.64602600,-122.13543140,-692.175,-315.242
osm4272180373,47.64605510,-122.12244150,-1017.682,602.298
osm2501227138,47.64605880,-122.12158580,-1039.313,662.675
osm6127378392,47.64606270,-122.12069090,-1061.937,725.818
osm7132605453,47.64607180,-122.11852200,-1116.733,878.865
osm2501224454,47.64607590,-122.11751950,-1142.049,949.610
