osm_wid,name,osmtype,osmsubtype,linkuse,nnodes,lat,lng,z,x,height,levels
w4989639,motorway_link001,highway,motorway_link,highway,20,47.6362239,-122.1419269,421.1726,501.3654,0,0
w6316517,162nd Avenue Northeast,highway,residential,slowroad,16,47.6546957,-122.1249427,-113.8977,-1865.5873,0,0
w6316519,162nd Court Northeast,highway,residential,slowroad,2,47.6527605,-122.1193642,-578.1525,-1800.2536,0,0
w6321729,residential001,highway,residential,slowroad,2,47.6573810,-122.1354645,726.9753,-1887.2060,0,0
w6331273,Northeast 50th Place,highway,residential,slowroad,9,47.6547308,-122.1446251,1279.2256,-1380.7146,0,0
w6332137,service001,highway,service,driveway,16,47.6365448,-122.1444850,613.6356,531.0688,0,0
w6333466,165th Place Northeast,highway,residential,slowroad,3,47.6373541,-122.1196458,-1113.7016,-170.7358,0,0
w6333472,residential002,highway,residential,slowroad,2,47.6337961,-122.1183050,-1336.7965,170.6914,0,0
w6336269,motorway_link002,highway,motorway_link,highway,28,47.6339827,-122.1420208,347.0081,739.7264,0,0
w6337101,motorway_link003,highway,motorway_link,highway,9,47.6343742,-122.1443278,524.2647,755.7699,0,0
w6338423,motorway_link004,highway,motorway_link,highway,25,47.6343674,-122.1411855,301.8084,678.4774,0,0
w6339735,residential003,highway,residential,slowroad,10,47.6309584,-122.1393217,47.1016,991.2369,0,0
w6339929,residential004,highway,residential,slowroad,2,47.6376604,-122.1142792,-1482.1635,-336.2095,0,0
w6341198,Northeast 24th Place,highway,residential,slowroad,9,47.6318760,-122.1154216,-1609.9268,301.3362,0,0
w6344503,Northeast 36th Way,highway,residential,slowroad,7,47.6424649,-122.1267986,-423.6251,-531.4279,0,0
w6344542,Northeast 48th Street,highway,residential,slowroad,18,47.6525576,-122.1199053,-547.2084,-1765.4488,0,0
w6345268,161st Place Northeast,highway,residential,slowroad,2,47.6579396,-122.1253741,33.5665,-2196.5045,0,0
w6347287,165th Place Northeast001,highway,residential,slowroad,10,47.6395592,-122.1196698,-1032.5015,-402.3710,0,0
w6347296,165th Place Northeast002,highway,residential,slowroad,12,47.6452238,-122.1200268,-803.0262,-990.0748,0,0
w6347298,165th Place Northeast003,highway,residential,slowroad,4,47.6319908,-122.1203298,-1258.7007,411.0800,0,0
w6347303,service002,highway,service,driveway,3,47.6371544,-122.1189320,-1171.3819,-167.4200,0,0
w6347305,165th Place Northeast004,highway,residential,slowroad,7,47.6359479,-122.1195366,-1172.1250,-25.3458,0,0
w6347312,165th Place Northeast005,highway,residential,slowroad,11,47.6425419,-122.1187883,-987.3012,-738.3756,0,0
w6347425,Northeast 33rd Court,highway,residential,slowroad,3,47.6420655,-122.1195639,-949.6308,-668.9510,0,0
w6348118,Northeast 42nd Court,highway,residential,slowroad,2,47.6475880,-122.1260242,-293.6830,-1090.1839,0,0
w6348119,Northeast 42nd Court001,highway,residential,slowroad,10,47.6481274,-122.1163970,-955.0237,-1385.9655,0,0
w6348277,Northeast 34th Court,highway,residential,slowroad,4,47.6426956,-122.1184964,-1002.4001,-761.8005,0,0
w6348311,Northeast 59th Way,highway,residential,slowroad,6,47.6596779,-122.1346261,750.4992,-2149.9175,0,0
w6351609,Northeast 29th Street,highway,residential,slowroad,10,47.6360697,-122.1226764,-945.6959,39.7595,0,0
w6351643,Northeast 29th Street001,highway,residential,slowroad,9,47.6358282,-122.1175347,-1318.0072,-62.4343,0,0
w6353161,Northeast 44th Way,highway,residential,slowroad,29,47.6489417,-122.1184065,-783.5635,-1421.8420,0,0
w6355049,167th Place Northeast,highway,residential,slowroad,3,47.6319737,-122.1181758,-1411.6371,359.4166,0,0
w6355062,167th Place Northeast001,highway,residential,slowroad,2,47.6412144,-122.1177404,-1109.2668,-624.5834,0,0
w6357857,Northeast 50th Court,highway,residential,slowroad,2,47.6539068,-122.1294706,177.8562,-1670.1096,0,0
w6358012,Northeast 52nd Street,highway,residential,slowroad,4,47.6546714,-122.1330360,457.5489,-1662.1265,0,0
w6358188,Northeast 26th Street,highway,residential,slowroad,9,47.6328707,-122.1187440,-1339.1216,279.0539,0,0
w6358250,Northeast 26th Street001,highway,residential,slowroad,6,47.6332897,-122.1248128,-894.8548,385.5620,0,0
w6360597,154th Avenue Northeast,highway,residential,slowroad,26,47.6564841,-122.1352285,677.9512,-1798.6115,0,0
w6362085,Northeast 57th Street,highway,residential,slowroad,19,47.6594711,-122.1463417,1571.5183,-1837.3292,0,0
w6362091,Northeast 57th Street001,highway,residential,slowroad,7,47.6585499,-122.1250931,35.6976,-2267.7489,0,0
w6366499,Northeast 53rd Street,highway,residential,slowroad,8,47.6555641,-122.1297269,255.7333,-1838.2757,0,0
w6366794,158th Way Northeast,highway,residential,slowroad,2,47.6527786,-122.1278171,20.2448,-1592.3279,0,0
w6366804,158th Way Northeast001,highway,residential,slowroad,11,47.6613192,-122.1294779,445.6165,-2450.5586,0,0
w6367206,Northeast 46th Court,highway,residential,slowroad,3,47.6509433,-122.1282011,-18.7685,-1389.5126,0,0
w6367210,Northeast 46th Court001,highway,residential,slowroad,2,47.6509406,-122.1235676,-346.5248,-1504.2410,0,0
w6367625,Northeast 41st Court,highway,residential,slowroad,2,47.6470585,-122.1260182,-313.1925,-1034.5725,0,0
w6371538,151st Place Northeast,highway,residential,slowroad,12,47.6324460,-122.1394230,107.8954,837.0847,0,0
w6373797,Northeast 25th Street,highway,residential,slowroad,4,47.6318080,-122.1187011,-1380.4658,389.9031,0,0
w6373802,Northeast 25th Street001,highway,residential,slowroad,2,47.6326623,-122.1166039,-1497.9670,247.8785,0,0
w6373822,Northeast 25th Street002,highway,residential,slowroad,3,47.6326110,-122.1146231,-1639.8960,204.1106,0,0
w6373836,Northeast 25th Street003,highway,residential,slowroad,3,47.6323780,-122.1225997,-1084.2242,426.6494,0,0
w6374131,165th Avenue Northeast,highway,residential,slowroad,8,47.6329451,-122.1204507,-1215.7480,313.5852,0,0
w6374165,165th Avenue Northeast001,highway,residential,slowroad,2,47.6504688,-122.1211360,-535.4871,-1514.9119,0,0
w6377540,Northeast 38th Street,highway,residential,slowroad,27,47.6444257,-122.1462193,1020.4130,-255.8527,0,0
w6379789,159th Place Northeast,highway,residential,slowroad,8,47.6570094,-122.1278577,175.6596,-2036.8951,0,0
w6379954,162nd Avenue Northeast001,highway,residential,slowroad,6,47.6329759,-122.1243523,-938.7325,407.1851,0,0
w6379965,162nd Avenue Northeast002,highway,residential,slowroad,9,47.6575062,-122.1237679,-95.6392,-2190.7310,0,0
w6379977,162nd Avenue Northeast003,highway,residential,slowroad,9,47.6480212,-122.1243334,-397.6235,-1177.7746,0,0
w6380512,147th Avenue Northeast,highway,residential,slowroad,4,47.6598516,-122.1441489,1430.1693,-1931.8296,0,0
w6387432,Northeast 58th Court,highway,residential,slowroad,13,47.6592951,-122.1240404,-11.8796,-2372.3608,0,0
w6392637,Northeast 26th Place,highway,residential,slowroad,2,47.6335002,-122.1144196,-1622.2268,105.4191,0,0
w6396421,Northeast 57th Place,highway,residential,slowroad,3,47.6582403,-122.1338406,643.1226,-2018.0082,0,0
w6397471,167th Court Northeast,highway,residential,slowroad,2,47.6438704,-122.1174401,-1034.7435,-911.7427,0,0
w6398260,Northeast 33rd Street,highway,residential,slowroad,8,47.6399979,-122.1141852,-1404.5293,-584.7090,0,0
w6400754,Northeast 42nd Street,highway,residential,slowroad,4,47.6475655,-122.1269169,-231.3619,-1065.6625,0,0
w6400777,Northeast 42nd Street001,highway,residential,slowroad,7,47.6463622,-122.1446152,976.7964,-499.6131,0,0
w6400793,Northeast 42nd Street002,highway,residential,slowroad,5,47.6479056,-122.1134963,-1168.1434,-1434.6053,0,0
w6401067,Northeast 53rd Place,highway,residential,slowroad,2,47.6559549,-122.1338209,559.3253,-1777.8105,0,0
w6401284,Northeast 34th Street,highway,residential,slowroad,5,47.6401990,-122.1432512,658.1371,115.5986,0,0
w6402927,147th Place Northeast,highway,residential,slowroad,2,47.6483223,-122.1440977,1010.8751,-718.8903,0,0
w6402951,147th Place Northeast001,highway,residential,slowroad,4,47.6428567,-122.1437597,789.9157,-151.6676,0,0
w6403092,Northeast 56th Way,highway,residential,slowroad,15,47.6581208,-122.1304571,399.5487,-2089.4107,0,0
w6403568,Northeast 39th Court,highway,residential,slowroad,11,47.6454709,-122.1158462,-1089.7544,-1119.8674,0,0
w6403746,Northeast 50th Way,highway,residential,slowroad,21,47.6549122,-122.1209967,-385.1321,-1986.3291,0,0
w6407869,Northeast 25th Place,highway,residential,slowroad,3,47.6328739,-122.1287767,-629.5312,527.7499,0,0
w6407873,Northeast 25th Place001,highway,residential,slowroad,5,47.6321367,-122.1196884,-1298.8004,379.7976,0,0
w6411164,157th Court Northeast,highway,residential,slowroad,18,47.6541276,-122.1313274,317.1222,-1647.2704,0,0
w6411290,Northeast 50th Street,highway,residential,slowroad,22,47.6557981,-122.1220756,-276.8937,-2052.8531,0,0
w6412783,Northeast 38th Place,highway,residential,slowroad,5,47.6446046,-122.1127106,-1342.7203,-1106.4638,0,0
w6413916,Northeast 49th Street,highway,residential,slowroad,6,47.6529671,-122.1286373,85.0430,-1591.8199,0,0
w6414205,166th Place Northeast,highway,residential,slowroad,5,47.6502145,-122.1193901,-668.1176,-1531.4785,0,0
w6419980,Northeast 46th Street,highway,residential,slowroad,36,47.6508383,-122.1208053,-545.5524,-1562.0359,0,0
w6420235,Northeast 41st Street,highway,residential,slowroad,5,47.6469935,-122.1272833,-226.0738,-996.3193,0,0
w6420241,Northeast 41st Street001,highway,residential,slowroad,8,47.6472150,-122.1174788,-911.4215,-1263.0250,0,0
w6421312,164th Place Northeast,highway,residential,slowroad,3,47.6373700,-122.1209602,-1020.1798,-139.7756,0,0
w6421317,164th Place Northeast001,highway,residential,slowroad,5,47.6518739,-122.1221695,-411.7385,-1637.2450,0,0
w6421448,159th Court Northeast,highway,residential,slowroad,2,47.6604490,-122.1283767,336.3674,-2386.2512,0,0
w6421452,160th Court Northeast,highway,residential,slowroad,13,47.6538016,-122.1266738,-23.7172,-1728.4521,0,0
w6425073,168th Place Northeast,highway,residential,slowroad,4,47.6329585,-122.1160852,-1523.9689,203.8054,0,0
w6425100,168th Place Northeast001,highway,residential,slowroad,4,47.6370861,-122.1154791,-1418.0142,-245.9295,0,0
w6425526,Northeast 35th Court,highway,residential,slowroad,2,47.6427886,-122.1193811,-936.4859,-749.6375,0,0
w6427366,Northeast 37th Place,highway,residential,slowroad,17,47.6436409,-122.1129915,-1357.5997,-998.0087,0,0
w6427523,157th Avenue Northeast,highway,residential,slowroad,4,47.6576885,-122.1312166,437.6745,-2025.0381,0,0
w6430149,Northeast 33rd Place,highway,residential,slowroad,6,47.6400427,-122.1153874,-1317.9081,-559.5844,0,0
w6431499,Northeast 54th Way,highway,residential,slowroad,5,47.6564753,-122.1293107,259.1495,-1944.5783,0,0
w6431645,Northeast 42nd Place,highway,residential,slowroad,2,47.6479382,-122.1461120,1139.4638,-628.4346,0,0
w6432958,Northeast 27th Street,highway,residential,slowroad,6,47.6336602,-122.1191093,-1284.8167,204.9715,0,0
w6433007,Northeast 27th Street001,highway,residential,slowroad,2,47.6343571,-122.1146648,-1573.9926,21.2493,0,0
w6433010,Northeast 27th Street002,highway,residential,slowroad,4,47.6341872,-122.1237014,-941.0844,263.4616,0,0
w6434828,158th Place Northeast,highway,residential,slowroad,7,47.6571358,-122.1291335,270.4320,-2018.5369,0,0
w6435683,Northeast 58th Street,highway,residential,slowroad,3,47.6588861,-122.1327562,589.7176,-2112.9399,0,0
w6436718,168th Avenue Northeast,highway,residential,slowroad,5,47.6328979,-122.1171091,-1453.7508,235.6101,0,0
w6436753,168th Avenue Northeast001,highway,residential,slowroad,7,47.6394675,-122.1155765,-1325.2683,-494.3118,0,0
w6436759,168th Avenue Northeast002,highway,residential,slowroad,9,47.6467811,-122.1156975,-1053.0275,-1261.5492,0,0
w6436764,168th Avenue Northeast003,highway,residential,slowroad,6,47.6362118,-122.1168101,-1355.4202,-120.8179,0,0
w6436767,168th Avenue Northeast004,highway,residential,slowroad,3,47.6377355,-122.1161975,-1343.8016,-296.4915,0,0
w6436770,168th Avenue Northeast005,highway,residential,slowroad,4,47.6416995,-122.1168050,-1157.9209,-698.8895,0,0
w6437239,Northeast 30th Street,highway,residential,slowroad,13,47.6368283,-122.1161912,-1376.9576,-201.1081,0,0
w6439467,Northeast 47th Court,highway,residential,slowroad,4,47.6517884,-122.1281386,7.2863,-1480.0738,0,0
w6440980,Northeast 49th Place,highway,residential,slowroad,2,47.6544131,-122.1250712,-114.9976,-1832.6297,0,0
w6441073,160th Place Northeast,highway,residential,slowroad,8,47.6466958,-122.1262522,-309.7183,-990.5680,0,0
w6441081,160th Avenue Northeast,highway,residential,slowroad,7,47.6335082,-122.1270232,-730.6675,417.4242,0,0
w6441085,160th Avenue Northeast001,highway,residential,slowroad,5,47.6580480,-122.1265405,119.9560,-2178.9681,0,0
w6442077,Northeast 43rd Court,highway,residential,slowroad,2,47.6491968,-122.1138371,-1097.4903,-1562.1390,0,0
w6443952,service003,highway,service,driveway,7,47.6497240,-122.1226783,-453.2757,-1398.1920,0,0
w6445725,156th Drive Northeast,highway,residential,slowroad,10,47.6563331,-122.1314449,404.9453,-1876.6209,0,0
w6446338,166th Court Northeast,highway,residential,slowroad,16,47.6542614,-122.1201295,-469.9198,-1939.3218,0,0
w6446595,167th Avenue Northeast,highway,residential,slowroad,8,47.6382658,-122.1177784,-1212.8867,-313.0987,0,0
w6446619,167th Avenue Northeast001,highway,residential,slowroad,15,47.6352458,-122.1183472,-1281.5448,19.0743,0,0
w6446643,167th Avenue Northeast002,highway,residential,slowroad,2,47.6378068,-122.1174329,-1253.8677,-273.3382,0,0
w6446866,Northeast 39th Street,highway,residential,slowroad,22,47.6447708,-122.1447658,930.0745,-328.2809,0,0
w6446872,Northeast 39th Street001,highway,residential,slowroad,15,47.6448036,-122.1293565,-158.4198,-714.2290,0,0
w6447412,Northeast 46th Street001,highway,residential,slowroad,26,47.6522914,-122.1452916,1238.4048,-1107.2650,0,0
w6451213,164th Court Northeast,highway,residential,slowroad,2,47.6508180,-122.1221298,-452.6146,-1527.0233,0,0
w6451215,164th Court Northeast001,highway,residential,slowroad,2,47.6557435,-122.1220365,-281.6339,-2048.0646,0,0
w6455470,Northeast 27th Place,highway,residential,slowroad,2,47.6342950,-122.1189193,-1275.3704,133.4035,0,0
w6455483,Northeast 27th Place001,highway,residential,slowroad,2,47.6338269,-122.1276316,-676.1464,398.9590,0,0
w6460497,Northeast 35th Street,highway,residential,slowroad,23,47.6412430,-122.1147495,-1319.7360,-701.8292,0,0
w6461813,158th Court Northeast,highway,residential,slowroad,2,47.6527345,-122.1283913,59.2650,-1573.4344,0,0
w6462859,Northeast 54th Street,highway,residential,slowroad,8,47.6565999,-122.1349200,660.3090,-1818.4632,0,0
w6466963,166th Avenue Northeast,highway,residential,slowroad,10,47.6320095,-122.1192773,-1332.4562,382.9873,0,0
w6467004,166th Avenue Northeast001,highway,residential,slowroad,6,47.6466857,-122.1194720,-789.5519,-1157.8045,0,0
w6471242,170th Avenue Northeast,highway,residential,slowroad,5,47.6440688,-122.1136223,-1297.5680,-1027.4058,0,0
w6474087,163rd Avenue Northeast,highway,residential,slowroad,18,47.6442324,-122.1231728,-616.2992,-807.5666,0,0
w6474093,163rd Avenue Northeast001,highway,residential,slowroad,5,47.6544076,-122.1234956,-226.6119,-1871.1620,0,0
w6476850,Northeast 39th Way,highway,residential,slowroad,19,47.6452625,-122.1183614,-919.4042,-1035.4874,0,0
w6477435,Northeast 36th Court,highway,residential,slowroad,9,47.6437670,-122.1193118,-906.1093,-854.3986,0,0
w6480962,159th Avenue Northeast,highway,residential,slowroad,21,47.6510382,-122.1279867,-30.5049,-1404.8339,0,0
w6480980,159th Avenue Northeast001,highway,residential,slowroad,5,47.6321779,-122.1283913,-681.8864,591.4885,0,0
w6480984,159th Avenue Northeast002,highway,residential,slowroad,3,47.6458209,-122.1270771,-282.9298,-877.9492,0,0
w6481013,159th Avenue Northeast003,highway,residential,slowroad,11,47.6467774,-122.1277098,-203.7084,-962.9745,0,0
w6481015,159th Avenue Northeast004,highway,residential,slowroad,8,47.6550587,-122.1284364,146.2487,-1817.0904,0,0
w6483005,160th Place Northeast001,highway,residential,slowroad,10,47.6358089,-122.1256505,-744.7849,141.0476,0,0
w6483178,Northeast 35th Place,highway,residential,slowroad,2,47.6419776,-122.1150434,-1272.4705,-771.8945,0,0
w6484045,Northeast 28th Street,highway,residential,slowroad,6,47.6350904,-122.1246718,-839.8998,192.4263,0,0
w6485718,Northeast 54th Place,highway,residential,slowroad,2,47.6567901,-122.1338200,589.3775,-1865.8025,0,0
w6487245,Northeast 59th Street,highway,residential,slowroad,6,47.6596092,-122.1330780,638.5510,-2181.1090,0,0
w6490972,Northeast 48th Court,highway,residential,slowroad,5,47.6524083,-122.1191281,-607.5528,-1769.0137,0,0
