osm_wid,osm_nid_1,osm_nid_2,linkuse,comment
w6358012,osm6097094429,osm6252749494,slowroad,"Northeast 52nd Street.link1"
w6358012,osm2493136407,osm6097094429,slowroad,"Northeast 52nd Street.link2"
w6358012,osm53097858,osm2493136407,slowroad,"Northeast 52nd Street.link3"
w6360597,osm7173683248,osm53100935,slowroad,"154th Avenue Northeast.link1"
w6360597,osm6097094405,osm7173683248,slowroad,"154th Avenue Northeast.link2"
w6360597,osm2493133607,osm6097094405,slowroad,"154th Avenue Northeast.link3"
w6360597,osm2465895319,osm2493133607,slowroad,"154th Avenue Northeast.link4"
w6360597,osm2465896565,osm2465895319,slowroad,"154th Avenue Northeast.link5"
w6360597,osm53100939,osm2465896565,slowroad,"154th Avenue Northeast.link6"
w6360597,osm2493130175,osm53100939,slowroad,"154th Avenue Northeast.link7"
w6360597,osm2493130167,osm2493130175,slowroad,"154th Avenue Northeast.link8"
w6360597,osm2493130171,osm2493130167,slowroad,"154th Avenue Northeast.link9"
w6360597,osm53100941,osm2493130171,slowroad,"154th Avenue Northeast.link10"
w6360597,osm2465896564,osm53100941,slowroad,"154th Avenue Northeast.link11"
w6360597,osm53100942,osm2465896564,slowroad,"154th Avenue Northeast.link12"
w6360597,osm53100944,osm53100942,slowroad,"154th Avenue Northeast.link13"
w6360597,osm53100946,osm53100944,slowroad,"154th Avenue Northeast.link14"
w6360597,osm53100948,osm53100946,slowroad,"154th Avenue Northeast.link15"
w6360597,osm2465896566,osm53100948,slowroad,"154th Avenue Northeast.link16"
w6360597,osm53100949,osm2465896566,slowroad,"154th Avenue Northeast.link17"
w6360597,osm52992721,osm53100949,slowroad,"154th Avenue Northeast.link18"
w6360597,osm53100951,osm52992721,slowroad,"154th Avenue Northeast.link19"
w6360597,osm2493130169,osm53100951,slowroad,"154th Avenue Northeast.link20"
w6360597,osm2493130174,osm2493130169,slowroad,"154th Avenue Northeast.link21"
w6360597,osm53100953,osm2493130174,slowroad,"154th Avenue Northeast.link22"
w6360597,osm2493130178,osm53100953,slowroad,"154th Avenue Northeast.link23"
w6360597,osm2493130172,osm2493130178,slowroad,"154th Avenue Northeast.link24"
w6360597,osm53085383,osm2493130172,slowroad,"154th Avenue Northeast.link25"
w6493900,osm6898831330,osm4272141009,road,"Northeast 51st Street.link1"
w6493900,osm1052709790,osm6898831330,road,"Northeast 51st Street.link2"
w29234388,osm3679402918,osm321549405,slowroad,"Northeast 31st Way.link1"
w29234388,osm321549566,osm3679402918,slowroad,"Northeast 31st Way.link2"
w29234388,osm408724226,osm321549566,slowroad,"Northeast 31st Way.link3"
w29234388,osm321549497,osm408724226,slowroad,"Northeast 31st Way.link4"
w29234388,osm408723830,osm321549497,slowroad,"Northeast 31st Way.link5"
w29234388,osm415750564,osm408723830,slowroad,"Northeast 31st Way.link6"
w29234388,osm415453440,osm415750564,slowroad,"Northeast 31st Way.link7"
w29234388,osm408723015,osm415453440,slowroad,"Northeast 31st Way.link8"
w29234388,osm6978250137,osm408723015,slowroad,"Northeast 31st Way.link9"
w29234388,osm408723961,osm6978250137,slowroad,"Northeast 31st Way.link10"
