osm_nid,lat,lng,x,z
osm408723991,47.63757830,-122.13942370,296.594,-292.987
osm4809166493,47.63747570,-122.14038560,331.276,-357.309
osm5159887907,47.63843190,-122.13345700,58.588,98.177
osm3934886418,47.63942150,-122.13463680,-16.346,-20.933
osm810301405,47.63862580,-122.13478640,71.167,-2.824
osm6946491924,47.64180350,-122.14108580,-107.125,-562.858
osm6997351170,47.64521040,-122.13882750,-521.980,-525.993
osm1491011784,47.64347400,-122.13814010,-356.174,-414.779
osm4846295223,47.64535140,-122.13973570,-514.286,-595.301
osm3347106862,47.64185120,-122.14145950,-102.873,-591.004
osm3347107204,47.64235520,-122.14151810,-154.497,-613.319
osm4818775962,47.64230830,-122.14151800,-149.560,-611.621
osm3225793005,47.64227590,-122.14151790,-146.150,-610.446
osm3225789647,47.64227510,-122.14146170,-147.461,-606.443
osm4802534846,47.64220600,-122.14145810,-140.273,-603.697
osm3225792978,47.64219320,-122.14145730,-138.945,-603.179
osm3225792963,47.64219280,-122.14151770,-137.404,-607.436
osm3225789641,47.64206730,-122.14151730,-124.197,-602.883
osm3225792969,47.64206820,-122.14166980,-120.506,-613.700
osm4650086186,47.64196440,-122.14170070,-108.807,-612.142
osm3225793007,47.64193190,-122.14170960,-105.164,-611.600
osm3225789660,47.64189770,-122.14145050,-107.993,-592.044
osm4487603939,47.64358450,-122.14113970,-293.354,-630.882
osm3734072199,47.64460440,-122.14134560,-395.654,-682.214
osm3734072200,47.64395830,-122.14133260,-327.932,-658.000
osm3734071424,47.64177000,-122.13955160,-141.680,-453.158
osm321154629,47.63999530,-122.14236750,115.120,-588.302
osm3734091508,47.64053110,-122.14223450,55.391,-598.214
osm6997351099,47.64499840,-122.14064040,-454.653,-646.550
osm3742149264,47.64008910,-122.14139710,81.154,-523.061
osm3742149276,47.63970290,-122.14176550,130.971,-535.189
osm3742149277,47.64024080,-122.14209960,82.616,-578.208
osm6997225354,47.64225360,-122.13738200,-246.466,-317.170
osm3833737984,47.63857410,-122.13481350,77.284,-2.876
osm3833737898,47.63909260,-122.13488850,24.540,-26.874
osm3934726679,47.63751050,-122.13404390,170.194,89.894
osm5159874251,47.64090760,-122.13375570,-194.726,-12.205
osm3934886402,47.63999970,-122.13430570,-85.458,-18.365
osm5159887891,47.64013230,-122.13423920,-101.073,-18.443
osm4017340415,47.63617470,-122.13345020,296.137,180.038
osm4294894962,47.64129730,-122.13652240,-167.090,-221.904
osm4621191643,47.64475380,-122.13842240,-483.949,-480.884
osm1490676089,47.64470060,-122.13837870,-479.431,-475.876
osm4621191651,47.64376130,-122.13812600,-386.781,-424.141
osm4621191654,47.64381000,-122.13812730,-391.878,-425.988
osm4736778518,47.64069710,-122.14137230,16.507,-543.228
osm4818775952,47.64274340,-122.13759980,-292.643,-350.231
osm4818775957,47.64242480,-122.14194920,-151.126,-646.314
osm7549247126,47.64213930,-122.13682940,-248.145,-273.971
osm4823517539,47.64290540,-122.13717610,-320.221,-326.109
osm4823517540,47.64284920,-122.13720200,-313.659,-325.915
osm6946491923,47.64164380,-122.14113140,-89.175,-560.325
osm4829350835,47.64292640,-122.13555100,-362.772,-211.946
osm4823527356,47.64135500,-122.13742970,-150.645,-288.145
osm4823517527,47.64138450,-122.13759950,-149.537,-301.216
osm4829304117,47.64376880,-122.13950720,-353.286,-522.083
osm4831739751,47.64392890,-122.13634240,-448.705,-304.055
osm4829350219,47.64332610,-122.13579400,-398.834,-243.541
osm6042865916,47.64540700,-122.13676660,-593.842,-387.344
osm4829304112,47.64474680,-122.13781770,-498.222,-437.870
osm4846255771,47.64333720,-122.13516100,-415.716,-199.178
osm7003048438,47.64364150,-122.13546750,-440.155,-231.824
osm6042865810,47.64511950,-122.13972600,-490.104,-586.254
osm4846295227,47.64471590,-122.13826160,-483.949,-468.147
osm4846459977,47.64302930,-122.14102640,-237.695,-602.853
osm6955760133,47.64356340,-122.14069210,-302.242,-598.469
osm4818775963,47.64248770,-122.14151840,-168.444,-618.118
osm4856079633,47.64513210,-122.13662230,-568.473,-367.228
osm4856079632,47.64509860,-122.13653790,-567.040,-360.052
osm4856079660,47.64491790,-122.13684130,-540.478,-374.992
osm4856079654,47.64512140,-122.13580070,-587.740,-308.743
osm6997351091,47.64513870,-122.13963190,-494.462,-580.292
osm4856116766,47.64572270,-122.13926830,-564.991,-575.635
osm4829304113,47.64544910,-122.13868360,-550.691,-524.424
osm6997477469,47.64556490,-122.13832750,-571.726,-503.417
osm4829304088,47.64394000,-122.13752140,-420.609,-387.829
osm7469351337,47.64270310,-122.13773950,-284.931,-358.657
osm4886286152,47.64338370,-122.14243740,-239.994,-715.410
osm4886286157,47.64338480,-122.14198680,-251.295,-683.585
osm4892667580,47.64463780,-122.14210050,-380.433,-736.801
osm4892667586,47.64517740,-122.14197100,-440.475,-747.098
osm1488883261,47.64529650,-122.13577580,-606.799,-313.295
osm5145915623,47.63732090,-122.13284290,160.350,181.659
osm5145915626,47.63666380,-122.13296100,232.484,196.999
osm5145915627,47.63672860,-122.13404990,252.689,117.660
osm5159751031,47.64064820,-122.13390900,-163.601,-13.693
osm7103327057,47.64050780,-122.13390910,-148.813,-8.638
osm5159751038,47.64030190,-122.13390270,-127.287,-0.762
osm5159751039,47.64028520,-122.13382850,-127.370,5.087
osm5159874264,47.64026690,-122.13383740,-125.222,5.117
osm809794790,47.64024930,-122.13384760,-123.115,5.031
osm5159751036,47.64023460,-122.13378700,-123.072,9.846
osm5159751037,47.64020860,-122.13379670,-120.093,10.097
osm809793934,47.63996440,-122.13403070,-88.566,2.354
osm7103240878,47.63999060,-122.13401700,-91.665,2.379
osm5159874266,47.64005250,-122.13398560,-98.964,2.367
osm5159874265,47.64014990,-122.13393610,-110.450,2.356
osm809793935,47.64022520,-122.13389790,-119.329,2.342
osm5159751051,47.64022880,-122.13391330,-119.326,1.124
osm5159751052,47.64027520,-122.13391810,-124.093,-0.889
osm5159874263,47.64028890,-122.13391040,-125.727,-0.838
osm5159751055,47.64024790,-122.13322490,-138.425,49.116
osm5159751053,47.63999810,-122.13345970,-106.289,41.518
osm5159874236,47.63923260,-122.13408060,-10.258,25.210
osm5159751029,47.64133940,-122.13353050,-245.791,-11.848
osm809807553,47.64037200,-122.13362670,-141.521,16.228
osm5159887887,47.63997390,-122.13374580,-96.639,22.159
osm7103240876,47.63985700,-122.13409840,-75.575,1.439
osm5159751030,47.64079490,-122.13330710,-193.992,23.581
osm5159887904,47.64130350,-122.13338450,-245.634,-0.229
osm5159887906,47.63921230,-122.13442690,0.476,1.453
osm5159874240,47.63917130,-122.13349240,-18.403,69.015
osm5159887908,47.63906700,-122.13321350,-14.341,92.498
osm5159751054,47.63977940,-122.13367390,-77.940,34.256
osm5161698343,47.63885220,-122.13271960,-3.980,135.169
osm5434210418,47.63969890,-122.13290830,-88.466,91.298
osm5916951872,47.64184280,-122.13367290,-295.271,-40.067
osm4829304089,47.64413840,-122.13755640,-440.634,-397.457
osm4829304087,47.64424830,-122.13778380,-446.564,-417.500
osm6042865993,47.64375610,-122.13733570,-405.851,-368.067
osm6042866014,47.64327440,-122.13693150,-365.154,-322.116
osm6997506355,47.64552780,-122.13589730,-628.142,-330.226
osm6301563936,47.63970780,-122.13914530,65.415,-350.076
osm6937998562,47.63748810,-122.14153710,358.554,-439.185
osm6937998569,47.63752740,-122.14270800,383.479,-523.403
osm6937998581,47.63756400,-122.14157570,351.518,-444.651
osm6937999589,47.63746490,-122.14266500,388.994,-518.108
osm6938241255,47.63730980,-122.14269830,406.155,-514.871
osm6938485973,47.63729950,-122.14114880,368.777,-404.926
osm6938485969,47.63715850,-122.14015980,359.077,-329.905
osm6946122461,47.63780570,-122.14154200,325.227,-450.982
osm6946122464,47.63779540,-122.14190750,335.385,-476.457
osm6946122462,47.63779470,-122.14197090,337.032,-480.915
osm6946122471,47.63779260,-122.14217050,342.208,-494.954
osm6946122472,47.63779330,-122.14210740,340.568,-490.518
osm6946122474,47.63795450,-122.14239870,330.822,-516.929
osm6946131605,47.64010960,-122.13729040,-22.944,-233.392
osm6946131622,47.64017360,-122.13775550,-18.139,-268.590
osm6946491900,47.64018850,-122.13945490,22.475,-389.301
osm6946491902,47.64027350,-122.13993410,25.418,-426.252
osm6946491906,47.64138690,-122.13963950,-99.152,-445.562
osm6946491911,47.64195700,-122.14104190,-124.381,-565.288
osm6946491914,47.64184950,-122.14107270,-112.295,-563.590
osm6946491930,47.64155290,-122.14105220,-81.568,-551.447
osm4846459991,47.64395530,-122.14098200,-336.319,-633.099
osm7529076207,47.64247360,-122.13784850,-258.055,-358.090
osm6946122479,47.63835100,-122.14236190,288.151,-528.622
osm4835343871,47.63896880,-122.14253810,227.461,-563.356
osm6978384454,47.63885520,-122.14053790,189.775,-417.815
osm6978384453,47.63891750,-122.14100480,194.803,-453.078
osm6042866110,47.63853760,-122.14017290,214.163,-380.553
osm6978384469,47.63857180,-122.14064420,222.260,-415.115
osm6978397740,47.63980240,-122.13731380,9.990,-223.971
osm4049735588,47.64046260,-122.13764770,-51.251,-271.386
osm4802542189,47.64206480,-122.14087050,-139.989,-557.054
osm4835357626,47.64035530,-122.14137640,52.605,-531.195
osm7462172705,47.64508060,-122.13974410,-485.558,-586.132
osm7462172706,47.64488940,-122.13964620,-467.852,-572.315
osm7462172708,47.64493050,-122.13909110,-485.959,-534.543
osm7462172709,47.64496530,-122.13891020,-494.115,-523.005
osm7462172707,47.64513380,-122.13890870,-511.897,-528.974
osm7462172733,47.64575860,-122.13708360,-623.002,-422.437
osm7462172732,47.64573880,-122.13659820,-632.966,-387.398
osm7462172730,47.64570700,-122.13641120,-634.258,-373.028
osm7462172731,47.64565530,-122.13619040,-634.294,-355.550
osm6997506293,47.64383260,-122.13620980,-441.855,-291.206
osm6997506294,47.64378540,-122.13617340,-437.788,-286.930
osm7516983722,47.64394930,-122.13619920,-454.408,-294.664
osm4829350218,47.64356290,-122.13600970,-418.419,-267.332
osm7462172715,47.64570800,-122.13963350,-554.378,-600.931
osm7462172716,47.64573690,-122.13957490,-558.876,-597.829
osm6042865813,47.64559910,-122.13958670,-544.071,-593.695
osm6047614796,47.64558640,-122.13587690,-634.820,-330.896
osm7462172725,47.64577330,-122.13829930,-594.373,-508.936
osm7469351340,47.64268400,-122.13855350,-262.714,-415.531
osm6997611079,47.64284750,-122.13885670,-272.406,-442.866
osm7469351345,47.64297210,-122.13882690,-286.268,-445.251
osm6997611083,47.64302370,-122.13871940,-294.371,-439.510
osm4823517557,47.64306270,-122.13651650,-353.160,-285.137
osm6997611923,47.64289110,-122.13652980,-334.758,-279.890
osm7469351338,47.64274800,-122.13762840,-292.417,-352.419
osm4829350832,47.64278600,-122.13543390,-350.892,-198.604
osm7529076259,47.64252210,-122.13819620,-254.532,-384.427
osm7529076203,47.64249830,-122.13810480,-254.294,-377.105
osm7529076204,47.64248390,-122.13809100,-253.120,-375.610
osm7529076205,47.64245920,-122.13795060,-254.004,-364.791
osm7529076206,47.64248130,-122.13792330,-257.009,-363.657
osm7529076208,47.64262910,-122.13779190,-275.837,-359.694
osm6997724888,47.64105730,-122.13613800,-151.356,-186.068
osm6997724898,47.64138050,-122.13607000,-187.082,-192.912
osm7003048446,47.64357860,-122.13523390,-439.329,-213.037
osm7003048513,47.64340510,-122.13571390,-409.142,-240.725
osm7003167568,47.64441820,-122.13777650,-464.638,-423.109
osm7003167570,47.64476420,-122.13798370,-495.934,-450.236
osm7003167574,47.64459980,-122.13792840,-479.993,-440.398
osm5159949428,47.64075270,-122.13273150,-203.835,65.807
osm5159949434,47.64086840,-122.13268450,-217.187,64.959
osm7103240880,47.63996700,-122.13404100,-88.584,1.532
osm7103248592,47.63993550,-122.13409300,-83.976,-1.009
osm5159751057,47.64023350,-122.13315890,-138.547,54.302
osm7103240870,47.63976980,-122.13313800,-90.231,72.498
osm7103327031,47.63938650,-122.13402770,-27.779,23.402
osm809805785,47.64072470,-122.13331550,-186.390,25.518
osm7103512090,47.63751750,-122.13454100,181.796,54.489
osm7103512102,47.63724760,-122.13584240,242.525,-27.810
osm7105644009,47.63777480,-122.13277600,110.887,170.025
osm5145915624,47.63723150,-122.13284340,169.778,184.847
osm5145915629,47.63666610,-122.13334210,241.702,169.966
osm5145915625,47.63675510,-122.13296080,222.864,193.721
osm7105997679,47.63621740,-122.13378380,299.921,154.908
osm7105997698,47.63652020,-122.13405330,274.721,124.933
osm4829304104,47.64402790,-122.13642450,-457.094,-313.430
osm4829350830,47.64299080,-122.13617750,-354.003,-258.572
osm4856079659,47.64513500,-122.13664610,-568.187,-369.016
osm7458590570,47.64471150,-122.13758360,-500.315,-420.043
osm7132698259,47.64553350,-122.14100710,-501.904,-691.774
osm4886343269,47.64498870,-122.14113310,-441.401,-681.042
osm3742149263,47.64107640,-122.14100870,-32.465,-531.191
osm6981460230,47.64042320,-122.14135140,44.834,-531.875
osm4835343869,47.63944900,-122.14220390,168.593,-557.036
osm4835354486,47.63942230,-122.14172820,159.597,-522.434
osm415453464,47.63761240,-122.13950030,294.904,-299.633
osm4829350846,47.64209210,-122.13699010,-239.185,-283.633
osm1488880299,47.64321440,-122.13736180,-348.154,-350.382
osm7529022860,47.64333120,-122.13768460,-352.442,-377.420
osm7529022859,47.64336170,-122.13786940,-351.067,-391.588
osm7529022858,47.64319880,-122.13799800,-330.719,-394.809
osm4892667568,47.64518420,-122.14241860,-430.081,-778.996
osm7137547762,47.63703640,-122.14223500,423.448,-472.252
osm7137547773,47.63944240,-122.13950560,102.309,-365.986
osm7137628046,47.63996070,-122.14053200,73.202,-457.256
osm3742149266,47.64023110,-122.14133580,64.678,-523.846
osm3742149270,47.63918400,-122.14215250,195.226,-543.847
osm7137804866,47.64541200,-122.14160470,-474.274,-729.653
osm7137804868,47.64475430,-122.14149620,-407.702,-698.268
osm4846459990,47.64371580,-122.14069780,-318.151,-604.367
osm4886286153,47.64312690,-122.14162150,-233.202,-648.454
osm4846459976,47.64379980,-122.14150440,-306.975,-664.434
osm4846459994,47.64325390,-122.14120710,-256.863,-623.729
osm4856079653,47.64570110,-122.13619840,-638.919,-357.767
osm4856079644,47.64552190,-122.13711070,-597.401,-415.820
osm6042865915,47.64546180,-122.13680730,-598.603,-392.198
osm4829381871,47.64414920,-122.13609390,-478.075,-294.425
osm6997506291,47.64390170,-122.13626470,-447.770,-297.580
osm4829381867,47.64456850,-122.13628230,-517.557,-322.865
osm4829350209,47.64398130,-122.13669050,-445.583,-330.560
osm7152737866,47.64370650,-122.13682330,-413.346,-330.044
osm4829304108,47.64437150,-122.13705320,-477.674,-370.277
osm4829304106,47.64422730,-122.13660160,-473.697,-333.143
osm4829304109,47.64436370,-122.13757660,-463.860,-407.008
osm1491011803,47.64301990,-122.13869640,-294.542,-437.746
osm4823517529,47.64161500,-122.13716770,-184.531,-278.991
osm6997724812,47.64319140,-122.13811250,-327.097,-402.639
osm4856281084,47.64299920,-122.13755310,-320.741,-356.151
osm6997611926,47.64287470,-122.13759300,-306.639,-354.484
osm4856281085,47.64260340,-122.13816730,-263.812,-385.314
osm4818775932,47.64275850,-122.13812650,-281.159,-388.021
osm4835354485,47.63990240,-122.14138570,100.533,-515.524
osm4835354484,47.63996610,-122.14136140,93.222,-516.102
osm7287516732,47.63730890,-122.13454200,203.790,61.939
osm7287694148,47.63777810,-122.13377260,135.277,99.431
osm7287694151,47.63745700,-122.13404410,175.833,91.808
osm7287694159,47.63657270,-122.13405250,269.172,123.097
osm3934627723,47.63727350,-122.13404500,195.181,98.361
osm7105997694,47.63653430,-122.13364210,263.029,153.503
osm7287694181,47.63748070,-122.13361460,162.676,121.326
osm7105997662,47.63617450,-122.13336490,294.041,186.078
osm7287715300,47.63621390,-122.13267020,272.647,233.783
osm5145915630,47.63732410,-122.13334830,172.558,145.804
osm7287977459,47.63715720,-122.13345920,192.888,143.979
osm7287977454,47.63682460,-122.13344580,227.583,156.918
osm5161698340,47.63880770,-122.13274480,1.332,134.991
osm5159874255,47.64079730,-122.13390850,-179.316,-19.034
osm7291156677,47.63932460,-122.13350290,-34.287,62.745
osm7291607555,47.64575100,-122.13865420,-583.215,-533.229
osm7458590567,47.64473460,-122.13770100,-499.834,-429.178
osm7462172696,47.64171520,-122.14189210,-77.812,-616.693
osm6981557567,47.64169680,-122.14156020,-84.113,-592.559
osm7462172701,47.64199760,-122.14258550,-90.341,-675.908
osm4442737419,47.64216740,-122.14243950,-111.847,-671.706
osm4818775964,47.64220950,-122.14260550,-112.161,-684.963
osm7462172714,47.64578420,-122.13939380,-568.353,-586.727
osm7462172712,47.64574600,-122.13927810,-567.202,-577.168
osm7462172724,47.64581150,-122.13834050,-597.374,-513.227
osm7462172745,47.64577510,-122.13616890,-647.445,-358.349
osm7462172744,47.64576250,-122.13608380,-648.230,-351.876
osm7462172742,47.64571900,-122.13589380,-648.365,-336.872
osm7543923628,47.64337890,-122.13671440,-381.548,-310.531
osm7543923629,47.64331910,-122.13660370,-377.998,-300.547
osm7543923665,47.64199600,-122.13708830,-226.627,-287.113
osm7547455774,47.64109030,-122.13662760,-142.679,-221.880
osm7547455773,47.64098550,-122.13668090,-130.319,-221.871
osm6997611913,47.64144940,-122.13765110,-155.091,-307.205
osm7549247132,47.64210440,-122.13688050,-243.201,-276.326
osm7670711168,47.64361870,-122.13524880,-443.183,-215.536
osm320996263,47.64551750,-122.14118880,-495.709,-704.046
osm320996264,47.64551740,-122.14100760,-500.196,-691.229
osm320996265,47.64559640,-122.14100700,-508.531,-694.035
osm320996266,47.64559740,-122.14075160,-514.976,-676.010
osm1738823964,47.64555640,-122.14073750,-511.008,-673.535
osm320996267,47.64555680,-122.14068950,-512.242,-670.155
osm320996268,47.64513250,-122.14068770,-467.601,-654.730
osm320996269,47.64513220,-122.14065530,-468.374,-652.428
osm4848246453,47.64506270,-122.14065530,-461.054,-649.922
osm320996270,47.64506620,-122.14077210,-458.524,-658.308
osm4848246452,47.64504490,-122.14077320,-456.253,-657.618
osm4848246447,47.64504490,-122.14074500,-456.953,-655.624
osm4848246451,47.64504410,-122.14063960,-459.485,-648.141
osm4848246455,47.64495370,-122.14064110,-449.928,-644.988
osm4848246454,47.64495410,-122.14061120,-450.712,-642.888
osm320996271,47.64474760,-122.14062940,-428.513,-636.730
osm320996272,47.64474760,-122.14068900,-427.033,-640.945
osm320996273,47.64460330,-122.14068760,-411.871,-635.643
osm320996274,47.64460550,-122.14144030,-393.419,-688.950
osm320996275,47.64464070,-122.14143890,-397.161,-690.120
osm320996276,47.64464250,-122.14149630,-395.925,-694.244
osm320996277,47.64490310,-122.14149610,-423.375,-703.626
osm4848246446,47.64492680,-122.14131430,-430.384,-691.624
osm320996278,47.64494130,-122.14113400,-436.387,-679.397
osm320996279,47.64502940,-122.14113200,-445.715,-682.432
osm320996280,47.64503000,-122.14119450,-444.226,-686.873
osm320996300,47.64391510,-122.14150350,-319.140,-668.528
osm320996301,47.64391380,-122.14144610,-320.428,-664.422
osm320996302,47.64395840,-122.14144430,-325.170,-665.902
osm320996303,47.64395300,-122.14070390,-342.980,-613.350
osm3735501418,47.64387240,-122.14070330,-334.506,-610.401
osm320996306,47.64362950,-122.14069480,-309.136,-601.043
osm4846459992,47.64352900,-122.14069070,-298.654,-597.130
osm4846459993,47.64352860,-122.14064770,-299.679,-594.074
osm4846459986,47.64351030,-122.14064660,-297.779,-593.337
osm4846459989,47.64351070,-122.14069070,-296.727,-596.470
osm4846459983,47.64351090,-122.14070370,-296.425,-597.396
osm4846459982,47.64349900,-122.14070340,-295.179,-596.946
osm4846459981,47.64349850,-122.14065950,-296.216,-593.824
osm320996307,47.64342580,-122.14066080,-288.528,-591.294
osm320996308,47.64342520,-122.14068540,-287.854,-593.012
osm320996309,47.64300000,-122.14070020,-242.707,-578.729
osm320996310,47.64299960,-122.14074800,-241.478,-582.095
osm320996311,47.64295780,-122.14075870,-236.810,-581.344
osm320996312,47.64295830,-122.14102830,-230.171,-600.427
osm320996313,47.64304460,-122.14102770,-239.274,-603.496
osm320996315,47.64304310,-122.14120710,-234.663,-616.128
