osm_wid,name,osmtype,osmsubtype,linkuse,nnodes,lat,lng,z,x,height,levels
w4989639,motorway_link001,highway,motorway_link,highway,20,47.6362239,-122.1419269,421.1726,501.3654,0,0
w6338423,motorway_link002,highway,motorway_link,highway,25,47.6343674,-122.1411855,301.8084,678.4774,0,0
w6358012,Northeast 52nd Street,highway,residential,slowroad,4,47.6546714,-122.1330360,457.5489,-1662.1265,0,0
w6360597,154th Avenue Northeast,highway,residential,slowroad,26,47.6564841,-122.1352285,677.9512,-1798.6115,0,0
w6493900,Northeast 51st Street,highway,secondary,road,3,47.6546189,-122.1394203,907.1286,-1498.1178,0,0
w24549543,motorway001,highway,motorway,highway,3,47.6398328,-122.1355393,99.5802,-37.2602,0,0
w25771107,service001,highway,service,driveway,9,47.6443198,-122.1423520,743.1236,-340.7024,0,0
w25771109,service002,highway,service,driveway,9,47.6442806,-122.1408427,634.9761,-374.0346,0,0
w25790599,service003,highway,service,driveway,5,47.6431691,-122.1414685,639.1591,-241.4431,0,0
w25790665,service004,highway,service,driveway,4,47.6446527,-122.1416473,705.2944,-393.2527,0,0
w29234370,service005,highway,service,driveway,10,47.6380182,-122.1400123,350.4659,264.8788,0,0
w29234374,service006,highway,service,driveway,11,47.6378294,-122.1404626,375.5052,295.9320,0,0
w29234377,service007,highway,service,driveway,4,47.6379855,-122.1406920,397.3589,285.1903,0,0
w29234379,service008,highway,service,driveway,4,47.6378549,-122.1405515,382.7138,295.4654,0,0
w29234388,Northeast 31st Way,highway,residential,slowroad,12,47.6383256,-122.1409074,424.8503,254.7254,0,0
w29234403,service009,highway,service,driveway,16,47.6400529,-122.1409380,489.2916,73.5678,0,0
w29234405,service010,highway,service,driveway,9,47.6389922,-122.1418792,517.6038,208.6405,0,0
w29234413,footway001,highway,footway,walkway,10,47.6396942,-122.1426110,594.6667,152.8721,0,0
w29234421,footway002,highway,footway,walkway,2,47.6388914,-122.1396610,357.1062,164.1941,0,0
w29234425,service011,highway,service,driveway,19,47.6388117,-122.1405321,415.8406,194.2089,0,0
w29234491,service012,highway,service,driveway,6,47.6398958,-122.1408446,477.0232,87.7916,0,0
w29234493,service013,highway,service,driveway,3,47.6394863,-122.1406883,451.2068,127.0445,0,0
w29234494,service014,highway,service,driveway,2,47.6392700,-122.1407542,448.0661,151.4591,0,0
w29234495,service015,highway,service,driveway,4,47.6393082,-122.1405133,432.4133,141.4523,0,0
w29234498,service016,highway,service,driveway,2,47.6391354,-122.1399884,389.0592,146.6254,0,0
w29234504,service017,highway,service,driveway,14,47.6408939,-122.1363693,196.5344,-128.4061,0,0
w29234505,service018,highway,service,driveway,2,47.6403276,-122.1363141,172.2125,-70.1368,0,0
w29234506,service019,highway,service,driveway,3,47.6407509,-122.1358123,151.9855,-127.1699,0,0
w29234507,service020,highway,service,driveway,5,47.6406513,-122.1395127,410.0727,-24.8350,0,0
w29234508,service021,highway,service,driveway,8,47.6428688,-122.1417665,649.4007,-202.4156,0,0
w29234530,service022,highway,service,driveway,8,47.6478112,-122.1333735,234.0753,-931.2644,0,0
w29234532,service023,highway,service,driveway,21,47.6466716,-122.1335842,207.8929,-806.0201,0,0
w29234537,service024,highway,service,driveway,7,47.6471171,-122.1343663,279.2591,-833.5201,0,0
w29252278,motorway_link003,highway,motorway_link,highway,13,47.6551669,-122.1372030,770.0862,-1610.8724,0,0
w29252336,motorway_link004,highway,motorway_link,highway,3,47.6458536,-122.1353949,306.4485,-674.9274,0,0
w29252520,service025,highway,service,driveway,13,47.6556294,-122.1410415,1058.2076,-1564.3022,0,0
w29252524,footway003,highway,footway,walkway,3,47.6544469,-122.1402545,959.9159,-1459.3053,0,0
w29396455,motorway_link005,highway,motorway_link,highway,9,47.6533297,-122.1370510,693.0982,-1421.1614,0,0
w29412113,motorway_link006,highway,motorway_link,highway,7,47.6412110,-122.1344799,74.3601,-208.7036,0,0
w29464020,motorway_link007,highway,motorway_link,highway,8,47.6440410,-122.1348622,203.4220,-497.2585,0,0
w29464926,service026,highway,service,driveway,2,47.6390925,-122.1397537,370.9102,145.3216,0,0
w29465063,footway004,highway,footway,walkway,3,47.6389914,-122.1404803,418.6560,173.9983,0,0
w30143729,footway005,highway,footway,walkway,6,47.6474217,-122.1329242,188.2642,-901.3944,0,0
w30143734,154th Place Northeast,highway,unclassified,road,10,47.6536423,-122.1346227,532.6527,-1514.3646,0,0
