osm_wid,osm_nid_1,osm_nid_2,linkuse,comment
w4895178,osm7316804906,osm12645920,highway,"motorway_link01.link1"
w4895178,osm2368440506,osm7316804906,highway,"motorway_link01.link2"
w4895178,osm2368440508,osm2368440506,highway,"motorway_link01.link3"
w4895178,osm31901520,osm2368440508,highway,"motorway_link01.link4"
w4895178,osm2368308692,osm31901520,highway,"motorway_link01.link5"
w4895178,osm248093197,osm2368308692,highway,"motorway_link01.link6"
w4895178,osm31901521,osm248093197,highway,"motorway_link01.link7"
w4895178,osm31901522,osm31901521,highway,"motorway_link01.link8"
w4895336,osm4213069204,osm38953313,road,"Leopardstown Road.link1"
w4895336,osm2368203272,osm4213069204,road,"Leopardstown Road.link2"
w4895336,osm38953607,osm2368203272,road,"Leopardstown Road.link3"
w4895354,osm583517925,osm31903137,road,"Brewery Road.link1"
w4895354,osm31904215,osm583517925,road,"Brewery Road.link2"
w4895354,osm31904217,osm31904215,road,"Brewery Road.link3"
w4895354,osm31904218,osm31904217,road,"Brewery Road.link4"
w4895354,osm7201042969,osm31904218,road,"Brewery Road.link5"
w4895354,osm4899984223,osm7201042969,road,"Brewery Road.link6"
w4895354,osm31904219,osm4899984223,road,"Brewery Road.link7"
w4895354,osm6262619985,osm31904219,road,"Brewery Road.link8"
w4895354,osm31904220,osm6262619985,road,"Brewery Road.link9"
w4895354,osm31904221,osm31904220,road,"Brewery Road.link10"
w4895354,osm31904222,osm31904221,road,"Brewery Road.link11"
w4895354,osm31904223,osm31904222,road,"Brewery Road.link12"
w5409396,osm4213069196,osm38953284,road,"Leopardstown Road01.link1"
w5409396,osm4213069195,osm4213069196,road,"Leopardstown Road01.link2"
w5409396,osm2368203206,osm4213069195,road,"Leopardstown Road01.link3"
w5409396,osm38953288,osm2368203206,road,"Leopardstown Road01.link4"
w5409401,osm4213069189,osm38953280,road,"Leopardstown Road02.link1"
w5409401,osm4213069191,osm4213069189,road,"Leopardstown Road02.link2"
w5409401,osm4213069193,osm4213069191,road,"Leopardstown Road02.link3"
w5409401,osm38953288,osm4213069193,road,"Leopardstown Road02.link4"
w5409402,osm4213069194,osm38953284,road,"Leopardstown Road03.link1"
w5409402,osm4213069192,osm4213069194,road,"Leopardstown Road03.link2"
w5409402,osm4213069190,osm4213069192,road,"Leopardstown Road03.link3"
w5409402,osm38953280,osm4213069190,road,"Leopardstown Road03.link4"
w5409403,osm51984702,osm51984645,slowroad,"Murphystown Road.link1"
w5409403,osm644625694,osm51984702,slowroad,"Murphystown Road.link2"
w5409403,osm51984701,osm644625694,slowroad,"Murphystown Road.link3"
w5409403,osm644625693,osm51984701,slowroad,"Murphystown Road.link4"
w5409403,osm2368308652,osm644625693,slowroad,"Murphystown Road.link5"
w5409403,osm385598693,osm2368308652,slowroad,"Murphystown Road.link6"
w5409403,osm1492480681,osm385598693,slowroad,"Murphystown Road.link7"
w5409403,osm51984692,osm1492480681,slowroad,"Murphystown Road.link8"
w5409403,osm51984688,osm51984692,slowroad,"Murphystown Road.link9"
w5409403,osm51984685,osm51984688,slowroad,"Murphystown Road.link10"
w5409403,osm51984681,osm51984685,slowroad,"Murphystown Road.link11"
w5409403,osm644625695,osm51984681,slowroad,"Murphystown Road.link12"
w5409403,osm51984678,osm644625695,slowroad,"Murphystown Road.link13"
w5409403,osm51984676,osm51984678,slowroad,"Murphystown Road.link14"
w5409403,osm51984674,osm51984676,slowroad,"Murphystown Road.link15"
w5409403,osm392911248,osm51984674,slowroad,"Murphystown Road.link16"
w5409403,osm51984668,osm392911248,slowroad,"Murphystown Road.link17"
w5409403,osm51984666,osm51984668,slowroad,"Murphystown Road.link18"
w5409403,osm38953007,osm51984666,slowroad,"Murphystown Road.link19"
w5409403,osm5536003862,osm38953007,slowroad,"Murphystown Road.link20"
w5409403,osm2840496906,osm5536003862,slowroad,"Murphystown Road.link21"
w5574002,osm41324213,osm41324209,road,"Arena Road.link1"
w5574002,osm41324218,osm41324213,road,"Arena Road.link2"
w5574002,osm41324221,osm41324218,road,"Arena Road.link3"
w5574002,osm2368752833,osm41324221,road,"Arena Road.link4"
w5574002,osm41324225,osm2368752833,road,"Arena Road.link5"
w5574002,osm2368404649,osm41324225,road,"Arena Road.link6"
w5574002,osm6031771365,osm2368404649,road,"Arena Road.link7"
w5574002,osm6031771358,osm6031771365,road,"Arena Road.link8"
w5574002,osm2368404723,osm6031771358,road,"Arena Road.link9"
w5574002,osm6390738065,osm2368404723,road,"Arena Road.link10"
w5574002,osm31904420,osm6390738065,road,"Arena Road.link11"
w5721586,osm38953267,osm38953015,road,"Leopardstown Road04.link1"
w5825851,osm38953280,osm38953267,road,"Leopardstown Road05.link1"
w6228843,osm4017876686,osm769071875,slowroad,"residential01.link1"
w6228843,osm4017876687,osm4017876686,slowroad,"residential01.link2"
w6228843,osm4017876688,osm4017876687,slowroad,"residential01.link3"
w6228843,osm51984649,osm4017876688,slowroad,"residential01.link4"
w6228843,osm769071807,osm51984649,slowroad,"residential01.link5"
w6228843,osm4017877789,osm769071807,slowroad,"residential01.link6"
w6228843,osm51984642,osm4017877789,slowroad,"residential01.link7"
w6228843,osm769071841,osm51984642,slowroad,"residential01.link8"
w6228843,osm4017876678,osm769071841,slowroad,"residential01.link9"
w6228843,osm4017876679,osm4017876678,slowroad,"residential01.link10"
w6228843,osm4017876680,osm4017876679,slowroad,"residential01.link11"
w6228843,osm4017876681,osm4017876680,slowroad,"residential01.link12"
w6228843,osm51984645,osm4017876681,slowroad,"residential01.link13"
w6228843,osm4017876682,osm51984645,slowroad,"residential01.link14"
w6228843,osm4017877790,osm4017876682,slowroad,"residential01.link15"
w6228843,osm769071864,osm4017877790,slowroad,"residential01.link16"
w6228843,osm4017876683,osm769071864,slowroad,"residential01.link17"
w6228843,osm4017876684,osm4017876683,slowroad,"residential01.link18"
w6228843,osm4017876685,osm4017876684,slowroad,"residential01.link19"
w6228843,osm51984647,osm4017876685,slowroad,"residential01.link20"
w6228843,osm769071875,osm51984647,slowroad,"residential01.link21"
w6228845,osm959172802,osm51984652,slowroad,"Glencairn Road.link1"
w6228845,osm4017876677,osm959172802,slowroad,"Glencairn Road.link2"
w6228845,osm959172807,osm4017876677,slowroad,"Glencairn Road.link3"
w6228845,osm1332566668,osm959172807,slowroad,"Glencairn Road.link4"
w6228845,osm5912531439,osm1332566668,slowroad,"Glencairn Road.link5"
w6228845,osm2368308646,osm5912531439,slowroad,"Glencairn Road.link6"
w6228845,osm2368308647,osm2368308646,slowroad,"Glencairn Road.link7"
w6228845,osm51984647,osm2368308647,slowroad,"Glencairn Road.link8"
w6268500,osm4732981224,osm4732981223,road,"unclassified01.link1"
w6268500,osm4732981225,osm4732981224,road,"unclassified01.link2"
w6268500,osm52590985,osm4732981225,road,"unclassified01.link3"
w6268500,osm52590988,osm52590985,road,"unclassified01.link4"
w6268500,osm52590990,osm52590988,road,"unclassified01.link5"
w6268500,osm4732980615,osm52590990,road,"unclassified01.link6"
w6268500,osm4732980616,osm4732980615,road,"unclassified01.link7"
w6268500,osm4732980617,osm4732980616,road,"unclassified01.link8"
w6268500,osm4732980618,osm4732980617,road,"unclassified01.link9"
w6268500,osm4732981226,osm4732980618,road,"unclassified01.link10"
w6268500,osm51504593,osm4732981226,road,"unclassified01.link11"
w6268500,osm4732980619,osm51504593,road,"unclassified01.link12"
w6268500,osm4732980620,osm4732980619,road,"unclassified01.link13"
w6268500,osm52590965,osm4732980620,road,"unclassified01.link14"
w6268500,osm4732981221,osm52590965,road,"unclassified01.link15"
w6268500,osm4732981222,osm4732981221,road,"unclassified01.link16"
w6268500,osm51504589,osm4732981222,road,"unclassified01.link17"
w6268500,osm52590973,osm51504589,road,"unclassified01.link18"
w6268500,osm52590977,osm52590973,road,"unclassified01.link19"
w6268500,osm4732981223,osm52590977,road,"unclassified01.link20"
w6268664,osm1000791247,osm81407947,road,"Brighton Road.link1"
w6268664,osm4403822285,osm1000791247,road,"Brighton Road.link2"
w6268664,osm685203385,osm4403822285,road,"Brighton Road.link3"
w6268664,osm4403822282,osm685203385,road,"Brighton Road.link4"
w6268664,osm1000791252,osm4403822282,road,"Brighton Road.link5"
w6268664,osm52570416,osm1000791252,road,"Brighton Road.link6"
w6268664,osm317555048,osm52570416,road,"Brighton Road.link7"
w6268664,osm52570419,osm317555048,road,"Brighton Road.link8"
w6268664,osm317552600,osm52570419,road,"Brighton Road.link9"
w6268664,osm5762847476,osm317552600,road,"Brighton Road.link10"
w6268664,osm52570422,osm5762847476,road,"Brighton Road.link11"
w6268664,osm52570426,osm52570422,road,"Brighton Road.link12"
