osm_nid,lat,lng,x,z
osm12645920,53.26971180,-6.21041000,0.078,0.911
osm7316804906,53.26976430,-6.21064610,0.084,0.926
osm2368440506,53.26983500,-6.21094340,0.092,0.946
osm2368440508,53.27001640,-6.21167610,0.112,0.995
osm31901520,53.27012300,-6.21220600,0.124,1.030
osm2368308692,53.27020350,-6.21263090,0.133,1.058
osm248093197,53.27026570,-6.21315250,0.139,1.093
osm31901521,53.27032120,-6.21382130,0.146,1.137
osm31901522,53.27042940,-6.21530400,0.158,1.236
osm38953313,53.27125190,-6.21078960,0.249,0.936
osm4213069204,53.27119400,-6.21057990,0.243,0.922
osm2368203272,53.27117980,-6.21046240,0.241,0.914
osm38953607,53.27117710,-6.21015140,0.241,0.893
osm31903137,53.27341680,-6.20072830,0.490,0.267
osm583517925,53.27369060,-6.20065090,0.520,0.262
osm31904215,53.27382380,-6.20058940,0.535,0.257
osm31904217,53.27413530,-6.20035260,0.570,0.242
osm31904218,53.27440650,-6.20012880,0.600,0.227
osm7201042969,53.27457110,-6.19996980,0.618,0.216
osm4899984223,53.27461570,-6.19992670,0.623,0.213
osm31904219,53.27467480,-6.19986550,0.630,0.209
osm6262619985,53.27472890,-6.19980150,0.636,0.205
osm31904220,53.27490700,-6.19961700,0.656,0.193
osm31904221,53.27517530,-6.19935530,0.685,0.175
osm31904222,53.27542510,-6.19916250,0.713,0.163
osm31904223,53.27569250,-6.19901720,0.743,0.153
osm38953284,53.27073160,-6.21075690,0.191,0.934
osm4213069196,53.27068450,-6.21090700,0.186,0.944
osm4213069195,53.27067070,-6.21100740,0.185,0.950
osm2368203206,53.27067020,-6.21113680,0.184,0.959
osm38953288,53.27068110,-6.21122550,0.186,0.965
osm38953280,53.27047870,-6.21109960,0.163,0.956
osm4213069189,53.27051870,-6.21110020,0.168,0.956
osm4213069191,53.27055320,-6.21111500,0.171,0.957
osm4213069193,53.27060370,-6.21114980,0.177,0.960
osm4213069194,53.27064540,-6.21089100,0.182,0.943
osm4213069192,53.27058930,-6.21096610,0.175,0.947
osm4213069190,53.27051950,-6.21104390,0.168,0.953
osm51984645,53.26511650,-6.21157440,-0.433,0.988
osm51984702,53.26521610,-6.21151900,-0.422,0.984
osm644625694,53.26536140,-6.21136010,-0.406,0.974
osm51984701,53.26547760,-6.21121610,-0.393,0.964
osm644625693,53.26562420,-6.21107470,-0.377,0.955
osm2368308652,53.26573790,-6.21097600,-0.364,0.948
osm385598693,53.26583100,-6.21089520,-0.354,0.943
osm1492480681,53.26603190,-6.21067660,-0.331,0.928
osm51984692,53.26631440,-6.21036450,-0.300,0.907
osm51984688,53.26654510,-6.21021620,-0.274,0.898
osm51984685,53.26680870,-6.21005140,-0.245,0.887
osm51984681,53.26707230,-6.21003490,-0.216,0.886
osm644625695,53.26721210,-6.21003490,-0.200,0.886
osm51984678,53.26741010,-6.21006790,-0.178,0.888
osm51984676,53.26769020,-6.21023260,-0.147,0.899
osm51984674,53.26784530,-6.21037240,-0.130,0.908
osm392911248,53.26794870,-6.21049060,-0.118,0.916
osm51984668,53.26834930,-6.21095760,-0.074,0.947
osm51984666,53.26882710,-6.21151780,-0.020,0.984
osm38953007,53.26916050,-6.21189010,0.017,1.009
osm5536003862,53.26920590,-6.21194500,0.022,1.013
osm2840496906,53.26929600,-6.21205380,0.032,1.020
osm41324209,53.27278240,-6.20900770,0.419,0.817
osm41324213,53.27291880,-6.20907070,0.434,0.821
osm41324218,53.27326860,-6.20840600,0.473,0.777
osm41324221,53.27348900,-6.20798630,0.498,0.749
osm2368752833,53.27363750,-6.20781140,0.514,0.738
osm41324225,53.27378900,-6.20769280,0.531,0.730
osm2368404649,53.27411110,-6.20749060,0.567,0.716
osm6031771365,53.27432690,-6.20735430,0.591,0.707
osm6031771358,53.27439790,-6.20730950,0.599,0.704
osm2368404723,53.27441020,-6.20730170,0.600,0.704
osm6390738065,53.27493090,-6.20695320,0.658,0.681
osm31904420,53.27499820,-6.20690810,0.666,0.678
osm38953015,53.26986500,-6.21157270,0.095,0.988
osm38953267,53.27044860,-6.21112920,0.160,0.958
osm769071875,53.26502500,-6.21155930,-0.443,0.987
osm4017876686,53.26502100,-6.21158180,-0.444,0.988
osm4017876687,53.26502100,-6.21160530,-0.444,0.990
osm4017876688,53.26502500,-6.21162780,-0.443,0.992
osm51984649,53.26503270,-6.21164750,-0.442,0.993
osm769071807,53.26504520,-6.21166440,-0.441,0.994
osm4017877789,53.26505260,-6.21166890,-0.440,0.994
