osm_wid,name,osmtype,osmsubtype,linkuse,nnodes,lat,lng,z,x,height,levels
w4895178,motorway_link01,highway,motorway_link,highway,9,53.2700745,-6.2123100,-1.0369,0.1182,0,0
w4895336,Leopardstown Road,highway,trunk,road,4,53.2712007,-6.2104958,-0.9162,0.2434,0,0
w4895354,Brewery Road,highway,trunk,road,13,53.2745587,-6.1999358,-0.2140,0.6168,0,0
w5409396,Leopardstown Road01,highway,trunk,road,5,53.2706876,-6.2110067,-0.9502,0.1864,0,0
w5409401,Leopardstown Road02,highway,secondary,road,5,53.2705671,-6.2111380,-0.9589,0.1730,0,0
w5409402,Leopardstown Road03,highway,secondary,road,5,53.2705929,-6.2109515,-0.9465,0.1759,0,0
w5409403,Murphystown Road,highway,residential,slowroad,22,53.2670037,-6.2108874,-0.9423,-0.2232,0,0
w5574002,Arena Road,highway,unclassified,road,12,53.2739217,-6.2077744,-0.7352,0.5460,0,0
w5721586,Leopardstown Road04,highway,secondary,road,2,53.2701568,-6.2113509,-0.9731,0.1274,0,0
w5825851,Leopardstown Road05,highway,secondary,road,2,53.2704636,-6.2111144,-0.9574,0.1615,0,0
w6228843,residential01,highway,residential,slowroad,22,53.2650650,-6.2115940,-0.9893,-0.4388,0,0
w6228845,Glencairn Road,highway,residential,slowroad,9,53.2649227,-6.2110553,-0.9534,-0.4546,0,0
w6268500,unclassified01,highway,unclassified,road,21,53.2691768,-6.1942600,0.1635,0.0184,0,0
w6268664,Brighton Road,highway,tertiary,road,30,53.2623450,-6.1791785,1.1664,-0.7413,0,0
w6268665,Torquay Road,highway,tertiary,road,22,53.2713594,-6.1876963,0.6000,0.2611,0,0
w6269907,service01,highway,service,driveway,9,53.2674858,-6.1946238,0.1393,-0.1696,0,0
w6269908,service02,highway,service,driveway,2,53.2670576,-6.1958040,0.0608,-0.2173,0,0
w6269909,service03,highway,service,driveway,15,53.2704852,-6.1943467,0.1577,0.1639,0,0
w6269910,service04,highway,service,driveway,16,53.2647095,-6.1948401,0.1249,-0.4783,0,0
w6270108,service05,highway,service,driveway,9,53.2721703,-6.1970714,-0.0235,0.3512,0,0
w6288042,motorway_link02,highway,motorway_link,highway,5,53.2708153,-6.2117912,-1.0024,0.2006,0,0
w8075811,motorway_link03,highway,motorway_link,highway,7,53.2709397,-6.2136170,-1.1238,0.2144,0,0
w8075993,service06,highway,service,driveway,3,53.2708127,-6.1970109,-0.0195,0.2003,0,0
w8075994,service07,highway,service,driveway,14,53.2702041,-6.1949823,0.1154,0.1326,0,0
w9932353,service08,highway,service,driveway,9,53.2663455,-6.1856548,0.7357,-0.2964,0,0
w9932355,service09,highway,service,driveway,9,53.2662930,-6.1877253,0.5980,-0.3023,0,0
w9932356,service10,highway,service,driveway,5,53.2663186,-6.1865768,0.6744,-0.2994,0,0
w9932357,Westminster Road,highway,tertiary,road,20,53.2687808,-6.1772464,1.2949,-0.0256,0,0
w9932358,Westminister Court,highway,residential,slowroad,7,53.2668101,-6.1844978,0.8127,-0.2448,0,0
w9935043,Burton Hall Drive,highway,tertiary,road,4,53.2720399,-6.2040065,-0.4847,0.3368,0,0
w14179228,Glencairn Avenue,highway,residential,slowroad,9,53.2636174,-6.2096812,-0.8621,-0.5998,0,0
w14179392,Glencairn Road01,highway,residential,slowroad,12,53.2643375,-6.2087255,-0.7985,-0.5197,0,0
w14179458,Glencairn View,highway,residential,slowroad,4,53.2652831,-6.2105256,-0.9182,-0.4146,0,0
w14179483,Glencairn Garth,highway,residential,slowroad,4,53.2655797,-6.2092570,-0.8338,-0.3816,0,0
w14179530,Glencairn Chase,highway,residential,slowroad,11,53.2648665,-6.2070186,-0.6850,-0.4609,0,0
w14179609,Glencairn Way,highway,residential,slowroad,7,53.2648892,-6.2083084,-0.7708,-0.4584,0,0
w16584429,The Chase,highway,residential,slowroad,11,53.2735506,-6.1995880,-0.1908,0.5047,0,0
w16584439,residential02,highway,residential,slowroad,2,53.2732970,-6.1989311,-0.1472,0.4765,0,0
w23024719,Southern Cross Route,highway,motorway,highway,5,53.2702979,-6.2123844,-1.0418,0.1431,0,0
w23399039,Tudor Lawns,highway,residential,slowroad,10,53.2727781,-6.1951436,0.1047,0.4188,0,0
w23399040,Tudor Lawns01,highway,residential,slowroad,19,53.2720797,-6.1944929,0.1480,0.3412,0,0
w23399041,service11,highway,service,driveway,6,53.2733998,-6.1965426,0.0117,0.4880,0,0
w23399042,Burton Park,highway,residential,slowroad,3,53.2717061,-6.2081477,-0.7601,0.2996,0,0
w23399043,service12,highway,service,driveway,21,53.2706956,-6.2077365,-0.7327,0.1873,0,0
w23399044,service13,highway,service,driveway,12,53.2704342,-6.2066330,-0.6593,0.1582,0,0
w23399045,Central Park,highway,service,driveway,14,53.2714720,-6.2026922,-0.3973,0.2736,0,0
w23399047,unclassified02,highway,unclassified,road,22,53.2676808,-6.1981682,-0.0964,-0.1480,0,0
w23399048,service14,highway,service,driveway,7,53.2690314,-6.1984414,-0.1146,0.0022,0,0
w23399049,unclassified03,highway,unclassified,road,28,53.2689638,-6.1986517,-0.1286,-0.0053,0,0
w23399052,service15,highway,service,driveway,3,53.2673729,-6.1983626,-0.1094,-0.1822,0,0
w23399053,service16,highway,service,driveway,4,53.2677164,-6.1984554,-0.1155,-0.1440,0,0
w23399054,service17,highway,service,driveway,9,53.2675681,-6.1974693,-0.0499,-0.1605,0,0
w23399059,service18,highway,service,driveway,4,53.2694045,-6.1994345,-0.1806,0.0437,0,0
w23399061,service19,highway,service,driveway,14,53.2692977,-6.1979120,-0.0794,0.0318,0,0
w23399062,service20,highway,service,driveway,6,53.2701683,-6.1982228,-0.1001,0.1286,0,0
w23399063,unclassified04,highway,unclassified,road,21,53.2709215,-6.1989998,-0.1517,0.2124,0,0
w23399064,service21,highway,service,driveway,5,53.2712375,-6.1985299,-0.1205,0.2475,0,0
w23399065,unclassified05,highway,unclassified,road,5,53.2710392,-6.1995613,-0.1891,0.2255,0,0
w23399066,service22,highway,service,driveway,13,53.2705329,-6.1979456,-0.0816,0.1692,0,0
w23399068,service23,highway,service,driveway,3,53.2707959,-6.2015240,-0.3196,0.1984,0,0
w23399069,service24,highway,service,driveway,5,53.2713130,-6.2014590,-0.3153,0.2559,0,0
w23399070,service25,highway,service,driveway,10,53.2690117,-6.2018880,-0.3438,0.0000,0,0
w23399071,service26,highway,service,driveway,20,53.2687274,-6.2037877,-0.4701,-0.0316,0,0
w23399072,service27,highway,service,driveway,7,53.2687835,-6.2030995,-0.4244,-0.0253,0,0
w23399073,service28,highway,service,driveway,6,53.2697378,-6.2016361,-0.3270,0.0808,0,0
w23399074,service29,highway,service,driveway,13,53.2698284,-6.2031128,-0.4252,0.0908,0,0
w23399076,unclassified06,highway,unclassified,road,6,53.2716179,-6.2056009,-0.5907,0.2898,0,0
w23399077,Central Park01,highway,unclassified,road,9,53.2716822,-6.2048856,-0.5431,0.2970,0,0
w23399078,Central Park02,highway,unclassified,road,30,53.2710622,-6.2053492,-0.5740,0.2280,0,0
w23399083,service30,highway,service,driveway,12,53.2734289,-6.1958151,0.0601,0.4912,0,0
w24722362,Tudor Lawns02,highway,residential,slowroad,13,53.2723366,-6.1936947,0.2011,0.3697,0,0
w27313444,Glencairn Heath,highway,residential,slowroad,5,53.2638647,-6.2106906,-0.9292,-0.5723,0,0
w28889197,The Hedgerows,highway,service,driveway,5,53.2674530,-6.1849032,0.7857,-0.1733,0,0
w28889315,The Coppins,highway,residential,slowroad,9,53.2649307,-6.1806709,1.0672,-0.4538,0,0
w28889325,Avalon,highway,residential,slowroad,8,53.2649918,-6.1833591,0.8884,-0.4470,0,0
w28889616,Brighton Lodge,highway,residential,slowroad,4,53.2656200,-6.1841035,0.8389,-0.3771,0,0
w28889618,Brighton Lodge01,highway,residential,slowroad,3,53.2659120,-6.1837535,0.8622,-0.3446,0,0
w28934226,The Birches,highway,residential,slowroad,9,53.2704577,-6.1830558,0.9086,0.1608,0,0
w28934231,The By Ways,highway,residential,slowroad,2,53.2678005,-6.1814282,1.0168,-0.1346,0,0
w29046213,The Birches01,highway,residential,slowroad,10,53.2691981,-6.1820885,0.9729,0.0208,0,0
w34259034,cycleway01,highway,cycleway,walkway,52,53.2630649,-6.2008543,-0.2751,-0.6612,0,0
w34259038,cycleway02,highway,cycleway,walkway,2,53.2653734,-6.2077318,-0.7324,-0.4045,0,0
w34259040,Orby Way,highway,residential,slowroad,6,53.2641544,-6.2049614,-0.5482,-0.5401,0,0
w34259044,Orby Court,highway,residential,slowroad,2,53.2654205,-6.2013073,-0.3052,-0.3993,0,0
w34259045,Orby Close,highway,residential,slowroad,5,53.2645233,-6.2016501,-0.3280,-0.4991,0,0
w34259046,Orby View,highway,residential,slowroad,10,53.2643067,-6.2029993,-0.4177,-0.5231,0,0
w34259866,Orby Avenue,highway,residential,slowroad,3,53.2652295,-6.2014538,-0.3149,-0.4205,0,0
w40024395,service31,highway,service,driveway,2,53.2716109,-6.1851764,0.7675,0.2890,0,0
w49577166,service32,highway,service,driveway,20,53.2676281,-6.1987967,-0.1382,-0.1538,0,0
w51270106,service33,highway,service,driveway,7,53.2669870,-6.1993065,-0.1721,-0.2251,0,0
w51270107,service34,highway,service,driveway,6,53.2674191,-6.1980484,-0.0885,-0.1771,0,0
w51270108,footway01,highway,footway,walkway,22,53.2680421,-6.1968276,-0.0073,-0.1078,0,0
w51270109,footway02,highway,footway,walkway,3,53.2678757,-6.1969142,-0.0130,-0.1263,0,0
w51304825,unclassified07,highway,unclassified,road,8,53.2683666,-6.1982105,-0.0992,-0.0717,0,0
w51304974,service35,highway,service,driveway,14,53.2685249,-6.1991306,-0.1604,-0.0541,0,0
w51341246,service36,highway,service,driveway,2,53.2654844,-6.1965506,0.0111,-0.3922,0,0
w51445700,Leopardstown Road06,highway,trunk,road,13,53.2718418,-6.2063035,-0.6374,0.3147,0,0
w51445702,Leopardstown Road07,highway,trunk,road,15,53.2716133,-6.2067202,-0.6651,0.2893,0,0
w51445704,Leopardstown Road08,highway,trunk,road,3,53.2710137,-6.2103094,-0.9038,0.2226,0,0
w64672921,service37,highway,service,driveway,26,53.2666017,-6.1955970,0.0746,-0.2680,0,0
w64672923,service38,highway,service,driveway,2,53.2646422,-6.1955045,0.0807,-0.4858,0,0
w64672924,service39,highway,service,driveway,2,53.2645794,-6.1961984,0.0346,-0.4928,0,0
w64672925,service40,highway,service,driveway,2,53.2645684,-6.1953276,0.0925,-0.4940,0,0
w64672926,service41,highway,service,driveway,7,53.2644858,-6.1953437,0.0914,-0.5032,0,0
w64672929,service42,highway,service,driveway,2,53.2645190,-6.1951567,0.1038,-0.4995,0,0
w70869582,South Eastern Motorway,highway,motorway,highway,9,53.2691756,-6.2086986,-0.7967,0.0183,0,0
w80339550,Leopardstown Road09,highway,trunk,road,5,53.2708223,-6.2106394,-0.9258,0.2014,0,0
w81176039,Leopardstown Road10,highway,trunk,road,16,53.2710665,-6.2113268,-0.9715,0.2285,0,0
w81176040,Leopardstown Road11,highway,trunk,road,7,53.2710837,-6.2106178,-0.9243,0.2304,0,0
w81957633,footway03,highway,footway,walkway,4,53.2699147,-6.2041277,-0.4927,0.1004,0,0
w81957634,footway04,highway,footway,walkway,6,53.2660282,-6.2102772,-0.9017,-0.3317,0,0
w81957641,pedestrian01,highway,pedestrian,walkway,5,53.2702052,-6.2037668,-0.4687,0.1327,0,0
w83187000,service43,highway,service,driveway,2,53.2671232,-6.1976435,-0.0615,-0.2100,0,0
w83187001,service44,highway,service,driveway,3,53.2671732,-6.1970262,-0.0205,-0.2044,0,0
w83187124,Leopardstown Road12,highway,secondary,road,5,53.2733251,-6.1974823,-0.0508,0.4797,0,0
w83187125,unclassified08,highway,unclassified,road,20,53.2706546,-6.1968525,-0.0089,0.1827,0,0
w86207883,service45,highway,service,driveway,8,53.2691793,-6.2014530,-0.3149,0.0187,0,0
w86207886,service46,highway,service,driveway,7,53.2692093,-6.2009270,-0.2799,0.0220,0,0
w86207888,service47,highway,service,driveway,16,53.2700525,-6.1997546,-0.2019,0.1158,0,0
w86207894,service48,highway,service,driveway,3,53.2697451,-6.2023015,-0.3713,0.0816,0,0
w86207895,footway05,highway,footway,walkway,10,53.2703176,-6.2027411,-0.4005,0.1452,0,0
w86209154,footway06,highway,footway,walkway,2,53.2727261,-6.1943629,0.1566,0.4131,0,0
