osm_wid,osm_nid_1,osm_nid_2,linkuse,comment
w4334869,osm686277206,osm686277205,road,"Zook Road.link1"
w4334869,osm686277207,osm686277206,road,"Zook Road.link2"
w4334869,osm686277208,osm686277207,road,"Zook Road.link3"
w4334869,osm686277209,osm686277208,road,"Zook Road.link4"
w4334869,osm686277210,osm686277209,road,"Zook Road.link5"
w4334869,osm686277211,osm686277210,road,"Zook Road.link6"
w4334869,osm686277212,osm686277211,road,"Zook Road.link7"
w4368969,osm447913681,osm33375249,road,"North Shoreline Boulevard.link1"
w4368969,osm6481192958,osm447913681,road,"North Shoreline Boulevard.link2"
w4626017,osm7671626991,osm29378879,road,"RT Jones Road.link1"
w4626017,osm6821552729,osm7671626991,road,"RT Jones Road.link2"
w4626017,osm6821552730,osm6821552729,road,"RT Jones Road.link3"
w4626017,osm6821552728,osm6821552730,road,"RT Jones Road.link4"
w4626017,osm6821638707,osm6821552728,road,"RT Jones Road.link5"
w4626017,osm29381094,osm6821638707,road,"RT Jones Road.link6"
w4626017,osm687859291,osm29381094,road,"RT Jones Road.link7"
w4626017,osm29381096,osm687859291,road,"RT Jones Road.link8"
w4626017,osm6821552727,osm29381096,road,"RT Jones Road.link9"
w4626017,osm3695930076,osm6821552727,road,"RT Jones Road.link10"
w4626017,osm6821552726,osm3695930076,road,"RT Jones Road.link11"
w4626017,osm29381143,osm6821552726,road,"RT Jones Road.link12"
w4626017,osm29381142,osm29381143,road,"RT Jones Road.link13"
w4626017,osm686277338,osm29381142,road,"RT Jones Road.link14"
w4626017,osm686277337,osm686277338,road,"RT Jones Road.link15"
w4626017,osm29381140,osm686277337,road,"RT Jones Road.link16"
w4626017,osm686277336,osm29381140,road,"RT Jones Road.link17"
w4626017,osm29381139,osm686277336,road,"RT Jones Road.link18"
w4626017,osm29381137,osm29381139,road,"RT Jones Road.link19"
w4626017,osm529139846,osm29381137,road,"RT Jones Road.link20"
w4626017,osm6337786107,osm529139846,road,"RT Jones Road.link21"
w4626017,osm6821552724,osm6337786107,road,"RT Jones Road.link22"
w4626017,osm29381134,osm6821552724,road,"RT Jones Road.link23"
w4626017,osm29381133,osm29381134,road,"RT Jones Road.link24"
w4626017,osm29381132,osm29381133,road,"RT Jones Road.link25"
