osm_nid,lat,lng,x,z
osm686277205,37.41654870,-122.05429180,-0.576,-0.764
osm686277206,37.41635910,-122.05427030,-0.597,-0.766
osm686277207,37.41616100,-122.05425690,-0.619,-0.767
osm686277208,37.41592880,-122.05425150,-0.645,-0.767
osm686277209,37.41511930,-122.05431860,-0.735,-0.761
osm686277210,37.41502770,-122.05433740,-0.745,-0.760
osm686277211,37.41494030,-122.05437220,-0.755,-0.757
osm686277212,37.41487430,-122.05441520,-0.762,-0.753
osm33375249,37.41127080,-122.07815580,-1.163,1.344
osm447913681,37.41079060,-122.07815760,-1.216,1.344
osm6481192958,37.41071570,-122.07815790,-1.225,1.344
osm29378879,37.41899300,-122.06575340,-0.304,0.249
osm7671626991,37.41886310,-122.06575340,-0.319,0.249
osm6821552729,37.41857620,-122.06572820,-0.351,0.246
osm6821552730,37.41828610,-122.06562320,-0.383,0.237
osm6821552728,37.41807500,-122.06559960,-0.406,0.235
osm6821638707,37.41766240,-122.06559880,-0.452,0.235
osm29381094,37.41712480,-122.06559780,-0.512,0.235
osm687859291,37.41692090,-122.06560230,-0.535,0.235
osm29381096,37.41682650,-122.06560060,-0.545,0.235
osm6821552727,37.41637090,-122.06554790,-0.596,0.230
osm3695930076,37.41610190,-122.06545460,-0.626,0.222
osm6821552726,37.41584280,-122.06530460,-0.655,0.209
osm29381143,37.41561350,-122.06509300,-0.680,0.190
osm29381142,37.41502980,-122.06435810,-0.745,0.125
osm686277338,37.41491260,-122.06425080,-0.758,0.116
osm686277337,37.41477840,-122.06415430,-0.773,0.107
osm29381140,37.41464630,-122.06407650,-0.788,0.100
osm686277336,37.41448230,-122.06403630,-0.806,0.097
osm29381139,37.41432250,-122.06400670,-0.824,0.094
osm29381137,37.41377410,-122.06400480,-0.885,0.094
osm529139846,37.41242220,-122.06398530,-1.035,0.092
osm6337786107,37.41189590,-122.06398430,-1.094,0.092
osm6821552724,37.41133450,-122.06399080,-1.156,0.093
osm29381134,37.41101190,-122.06396080,-1.192,0.090
osm29381133,37.41071360,-122.06388070,-1.225,0.083
osm29381132,37.41038540,-122.06374920,-1.261,0.072
osm686277574,37.41006800,-122.06359910,-1.297,0.058
osm6821638751,37.40993670,-122.06353160,-1.311,0.052
osm519548843,37.40981450,-122.06346880,-1.325,0.047
osm152275162,37.42440150,-122.06186420,0.297,-0.095
osm6838084181,37.42431420,-122.06186410,0.287,-0.095
osm699181646,37.42420070,-122.06186390,0.275,-0.095
osm7139058260,37.42182710,-122.06186060,0.011,-0.095
osm7139058262,37.42125390,-122.06185980,-0.053,-0.095
osm7139058257,37.42068590,-122.06185900,-0.116,-0.095
osm6838050819,37.42060560,-122.06185890,-0.125,-0.095
