osm_wid,name,osmtype,osmsubtype,linkuse,nnodes,lat,lng,z,x,height,levels
w4334869,Zook Road,highway,unclassified,road,8,37.4156199,-122.0543142,0.7616,-0.6794,0,0
w4368969,North Shoreline Boulevard,highway,primary,road,3,37.4109257,-122.0781571,-1.3439,-1.2014,0,0
w4626017,RT Jones Road,highway,unclassified,road,29,37.4146478,-122.0646654,-0.1525,-0.7875,0,0
w4626020,de France Avenue,highway,unclassified,road,44,37.4173880,-122.0618851,0.0931,-0.4828,0,0
w4626021,Mc Cord Avenue,highway,unclassified,road,35,37.4159069,-122.0583922,0.4015,-0.6475,0,0
w4626484,service001,highway,service,driveway,47,37.4251420,-122.0651089,-0.1916,0.3794,0,0
w4630346,cycleway001,highway,cycleway,walkway,12,37.4324779,-122.0683899,-0.4814,1.1951,0,0
w4630350,unclassified001,highway,unclassified,road,8,37.4173823,-122.0639640,-0.0905,-0.4834,0,0
w4644006,King Road,highway,unclassified,road,23,37.4144648,-122.0599406,0.2648,-0.8079,0,0
w4644013,Moffett Boulevard,highway,service,driveway,8,37.4208225,-122.0599322,0.2655,-0.1009,0,0
w4644014,Zook Road001,highway,unclassified,road,2,37.4168641,-122.0543366,0.7597,-0.5411,0,0
w4644024,unclassified002,highway,unclassified,road,4,37.4242530,-122.0580623,0.4307,0.2805,0,0
w4644025,service002,highway,service,driveway,6,37.4155356,-122.0552906,0.6754,-0.6888,0,0
w5005672,motorway_link001,highway,motorway_link,highway,15,37.4094217,-122.0707682,-0.6914,-1.3686,0,0
w5012269,North Shoreline Boulevard001,highway,secondary,road,4,37.4162008,-122.0781378,-1.3422,-0.6148,0,0
w5050023,motorway_link002,highway,motorway_link,highway,3,37.4114095,-122.0777480,-1.3078,-1.1476,0,0
w8924268,motorway_link003,highway,motorway_link,highway,2,37.4109401,-122.0761867,-1.1699,-1.1998,0,0
w8924352,service003,highway,service,driveway,4,37.4115214,-122.0582988,0.4098,-1.1351,0,0
w8924695,motorway_link004,highway,motorway_link,highway,15,37.4119647,-122.0795469,-1.4666,-1.0859,0,0
w8927161,service004,highway,service,driveway,2,37.4153307,-122.0729325,-0.8825,-0.7116,0,0
w8927572,Rock Street,highway,residential,slowroad,4,37.4121435,-122.0838113,-1.8432,-1.0660,0,0
w8930160,Cummins Avenue,highway,residential,slowroad,8,37.4129185,-122.0546999,0.7276,-0.9798,0,0
w8930942,Oro Way,highway,service,driveway,2,37.4174722,-122.0729386,-0.8831,-0.4735,0,0
w8931582,South Akron Road,highway,residential,slowroad,14,37.4110194,-122.0589040,0.3563,-1.1910,0,0
w8932786,Severyns Avenue,highway,residential,slowroad,24,37.4129317,-122.0553241,0.6725,-0.9783,0,0
w8935206,motorway_link005,highway,motorway_link,highway,5,37.4140782,-122.0855364,-1.9956,-0.8508,0,0
w8936970,Shorebird Way,highway,unclassified,road,25,37.4189366,-122.0735302,-0.9353,-0.3106,0,0
w8938423,Camp Avenue,highway,residential,slowroad,9,37.4128679,-122.0841191,-1.8704,-0.9854,0,0
w8941572,Plymouth Street,highway,residential,slowroad,13,37.4165564,-122.0802589,-1.5295,-0.5753,0,0
w8941660,Madera,highway,service,driveway,2,37.4157741,-122.0729344,-0.8827,-0.6623,0,0
w8943413,Macon Avenue,highway,unclassified,road,7,37.4124999,-122.0734333,-0.9267,-1.0263,0,0
w8945800,La Avenida Street,highway,unclassified,road,11,37.4131220,-122.0705778,-0.6746,-0.9572,0,0
w8946087,service005,highway,service,driveway,3,37.4164357,-122.0734788,-0.9308,-0.5887,0,0
w8947750,Space Park Way,highway,service,driveway,4,37.4170829,-122.0732273,-0.9085,-0.5167,0,0
w8947753,Space Park Way001,highway,service,driveway,5,37.4172956,-122.0712678,-0.7355,-0.4931,0,0
w8948214,Joaquin Road,highway,residential,slowroad,16,37.4181724,-122.0804801,-1.5490,-0.3956,0,0
w8948960,service006,highway,service,driveway,3,37.4146733,-122.0734873,-0.9315,-0.7847,0,0
w8949439,Palomas,highway,service,driveway,2,37.4166514,-122.0729335,-0.8826,-0.5647,0,0
w8950406,Casa Grande Avenue,highway,service,driveway,9,37.4159033,-122.0698075,-0.6066,-0.6479,0,0
w8950731,Stevens Way,highway,residential,slowroad,10,37.4123812,-122.0653477,-0.2127,-1.0395,0,0
w8951721,Cody Road,highway,unclassified,road,22,37.4086483,-122.0519677,0.9689,-1.4546,0,0
w8954466,Monterey,highway,service,driveway,4,37.4148199,-122.0720110,-0.8011,-0.7684,0,0
w8954481,Crittenden Lane,highway,unclassified,road,11,37.4248781,-122.0730513,-0.8930,0.3501,0,0
w8956903,Huff Avenue,highway,residential,slowroad,16,37.4186220,-122.0829179,-1.7643,-0.3456,0,0
w8957547,Stierlin Court,highway,service,driveway,2,37.4233694,-122.0720515,-0.8047,0.1823,0,0
w8957831,El Center,highway,service,driveway,6,37.4151699,-122.0710298,-0.7145,-0.7295,0,0
w8957882,Hermosa,highway,service,driveway,2,37.4162260,-122.0707251,-0.6876,-0.6120,0,0
w8958678,Alta Avenue,highway,residential,slowroad,22,37.4188353,-122.0853494,-1.9790,-0.3219,0,0
w8959790,Monte Vista,highway,service,driveway,2,37.4162384,-122.0712797,-0.7366,-0.6106,0,0
w8960076,Bonita Way,highway,service,driveway,2,37.4162506,-122.0718323,-0.7854,-0.6093,0,0
w8961471,Spring Street,highway,residential,slowroad,7,37.4131817,-122.0835395,-1.8192,-0.9505,0,0
w8962845,Morgan Court,highway,residential,slowroad,4,37.4118915,-122.0824968,-1.7271,-1.0940,0,0
w8963461,Marriage Road,highway,service,driveway,7,37.4234507,-122.0423540,1.8178,0.1913,0,0
w8964938,Morgan Street,highway,residential,slowroad,12,37.4124654,-122.0833698,-1.8042,-1.0302,0,0
w8965326,Pear Avenue,highway,unclassified,road,8,37.4153824,-122.0740708,-0.9830,-0.7058,0,0
w8966115,Armand Avenue,highway,service,driveway,11,37.4158524,-122.0723903,-0.8346,-0.6536,0,0
w8967438,Mc Cord Avenue001,highway,residential,slowroad,10,37.4108419,-122.0567895,0.5431,-1.2107,0,0
w8969281,Macon Road,highway,unclassified,road,63,37.4094285,-122.0410458,1.9334,-1.3679,0,0
w8969398,service007,highway,service,driveway,8,37.4171863,-122.0694355,-0.5737,-0.5052,0,0
w8970292,North Akron Road,highway,residential,slowroad,8,37.4113585,-122.0597419,0.2823,-1.1533,0,0
w9742538,motorway_link006,highway,motorway_link,highway,10,37.4138009,-122.0783094,-1.3573,-0.8817,0,0
w9742541,motorway_link007,highway,motorway_link,highway,22,37.4128105,-122.0773542,-1.2730,-0.9918,0,0
w11475392,motorway_link008,highway,motorway_link,highway,16,37.4110742,-122.0785995,-1.3830,-1.1849,0,0
w15367644,unclassified003,highway,unclassified,road,5,37.4243568,-122.0614688,0.1298,0.2921,0,0
w18165428,San Francisco Bay Trail,highway,cycleway,walkway,26,37.4326071,-122.0845095,-1.9049,1.2095,0,0
w18166405,Bill Graham Parkway,highway,unclassified,road,42,37.4266327,-122.0796837,-1.4787,0.5452,0,0
w18166659,Fitness Trail,highway,footway,walkway,106,37.4217960,-122.0737603,-0.9556,0.0073,0,0
w18858979,North Shoreline Boulevard002,highway,primary,road,2,37.4106502,-122.0780131,-1.3312,-1.2320,0,0
w18889690,North Shoreline Boulevard003,highway,secondary,road,5,37.4158599,-122.0779930,-1.3294,-0.6527,0,0
w23626310,Crittenden Access to Stevens Creek Trail,highway,cycleway,walkway,2,37.4247822,-122.0682821,-0.4718,0.3394,0,0
w23725172,North Shoreline Boulevard004,highway,primary,road,2,37.4116443,-122.0780061,-1.3306,-1.1215,0,0
w23725173,North Shoreline Boulevard005,highway,secondary,road,3,37.4131344,-122.0779996,-1.3300,-0.9558,0,0
w23725175,North Shoreline Boulevard006,highway,primary,road,2,37.4119729,-122.0781704,-1.3451,-1.0849,0,0
w23725176,Shoreline (South),highway,primary,road,2,37.4113657,-122.0781667,-1.3447,-1.1525,0,0
w23725322,motorway_link009,highway,motorway_link,highway,10,37.4099798,-122.0714405,-0.7508,-1.3066,0,0
w23733650,Charleston Road,highway,secondary,road,5,37.4205530,-122.0794730,-1.4601,-0.1309,0,0
w23892302,Charleston Road001,highway,unclassified,road,5,37.4204306,-122.0773563,-1.2732,-0.1445,0,0
w23892308,North Shoreline Boulevard007,highway,secondary,road,4,37.4166471,-122.0779864,-1.3288,-0.5652,0,0
w23918481,cycleway002,highway,cycleway,walkway,8,37.4286062,-122.0795525,-1.4671,0.7646,0,0
w23918487,footway001,highway,footway,walkway,21,37.4279081,-122.0848986,-1.9392,0.6870,0,0
w23918577,cycleway003,highway,cycleway,walkway,2,37.4301435,-122.0680690,-0.4530,0.9355,0,0
w23918639,Vista Slope,highway,footway,walkway,27,37.4256719,-122.0838621,-1.8477,0.4383,0,0
w23918662,footway002,highway,footway,walkway,45,37.4251097,-122.0831466,-1.7845,0.3758,0,0
w23925644,North Shoreline Boulevard008,highway,tertiary,road,9,37.4264310,-122.0779912,-1.3293,0.5227,0,0
w24408085,San Francisco Bay Trail001,highway,cycleway,walkway,56,37.4311808,-122.0526944,0.9047,1.0509,0,0
w24443148,footway003,highway,footway,walkway,8,37.4227156,-122.0825932,-1.7356,0.1096,0,0
w24443149,footway004,highway,footway,walkway,8,37.4210124,-122.0822121,-1.7020,-0.0798,0,0
w24443150,footway005,highway,footway,walkway,11,37.4211146,-122.0816231,-1.6500,-0.0684,0,0
w24443151,footway006,highway,footway,walkway,29,37.4208361,-122.0805612,-1.5562,-0.0994,0,0
