osm_nid,lat,lng,x,z
osm519661675,37.40407110,-122.07811610,-0.856,0.595
osm78748502,37.40320870,-122.07495930,-0.952,0.316
osm686277205,37.41654870,-122.05429180,0.531,-1.509
osm686277206,37.41635910,-122.05427030,0.510,-1.511
osm686277207,37.41616100,-122.05425690,0.488,-1.512
osm686277208,37.41592880,-122.05425150,0.462,-1.513
osm686277209,37.41511930,-122.05431860,0.372,-1.507
osm686277210,37.41502770,-122.05433740,0.362,-1.505
osm686277211,37.41494030,-122.05437220,0.353,-1.502
osm686277212,37.41487430,-122.05441520,0.345,-1.498
osm33375249,37.41127080,-122.07815580,-0.056,0.598
osm447913681,37.41079060,-122.07815760,-0.109,0.599
osm6481192958,37.41071570,-122.07815790,-0.117,0.599
osm207660091,37.39972330,-122.08093090,-1.340,0.843
osm4880766556,37.39960910,-122.08099500,-1.352,0.849
osm26031420,37.39945310,-122.08108260,-1.370,0.857
osm447948414,37.39921150,-122.08119090,-1.396,0.866
osm26031421,37.39892570,-122.08129580,-1.428,0.876
osm60431712,37.39814130,-122.08158840,-1.515,0.902
osm26050434,37.39721270,-122.08087880,-1.619,0.839
osm26050435,37.39769210,-122.08059900,-1.565,0.814
osm2887589131,37.39783150,-122.08054450,-1.550,0.809
osm2887589130,37.39795830,-122.08056200,-1.536,0.811
osm26050436,37.39806590,-122.08062640,-1.524,0.817
osm1660136818,37.39850480,-122.08091200,-1.475,0.842
osm29378879,37.41899300,-122.06575340,0.803,-0.497
osm7671626991,37.41886310,-122.06575340,0.789,-0.497
osm6821552729,37.41857620,-122.06572820,0.757,-0.499
osm6821552730,37.41828610,-122.06562320,0.725,-0.509
osm6821552728,37.41807500,-122.06559960,0.701,-0.511
osm6821638707,37.41766240,-122.06559880,0.655,-0.511
osm29381094,37.41712480,-122.06559780,0.595,-0.511
osm687859291,37.41692090,-122.06560230,0.573,-0.510
osm29381096,37.41682650,-122.06560060,0.562,-0.511
osm6821552727,37.41637090,-122.06554790,0.512,-0.515
osm3695930076,37.41610190,-122.06545460,0.482,-0.523
osm6821552726,37.41584280,-122.06530460,0.453,-0.537
osm29381143,37.41561350,-122.06509300,0.427,-0.555
osm29381142,37.41502980,-122.06435810,0.362,-0.620
osm686277338,37.41491260,-122.06425080,0.349,-0.630
osm686277337,37.41477840,-122.06415430,0.335,-0.638
osm29381140,37.41464630,-122.06407650,0.320,-0.645
osm686277336,37.41448230,-122.06403630,0.302,-0.649
osm29381139,37.41432250,-122.06400670,0.284,-0.651
osm29381137,37.41377410,-122.06400480,0.223,-0.651
osm529139846,37.41242220,-122.06398530,0.073,-0.653
osm6337786107,37.41189590,-122.06398430,0.014,-0.653
osm6821552724,37.41133450,-122.06399080,-0.048,-0.653
osm29381134,37.41101190,-122.06396080,-0.084,-0.655
osm29381133,37.41071360,-122.06388070,-0.117,-0.662
osm29381132,37.41038540,-122.06374920,-0.154,-0.674
osm686277574,37.41006800,-122.06359910,-0.189,-0.687
osm6821638751,37.40993670,-122.06353160,-0.204,-0.693
osm519548843,37.40981450,-122.06346880,-0.217,-0.699
osm152275162,37.42440150,-122.06186420,1.405,-0.841
osm6838084181,37.42431420,-122.06186410,1.395,-0.841
osm699181646,37.42420070,-122.06186390,1.382,-0.841
osm7139058260,37.42182710,-122.06186060,1.118,-0.841
osm7139058262,37.42125390,-122.06185980,1.055,-0.841
osm7139058257,37.42068590,-122.06185900,0.991,-0.841
osm6838050819,37.42060560,-122.06185890,0.982,-0.841
osm29524011,37.42052470,-122.06185880,0.973,-0.841
osm29381103,37.42041180,-122.06185880,0.961,-0.841
osm6838050823,37.42036590,-122.06185900,0.956,-0.841
osm6838050824,37.42030100,-122.06185930,0.949,-0.841
osm4913265833,37.42013050,-122.06186000,0.930,-0.841
osm4626842284,37.41995160,-122.06186070,0.910,-0.841
osm6831358466,37.41917460,-122.06186380,0.823,-0.841
osm6831358463,37.41914800,-122.06186390,0.820,-0.841
osm26381624,37.41908250,-122.06186420,0.813,-0.841
osm6831358468,37.41901160,-122.06186440,0.805,-0.841
osm6831211540,37.41764930,-122.06186730,0.654,-0.840
osm6821552716,37.41763930,-122.06186740,0.653,-0.840
osm29381104,37.41756790,-122.06186690,0.645,-0.840
osm6821552714,37.41749930,-122.06186700,0.637,-0.840
osm6831211542,37.41749010,-122.06186690,0.636,-0.840
osm6831227483,37.41694580,-122.06186310,0.576,-0.841
osm6831215000,37.41625400,-122.06185890,0.499,-0.841
osm6831214998,37.41623110,-122.06185880,0.496,-0.841
osm29381105,37.41615250,-122.06185830,0.487,-0.841
osm6831215002,37.41607240,-122.06185830,0.478,-0.841
osm6831112654,37.41583170,-122.06185840,0.452,-0.841
osm6818353649,37.41541520,-122.06185860,0.405,-0.841
osm6831116058,37.41498960,-122.06185880,0.358,-0.841
osm687820242,37.41495820,-122.06185880,0.355,-0.841
osm29523969,37.41484750,-122.06188570,0.342,-0.839
