osm_wid,name,osmtype,osmsubtype,linkuse,nnodes,lat,lng,z,x,height,levels
w4321995,service001,highway,service,driveway,14,37.4035461,-122.0765013,-0.4522,-0.9145,0,0
w4334869,Zook Road,highway,unclassified,road,8,37.4156199,-122.0543142,1.5074,0.4281,0,0
w4368969,North Shoreline Boulevard,highway,primary,road,3,37.4109257,-122.0781571,-0.5985,-0.0939,0,0
w4368970,North Shoreline Boulevard001,highway,primary,road,6,37.3991773,-122.0811806,-0.8655,-1.4002,0,0
w4368972,trunk_link001,highway,trunk_link,road,6,37.3978776,-122.0806871,-0.8219,-1.5448,0,0
w4370043,motorway_link001,highway,motorway_link,highway,8,37.4269967,-122.0993017,-2.4660,1.6931,0,0
w4626017,RT Jones Road,highway,unclassified,road,29,37.4146478,-122.0646654,0.5931,0.3200,0,0
w4626020,de France Avenue,highway,unclassified,road,44,37.4173880,-122.0618851,0.8387,0.6247,0,0
w4626021,Mc Cord Avenue,highway,unclassified,road,35,37.4159069,-122.0583922,1.1472,0.4600,0,0
w4626484,service002,highway,service,driveway,47,37.4251420,-122.0651089,0.5540,1.4869,0,0
w4629955,motorway001,highway,motorway,highway,7,37.3881180,-122.0687588,0.2316,-2.6300,0,0
w4630346,cycleway001,highway,cycleway,walkway,12,37.4324779,-122.0683899,0.2642,2.3026,0,0
w4630350,unclassified001,highway,unclassified,road,8,37.4173823,-122.0639640,0.6551,0.6241,0,0
w4644006,King Road,highway,unclassified,road,23,37.4144648,-122.0599406,1.0104,0.2996,0,0
w4644013,Moffett Boulevard,highway,service,driveway,8,37.4208225,-122.0599322,1.0112,1.0066,0,0
w4644014,Zook Road001,highway,unclassified,road,2,37.4168641,-122.0543366,1.5054,0.5664,0,0
w4644024,unclassified002,highway,unclassified,road,4,37.4242530,-122.0580623,1.1763,1.3880,0,0
w4644025,service003,highway,service,driveway,6,37.4155356,-122.0552906,1.4211,0.4187,0,0
w4809368,West El Camino Real,highway,primary,road,9,37.3926961,-122.0961478,-2.1874,-2.1209,0,0
w5005672,motorway_link002,highway,motorway_link,highway,15,37.4094217,-122.0707682,0.0541,-0.2611,0,0
w5005966,motorway_link003,highway,motorway_link,highway,2,37.4046297,-122.0517102,1.7373,-0.7940,0,0
w5012168,North Shoreline Boulevard002,highway,primary,road,12,37.4025229,-122.0782320,-0.6051,-1.0282,0,0
w5012169,South Shoreline Boulevard,highway,primary,road,5,37.3942323,-122.0842415,-1.1358,-1.9501,0,0
w5012170,North Shoreline Boulevard003,highway,primary,road,5,37.3970706,-122.0821071,-0.9473,-1.6345,0,0
w5012171,North Shoreline Boulevard004,highway,primary,road,5,37.3970144,-122.0819547,-0.9339,-1.6408,0,0
w5012264,motorway_link004,highway,motorway_link,highway,15,37.4087732,-122.0707838,0.0527,-0.3332,0,0
w5012269,North Shoreline Boulevard005,highway,secondary,road,4,37.4162008,-122.0781378,-0.5968,0.4927,0,0
w5018647,Southbay Freeway,highway,motorway,highway,7,37.3961213,-122.0443091,2.3910,-1.7401,0,0
w5018648,Southbay Freeway001,highway,motorway,highway,7,37.3961909,-122.0445189,2.3725,-1.7323,0,0
w5018655,motorway002,highway,motorway,highway,11,37.3995949,-122.0696862,0.1497,-1.3538,0,0
w5018656,motorway003,highway,motorway,highway,2,37.3915332,-122.0686119,0.2446,-2.2502,0,0
w5018670,West El Camino Real001,highway,primary,road,23,37.3894721,-122.0915978,-1.7856,-2.4794,0,0
w5018675,Southbay Freeway002,highway,motorway,highway,3,37.3908682,-122.0526339,1.6558,-2.3242,0,0
w5018676,Southbay Freeway003,highway,motorway,highway,3,37.3907474,-122.0524287,1.6739,-2.3376,0,0
w5018677,Southbay Freeway004,highway,motorway,highway,4,37.3923797,-122.0498754,1.8994,-2.1561,0,0
w5018678,Southbay Freeway005,highway,motorway,highway,4,37.3925264,-122.0500228,1.8864,-2.1398,0,0
w5018679,Southbay Freeway006,highway,motorway,highway,3,37.3949190,-122.0465612,2.1921,-1.8737,0,0
