osm_wid,osm_nid_1,osm_nid_2,linkuse,comment
w29396441,osm7209690456,osm323546805,bldwall,"RedWest-A.link1"
w29396441,osm323546806,osm7209690456,bldwall,"RedWest-A.link2"
w29396441,osm323546807,osm323546806,bldwall,"RedWest-A.link3"
w29396441,osm323546808,osm323546807,bldwall,"RedWest-A.link4"
w29396441,osm7209690454,osm323546808,bldwall,"RedWest-A.link5"
w29396441,osm323546809,osm7209690454,bldwall,"RedWest-A.link6"
w29396441,osm323546811,osm323546809,bldwall,"RedWest-A.link7"
w29396441,osm323546812,osm323546811,bldwall,"RedWest-A.link8"
w29396441,osm7209690458,osm323546812,bldwall,"RedWest-A.link9"
w29396441,osm323546813,osm7209690458,bldwall,"RedWest-A.link10"
w29396441,osm323546814,osm323546813,bldwall,"RedWest-A.link11"
w29396441,osm7209755270,osm323546814,bldwall,"RedWest-A.link12"
w29396441,osm323546815,osm7209755270,bldwall,"RedWest-A.link13"
w29396441,osm323546816,osm323546815,bldwall,"RedWest-A.link14"
w29396441,osm7209647496,osm323546816,bldwall,"RedWest-A.link15"
w29396441,osm7209647497,osm7209647496,bldwall,"RedWest-A.link16"
w29396441,osm7209647499,osm7209647497,bldwall,"RedWest-A.link17"
w29396441,osm7209647498,osm7209647499,bldwall,"RedWest-A.link18"
w29396441,osm323546818,osm7209647498,bldwall,"RedWest-A.link19"
w29396441,osm323546819,osm323546818,bldwall,"RedWest-A.link20"
w29396441,osm5173096221,osm323546819,bldwall,"RedWest-A.link21"
w29396441,osm323546822,osm5173096221,bldwall,"RedWest-A.link22"
w29396441,osm323546824,osm323546822,bldwall,"RedWest-A.link23"
w29396441,osm7213682298,osm323546824,bldwall,"RedWest-A.link24"
w29396441,osm323546825,osm7213682298,bldwall,"RedWest-A.link25"
w29396441,osm323546826,osm323546825,bldwall,"RedWest-A.link26"
w29396441,osm323546827,osm323546826,bldwall,"RedWest-A.link27"
w29396441,osm323546828,osm323546827,bldwall,"RedWest-A.link28"
w29396441,osm323546829,osm323546828,bldwall,"RedWest-A.link29"
w29396441,osm323546831,osm323546829,bldwall,"RedWest-A.link30"
w29396441,osm323546841,osm323546831,bldwall,"RedWest-A.link31"
w29396441,osm323546842,osm323546841,bldwall,"RedWest-A.link32"
w29396441,osm7213677047,osm323546842,bldwall,"RedWest-A.link33"
w29396441,osm323546844,osm7213677047,bldwall,"RedWest-A.link34"
w29396441,osm323546845,osm323546844,bldwall,"RedWest-A.link35"
w29396441,osm323546846,osm323546845,bldwall,"RedWest-A.link36"
w29396441,osm323546847,osm323546846,bldwall,"RedWest-A.link37"
w29396441,osm7213682297,osm323546847,bldwall,"RedWest-A.link38"
w29396441,osm323546851,osm7213682297,bldwall,"RedWest-A.link39"
w29396441,osm323546805,osm323546851,bldwall,"RedWest-A.link40"
w30366074,osm334983078,osm334982882,bldwall,"RedWest-D.link1"
w30366074,osm334983079,osm334983078,bldwall,"RedWest-D.link2"
w30366074,osm334983080,osm334983079,bldwall,"RedWest-D.link3"
w30366074,osm6882937946,osm334983080,bldwall,"RedWest-D.link4"
w30366074,osm334983081,osm6882937946,bldwall,"RedWest-D.link5"
w30366074,osm334983082,osm334983081,bldwall,"RedWest-D.link6"
w30366074,osm7209690436,osm334983082,bldwall,"RedWest-D.link7"
w30366074,osm334983083,osm7209690436,bldwall,"RedWest-D.link8"
w30366074,osm334983084,osm334983083,bldwall,"RedWest-D.link9"
w30366074,osm334983086,osm334983084,bldwall,"RedWest-D.link10"
w30366074,osm7209647548,osm334983086,bldwall,"RedWest-D.link11"
w30366074,osm334983087,osm7209647548,bldwall,"RedWest-D.link12"
w30366074,osm334983088,osm334983087,bldwall,"RedWest-D.link13"
w30366074,osm334983089,osm334983088,bldwall,"RedWest-D.link14"
w30366074,osm7209647538,osm334983089,bldwall,"RedWest-D.link15"
w30366074,osm334982584,osm7209647538,bldwall,"RedWest-D.link16"
w30366074,osm334982585,osm334982584,bldwall,"RedWest-D.link17"
w30366074,osm5173096266,osm334982585,bldwall,"RedWest-D.link18"
w30366074,osm334982586,osm5173096266,bldwall,"RedWest-D.link19"
w30366074,osm334982587,osm334982586,bldwall,"RedWest-D.link20"
w30366074,osm334982588,osm334982587,bldwall,"RedWest-D.link21"
w30366074,osm334982590,osm334982588,bldwall,"RedWest-D.link22"
w30366074,osm334982591,osm334982590,bldwall,"RedWest-D.link23"
w30366074,osm334982592,osm334982591,bldwall,"RedWest-D.link24"
w30366074,osm334982593,osm334982592,bldwall,"RedWest-D.link25"
w30366074,osm334982867,osm334982593,bldwall,"RedWest-D.link26"
w30366074,osm334982868,osm334982867,bldwall,"RedWest-D.link27"
w30366074,osm334982869,osm334982868,bldwall,"RedWest-D.link28"
w30366074,osm7213735608,osm334982869,bldwall,"RedWest-D.link29"
w30366074,osm334982870,osm7213735608,bldwall,"RedWest-D.link30"
w30366074,osm334982871,osm334982870,bldwall,"RedWest-D.link31"
w30366074,osm334982872,osm334982871,bldwall,"RedWest-D.link32"
w30366074,osm334982873,osm334982872,bldwall,"RedWest-D.link33"
w30366074,osm334982874,osm334982873,bldwall,"RedWest-D.link34"
w30366074,osm334982875,osm334982874,bldwall,"RedWest-D.link35"
w30366074,osm7213735607,osm334982875,bldwall,"RedWest-D.link36"
w30366074,osm334982876,osm7213735607,bldwall,"RedWest-D.link37"
w30366074,osm334982877,osm334982876,bldwall,"RedWest-D.link38"
w30366074,osm334982878,osm334982877,bldwall,"RedWest-D.link39"
w30366074,osm334982879,osm334982878,bldwall,"RedWest-D.link40"
w30366074,osm7191950164,osm334982879,bldwall,"RedWest-D.link41"
w30366074,osm334982880,osm7191950164,bldwall,"RedWest-D.link42"
w30366074,osm334982881,osm334982880,bldwall,"RedWest-D.link43"
w30366074,osm334982882,osm334982881,bldwall,"RedWest-D.link44"
w30425601,osm335764629,osm335764627,bldwall,"RedWest-E.link1"
w30425601,osm335764631,osm335764629,bldwall,"RedWest-E.link2"
w30425601,osm7191950167,osm335764631,bldwall,"RedWest-E.link3"
w30425601,osm335764632,osm7191950167,bldwall,"RedWest-E.link4"
w30425601,osm335764633,osm335764632,bldwall,"RedWest-E.link5"
w30425601,osm335764634,osm335764633,bldwall,"RedWest-E.link6"
w30425601,osm335764636,osm335764634,bldwall,"RedWest-E.link7"
w30425601,osm335764639,osm335764636,bldwall,"RedWest-E.link8"
w30425601,osm335764640,osm335764639,bldwall,"RedWest-E.link9"
w30425601,osm6882937913,osm335764640,bldwall,"RedWest-E.link10"
w30425601,osm335764643,osm6882937913,bldwall,"RedWest-E.link11"
w30425601,osm335764644,osm335764643,bldwall,"RedWest-E.link12"
w30425601,osm335764646,osm335764644,bldwall,"RedWest-E.link13"
w30425601,osm335764647,osm335764646,bldwall,"RedWest-E.link14"
w30425601,osm7213682344,osm335764647,bldwall,"RedWest-E.link15"
w30425601,osm335764648,osm7213682344,bldwall,"RedWest-E.link16"
w30425601,osm335764649,osm335764648,bldwall,"RedWest-E.link17"
w30425601,osm335764650,osm335764649,bldwall,"RedWest-E.link18"
w30425601,osm335764651,osm335764650,bldwall,"RedWest-E.link19"
w30425601,osm335764652,osm335764651,bldwall,"RedWest-E.link20"
w30425601,osm335764655,osm335764652,bldwall,"RedWest-E.link21"
w30425601,osm6882946817,osm335764655,bldwall,"RedWest-E.link22"
w30425601,osm335764656,osm6882946817,bldwall,"RedWest-E.link23"
w30425601,osm335764658,osm335764656,bldwall,"RedWest-E.link24"
w30425601,osm6882946816,osm335764658,bldwall,"RedWest-E.link25"
w30425601,osm335764659,osm6882946816,bldwall,"RedWest-E.link26"
w30425601,osm335764660,osm335764659,bldwall,"RedWest-E.link27"
w30425601,osm335764662,osm335764660,bldwall,"RedWest-E.link28"
w30425601,osm335764664,osm335764662,bldwall,"RedWest-E.link29"
w30425601,osm335764665,osm335764664,bldwall,"RedWest-E.link30"
w30425601,osm335764667,osm335764665,bldwall,"RedWest-E.link31"
w30425601,osm335764669,osm335764667,bldwall,"RedWest-E.link32"
w30425601,osm335764671,osm335764669,bldwall,"RedWest-E.link33"
w30425601,osm335764672,osm335764671,bldwall,"RedWest-E.link34"
w30425601,osm335764673,osm335764672,bldwall,"RedWest-E.link35"
w30425601,osm7209690437,osm335764673,bldwall,"RedWest-E.link36"
w30425601,osm335764674,osm7209690437,bldwall,"RedWest-E.link37"
w30425601,osm335764675,osm335764674,bldwall,"RedWest-E.link38"
w30425601,osm335764677,osm335764675,bldwall,"RedWest-E.link39"
w30425601,osm7209647560,osm335764677,bldwall,"RedWest-E.link40"
w30425601,osm335764679,osm7209647560,bldwall,"RedWest-E.link41"
w30425601,osm335764680,osm335764679,bldwall,"RedWest-E.link42"
w30425601,osm335764681,osm335764680,bldwall,"RedWest-E.link43"
w30425601,osm7209647559,osm335764681,bldwall,"RedWest-E.link44"
w30425601,osm335764682,osm7209647559,bldwall,"RedWest-E.link45"
w30425601,osm335764627,osm335764682,bldwall,"RedWest-E.link46"
w30425751,osm335765397,osm335765396,bldwall,"RedWest-B.link1"
w30425751,osm335765398,osm335765397,bldwall,"RedWest-B.link2"
w30425751,osm5173096317,osm335765398,bldwall,"RedWest-B.link3"
w30425751,osm335765400,osm5173096317,bldwall,"RedWest-B.link4"
w30425751,osm335765401,osm335765400,bldwall,"RedWest-B.link5"
w30425751,osm335765402,osm335765401,bldwall,"RedWest-B.link6"
w30425751,osm335765403,osm335765402,bldwall,"RedWest-B.link7"
w30425751,osm335765404,osm335765403,bldwall,"RedWest-B.link8"
w30425751,osm335765405,osm335765404,bldwall,"RedWest-B.link9"
w30425751,osm6882937914,osm335765405,bldwall,"RedWest-B.link10"
w30425751,osm335765406,osm6882937914,bldwall,"RedWest-B.link11"
w30425751,osm335765407,osm335765406,bldwall,"RedWest-B.link12"
w30425751,osm7191950150,osm335765407,bldwall,"RedWest-B.link13"
w30425751,osm335765408,osm7191950150,bldwall,"RedWest-B.link14"
w30425751,osm335765409,osm335765408,bldwall,"RedWest-B.link15"
w30425751,osm335765410,osm335765409,bldwall,"RedWest-B.link16"
w30425751,osm335765411,osm335765410,bldwall,"RedWest-B.link17"
w30425751,osm7191950154,osm335765411,bldwall,"RedWest-B.link18"
w30425751,osm335765412,osm7191950154,bldwall,"RedWest-B.link19"
w30425751,osm335765413,osm335765412,bldwall,"RedWest-B.link20"
w30425751,osm7209775526,osm335765413,bldwall,"RedWest-B.link21"
w30425751,osm335765414,osm7209775526,bldwall,"RedWest-B.link22"
w30425751,osm335765415,osm335765414,bldwall,"RedWest-B.link23"
w30425751,osm7209775532,osm335765415,bldwall,"RedWest-B.link24"
w30425751,osm335765418,osm7209775532,bldwall,"RedWest-B.link25"
w30425751,osm335765419,osm335765418,bldwall,"RedWest-B.link26"
w30425751,osm335765420,osm335765419,bldwall,"RedWest-B.link27"
w30425751,osm7209775497,osm335765420,bldwall,"RedWest-B.link28"
w30425751,osm335765421,osm7209775497,bldwall,"RedWest-B.link29"
w30425751,osm335765423,osm335765421,bldwall,"RedWest-B.link30"
w30425751,osm335765424,osm335765423,bldwall,"RedWest-B.link31"
w30425751,osm7209775492,osm335765424,bldwall,"RedWest-B.link32"
w30425751,osm335765425,osm7209775492,bldwall,"RedWest-B.link33"
w30425751,osm335765427,osm335765425,bldwall,"RedWest-B.link34"
w30425751,osm335765428,osm335765427,bldwall,"RedWest-B.link35"
w30425751,osm335765429,osm335765428,bldwall,"RedWest-B.link36"
w30425751,osm335765430,osm335765429,bldwall,"RedWest-B.link37"
w30425751,osm335765431,osm335765430,bldwall,"RedWest-B.link38"
w30425751,osm335765432,osm335765431,bldwall,"RedWest-B.link39"
w30425751,osm335765433,osm335765432,bldwall,"RedWest-B.link40"
w30425751,osm335765434,osm335765433,bldwall,"RedWest-B.link41"
w30425751,osm335765435,osm335765434,bldwall,"RedWest-B.link42"
w30425751,osm7213682300,osm335765435,bldwall,"RedWest-B.link43"
w30425751,osm335765396,osm7213682300,bldwall,"RedWest-B.link44"
w30425770,osm335765555,osm335765554,bldwall,"Microsoft Cafe RedW-F.link1"
w30425770,osm335765557,osm335765555,bldwall,"Microsoft Cafe RedW-F.link2"
w30425770,osm7213677048,osm335765557,bldwall,"Microsoft Cafe RedW-F.link3"
w30425770,osm335765559,osm7213677048,bldwall,"Microsoft Cafe RedW-F.link4"
w30425770,osm335765561,osm335765559,bldwall,"Microsoft Cafe RedW-F.link5"
w30425770,osm7213747649,osm335765561,bldwall,"Microsoft Cafe RedW-F.link6"
w30425770,osm335765562,osm7213747649,bldwall,"Microsoft Cafe RedW-F.link7"
w30425770,osm335765563,osm335765562,bldwall,"Microsoft Cafe RedW-F.link8"
w30425770,osm335765564,osm335765563,bldwall,"Microsoft Cafe RedW-F.link9"
w30425770,osm335765565,osm335765564,bldwall,"Microsoft Cafe RedW-F.link10"
w30425770,osm6882828264,osm335765565,bldwall,"Microsoft Cafe RedW-F.link11"
w30425770,osm1491834340,osm6882828264,bldwall,"Microsoft Cafe RedW-F.link12"
w30425770,osm335765567,osm1491834340,bldwall,"Microsoft Cafe RedW-F.link13"
w30425770,osm335765568,osm335765567,bldwall,"Microsoft Cafe RedW-F.link14"
w30425770,osm335765569,osm335765568,bldwall,"Microsoft Cafe RedW-F.link15"
w30425770,osm335765570,osm335765569,bldwall,"Microsoft Cafe RedW-F.link16"
w30425770,osm335765571,osm335765570,bldwall,"Microsoft Cafe RedW-F.link17"
w30425770,osm335765572,osm335765571,bldwall,"Microsoft Cafe RedW-F.link18"
w30425770,osm335765573,osm335765572,bldwall,"Microsoft Cafe RedW-F.link19"
w30425770,osm335765554,osm335765573,bldwall,"Microsoft Cafe RedW-F.link20"
w30425830,osm335766393,osm335766392,bldwall,"RedWest-C.link1"
w30425830,osm7209690453,osm335766393,bldwall,"RedWest-C.link2"
w30425830,osm335766394,osm7209690453,bldwall,"RedWest-C.link3"
w30425830,osm335766397,osm335766394,bldwall,"RedWest-C.link4"
w30425830,osm335766398,osm335766397,bldwall,"RedWest-C.link5"
w30425830,osm335766399,osm335766398,bldwall,"RedWest-C.link6"
w30425830,osm335766400,osm335766399,bldwall,"RedWest-C.link7"
w30425830,osm335766401,osm335766400,bldwall,"RedWest-C.link8"
w30425830,osm335766402,osm335766401,bldwall,"RedWest-C.link9"
w30425830,osm335766403,osm335766402,bldwall,"RedWest-C.link10"
w30425830,osm335766404,osm335766403,bldwall,"RedWest-C.link11"
w30425830,osm7191950148,osm335766404,bldwall,"RedWest-C.link12"
w30425830,osm335766405,osm7191950148,bldwall,"RedWest-C.link13"
w30425830,osm7209647493,osm335766405,bldwall,"RedWest-C.link14"
w30425830,osm335766406,osm7209647493,bldwall,"RedWest-C.link15"
w30425830,osm335766407,osm335766406,bldwall,"RedWest-C.link16"
w30425830,osm335766408,osm335766407,bldwall,"RedWest-C.link17"
w30425830,osm335766409,osm335766408,bldwall,"RedWest-C.link18"
w30425830,osm335766410,osm335766409,bldwall,"RedWest-C.link19"
w30425830,osm335766411,osm335766410,bldwall,"RedWest-C.link20"
w30425830,osm5173096269,osm335766411,bldwall,"RedWest-C.link21"
w30425830,osm335766412,osm5173096269,bldwall,"RedWest-C.link22"
w30425830,osm335766413,osm335766412,bldwall,"RedWest-C.link23"
w30425830,osm7213747671,osm335766413,bldwall,"RedWest-C.link24"
w30425830,osm335766414,osm7213747671,bldwall,"RedWest-C.link25"
w30425830,osm321710561,osm335766414,bldwall,"RedWest-C.link26"
w30425830,osm335766415,osm321710561,bldwall,"RedWest-C.link27"
w30425830,osm335766416,osm335766415,bldwall,"RedWest-C.link28"
w30425830,osm335766417,osm335766416,bldwall,"RedWest-C.link29"
w30425830,osm335766418,osm335766417,bldwall,"RedWest-C.link30"
w30425830,osm335766419,osm335766418,bldwall,"RedWest-C.link31"
w30425830,osm335766421,osm335766419,bldwall,"RedWest-C.link32"
w30425830,osm5173096233,osm335766421,bldwall,"RedWest-C.link33"
w30425830,osm335766423,osm5173096233,bldwall,"RedWest-C.link34"
w30425830,osm335766424,osm335766423,bldwall,"RedWest-C.link35"
w30425830,osm7209690432,osm335766424,bldwall,"RedWest-C.link36"
w30425830,osm335766427,osm7209690432,bldwall,"RedWest-C.link37"
w30425830,osm335766428,osm335766427,bldwall,"RedWest-C.link38"
w30425830,osm335766429,osm335766428,bldwall,"RedWest-C.link39"
w30425830,osm7209690428,osm335766429,bldwall,"RedWest-C.link40"
