osm_nid,lat,lng,x,z
osm7213747649,47.65906360,-122.14083920,-1930.995,-1167.715
osm1491834340,47.65931650,-122.14039200,-1968.730,-1145.209
osm6882828264,47.65917180,-122.14039630,-1953.384,-1140.296
osm335765565,47.65911200,-122.14039810,-1947.042,-1138.267
osm335765564,47.65912690,-122.14047810,-1946.625,-1144.462
osm335765563,47.65907760,-122.14046620,-1941.729,-1141.843
osm335765562,47.65908000,-122.14079000,-1933.944,-1164.827
osm5173096233,47.65844880,-122.14115790,-1858.337,-1168.086
osm5173096269,47.65832170,-122.14008340,-1871.623,-1087.520
osm7209647493,47.65807030,-122.14020050,-1842.240,-1086.736
osm6882937913,47.65937480,-122.13905360,-2008.092,-1052.665
osm6882937914,47.65943750,-122.13941430,-2005.742,-1080.433
osm6882946816,47.65887010,-122.13916940,-1952.066,-1042.658
osm6882946817,47.65899360,-122.13918170,-1964.767,-1047.980
osm7191950148,47.65799870,-122.14014210,-1836.149,-1080.025
osm7191950150,47.65964980,-122.13934940,-2029.712,-1083.498
osm7191950154,47.66003140,-122.13934630,-2069.977,-1097.037
osm7191950164,47.65859240,-122.13884750,-1930.810,-1009.882
osm7191950167,47.65940860,-122.13807360,-2035.978,-984.582
osm7209647538,47.65797150,-122.13947630,-1849.811,-1031.962
osm7209647548,47.65820660,-122.13933990,-1877.957,-1030.793
osm7209647559,47.65924570,-122.13786160,-2024.085,-963.718
osm7209647560,47.65915490,-122.13834460,-2002.533,-994.599
osm7209690428,47.65817970,-122.14103430,-1833.064,-1149.643
osm7209690431,47.65809450,-122.14125770,-1818.546,-1162.369
osm7209690432,47.65832340,-122.14116580,-1844.934,-1164.123
osm7209690436,47.65811580,-122.13910760,-1874.160,-1011.092
osm7209690437,47.65898830,-122.13820300,-1988.502,-978.580
osm7209690453,47.65794770,-122.14128460,-1802.418,-1158.979
osm7209690454,47.65885800,-122.14149530,-1893.056,-1206.699
osm7209690456,47.65869740,-122.14134320,-1879.918,-1190.153
osm7209690458,47.65877160,-122.14171580,-1878.484,-1219.176
osm6882937946,47.65811760,-122.13892120,-1878.977,-997.975
osm7209755270,47.65877370,-122.14189780,-1874.187,-1232.122
osm7209775492,47.66008850,-122.13996340,-2060.672,-1142.734
osm7209775497,47.66000320,-122.13974980,-2056.991,-1124.554
osm7209775526,47.66016580,-122.13940330,-2082.716,-1105.913
osm7209775532,47.66017210,-122.13958960,-2078.755,-1119.314
osm5173096266,47.65796750,-122.13967420,-1844.478,-1045.812
osm7213677047,47.65942110,-122.14115050,-1960.918,-1202.618
osm7213677048,47.65942090,-122.14092800,-1966.420,-1186.877
osm7213735607,47.65869070,-122.13910450,-1934.783,-1031.600
osm5173096221,47.65950170,-122.14189530,-1950.919,-1258.193
osm7213682297,47.65869060,-122.14115700,-1883.824,-1176.740
osm7213682298,47.65949860,-122.14170770,-1955.249,-1244.815
osm7213682300,47.65936290,-122.14015150,-1979.587,-1129.875
osm7213682344,47.65923580,-122.13907150,-1993.009,-1048.919
osm7213735608,47.65869130,-122.13946990,-1925.776,-1057.461
osm7213747671,47.65844680,-122.14009030,-1884.627,-1092.518
osm323546805,47.65865710,-122.14134360,-1875.664,-1188.728
osm323546806,47.65870700,-122.14134310,-1880.932,-1190.492
osm323546807,47.65870740,-122.14140410,-1879.460,-1194.820
osm323546808,47.65885800,-122.14140300,-1895.348,-1200.172
osm323546809,47.65885790,-122.14165060,-1889.191,-1217.677
osm323546811,47.65878810,-122.14165320,-1881.775,-1215.344
osm323546812,47.65878810,-122.14171560,-1880.226,-1219.757
osm323546813,47.65873760,-122.14171630,-1874.891,-1217.986
osm323546814,47.65873960,-122.14189800,-1870.591,-1230.907
osm323546815,47.65878510,-122.14189770,-1875.390,-1232.526
osm323546816,47.65878580,-122.14196070,-1873.900,-1237.007
osm7209647496,47.65894660,-122.14196080,-1890.832,-1242.811
osm7209647497,47.65894610,-122.14194370,-1891.204,-1241.584
osm7209647499,47.65902430,-122.14194200,-1899.482,-1244.283
osm7209647498,47.65902460,-122.14196080,-1899.047,-1245.623
osm323546818,47.65949100,-122.14196090,-1948.163,-1262.446
osm323546819,47.65949110,-122.14189540,-1949.800,-1257.818
osm323546822,47.65953960,-122.14189480,-1954.923,-1259.524
osm323546824,47.65953770,-122.14170770,-1959.367,-1246.225
osm323546825,47.65948780,-122.14170770,-1954.112,-1244.425
osm323546826,47.65948760,-122.14164710,-1955.595,-1240.133
osm323546827,47.65918180,-122.14164760,-1923.377,-1229.143
osm323546828,47.65918170,-122.14139870,-1929.545,-1211.538
osm323546829,47.65940800,-122.14139930,-1953.363,-1219.740
osm323546831,47.65940720,-122.14133940,-1954.765,-1215.475
osm323546841,47.65946050,-122.14133670,-1960.446,-1217.206
osm323546842,47.65946090,-122.14115030,-1965.115,-1204.039
osm323546844,47.65941030,-122.14115050,-1959.781,-1202.229
osm323546845,47.65940960,-122.14108760,-1961.268,-1197.755
osm323546846,47.65871220,-122.14109250,-1887.700,-1172.958
osm323546847,47.65871210,-122.14115660,-1886.098,-1177.487
osm323546851,47.65865680,-122.14115760,-1880.250,-1175.564
osm334982882,47.65828890,-122.13887510,-1898.162,-1000.891
osm334983078,47.65828930,-122.13885620,-1898.673,-999.569
osm334983079,47.65812930,-122.13885720,-1881.798,-993.871
osm334983080,47.65813010,-122.13892200,-1880.273,-998.483
osm334983081,47.65807920,-122.13891900,-1874.987,-996.435
osm334983082,47.65808160,-122.13910840,-1870.539,-1009.915
osm334983083,47.65813230,-122.13910720,-1875.908,-1011.658
osm334983084,47.65813270,-122.13917320,-1874.312,-1016.340
osm334983086,47.65820470,-122.13916790,-1882.026,-1018.561
osm334983087,47.65820740,-122.13941610,-1876.150,-1036.210
osm334983088,47.65798200,-122.13941610,-1852.411,-1028.084
osm334983089,47.65798200,-122.13947630,-1850.917,-1032.341
osm334982584,47.65792990,-122.13947620,-1845.433,-1030.455
osm334982585,47.65792990,-122.13967360,-1840.533,-1044.414
osm334982586,47.65797990,-122.13967420,-1845.784,-1046.260
osm334982587,47.65797990,-122.13973090,-1844.376,-1050.269
osm334982588,47.65829410,-122.13973090,-1877.466,-1061.597
osm334982590,47.65829410,-122.13970790,-1878.037,-1059.971
osm334982591,47.65836740,-122.13970790,-1885.757,-1062.614
osm334982592,47.65836780,-122.13972680,-1885.330,-1063.964
osm334982593,47.65868070,-122.13972210,-1918.399,-1074.913
osm334982867,47.65868120,-122.13966910,-1919.768,-1071.184
osm334982868,47.65873110,-122.13966790,-1925.053,-1072.898
osm334982869,47.65872940,-122.13947070,-1929.769,-1058.891
osm334982870,47.65868150,-122.13946970,-1924.749,-1057.094
osm334982871,47.65868150,-122.13940930,-1926.248,-1052.822
osm334982872,47.65852810,-122.13941460,-1909.961,-1047.667
osm334982873,47.65852690,-122.13916210,-1916.103,-1029.768
osm334982874,47.65867780,-122.13916330,-1931.965,-1035.293
osm334982875,47.65867750,-122.13910470,-1933.388,-1031.138
osm334982876,47.65872660,-122.13910400,-1938.576,-1032.859
osm334982877,47.65872590,-122.13892030,-1943.062,-1019.843
osm334982878,47.65867680,-122.13892140,-1937.864,-1018.151
osm334982879,47.65867670,-122.13885030,-1939.618,-1013.119
osm334982880,47.65836420,-122.13885270,-1906.648,-1002.022
osm334982881,47.65836300,-122.13887860,-1905.879,-1003.810
osm335764627,47.65936410,-122.13781320,-2037.756,-964.564
osm335764629,47.65936440,-122.13788790,-2035.933,-969.857
osm335764631,47.65940790,-122.13788750,-2040.524,-971.397
osm335764632,47.65941020,-122.13845870,-2026.588,-1011.873
osm335764633,47.65939750,-122.13845910,-2025.240,-1011.443
osm335764634,47.65939790,-122.13857590,-2022.383,-1019.717
osm335764636,47.65941130,-122.13857610,-2023.789,-1020.214
osm335764639,47.65941350,-122.13903450,-2012.642,-1052.710
osm335764640,47.65937470,-122.13903430,-2008.561,-1051.297
osm335764643,47.65937490,-122.13911080,-2006.683,-1056.714
osm335764644,47.65924920,-122.13911160,-1993.425,-1052.238
osm335764646,47.65924910,-122.13908390,-1994.102,-1050.276
osm335764647,47.65923580,-122.13908400,-1992.699,-1049.803
osm335764648,47.65923570,-122.13903960,-1993.791,-1046.660
osm335764649,47.65920380,-122.13903990,-1990.424,-1045.531
osm335764650,47.65920280,-122.13880960,-1996.035,-1029.209
osm335764651,47.65903740,-122.13881120,-1978.576,-1023.359
osm335764652,47.65903740,-122.13915090,-1970.144,-1047.381
osm335764655,47.65899340,-122.13915150,-1965.495,-1045.837
osm335764656,47.65899380,-122.13922780,-1963.643,-1051.247
osm335764658,47.65887040,-122.13923070,-1950.576,-1047.003
osm335764659,47.65887000,-122.13915610,-1952.385,-1041.713
osm335764660,47.65882620,-122.13915520,-1947.795,-1040.071
osm335764662,47.65882300,-122.13859130,-1961.455,-1000.079
osm335764664,47.65883870,-122.13858990,-1963.143,-1000.546
osm335764665,47.65883780,-122.13846650,-1966.112,-991.787
