osm_wid,name,osmtype,osmsubtype,linkuse,nnodes,lat,lng,z,x,height,levels
w29252516,footway001,highway,footway,walkway,3,47.6589216,-122.1402200,1118.8093,-1931.4063,0,0
w29252518,footway002,highway,footway,walkway,2,47.6589223,-122.1394728,1065.9893,-1950.0278,0,0
w30366139,service001,highway,service,driveway,16,47.6584196,-122.1384316,974.2455,-1922.9389,0,0
w30366182,service002,highway,service,driveway,37,47.6597274,-122.1401638,1143.8875,-2017.6736,0,0
w30425837,service003,highway,service,driveway,16,47.6582580,-122.1417704,1204.5239,-1823.0396,0,0
w30425846,service004,highway,service,driveway,2,47.6586095,-122.1416095,1205.8132,-1864.0456,0,0
w30425849,service005,highway,service,driveway,2,47.6582526,-122.1413807,1176.7623,-1832.1393,0,0
w30425865,service006,highway,service,driveway,22,47.6579764,-122.1394628,1031.1855,-1850.6572,0,0
w30425872,service007,highway,service,driveway,2,47.6578849,-122.1391823,1008.0529,-1847.9877,0,0
w30425874,service008,highway,service,driveway,10,47.6579538,-122.1382185,942.3800,-1879.1731,0,0
w30425909,service009,highway,service,driveway,9,47.6599124,-122.1413977,1237.8074,-2006.5197,0,0
w30425917,service010,highway,service,driveway,2,47.6600100,-122.1418613,1274.1148,-2005.2943,0,0
w30425921,service011,highway,service,driveway,2,47.6599292,-122.1412430,1227.4781,-2012.1327,0,0
w30425958,service012,highway,service,driveway,7,47.6584341,-122.1376093,916.6131,-1944.8760,0,0
w59871400,service013,highway,service,driveway,2,47.6576266,-122.1412246,1143.1573,-1770.0857,0,0
w135911794,footway003,highway,footway,walkway,3,47.6590256,-122.1402939,1127.7872,-1940.5317,0,0
w135911795,footway004,highway,footway,walkway,3,47.6590739,-122.1394121,1067.1656,-1967.5051,0,0
w135911797,pedestrian001,highway,pedestrian,walkway,37,47.6590486,-122.1405166,1144.3604,-1937.4252,0,0
w135911812,footway005,highway,footway,walkway,2,47.6589696,-122.1402642,1123.6608,-1935.3699,0,0
w160287004,motorway001,highway,motorway,highway,38,47.6500148,-122.1361389,509.0870,-1094.6956,0,0
w334226994,service014,highway,service,driveway,3,47.6594266,-122.1373891,936.8278,-2054.8685,0,0
w334226995,service015,highway,service,driveway,5,47.6593351,-122.1369869,905.0858,-2055.2123,0,0
w334226996,cycleway001,highway,cycleway,walkway,2,47.6584052,-122.1371759,884.9280,-1952.5871,0,0
w428065584,motorway_link001,highway,motorway_link,highway,6,47.6563671,-122.1380112,870.5152,-1717.2141,0,0
w496743252,footway006,highway,footway,walkway,11,47.6599064,-122.1372129,941.6652,-2109.7646,0,0
w497774784,footway007,highway,footway,walkway,6,47.6601462,-122.1385159,1042.4534,-2102.6796,0,0
w497774785,steps001,highway,steps,walkway,3,47.6597684,-122.1381732,1004.5979,-2071.3983,0,0
w531753316,motorway_link002,highway,motorway_link,highway,3,47.6595769,-122.1361480,854.4768,-2101.4984,0,0
w533174273,footway008,highway,footway,walkway,2,47.6587744,-122.1392829,1047.2351,-1939.1630,0,0
w533174275,footway009,highway,footway,walkway,7,47.6588652,-122.1381705,971.8440,-1976.3410,0,0
w533174276,footway010,highway,footway,walkway,2,47.6596043,-122.1389825,1055.9063,-2034.0232,0,0
w533174277,footway011,highway,footway,walkway,10,47.6602172,-122.1392193,1094.7531,-2092.6997,0,0
w533179479,footway012,highway,footway,walkway,6,47.6595541,-122.1388930,1047.7703,-2030.9628,0,0
w533179480,footway013,highway,footway,walkway,2,47.6601625,-122.1401270,1156.9745,-2064.4034,0,0
w533179481,footway014,highway,footway,walkway,2,47.6586605,-122.1410425,1167.5580,-1883.4964,0,0
w533179482,footway015,highway,footway,walkway,3,47.6596227,-122.1419094,1263.5489,-1963.3092,0,0
w533179483,footway016,highway,footway,walkway,3,47.6595553,-122.1419189,1261.7930,-1955.9743,0,0
w533179484,footway017,highway,footway,walkway,2,47.6586331,-122.1412800,1183.3651,-1874.7154,0,0
w533179486,footway018,highway,footway,walkway,3,47.6586547,-122.1411361,1173.9691,-1880.5657,0,0
w533179487,footway019,highway,footway,walkway,3,47.6585659,-122.1411533,1171.9814,-1870.7876,0,0
w533179489,footway020,highway,footway,walkway,2,47.6586217,-122.1408950,1155.7304,-1883.0767,0,0
w533179490,footway021,highway,footway,walkway,2,47.6585890,-122.1408955,1154.5814,-1879.6165,0,0
w533179491,footway022,highway,footway,walkway,2,47.6585205,-122.1399852,1087.7428,-1894.9971,0,0
w533179492,footway023,highway,footway,walkway,2,47.6579241,-122.1398788,1058.7179,-1834.8336,0,0
w533179493,footway024,highway,footway,walkway,3,47.6583074,-122.1400526,1084.8224,-1870.8788,0,0
w533179494,footway025,highway,footway,walkway,7,47.6586391,-122.1399618,1090.3656,-1908.0628,0,0
w533179495,footway026,highway,footway,walkway,2,47.6590525,-122.1399186,1102.2104,-1952.6792,0,0
w533179498,footway027,highway,footway,walkway,3,47.6587757,-122.1396834,1075.6006,-1929.3615,0,0
w533179499,service016,highway,service,driveway,21,47.6575271,-122.1380975,918.4354,-1837.2302,0,0
w533179500,footway028,highway,footway,walkway,4,47.6594159,-122.1398048,1107.2676,-1993.7716,0,0
w533179501,footway029,highway,footway,walkway,3,47.6592644,-122.1392030,1059.2497,-1992.7572,0,0
w533179502,footway030,highway,footway,walkway,3,47.6594221,-122.1392653,1069.3398,-2007.8233,0,0
w533179503,footway031,highway,footway,walkway,5,47.6581251,-122.1401192,1082.9630,-1850.0246,0,0
w533179504,steps002,highway,steps,walkway,2,47.6578852,-122.1413081,1158.3892,-1795.2580,0,0
w533179506,footway032,highway,footway,walkway,10,47.6578884,-122.1425480,1246.1834,-1764.8086,0,0
w533179507,footway033,highway,footway,walkway,2,47.6583481,-122.1421576,1235.1462,-1822.9175,0,0
w533179508,footway034,highway,footway,walkway,7,47.6581037,-122.1427701,1269.6489,-1781.9760,0,0
w734899041,footway035,highway,footway,walkway,32,47.6586932,-122.1404401,1126.1388,-1901.8944,0,0
w734899042,footway036,highway,footway,walkway,2,47.6577236,-122.1413305,1154.1469,-1777.6713,0,0
w734899043,footway037,highway,footway,walkway,6,47.6578657,-122.1406823,1113.4323,-1808.7304,0,0
w734899044,footway038,highway,footway,walkway,2,47.6578417,-122.1413115,1157.0595,-1790.5871,0,0
w734899045,footway039,highway,footway,walkway,2,47.6578765,-122.1414960,1171.3577,-1789.6736,0,0
w734899046,footway040,highway,footway,walkway,3,47.6578959,-122.1415749,1177.6413,-1789.7604,0,0
w734899049,footway041,highway,footway,walkway,3,47.6592007,-122.1399094,1106.9065,-1968.5140,0,0
w734899050,footway042,highway,footway,walkway,2,47.6590833,-122.1399119,1102.8541,-1956.0867,0,0
w734899051,footway043,highway,footway,walkway,2,47.6590461,-122.1399935,1107.2815,-1950.1500,0,0
w734899052,footway044,highway,footway,walkway,2,47.6590447,-122.1400710,1112.7133,-1948.0723,0,0
w734899053,steps003,highway,steps,walkway,2,47.6590432,-122.1401671,1119.4568,-1945.5341,0,0
w734899054,footway045,highway,footway,walkway,2,47.6585604,-122.1408961,1153.5927,-1876.5896,0,0
w734899055,footway046,highway,footway,walkway,3,47.6580683,-122.1420776,1219.4010,-1795.4323,0,0
w734908933,footway047,highway,footway,walkway,2,47.6594379,-122.1393751,1077.6716,-2006.7587,0,0
w734908934,steps004,highway,steps,walkway,2,47.6593996,-122.1395057,1085.5280,-1999.4768,0,0
w734908936,footway048,highway,footway,walkway,3,47.6593855,-122.1391080,1056.8990,-2007.8647,0,0
w734908937,footway049,highway,footway,walkway,2,47.6594377,-122.1394015,1079.5295,-2006.0770,0,0
w734908938,footway050,highway,footway,walkway,2,47.6594664,-122.1379429,977.4185,-2045.3057,0,0
w734908939,footway051,highway,footway,walkway,3,47.6594701,-122.1380624,986.0089,-2042.7367,0,0
w734908940,footway052,highway,footway,walkway,2,47.6594233,-122.1376283,953.6210,-2048.5746,0,0
w734908941,footway053,highway,footway,walkway,3,47.6594045,-122.1375198,945.2735,-2049.2889,0,0
w734908942,footway054,highway,footway,walkway,5,47.6590906,-122.1378203,955.2064,-2008.7751,0,0
w734908943,footway055,highway,footway,walkway,2,47.6589079,-122.1379453,957.4574,-1986.4317,0,0
w734908944,footway056,highway,footway,walkway,3,47.6588713,-122.1377980,945.7202,-1986.2301,0,0
w734908945,footway057,highway,footway,walkway,4,47.6589546,-122.1380503,966.5618,-1988.7422,0,0
w734908946,footway058,highway,footway,walkway,2,47.6581130,-122.1385020,968.1673,-1888.9033,0,0
w734908947,footway059,highway,footway,walkway,3,47.6580141,-122.1383327,952.6288,-1882.6884,0,0
w734908948,footway060,highway,footway,walkway,6,47.6581283,-122.1385985,975.5400,-1888.1144,0,0
w734908951,footway061,highway,footway,walkway,3,47.6585915,-122.1385735,990.4746,-1937.5122,0,0
w734908952,footway062,highway,footway,walkway,2,47.6586664,-122.1385734,993.1651,-1945.4136,0,0
w734908953,footway063,highway,footway,walkway,2,47.6579884,-122.1382869,948.4587,-1881.1164,0,0
w734908954,cycleway002,highway,cycleway,walkway,3,47.6578905,-122.1381786,937.2740,-1873.4931,0,0
w734908955,footway064,highway,footway,walkway,2,47.6586022,-122.1421678,1245.0305,-1849.4184,0,0
w734908956,footway065,highway,footway,walkway,3,47.6586539,-122.1421682,1246.9269,-1854.8577,0,0
w734908957,footway066,highway,footway,walkway,3,47.6587574,-122.1420948,1245.4621,-1867.5779,0,0
w734908958,footway067,highway,footway,walkway,3,47.6577815,-122.1413205,1155.5231,-1784.0246,0,0
w734908959,footway068,highway,footway,walkway,3,47.6588638,-122.1376854,937.4849,-1988.2360,0,0
w734908960,service017,highway,service,driveway,3,47.6582166,-122.1380592,940.5866,-1910.7966,0,0
w734908961,footway069,highway,footway,walkway,5,47.6580442,-122.1381799,942.9082,-1889.6451,0,0
w734908962,footway070,highway,footway,walkway,2,47.6588220,-122.1391694,1040.9251,-1947.0051,0,0
w734908963,footway071,highway,footway,walkway,2,47.6590345,-122.1391815,1049.4422,-1969.0725,0,0
w734908964,pedestrian002,highway,pedestrian,walkway,27,47.6591440,-122.1391301,1049.7500,-1981.8859,0,0
w739111582,service018,highway,service,driveway,10,47.6556266,-122.1421450,1136.1374,-1536.6131,0,0
w769468174,SR 520 Trail,highway,cycleway,walkway,13,47.6576996,-122.1374705,880.3165,-1870.9639,0,0
w769512326,Bridle Crest Trail,highway,bridleway,walkway,18,47.6605201,-122.1368144,935.6113,-2184.2886,0,0
w770470834,footway072,highway,footway,walkway,2,47.6583405,-122.1423663,1249.6340,-1816.9354,0,0
w770470835,footway073,highway,footway,walkway,2,47.6583237,-122.1423332,1246.6876,-1815.9878,0,0
w770470836,footway074,highway,footway,walkway,3,47.6583349,-122.1422441,1240.7895,-1819.3833,0,0
w770470837,footway075,highway,footway,walkway,2,47.6581049,-122.1420012,1215.3196,-1801.1807,0,0
w770470838,footway076,highway,footway,walkway,2,47.6580312,-122.1421544,1223.5014,-1789.6201,0,0
w770470839,footway077,highway,footway,walkway,3,47.6587726,-122.1422648,1258.0318,-1864.9589,0,0
w770470840,footway078,highway,footway,walkway,11,47.6601849,-122.1420171,1291.4387,-2019.8464,0,0
w770470841,footway079,highway,footway,walkway,3,47.6602642,-122.1416731,1269.9674,-2036.7343,0,0
w770470842,footway080,highway,footway,walkway,5,47.6602632,-122.1412603,1240.7478,-2046.8817,0,0
w770470843,footway081,highway,footway,walkway,3,47.6602630,-122.1409438,1218.3513,-2054.7111,0,0
w770470844,footway082,highway,footway,walkway,3,47.6601637,-122.1404627,1180.7546,-2056.1937,0,0
w770470845,footway083,highway,footway,walkway,2,47.6601641,-122.1405283,1185.4086,-2054.6171,0,0
w770470846,footway084,highway,footway,walkway,3,47.6600312,-122.1391424,1082.6116,-2075.0127,0,0
w770470847,footway085,highway,footway,walkway,2,47.6599898,-122.1391429,1081.1514,-2070.6393,0,0
w770470848,footway086,highway,footway,walkway,3,47.6579882,-122.1389298,993.9169,-1865.1321,0,0
w770470849,footway087,highway,footway,walkway,10,47.6592750,-122.1377097,954.0283,-2030.9389,0,0
w770470850,footway088,highway,footway,walkway,7,47.6595021,-122.1385414,1021.0322,-2034.2139,0,0
w770470851,footway089,highway,footway,walkway,3,47.6578763,-122.1400077,1066.1068,-1826.5912,0,0
w770470852,footway090,highway,footway,walkway,2,47.6578789,-122.1399186,1059.8956,-1829.0762,0,0
w770470853,footway091,highway,footway,walkway,3,47.6596474,-122.1390076,1059.2417,-2037.9389,0,0
w770470854,footway092,highway,footway,walkway,3,47.6599287,-122.1421500,1291.5980,-1989.5624,0,0
w770470855,footway093,highway,footway,walkway,6,47.6597429,-122.1421441,1284.4837,-1970.1427,0,0
w770470856,service019,highway,service,driveway,7,47.6579261,-122.1400385,1070.0840,-1831.0723,0,0
w770470857,service020,highway,service,driveway,4,47.6596596,-122.1389812,1057.8117,-2039.8840,0,0
w770470858,service021,highway,service,driveway,3,47.6600324,-122.1391475,1083.0120,-2075.0177,0,0
w770470859,service022,highway,service,driveway,3,47.6602468,-122.1409435,1217.7519,-2053.0143,0,0
w770470860,service023,highway,service,driveway,3,47.6602526,-122.1416744,1269.6436,-2035.4874,0,0
w770470861,service024,highway,service,driveway,3,47.6585956,-122.1386284,994.5059,-1936.5847,0,0
w770470862,service025,highway,service,driveway,3,47.6594638,-122.1380749,986.6634,-2041.7637,0,0
w770470863,service026,highway,service,driveway,6,47.6600245,-122.1404802,1176.9716,-2041.0982,0,0
w772273619,footway094,highway,footway,walkway,3,47.6579520,-122.1388474,986.7824,-1863.3659,0,0
w772273620,footway095,highway,footway,walkway,2,47.6579336,-122.1389197,991.2388,-1859.6349,0,0
w772273621,footway096,highway,footway,walkway,2,47.6579117,-122.1414789,1171.4246,-1793.8026,0,0
w772273622,footway097,highway,footway,walkway,3,47.6580830,-122.1414314,1174.2369,-1813.0199,0,0
w772273623,footway098,highway,footway,walkway,2,47.6579953,-122.1414575,1172.9254,-1803.1382,0,0
w772273624,footway099,highway,footway,walkway,2,47.6602463,-122.1401700,1163.0277,-2072.1586,0,0
w772273625,footway100,highway,footway,walkway,3,47.6581504,-122.1386494,979.9362,-1889.1823,0,0
w772273626,footway101,highway,footway,walkway,2,47.6586968,-122.1383661,979.6017,-1953.7491,0,0
w772273627,footway102,highway,footway,walkway,2,47.6587270,-122.1382755,974.2820,-1959.1851,0,0
w772273628,footway103,highway,footway,walkway,2,47.6581347,-122.1386558,979.8274,-1887.3645,0,0
w772273629,footway104,highway,footway,walkway,2,47.6580811,-122.1384478,963.1826,-1886.8839,0,0
w772273630,footway105,highway,footway,walkway,2,47.6580490,-122.1383934,958.1818,-1884.8524,0,0
w772273631,footway106,highway,footway,walkway,2,47.6579794,-122.1382708,947.0010,-1880.5722,0,0
w772273632,footway107,highway,footway,walkway,2,47.6579256,-122.1382072,940.5655,-1876.4785,0,0
w772273633,footway108,highway,footway,walkway,4,47.6579539,-122.1382345,943.5138,-1878.7851,0,0
w772273634,footway109,highway,footway,walkway,2,47.6587132,-122.1420410,1240.0676,-1864.2611,0,0
w772273635,footway110,highway,footway,walkway,2,47.6587063,-122.1419708,1234.8528,-1865.2717,0,0
w772273636,footway111,highway,footway,walkway,2,47.6586901,-122.1418704,1227.1724,-1866.0566,0,0
w772273637,footway112,highway,footway,walkway,2,47.6580277,-122.1389382,995.9309,-1869.0831,0,0
w772273638,footway113,highway,footway,walkway,2,47.6585083,-122.1385736,987.4826,-1928.7571,0,0
w772273639,footway114,highway,footway,walkway,2,47.6587011,-122.1385729,994.3790,-1949.0752,0,0
w772273640,footway115,highway,footway,walkway,2,47.6580812,-122.1392309,1018.5689,-1867.4599,0,0
w772273641,footway116,highway,footway,walkway,7,47.6582624,-122.1386247,982.2328,-1901.5884,0,0
w772273643,footway117,highway,footway,walkway,7,47.6580574,-122.1390518,1005.0408,-1869.4000,0,0
