osm_wid,osm_nid_1,osm_nid_2,linkuse,comment
w13285802,osm122606638,osm122606636,slowroad,"Overton Street.link1"
w13289292,osm6302892704,osm122625837,driveway,"Midway Lane.link1"
w13289292,osm122625841,osm6302892704,driveway,"Midway Lane.link2"
w13295212,osm8157392433,osm122665884,driveway,"service01.link1"
w13295212,osm8157392449,osm8157392433,driveway,"service01.link2"
w13295212,osm8157392451,osm8157392449,driveway,"service01.link3"
w13295212,osm8157392447,osm8157392451,driveway,"service01.link4"
w13295212,osm6808035747,osm8157392447,driveway,"service01.link5"
w13295212,osm4687981680,osm6808035747,driveway,"service01.link6"
w13295212,osm382447422,osm4687981680,driveway,"service01.link7"
w13295212,osm6807927346,osm382447422,driveway,"service01.link8"
w13295212,osm8898278794,osm6807927346,driveway,"service01.link9"
w13295212,osm8898278793,osm8898278794,driveway,"service01.link10"
w13295212,osm4687981681,osm8898278793,driveway,"service01.link11"
w13295212,osm6788402762,osm4687981681,driveway,"service01.link12"
w13295212,osm5344542585,osm6788402762,driveway,"service01.link13"
w13295212,osm122665888,osm5344542585,driveway,"service01.link14"
w13295212,osm5344542584,osm122665888,driveway,"service01.link15"
w13295212,osm7852039556,osm5344542584,driveway,"service01.link16"
w13295212,osm122665893,osm7852039556,driveway,"service01.link17"
w13295212,osm6816950650,osm122665893,driveway,"service01.link18"
w13295212,osm6816950651,osm6816950650,driveway,"service01.link19"
w13295212,osm122665895,osm6816950651,driveway,"service01.link20"
w13301099,osm3663685692,osm122704155,driveway,"Cameron Lane.link1"
w13301099,osm122665884,osm3663685692,driveway,"Cameron Lane.link2"
w13301099,osm382447427,osm122665884,driveway,"Cameron Lane.link3"
w13301099,osm3663685694,osm382447427,driveway,"Cameron Lane.link4"
w13301099,osm122704157,osm3663685694,driveway,"Cameron Lane.link5"
w13304133,osm1770621199,osm122726048,road,"Chick Hearn Court.link1"
w13304133,osm1770621190,osm1770621199,road,"Chick Hearn Court.link2"
w13304133,osm1770621229,osm1770621190,road,"Chick Hearn Court.link3"
w13304133,osm4837719991,osm1770621229,road,"Chick Hearn Court.link4"
w13304133,osm1770621215,osm4837719991,road,"Chick Hearn Court.link5"
w13304133,osm1770621205,osm1770621215,road,"Chick Hearn Court.link6"
w13304133,osm4020408817,osm1770621205,road,"Chick Hearn Court.link7"
w13313810,osm3404799238,osm122639869,driveway,"Cottage Place.link1"
w13313810,osm2889872762,osm3404799238,driveway,"Cottage Place.link2"
w13313810,osm6697063061,osm2889872762,driveway,"Cottage Place.link3"
w13313810,osm5546892973,osm6697063061,driveway,"Cottage Place.link4"
w13313810,osm6785616082,osm5546892973,driveway,"Cottage Place.link5"
w13313810,osm2889872760,osm6785616082,driveway,"Cottage Place.link6"
w13313810,osm122783478,osm2889872760,driveway,"Cottage Place.link7"
w13318047,osm1376467708,osm122807293,road,"West 12th Street.link1"
w13318047,osm277328772,osm1376467708,road,"West 12th Street.link2"
w13318047,osm1376475640,osm277328772,road,"West 12th Street.link3"
w13318047,osm3574053215,osm1376475640,road,"West 12th Street.link4"
w13318047,osm2611822748,osm3574053215,road,"West 12th Street.link5"
w13318047,osm6784922386,osm2611822748,road,"West 12th Street.link6"
w13318047,osm6784916067,osm6784922386,road,"West 12th Street.link7"
w13318047,osm7159714214,osm6784916067,road,"West 12th Street.link8"
w13318047,osm122807286,osm7159714214,road,"West 12th Street.link9"
w13318047,osm3663676108,osm122807286,road,"West 12th Street.link10"
w13318047,osm2611809652,osm3663676108,road,"West 12th Street.link11"
w13318047,osm7159714213,osm2611809652,road,"West 12th Street.link12"
w13318047,osm1770621192,osm7159714213,road,"West 12th Street.link13"
w13318047,osm3663662932,osm1770621192,road,"West 12th Street.link14"
w13318047,osm122807281,osm3663662932,road,"West 12th Street.link15"
w13318058,osm122807342,osm6089099908,slowroad,"West 12th Street01.link1"
w13318058,osm7602814487,osm122807342,slowroad,"West 12th Street01.link2"
w13318058,osm7401886726,osm7602814487,slowroad,"West 12th Street01.link3"
w13318058,osm122807344,osm7401886726,slowroad,"West 12th Street01.link4"
w13318058,osm3829643128,osm122807344,slowroad,"West 12th Street01.link5"
w13318058,osm3829643130,osm3829643128,slowroad,"West 12th Street01.link6"
