osm_nid,lat,lng,x,z
osm122606636,34.04696660,-118.26925530,0.410,0.187
osm122606638,34.04667880,-118.26947830,0.378,0.207
osm122625837,34.03797080,-118.26272480,-0.590,-0.415
osm6302892704,34.03896680,-118.26179750,-0.480,-0.501
osm122625841,34.03908960,-118.26168310,-0.466,-0.511
osm122665884,34.03984450,-118.26774780,-0.382,0.048
osm8157392433,34.03974800,-118.26780790,-0.393,0.053
osm8157392449,34.03962100,-118.26788820,-0.407,0.061
osm8157392451,34.03951240,-118.26795680,-0.419,0.067
osm8157392447,34.03939390,-118.26803160,-0.432,0.074
osm6808035747,34.03915110,-118.26818580,-0.459,0.088
osm4687981680,34.03893410,-118.26832290,-0.483,0.101
osm382447422,34.03834210,-118.26869680,-0.549,0.135
osm6807927346,34.03817280,-118.26880800,-0.568,0.145
osm8898278794,34.03769360,-118.26912260,-0.621,0.174
osm8898278793,34.03756190,-118.26920900,-0.636,0.182
osm4687981681,34.03745520,-118.26927900,-0.648,0.189
osm6788402762,34.03741470,-118.26930570,-0.652,0.191
osm5344542585,34.03730860,-118.26937570,-0.664,0.198
osm122665888,34.03725340,-118.26941150,-0.670,0.201
osm5344542584,34.03717440,-118.26946180,-0.679,0.206
osm7852039556,34.03587480,-118.27026300,-0.823,0.279
osm122665893,34.03555740,-118.27045860,-0.859,0.297
osm6816950650,34.03499850,-118.27084020,-0.921,0.333
osm6816950651,34.03421930,-118.27133390,-1.008,0.378
osm122665895,34.03408500,-118.27142270,-1.022,0.386
osm122704155,34.03958850,-118.26718990,-0.410,-0.004
osm3663685692,34.03963160,-118.26728370,-0.406,0.005
osm382447427,34.04005080,-118.26820270,-0.359,0.090
osm3663685694,34.04006160,-118.26822700,-0.358,0.092
osm122704157,34.04013300,-118.26838790,-0.350,0.107
osm122726048,34.04369320,-118.26524200,0.046,-0.183
osm1770621199,34.04379940,-118.26552120,0.058,-0.157
osm1770621190,34.04383180,-118.26566410,0.061,-0.144
osm1770621229,34.04384880,-118.26579170,0.063,-0.133
osm4837719991,34.04385560,-118.26595090,0.064,-0.118
osm1770621215,34.04385730,-118.26599010,0.064,-0.114
osm1770621205,34.04386490,-118.26615270,0.065,-0.099
osm4020408817,34.04387130,-118.26627810,0.066,-0.088
osm122639869,34.04677800,-118.26416000,0.389,-0.283
osm3404799238,34.04673360,-118.26418830,0.384,-0.280
osm2889872762,34.04669810,-118.26421090,0.380,-0.278
osm6697063061,34.04631900,-118.26445210,0.338,-0.256
osm5546892973,34.04600570,-118.26465150,0.303,-0.238
osm6785616082,34.04554530,-118.26494450,0.252,-0.211
osm2889872760,34.04536400,-118.26505990,0.232,-0.200
osm122783478,34.04523320,-118.26514320,0.217,-0.192
osm122807293,34.04155520,-118.26548830,-0.192,-0.160
osm1376467708,34.04150800,-118.26541550,-0.197,-0.167
osm277328772,34.04148740,-118.26538360,-0.199,-0.170
osm1376475640,34.04146100,-118.26534290,-0.202,-0.174
osm3574053215,34.04136830,-118.26519980,-0.213,-0.187
osm2611822748,34.04118370,-118.26491490,-0.233,-0.213
osm6784922386,34.04110640,-118.26479560,-0.242,-0.224
osm6784916067,34.04110230,-118.26478930,-0.242,-0.225
osm7159714214,34.04090060,-118.26447810,-0.265,-0.254
osm122807286,34.04084600,-118.26439380,-0.271,-0.261
osm3663676108,34.04077740,-118.26428800,-0.278,-0.271
osm2611809652,34.04050000,-118.26385990,-0.309,-0.311
osm7159714213,34.04020850,-118.26340990,-0.342,-0.352
osm1770621192,34.04013350,-118.26329420,-0.350,-0.363
osm3663662932,34.04007650,-118.26320620,-0.356,-0.371
osm122807281,34.03977950,-118.26274780,-0.389,-0.413
osm6089099908,34.04447500,-118.27219360,0.133,0.457
osm122807342,34.04453860,-118.27233190,0.140,0.470
osm7602814487,34.04460770,-118.27248720,0.148,0.484
osm7401886726,34.04469460,-118.27268250,0.157,0.502
osm122807344,34.04487170,-118.27308060,0.177,0.539
osm3829643128,34.04503080,-118.27343370,0.195,0.572
osm3829643130,34.04526850,-118.27396100,0.221,0.620
osm122807347,34.04540010,-118.27425310,0.236,0.647
