osm_wid,name,osmtype,osmsubtype,linkuse,nnodes,lat,lng,z,x,height,levels
w13285802,Overton Street,highway,residential,slowroad,2,34.0468227,-118.2693668,-0.1969,0.3939,0,0
w13289292,Midway Lane,highway,service,driveway,3,34.0386757,-118.2620685,0.4756,-0.5120,0,0
w13295212,service01,highway,service,driveway,21,34.0375865,-118.2691871,-0.1803,-0.6331,0,0
w13301099,Cameron Lane,highway,service,driveway,6,34.0398850,-118.2678398,-0.0562,-0.3775,0,0
w13304133,Chick Hearn Court,highway,secondary,road,8,34.0438278,-118.2658239,0.1296,0.0609,0,0
w13313810,Cottage Place,highway,service,driveway,8,34.0460846,-118.2646013,0.2422,0.3119,0,0
w13318047,West 12th Street,highway,tertiary,road,16,34.0408746,-118.2644380,0.2572,-0.2675,0,0
w13318058,West 12th Street01,highway,residential,slowroad,25,34.0468978,-118.2775680,-0.9525,0.4023,0,0
w13320484,West 11th Place,highway,residential,slowroad,3,34.0454135,-118.2721380,-0.4522,0.2372,0,0
w13396539,15th Drive,highway,unclassified,road,7,34.0384678,-118.2706939,-0.3192,-0.5351,0,0
w13403853,Georgia Street,highway,residential,slowroad,3,34.0471008,-118.2660149,0.1120,0.4249,0,0
w13403859,Georgia Street01,highway,unclassified,road,3,34.0385424,-118.2715975,-0.4024,-0.5268,0,0
w13417192,South Pembroke Lane,highway,service,driveway,4,34.0385657,-118.2670433,0.0172,-0.5242,0,0
w13428608,Connecticut Street,highway,residential,slowroad,3,34.0468407,-118.2718743,-0.4279,0.3959,0,0
w13429856,South Bixel Street,highway,residential,slowroad,4,34.0466864,-118.2675274,-0.0274,0.3788,0,0
w13451645,West 11th Street,highway,secondary,road,5,34.0457715,-118.2708502,-0.3336,0.2770,0,0
w13454322,West 10th Place,highway,service,driveway,2,34.0477100,-118.2720260,-0.4419,0.4926,0,0
w13467011,South Hall Drive,highway,service,driveway,2,34.0411070,-118.2718759,-0.4281,-0.2416,0,0
w13467307,Figueroa Drive,highway,service,driveway,4,34.0390975,-118.2692320,-0.1845,-0.4651,0,0
w24849419,motorway_link01,highway,motorway_link,highway,2,34.0477257,-118.2664871,0.0684,0.4943,0,0
w24849425,motorway_link02,highway,motorway_link,highway,3,34.0470895,-118.2646683,0.2360,0.4236,0,0
w24849455,Harbor Freeway,highway,motorway,highway,4,34.0462154,-118.2695300,-0.2119,0.3264,0,0
w24849456,Harbor Freeway01,highway,motorway,highway,2,34.0467034,-118.2686982,-0.1353,0.3807,0,0
w24849475,Harbor Freeway02,highway,motorway,highway,3,34.0456451,-118.2704463,-0.2963,0.2630,0,0
w24849477,Harbor Freeway03,highway,motorway,highway,3,34.0450145,-118.2711687,-0.3629,0.1929,0,0
w24849554,Harbor Freeway04,highway,motorway,highway,3,34.0442992,-118.2718828,-0.4287,0.1133,0,0
w27767398,motorway_link03,highway,motorway_link,highway,3,34.0404780,-118.2726433,-0.4988,-0.3116,0,0
w27767422,motorway_link04,highway,motorway_link,highway,14,34.0394820,-118.2718952,-0.4298,-0.4223,0,0
w27767423,motorway_link05,highway,motorway_link,highway,8,34.0408366,-118.2725241,-0.4878,-0.2717,0,0
w27767424,motorway_link06,highway,motorway_link,highway,2,34.0443625,-118.2720262,-0.4419,0.1204,0,0
w27767425,motorway_link07,highway,motorway_link,highway,4,34.0436381,-118.2726811,-0.5022,0.0398,0,0
w45536229,L. A. Live Way,highway,primary,road,4,34.0420359,-118.2719392,-0.4339,-0.1383,0,0
w45536230,Blaine Street,highway,secondary,road,3,34.0463818,-118.2707116,-0.3208,0.3449,0,0
w45619516,West 11th Street01,highway,secondary,road,4,34.0433696,-118.2647166,0.2316,0.0100,0,0
w45619518,West 12th Street02,highway,tertiary,road,8,34.0416980,-118.2658353,0.1285,-0.1759,0,0
w48118014,Harbor Freeway05,highway,motorway,highway,2,34.0442235,-118.2717332,-0.4149,0.1049,0,0
w48118015,Harbor Freeway06,highway,motorway,highway,2,34.0446513,-118.2713245,-0.3773,0.1525,0,0
w48118016,motorway_link08,highway,motorway_link,highway,2,34.0444118,-118.2721221,-0.4507,0.1259,0,0
w48118017,motorway_link09,highway,motorway_link,highway,4,34.0437280,-118.2726887,-0.5029,0.0498,0,0
w48118018,Harbor Freeway07,highway,motorway,highway,3,34.0454873,-118.2703158,-0.2843,0.2454,0,0
w48118019,Harbor Freeway08,highway,motorway,highway,2,34.0461186,-118.2693565,-0.1959,0.3156,0,0
w66668839,motorway_link10,highway,motorway_link,highway,3,34.0454271,-118.2702495,-0.2782,0.2387,0,0
w66668843,motorway_link11,highway,motorway_link,highway,2,34.0474562,-118.2669370,0.0270,0.4644,0,0
w66668844,motorway_link12,highway,motorway_link,highway,4,34.0470577,-118.2675786,-0.0321,0.4201,0,0
w66668850,motorway_link13,highway,motorway_link,highway,2,34.0465674,-118.2683933,-0.1072,0.3655,0,0
w66668852,Harbor Freeway09,highway,motorway,highway,2,34.0477934,-118.2665963,0.0584,0.5019,0,0
w66668853,motorway_link14,highway,motorway_link,highway,2,34.0465595,-118.2683745,-0.1055,0.3647,0,0
w66668856,Harbor Freeway10,highway,motorway,highway,2,34.0471649,-118.2676315,-0.0370,0.4320,0,0
w66668865,motorway_link15,highway,motorway_link,highway,9,34.0477277,-118.2659938,0.1139,0.4946,0,0
w66668867,motorway_link16,highway,motorway_link,highway,2,34.0467775,-118.2689012,-0.1540,0.3889,0,0
w66668870,Harbor Freeway11,highway,motorway,highway,2,34.0466332,-118.2685232,-0.1192,0.3729,0,0
w66668875,motorway_link17,highway,motorway_link,highway,2,34.0460522,-118.2692437,-0.1855,0.3083,0,0
w113403567,service02,highway,service,driveway,12,34.0409679,-118.2721268,-0.4512,-0.2571,0,0
w113403569,service03,highway,service,driveway,3,34.0404990,-118.2720168,-0.4410,-0.3092,0,0
w113403575,Harbor Freeway12,highway,motorway,highway,4,34.0433888,-118.2723759,-0.4741,0.0121,0,0
w119882427,motorway_link18,highway,motorway_link,highway,9,34.0396593,-118.2720756,-0.4465,-0.4026,0,0
w123429023,footway01,highway,footway,walkway,6,34.0403525,-118.2664623,0.0707,-0.3255,0,0
w123429024,footway02,highway,footway,walkway,11,34.0414166,-118.2653800,0.1705,-0.2072,0,0
w123429025,footway03,highway,footway,walkway,4,34.0410490,-118.2657975,0.1320,-0.2481,0,0
w123561820,Harbor Freeway13,highway,motorway,highway,2,34.0450774,-118.2708496,-0.3335,0.1999,0,0
w148252671,Harbor Freeway14,highway,motorway,highway,3,34.0479040,-118.2667751,0.0419,0.5142,0,0
w148252674,Harbor Freeway15,highway,motorway,highway,2,34.0476015,-118.2672636,-0.0031,0.4805,0,0
w148252682,Harbor Freeway16,highway,motorway,highway,4,34.0435871,-118.2724561,-0.4815,0.0342,0,0
w148356684,motorway_link19,highway,motorway_link,highway,24,34.0386314,-118.2727141,-0.5053,-0.5169,0,0
w148356685,motorway_link20,highway,motorway_link,highway,22,34.0386314,-118.2734135,-0.5697,-0.5169,0,0
w148385370,Blaine Street01,highway,primary,road,6,34.0470496,-118.2702742,-0.2805,0.4192,0,0
w148385372,Blaine Street02,highway,residential,slowroad,9,34.0450511,-118.2718170,-0.4226,0.1969,0,0
w148385469,West 11th Street02,highway,tertiary,road,2,34.0459814,-118.2712843,-0.3736,0.3004,0,0
w148385558,motorway_link21,highway,motorway_link,highway,3,34.0471657,-118.2681112,-0.0812,0.4321,0,0
w148385599,motorway_link22,highway,motorway_link,highway,2,34.0474451,-118.2669231,0.0283,0.4631,0,0
w148385605,motorway_link23,highway,motorway_link,highway,3,34.0450325,-118.2708332,-0.3320,0.1949,0,0
w148385697,motorway_link24,highway,motorway_link,highway,4,34.0449692,-118.2713340,-0.3781,0.1878,0,0
w148385706,motorway_link25,highway,motorway_link,highway,4,34.0464451,-118.2705852,-0.3091,0.3519,0,0
w148385719,motorway_link26,highway,motorway_link,highway,5,34.0454159,-118.2712540,-0.3708,0.2375,0,0
w148385721,motorway_link27,highway,motorway_link,highway,6,34.0457315,-118.2693719,-0.1973,0.2726,0,0
w148385846,motorway_link28,highway,motorway_link,highway,3,34.0464654,-118.2694953,-0.2087,0.3542,0,0
w165518733,Albany Street,highway,residential,slowroad,26,34.0452205,-118.2728062,-0.5138,0.2158,0,0
w165518744,James M Wood Boulevard,highway,tertiary,road,2,34.0478370,-118.2666144,0.0567,0.5067,0,0
w165520585,Sunbury Street,highway,residential,slowroad,4,34.0473542,-118.2683810,-0.1060,0.4530,0,0
w165520589,James M Wood Boulevard01,highway,primary,road,2,34.0474543,-118.2656860,0.1423,0.4642,0,0
w165521625,L. A. Live Way01,highway,secondary,road,8,34.0456040,-118.2692154,-0.1829,0.2584,0,0
w165521626,Georgia Street02,highway,residential,slowroad,5,34.0445939,-118.2678004,-0.0526,0.1461,0,0
w165521628,Francisco Street,highway,residential,slowroad,8,34.0462007,-118.2652382,0.1835,0.3248,0,0
w167413476,West 9th Street,highway,primary,road,14,34.0457782,-118.2615224,0.5259,0.2778,0,0
w167413478,Figueroa Street,highway,primary,road,8,34.0455591,-118.2634373,0.3495,0.2534,0,0
w167419949,Bond Street,highway,unclassified,road,11,34.0416334,-118.2726408,-0.4985,-0.1831,0,0
w167419950,Convention Center Drive,highway,unclassified,road,20,34.0401454,-118.2718575,-0.4264,-0.3485,0,0
w167419952,Wright Street,highway,unclassified,road,6,34.0392681,-118.2728337,-0.5163,-0.4461,0,0
w172604447,West Pico Boulevard,highway,primary,road,4,34.0408767,-118.2684381,-0.1113,-0.2672,0,0
w172604448,West Pico Boulevard01,highway,primary,road,2,34.0412016,-118.2690789,-0.1704,-0.2311,0,0
w175963053,service04,highway,service,driveway,3,34.0417489,-118.2712353,-0.3690,-0.1702,0,0
w175963379,West Pico Boulevard02,highway,primary,road,6,34.0420191,-118.2712254,-0.3681,-0.1402,0,0
w175963380,West Pico Boulevard03,highway,primary,road,3,34.0417031,-118.2701929,-0.2730,-0.1753,0,0
w175963381,West Pico Boulevard04,highway,primary,road,2,34.0410745,-118.2691641,-0.1782,-0.2452,0,0
w175963382,West Pico Boulevard05,highway,primary,road,3,34.0407338,-118.2683573,-0.1039,-0.2831,0,0
w175963383,Gilbert Lindsay Drive,highway,service,driveway,8,34.0418418,-118.2680872,-0.0790,-0.1599,0,0
w175963535,service05,highway,service,driveway,4,34.0452096,-118.2658742,0.1249,0.2146,0,0
w181418903,L. A. Live Way02,highway,secondary,road,3,34.0425407,-118.2716949,-0.4114,-0.0822,0,0
w185010972,Blaine Street03,highway,residential,slowroad,7,34.0479443,-118.2696127,-0.2195,0.5186,0,0
w185747928,West Olympic Boulevard,highway,primary,road,3,34.0445167,-118.2630250,0.3874,0.1375,0,0
w185747931,West Olympic Boulevard01,highway,primary,road,4,34.0450497,-118.2642254,0.2768,0.1968,0,0
w185948952,South Flower Street,highway,secondary,road,3,34.0428179,-118.2642764,0.2721,-0.0514,0,0
w186070703,James M Wood Boulevard02,highway,primary,road,2,34.0468373,-118.2642874,0.2711,0.3956,0,0
w186070704,West Pico Boulevard06,highway,secondary,road,7,34.0383350,-118.2633537,0.3572,-0.5499,0,0
w186070706,West Pico Boulevard07,highway,primary,road,2,34.0424207,-118.2719807,-0.4377,-0.0955,0,0
w186070711,West 11th Street03,highway,tertiary,road,8,34.0466347,-118.2727217,-0.5060,0.3730,0,0
w186070714,West 8th Place,highway,primary,road,7,34.0479555,-118.2665534,0.0623,0.5199,0,0
w186076399,South Hope Street,highway,secondary,road,2,34.0400677,-118.2650880,0.1974,-0.3572,0,0
w186076400,South Hope Street01,highway,secondary,road,8,34.0382801,-118.2664441,0.0724,-0.5560,0,0
w206372064,South Grand Avenue,highway,primary,road,10,34.0376148,-118.2651130,0.1951,-0.6299,0,0
w237022767,South Flower Street01,highway,secondary,road,8,34.0460950,-118.2611985,0.5557,0.3130,0,0
w255019604,service06,highway,service,driveway,2,34.0472500,-118.2708284,-0.3315,0.4414,0,0
w255495064,service07,highway,service,driveway,11,34.0403552,-118.2641254,0.2860,-0.3252,0,0
w255497615,service08,highway,service,driveway,6,34.0417108,-118.2644264,0.2583,-0.1745,0,0
w255497619,service09,highway,service,driveway,3,34.0401236,-118.2659044,0.1221,-0.3510,0,0
w255497620,service10,highway,service,driveway,4,34.0406812,-118.2651597,0.1908,-0.2890,0,0
w276871789,footway04,highway,footway,walkway,2,34.0461024,-118.2617303,0.5067,0.3138,0,0
w276872471,footway05,highway,footway,walkway,3,34.0450402,-118.2623821,0.4467,0.1957,0,0
w276872495,footway06,highway,footway,walkway,7,34.0455488,-118.2627273,0.4149,0.2523,0,0
w276873491,footway07,highway,footway,walkway,3,34.0451261,-118.2619301,0.4883,0.2053,0,0
w283199649,footway08,highway,footway,walkway,82,34.0415701,-118.2602353,0.6445,-0.1901,0,0
w283202893,footway09,highway,footway,walkway,7,34.0438799,-118.2634232,0.3507,0.0667,0,0
w283202894,footway10,highway,footway,walkway,9,34.0449944,-118.2639391,0.3032,0.1906,0,0
w283202895,footway11,highway,footway,walkway,3,34.0443246,-118.2626661,0.4205,0.1162,0,0
w283202896,footway12,highway,footway,walkway,6,34.0436794,-118.2633020,0.3619,0.0444,0,0
w283202897,footway13,highway,footway,walkway,4,34.0434228,-118.2621012,0.4726,0.0159,0,0
w283202899,footway14,highway,footway,walkway,4,34.0425829,-118.2608232,0.5903,-0.0775,0,0
w285316506,footway15,highway,footway,walkway,5,34.0456433,-118.2637536,0.3203,0.2628,0,0
w285316511,footway16,highway,footway,walkway,19,34.0446343,-118.2656900,0.1419,0.1506,0,0
w285316513,footway17,highway,footway,walkway,2,34.0454301,-118.2653252,0.1755,0.2391,0,0
w285316515,footway18,highway,footway,walkway,3,34.0453678,-118.2656522,0.1454,0.2322,0,0
w285316517,footway19,highway,footway,walkway,4,34.0454794,-118.2658763,0.1247,0.2446,0,0
w285316518,footway20,highway,footway,walkway,3,34.0455330,-118.2656833,0.1425,0.2505,0,0
w285316520,footway21,highway,footway,walkway,4,34.0458495,-118.2664766,0.0694,0.2857,0,0
w285316522,footway22,highway,footway,walkway,3,34.0474145,-118.2618917,0.4919,0.4597,0,0
w332036355,service11,highway,service,driveway,4,34.0468719,-118.2613386,0.5428,0.3994,0,0
w332491808,footway23,highway,footway,walkway,14,34.0398396,-118.2643610,0.2643,-0.3826,0,0
w332491849,footway24,highway,footway,walkway,7,34.0412852,-118.2631175,0.3789,-0.2218,0,0
w332491850,footway25,highway,footway,walkway,3,34.0414729,-118.2636260,0.3321,-0.2009,0,0
w332492436,footway26,highway,footway,walkway,10,34.0417158,-118.2642622,0.2734,-0.1739,0,0
w332492983,footway27,highway,footway,walkway,3,34.0387905,-118.2643553,0.2649,-0.4992,0,0
w332492984,footway28,highway,footway,walkway,3,34.0389352,-118.2644242,0.2585,-0.4831,0,0
w332492985,footway29,highway,footway,walkway,3,34.0407706,-118.2642942,0.2705,-0.2790,0,0
w332492986,footway30,highway,footway,walkway,3,34.0421704,-118.2631396,0.3769,-0.1234,0,0
w332492987,footway31,highway,footway,walkway,5,34.0429516,-118.2642155,0.2778,-0.0365,0,0
w332493494,footway32,highway,footway,walkway,3,34.0423031,-118.2631624,0.3748,-0.1086,0,0
