osm_wid,osm_nid_1,osm_nid_2,linkuse,comment
w6324141,osm53003948,osm53003946,walkway,"path01.link1"
w6324141,osm4913794233,osm53003948,walkway,"path01.link2"
w6324141,osm53003950,osm4913794233,walkway,"path01.link3"
w6324141,osm53003952,osm53003950,walkway,"path01.link4"
w6324141,osm53003954,osm53003952,walkway,"path01.link5"
w6324141,osm53003956,osm53003954,walkway,"path01.link6"
w6324141,osm53003959,osm53003956,walkway,"path01.link7"
w6324141,osm53003961,osm53003959,walkway,"path01.link8"
w6324141,osm53003963,osm53003961,walkway,"path01.link9"
w6324141,osm4913794232,osm53003963,walkway,"path01.link10"
w6324141,osm53003965,osm4913794232,walkway,"path01.link11"
w6324141,osm4913794231,osm53003965,walkway,"path01.link12"
w6324141,osm53003967,osm4913794231,walkway,"path01.link13"
w6324141,osm53003973,osm53003967,walkway,"path01.link14"
w6324141,osm4913794230,osm53003973,walkway,"path01.link15"
w6324141,osm53003975,osm4913794230,walkway,"path01.link16"
w6324141,osm4913794229,osm53003975,walkway,"path01.link17"
w6324141,osm4913794228,osm4913794229,walkway,"path01.link18"
w6324141,osm4913794227,osm4913794228,walkway,"path01.link19"
w6324141,osm53003977,osm4913794227,walkway,"path01.link20"
w6324141,osm4913794226,osm53003977,walkway,"path01.link21"
w6324141,osm53003979,osm4913794226,walkway,"path01.link22"
w6324141,osm53003982,osm53003979,walkway,"path01.link23"
w6324141,osm4913794225,osm53003982,walkway,"path01.link24"
w6324141,osm53003984,osm4913794225,walkway,"path01.link25"
w6324141,osm53003986,osm53003984,walkway,"path01.link26"
w6324141,osm53003988,osm53003986,walkway,"path01.link27"
w6324141,osm4913794224,osm53003988,walkway,"path01.link28"
w6324141,osm53003991,osm4913794224,walkway,"path01.link29"
w6324141,osm53003992,osm53003991,walkway,"path01.link30"
w6324141,osm4913794223,osm53003992,walkway,"path01.link31"
w6324141,osm4913794222,osm4913794223,walkway,"path01.link32"
w6324141,osm53003994,osm4913794222,walkway,"path01.link33"
w6337758,osm6228592386,osm53054084,slowroad,"468th Avenue Southeast.link1"
w6337758,osm6228592080,osm6228592386,slowroad,"468th Avenue Southeast.link2"
w6337758,osm6228592077,osm6228592080,slowroad,"468th Avenue Southeast.link3"
w6337758,osm53054086,osm6228592077,slowroad,"468th Avenue Southeast.link4"
w6337758,osm6228592073,osm53054086,slowroad,"468th Avenue Southeast.link5"
w6337758,osm6228592074,osm6228592073,slowroad,"468th Avenue Southeast.link6"
w6337758,osm6228592075,osm6228592074,slowroad,"468th Avenue Southeast.link7"
w6341462,osm6237346311,osm53063804,road,"Southeast Mount Si Road.link1"
w6341462,osm53063805,osm6237346311,road,"Southeast Mount Si Road.link2"
w6341462,osm6237346312,osm53063805,road,"Southeast Mount Si Road.link3"
w6341462,osm53063806,osm6237346312,road,"Southeast Mount Si Road.link4"
w6341462,osm53063807,osm53063806,road,"Southeast Mount Si Road.link5"
w6341462,osm53063808,osm53063807,road,"Southeast Mount Si Road.link6"
w6341462,osm53063809,osm53063808,road,"Southeast Mount Si Road.link7"
w6341462,osm6237346318,osm53063809,road,"Southeast Mount Si Road.link8"
w6341462,osm53063810,osm6237346318,road,"Southeast Mount Si Road.link9"
w6341462,osm6237346317,osm53063810,road,"Southeast Mount Si Road.link10"
w6341462,osm53063811,osm6237346317,road,"Southeast Mount Si Road.link11"
w6341462,osm7301124228,osm53063811,road,"Southeast Mount Si Road.link12"
w6341462,osm1771132857,osm7301124228,road,"Southeast Mount Si Road.link13"
w6341462,osm1771132879,osm1771132857,road,"Southeast Mount Si Road.link14"
w6341462,osm6237367928,osm1771132879,road,"Southeast Mount Si Road.link15"
w6341462,osm7301124225,osm6237367928,road,"Southeast Mount Si Road.link16"
w6341462,osm7260237541,osm7301124225,road,"Southeast Mount Si Road.link17"
w6341462,osm6228413547,osm7260237541,road,"Southeast Mount Si Road.link18"
w6341462,osm53063812,osm6228413547,road,"Southeast Mount Si Road.link19"
w6341462,osm7260703945,osm53063812,road,"Southeast Mount Si Road.link20"
w6341462,osm7257355945,osm7260703945,road,"Southeast Mount Si Road.link21"
w6341462,osm7257355955,osm7257355945,road,"Southeast Mount Si Road.link22"
w6341462,osm7260134870,osm7257355955,road,"Southeast Mount Si Road.link23"
w6341462,osm7257355954,osm7260134870,road,"Southeast Mount Si Road.link24"
w6341462,osm53063813,osm7257355954,road,"Southeast Mount Si Road.link25"
w6341462,osm53063816,osm53063813,road,"Southeast Mount Si Road.link26"
w6341462,osm53063817,osm53063816,road,"Southeast Mount Si Road.link27"
w6341462,osm6228413537,osm53063817,road,"Southeast Mount Si Road.link28"
w6341462,osm6228413535,osm6228413537,road,"Southeast Mount Si Road.link29"
w6341462,osm6228413536,osm6228413535,road,"Southeast Mount Si Road.link30"
w6341462,osm7256966477,osm6228413536,road,"Southeast Mount Si Road.link31"
w6341462,osm481342299,osm7256966477,road,"Southeast Mount Si Road.link32"
w6341462,osm53063819,osm481342299,road,"Southeast Mount Si Road.link33"
w6341462,osm3242736412,osm53063819,road,"Southeast Mount Si Road.link34"
w6341462,osm53063823,osm3242736412,road,"Southeast Mount Si Road.link35"
w6341462,osm53063827,osm53063823,road,"Southeast Mount Si Road.link36"
w6341462,osm5213638732,osm53063827,road,"Southeast Mount Si Road.link37"
w6341462,osm7260938915,osm5213638732,road,"Southeast Mount Si Road.link38"
w6341462,osm53063831,osm7260938915,road,"Southeast Mount Si Road.link39"
w6341462,osm53054084,osm53063831,road,"Southeast Mount Si Road.link40"
w6341462,osm3357247105,osm53054084,road,"Southeast Mount Si Road.link41"
w6341462,osm53063836,osm3357247105,road,"Southeast Mount Si Road.link42"
w6341462,osm6228583300,osm53063836,road,"Southeast Mount Si Road.link43"
w6341462,osm6228454595,osm6228583300,road,"Southeast Mount Si Road.link44"
w6341462,osm53063839,osm6228454595,road,"Southeast Mount Si Road.link45"
w6341462,osm6228583301,osm53063839,road,"Southeast Mount Si Road.link46"
w6341462,osm6228583299,osm6228583301,road,"Southeast Mount Si Road.link47"
w6341462,osm6235512456,osm6228583299,road,"Southeast Mount Si Road.link48"
w6341462,osm5004071752,osm6235512456,road,"Southeast Mount Si Road.link49"
w6341462,osm5258702033,osm5004071752,road,"Southeast Mount Si Road.link50"
w6342294,osm7258015732,osm53065913,slowroad,"Southeast 132nd Street.link1"
w6342294,osm53065914,osm7258015732,slowroad,"Southeast 132nd Street.link2"
w6346010,osm4336624744,osm53076460,slowroad,"Tannerwood Way Southeast.link1"
w6346010,osm4071088706,osm4336624744,slowroad,"Tannerwood Way Southeast.link2"
w6346010,osm53076461,osm4071088706,slowroad,"Tannerwood Way Southeast.link3"
w6346010,osm7078797705,osm53076461,slowroad,"Tannerwood Way Southeast.link4"
w6346010,osm4071088708,osm7078797705,slowroad,"Tannerwood Way Southeast.link5"
w6346010,osm4336624741,osm4071088708,slowroad,"Tannerwood Way Southeast.link6"
w6346010,osm4071088709,osm4336624741,slowroad,"Tannerwood Way Southeast.link7"
w6346010,osm7078797711,osm4071088709,slowroad,"Tannerwood Way Southeast.link8"
w6346010,osm4336624742,osm7078797711,slowroad,"Tannerwood Way Southeast.link9"
w6346010,osm7078797706,osm4336624742,slowroad,"Tannerwood Way Southeast.link10"
w6346010,osm4336624743,osm7078797706,slowroad,"Tannerwood Way Southeast.link11"
w6347028,osm6228575990,osm53080414,slowroad,"Southeast 128th Place.link1"
w6347028,osm2003328735,osm6228575990,slowroad,"Southeast 128th Place.link2"
w6347028,osm6228575992,osm2003328735,slowroad,"Southeast 128th Place.link3"
w6347028,osm2003328730,osm6228575992,slowroad,"Southeast 128th Place.link4"
w6347028,osm6228575994,osm2003328730,slowroad,"Southeast 128th Place.link5"
w6347028,osm2003328750,osm6228575994,slowroad,"Southeast 128th Place.link6"
w6347028,osm53080416,osm2003328750,slowroad,"Southeast 128th Place.link7"
w6347377,osm7257953499,osm53081571,slowroad,"Southeast 127th Street.link1"
w6347377,osm7257286126,osm7257953499,slowroad,"Southeast 127th Street.link2"
w6347377,osm2003328728,osm7257286126,slowroad,"Southeast 127th Street.link3"
w6347970,osm2003328731,osm53063796,road,"452nd Avenue Southeast.link1"
w6347970,osm2003328754,osm2003328731,road,"452nd Avenue Southeast.link2"
w6347970,osm53083925,osm2003328754,road,"452nd Avenue Southeast.link3"
w6347970,osm6237346319,osm53083925,road,"452nd Avenue Southeast.link4"
w6347970,osm2003328767,osm6237346319,road,"452nd Avenue Southeast.link5"
w6347970,osm2003328742,osm2003328767,road,"452nd Avenue Southeast.link6"
w6347970,osm6237346320,osm2003328742,road,"452nd Avenue Southeast.link7"
w6347970,osm6237346321,osm6237346320,road,"452nd Avenue Southeast.link8"
w6347970,osm2003328752,osm6237346321,road,"452nd Avenue Southeast.link9"
w6347970,osm2003328720,osm2003328752,road,"452nd Avenue Southeast.link10"
w6347970,osm6237346313,osm2003328720,road,"452nd Avenue Southeast.link11"
w6347970,osm2003328725,osm6237346313,road,"452nd Avenue Southeast.link12"
w6347970,osm2003328721,osm2003328725,road,"452nd Avenue Southeast.link13"
w6347970,osm6237346314,osm2003328721,road,"452nd Avenue Southeast.link14"
