osm_nid,lat,lng,x,z
osm53003946,47.51597830,-121.68766710,1.597,-1.553
osm53003948,47.51554200,-121.68728180,1.549,-1.582
osm4913794233,47.51543940,-121.68698140,1.537,-1.605
osm53003950,47.51553030,-121.68661960,1.547,-1.632
osm53003952,47.51591470,-121.68621720,1.590,-1.662
osm53003954,47.51663270,-121.68573300,1.670,-1.699
osm53003956,47.51743540,-121.68560020,1.759,-1.709
osm53003959,47.51835870,-121.68549380,1.862,-1.717
osm53003961,47.51885140,-121.68543090,1.917,-1.721
osm53003963,47.51916670,-121.68551300,1.952,-1.715
osm4913794232,47.51952990,-121.68533770,1.992,-1.728
osm53003965,47.51984470,-121.68512150,2.027,-1.745
osm4913794231,47.52026280,-121.68502220,2.074,-1.752
osm53003967,47.52069470,-121.68508650,2.122,-1.747
osm53003973,47.52107420,-121.68524420,2.164,-1.735
osm4913794230,47.52151280,-121.68551400,2.213,-1.715
osm53003975,47.52199290,-121.68565080,2.266,-1.705
osm4913794229,47.52224820,-121.68591730,2.294,-1.685
osm4913794228,47.52238610,-121.68597930,2.310,-1.680
osm4913794227,47.52300720,-121.68618500,2.379,-1.665
osm53003977,47.52326850,-121.68647360,2.408,-1.643
osm4913794226,47.52371580,-121.68712440,2.458,-1.594
osm53003979,47.52417690,-121.68806160,2.509,-1.524
osm53003982,47.52431460,-121.68855740,2.524,-1.486
osm4913794225,47.52438260,-121.68933130,2.532,-1.428
osm53003984,47.52445050,-121.68981870,2.539,-1.392
osm53003986,47.52461050,-121.69010890,2.557,-1.370
osm53003988,47.52494430,-121.69039840,2.594,-1.348
osm4913794224,47.52513130,-121.69048250,2.615,-1.342
osm53003991,47.52540130,-121.69036210,2.645,-1.351
osm53003992,47.52574430,-121.69027820,2.683,-1.357
osm4913794223,47.52618800,-121.69034770,2.732,-1.352
osm4913794222,47.52665920,-121.69068310,2.785,-1.327
osm53003994,47.52699410,-121.69097760,2.822,-1.305
osm53054084,47.48672870,-121.71594350,-1.655,0.571
osm6228592386,47.48660310,-121.71594240,-1.669,0.571
osm6228592080,47.48590660,-121.71593650,-1.747,0.570
osm6228592077,47.48521980,-121.71593060,-1.823,0.570
osm53054086,47.48514600,-121.71593000,-1.831,0.570
osm6228592073,47.48504530,-121.71595370,-1.842,0.572
osm6228592074,47.48494230,-121.71599640,-1.854,0.575
osm6228592075,47.48489420,-121.71601870,-1.859,0.576
osm53063804,47.48476450,-121.73614050,-1.874,2.088
osm6237346311,47.48478010,-121.73586040,-1.872,2.067
osm53063805,47.48480740,-121.73565030,-1.869,2.051
osm6237346312,47.48486460,-121.73541630,-1.863,2.034
osm53063806,47.48516060,-121.73467480,-1.830,1.978
osm53063807,47.48532820,-121.73426000,-1.811,1.947
osm53063808,47.48552250,-121.73378060,-1.789,1.911
osm53063809,47.48560000,-121.73356970,-1.781,1.895
osm6237346318,47.48567120,-121.73335520,-1.773,1.879
osm53063810,47.48570620,-121.73319420,-1.769,1.867
osm6237346317,47.48576670,-121.73277930,-1.762,1.835
osm53063811,47.48583230,-121.73220150,-1.755,1.792
osm7301124228,47.48583810,-121.73214060,-1.754,1.787
osm1771132857,47.48585650,-121.73194790,-1.752,1.773
osm1771132879,47.48588600,-121.73159000,-1.749,1.746
osm6237367928,47.48591290,-121.73134340,-1.746,1.728
osm7301124225,47.48595280,-121.73097800,-1.742,1.700
osm7260237541,47.48606710,-121.72992950,-1.729,1.621
osm6228413547,47.48611910,-121.72945310,-1.723,1.586
osm53063812,47.48620380,-121.72867370,-1.714,1.527
osm7260703945,47.48629240,-121.72796030,-1.704,1.473
osm7257355945,47.48634550,-121.72756020,-1.698,1.443
osm7257355955,47.48637440,-121.72733380,-1.695,1.426
osm7260134870,47.48637580,-121.72732290,-1.695,1.426
osm7257355954,47.48643490,-121.72685800,-1.688,1.391
osm53063813,47.48646880,-121.72659200,-1.684,1.371
osm53063816,47.48654050,-121.72597560,-1.676,1.324
osm53063817,47.48661160,-121.72532380,-1.668,1.275
osm6228413537,47.48666160,-121.72483250,-1.663,1.239
osm6228413535,47.48669830,-121.72435640,-1.659,1.203
osm6228413536,47.48672090,-121.72382900,-1.656,1.163
osm7256966477,47.48672110,-121.72380080,-1.656,1.161
osm481342299,47.48672550,-121.72328530,-1.656,1.122
osm53063819,47.48673950,-121.72175870,-1.654,1.008
osm3242736412,47.48674600,-121.72128500,-1.653,0.972
osm53063823,47.48673500,-121.71996440,-1.655,0.873
osm53063827,47.48671760,-121.71865810,-1.657,0.775
osm5213638732,47.48671760,-121.71843370,-1.657,0.758
osm7260938915,47.48671760,-121.71804990,-1.657,0.729
osm53063831,47.48671760,-121.71797090,-1.657,0.723
osm3357247105,47.48672980,-121.71533860,-1.655,0.525
osm53063836,47.48671860,-121.71396960,-1.656,0.422
osm6228583300,47.48671500,-121.71386010,-1.657,0.414
osm6228454595,47.48670710,-121.71375050,-1.658,0.406
osm53063839,47.48668610,-121.71358480,-1.660,0.394
osm6228583301,47.48662190,-121.71318640,-1.667,0.364
osm6228583299,47.48651400,-121.71259390,-1.679,0.319
osm6235512456,47.48627160,-121.71129740,-1.706,0.222
osm5004071752,47.48625740,-121.71122170,-1.708,0.216
osm5258702033,47.48618020,-121.71078940,-1.716,0.184
osm53065913,47.48088610,-121.74796610,-2.305,2.976
osm7258015732,47.48082510,-121.74703920,-2.312,2.907
osm53065914,47.48071970,-121.74543940,-2.323,2.786
osm53076460,47.47429890,-121.73694140,-3.037,2.148
osm4336624744,47.47473850,-121.73693610,-2.989,2.148
osm4071088706,47.47568080,-121.73693440,-2.884,2.148
osm53076461,47.47595000,-121.73693670,-2.854,2.148
osm7078797705,47.47603810,-121.73693560,-2.844,2.148
osm4071088708,47.47610720,-121.73693470,-2.836,2.148
osm4336624741,47.47620940,-121.73691080,-2.825,2.146
osm4071088709,47.47628710,-121.73684520,-2.816,2.141
osm7078797711,47.47631800,-121.73679690,-2.813,2.137
osm4336624742,47.47634030,-121.73676210,-2.810,2.135
osm7078797706,47.47635060,-121.73673780,-2.809,2.133
osm4336624743,47.47638710,-121.73665170,-2.805,2.126
osm53080414,47.48373130,-121.71336180,-1.989,0.377
osm6228575990,47.48381800,-121.71298710,-1.979,0.349
osm2003328735,47.48386530,-121.71278250,-1.974,0.333
osm6228575992,47.48389340,-121.71265930,-1.971,0.324
osm2003328730,47.48395530,-121.71240950,-1.964,0.305
osm6228575994,47.48399700,-121.71230040,-1.959,0.297
osm2003328750,47.48404690,-121.71221780,-1.953,0.291
osm53080416,47.48410880,-121.71214790,-1.947,0.286
osm53081571,47.48433420,-121.70033460,-1.922,-0.602
osm7257953499,47.48430670,-121.70000010,-1.925,-0.627
osm7257286126,47.48425890,-121.69942000,-1.930,-0.670
osm2003328728,47.48424570,-121.69891100,-1.931,-0.709
osm53063796,47.48063370,-121.74013530,-2.333,2.388
osm2003328731,47.48033150,-121.73962540,-2.367,2.350
osm2003328754,47.48025700,-121.73946610,-2.375,2.338
osm53083925,47.48021980,-121.73935900,-2.379,2.330
osm6237346319,47.48020320,-121.73923750,-2.381,2.321
osm2003328767,47.48020570,-121.73914250,-2.381,2.313
osm2003328742,47.48024180,-121.73904260,-2.377,2.306
osm6237346320,47.48029110,-121.73895740,-2.371,2.300
osm6237346321,47.48043130,-121.73878590,-2.356,2.287
osm2003328752,47.48060250,-121.73862310,-2.336,2.274
osm2003328720,47.48114880,-121.73817620,-2.276,2.241
osm6237346313,47.48131580,-121.73800080,-2.257,2.228
osm2003328725,47.48144110,-121.73782270,-2.243,2.214
osm2003328721,47.48159950,-121.73759990,-2.226,2.198
osm6237346314,47.48170080,-121.73750810,-2.214,2.191
osm6237346315,47.48179670,-121.73747030,-2.204,2.188
osm6237346316,47.48190630,-121.73745680,-2.191,2.187
osm53083926,47.48200860,-121.73745930,-2.180,2.187
osm53083929,47.48267090,-121.73744740,-2.106,2.186
osm53083932,47.48375070,-121.73742730,-1.986,2.185
osm53083934,47.48399460,-121.73742460,-1.959,2.184
osm2699368751,47.48409730,-121.73742710,-1.948,2.185
osm6237346306,47.48426830,-121.73741100,-1.929,2.183
osm53083936,47.48436300,-121.73739490,-1.918,2.182
osm6237346308,47.48443060,-121.73736790,-1.911,2.180
osm6237346330,47.48446820,-121.73733440,-1.907,2.178
osm7260300626,47.48449000,-121.73731120,-1.904,2.176
osm6237346307,47.48449630,-121.73730450,-1.904,2.175
