osm_wid,name,osmtype,osmsubtype,linkuse,nnodes,lat,lng,z,x,height,levels
w6324141,path01,highway,path,walkway,34,47.5215113,-121.6873706,1.5756,2.2124,0,0
w6337758,468th Avenue Southeast,highway,residential,slowroad,8,47.4855608,-121.7159565,-0.5717,-1.7851,0,0
w6341462,Southeast Mount Si Road,highway,tertiary,road,51,47.4861928,-121.7249731,-1.2491,-1.7149,0,0
w6342294,Southeast 132nd Street,highway,residential,slowroad,3,47.4808103,-121.7468149,-2.8898,-2.3134,0,0
w6346010,Tannerwood Way Southeast,highway,residential,slowroad,12,47.4758922,-121.7368603,-2.1420,-2.8602,0,0
w6347028,Southeast 128th Place,highway,residential,slowroad,8,47.4839270,-121.7126083,-0.3202,-1.9668,0,0
w6347377,Southeast 127th Street,highway,residential,slowroad,4,47.4842864,-121.6996664,0.6520,-1.9268,0,0
w6347970,452nd Avenue Southeast,highway,tertiary,road,34,47.4825086,-121.7378894,-2.2193,-2.1245,0,0
w6347972,Southeast 140th Street,highway,tertiary,road,67,47.4733281,-121.7309977,-1.7016,-3.1454,0,0
w6352365,Southeast 131st Street,highway,residential,slowroad,4,47.4807242,-121.7232291,-1.1181,-2.3229,0,0
w6353387,466th Avenue Southeast,highway,residential,slowroad,2,47.4859700,-121.7186598,-0.7748,-1.7396,0,0
w6353393,service01,highway,service,driveway,3,47.4870860,-121.7212983,-0.9730,-1.6155,0,0
w6359856,470th Avenue Southeast,highway,residential,slowroad,19,47.4837755,-121.7135615,-0.3918,-1.9837,0,0
w6360759,448th Avenue Southeast,highway,residential,slowroad,2,47.4828002,-121.7426963,-2.5804,-2.0921,0,0
w6361706,456th Place Southeast,highway,residential,slowroad,11,47.4783969,-121.7310043,-1.7021,-2.5817,0,0
w6363240,463rd Avenue Southeast,highway,residential,slowroad,21,47.4738559,-121.7228056,-1.0863,-3.0867,0,0
w6367429,465th Avenue Southeast,highway,residential,slowroad,5,47.4851942,-121.7199050,-0.8684,-1.8259,0,0
w6374300,459th Avenue Southeast,highway,residential,slowroad,14,47.4808751,-121.7278838,-1.4677,-2.3062,0,0
w6378325,Southeast 127th Place,highway,residential,slowroad,10,47.4844014,-121.7145651,-0.4672,-1.9141,0,0
w6380652,476th Avenue Southeast,highway,residential,slowroad,3,47.4756264,-121.7060255,0.1743,-2.8898,0,0
w6380665,488th Avenue Southeast,highway,residential,slowroad,10,47.4924427,-121.6896489,1.4045,-1.0199,0,0
w6386751,Southeast 131st Place,highway,residential,slowroad,13,47.4803216,-121.7105241,-0.1637,-2.3677,0,0
w6387552,Southeast 129th Street,highway,residential,slowroad,15,47.4823956,-121.7175062,-0.6882,-2.1371,0,0
w6387557,Southeast 129th Street01,highway,residential,slowroad,6,47.4831694,-121.7288406,-1.5396,-2.0510,0,0
w6387561,Southeast 129th Street02,highway,residential,slowroad,2,47.4836699,-121.7418417,-2.5162,-1.9954,0,0
w6387578,Southeast 129th Street03,highway,residential,slowroad,22,47.4828850,-121.7111379,-0.2098,-2.0827,0,0
w6388112,480th Avenue Southeast,highway,residential,slowroad,14,47.4842289,-121.7003791,0.5984,-1.9332,0,0
w6401922,Tanner Trail,highway,path,walkway,26,47.4829954,-121.7618635,-4.0203,-2.0704,0,0
w6407472,458th Avenue Southeast,highway,residential,slowroad,2,47.4864926,-121.7294347,-1.5842,-1.6815,0,0
w6410064,469th Place Southeast,highway,residential,slowroad,15,47.4828708,-121.7149965,-0.4996,-2.0843,0,0
w6410573,473rd Avenue Southeast,highway,residential,slowroad,4,47.4853355,-121.7097379,-0.1046,-1.8102,0,0
w6420638,457th Avenue Southeast,highway,residential,slowroad,26,47.4750517,-121.7305618,-1.6689,-2.9537,0,0
w6427460,486th Avenue Southeast,highway,residential,slowroad,4,47.4771468,-121.6924852,1.1914,-2.7207,0,0
w6432115,468th Avenue Southeast01,highway,residential,slowroad,31,47.4759683,-121.7172702,-0.6704,-2.8518,0,0
w6432121,service02,highway,service,driveway,4,47.4851821,-121.7179689,-0.7229,-1.8272,0,0
w6436510,471st Avenue Southeast,highway,residential,slowroad,9,47.4847194,-121.7120886,-0.2812,-1.8787,0,0
w6439566,Southeast 118th Street,highway,residential,slowroad,3,47.4925326,-121.6915821,1.2593,-1.0099,0,0
w6441943,Southeast 137th Street,highway,residential,slowroad,33,47.4763142,-121.7262111,-1.3421,-2.8133,0,0
