osm_wid,osm_nid_1,osm_nid_2,linkuse,comment
w4757214,osm30359448,osm30359435,highway,"motorway_link01.link1"
w4757231,osm1346007955,osm30359723,highway,"motorway_link02.link1"
w4757231,osm30359724,osm1346007955,highway,"motorway_link02.link2"
w4757231,osm1346007991,osm30359724,highway,"motorway_link02.link3"
w4757231,osm30359725,osm1346007991,highway,"motorway_link02.link4"
w4757232,osm1346008047,osm30359725,highway,"motorway_link03.link1"
w4757232,osm1346007994,osm1346008047,highway,"motorway_link03.link2"
w4757232,osm30359749,osm1346007994,highway,"motorway_link03.link3"
w4757232,osm1346008008,osm30359749,highway,"motorway_link03.link4"
w4757232,osm98503252,osm1346008008,highway,"motorway_link03.link5"
w4757232,osm98503256,osm98503252,highway,"motorway_link03.link6"
w4757232,osm30359750,osm98503256,highway,"motorway_link03.link7"
w4757232,osm98503261,osm30359750,highway,"motorway_link03.link8"
w4757232,osm30359751,osm98503261,highway,"motorway_link03.link9"
w4757232,osm30359752,osm30359751,highway,"motorway_link03.link10"
w4757233,osm1346007960,osm30359725,highway,"motorway_link04.link1"
w4757233,osm1346008027,osm1346007960,highway,"motorway_link04.link2"
w4757233,osm1346007975,osm1346008027,highway,"motorway_link04.link3"
w4757233,osm1346007931,osm1346007975,highway,"motorway_link04.link4"
w4757233,osm98508574,osm1346007931,highway,"motorway_link04.link5"
w4757233,osm30359797,osm98508574,highway,"motorway_link04.link6"
w4757233,osm98508563,osm30359797,highway,"motorway_link04.link7"
w4757233,osm98508558,osm98508563,highway,"motorway_link04.link8"
w4757233,osm30359798,osm98508558,highway,"motorway_link04.link9"
w4757233,osm98508550,osm30359798,highway,"motorway_link04.link10"
w4757233,osm30359799,osm98508550,highway,"motorway_link04.link11"
w4757233,osm1346007972,osm30359799,highway,"motorway_link04.link12"
w4757233,osm98508537,osm1346007972,highway,"motorway_link04.link13"
w4757233,osm30359800,osm98508537,highway,"motorway_link04.link14"
w4757233,osm30359801,osm30359800,highway,"motorway_link04.link15"
w4757233,osm30359802,osm30359801,highway,"motorway_link04.link16"
w4757233,osm30359803,osm30359802,highway,"motorway_link04.link17"
w4757233,osm30359804,osm30359803,highway,"motorway_link04.link18"
