osm_nid,lat,lng,x,z
osm30359435,47.45802440,-122.26456910,0.114,0.429
osm30359448,47.45757590,-122.26450020,0.064,0.424
osm30359723,47.45778550,-122.26341480,0.088,0.342
osm1346007955,47.45868770,-122.26324200,0.188,0.329
osm30359724,47.45893840,-122.26319440,0.216,0.326
osm1346007991,47.45915970,-122.26317230,0.241,0.324
osm30359725,47.45925620,-122.26316620,0.251,0.323
osm1346008047,47.45997170,-122.26313260,0.331,0.321
osm1346007994,47.46032210,-122.26310250,0.370,0.319
osm30359749,47.46058020,-122.26308500,0.399,0.317
osm1346008008,47.46075940,-122.26308270,0.418,0.317
osm98503252,47.46091070,-122.26305320,0.435,0.315
osm98503256,47.46102080,-122.26303940,0.448,0.314
osm30359750,47.46117220,-122.26301130,0.464,0.312
osm98503261,47.46131490,-122.26297530,0.480,0.309
osm30359751,47.46160330,-122.26287770,0.512,0.302
osm30359752,47.46177720,-122.26281610,0.532,0.297
osm1346007960,47.45996440,-122.26306710,0.330,0.316
osm1346008027,47.46031340,-122.26301300,0.369,0.312
osm1346007975,47.46055950,-122.26297750,0.396,0.309
osm1346007931,47.46076420,-122.26295130,0.419,0.307
osm98508574,47.46095330,-122.26290170,0.440,0.304
osm30359797,47.46109650,-122.26285150,0.456,0.300
osm98508563,47.46121300,-122.26281320,0.469,0.297
osm98508558,47.46130100,-122.26278230,0.479,0.295
osm30359798,47.46141140,-122.26273270,0.491,0.291
osm98508550,47.46151690,-122.26266260,0.503,0.286
osm30359799,47.46164530,-122.26256130,0.517,0.278
osm1346007972,47.46176890,-122.26244610,0.531,0.269
osm98508537,47.46188010,-122.26233490,0.543,0.261
osm30359800,47.46199850,-122.26216170,0.556,0.248
osm30359801,47.46217840,-122.26190420,0.576,0.229
osm30359802,47.46232350,-122.26160380,0.592,0.206
osm30359803,47.46243950,-122.26129480,0.605,0.183
osm30359804,47.46255150,-122.26084890,0.618,0.149
osm30359805,47.46264260,-122.26041940,0.628,0.117
osm30359806,47.46268320,-122.25988720,0.632,0.077
osm30359807,47.46268320,-122.25941510,0.632,0.041
osm30359808,47.46262030,-122.25835760,0.625,-0.038
osm1381587328,47.46175600,-122.26730110,0.529,0.634
osm31326776,47.46167590,-122.26708580,0.520,0.618
osm669237111,47.46154900,-122.26666210,0.506,0.586
osm669237112,47.46147280,-122.26625440,0.498,0.556
osm31326777,47.46141840,-122.26585470,0.492,0.526
osm31326778,47.46139520,-122.26522820,0.489,0.479
osm2387603224,47.46143170,-122.26474990,0.493,0.443
osm30358866,47.46149040,-122.26434140,0.500,0.412
osm30358867,47.46168930,-122.26351230,0.522,0.350
osm1346007936,47.46177810,-122.26326040,0.532,0.331
osm1346008021,47.46189820,-122.26296380,0.545,0.308
osm30358868,47.46226430,-122.26212980,0.586,0.246
osm98507223,47.46239730,-122.26181880,0.601,0.222
osm98492937,47.45348100,-122.26408480,-0.391,0.393
osm388442038,47.45385940,-122.26385700,-0.349,0.375
osm53023668,47.45449270,-122.26364050,-0.278,0.359
osm2387604751,47.45478470,-122.26353540,-0.246,0.351
osm98436146,47.45549860,-122.26333430,-0.166,0.336
osm53136338,47.45823650,-122.25435280,0.138,-0.339
osm6981373187,47.45823550,-122.25416700,0.138,-0.353
osm4264073346,47.45823210,-122.25354460,0.137,-0.400
osm3602960795,47.45823040,-122.25323530,0.137,-0.423
osm4264073345,47.45822820,-122.25282580,0.137,-0.454
osm3602960811,47.45822620,-122.25246260,0.137,-0.481
osm53033007,47.45822550,-122.25233350,0.137,-0.491
osm4264073344,47.45822510,-122.25229400,0.137,-0.494
osm3602960816,47.45822410,-122.25219450,0.137,-0.501
osm3602960819,47.45822060,-122.25185070,0.136,-0.527
osm4264073343,47.45821870,-122.25165950,0.136,-0.542
osm3602960815,47.45821810,-122.25160340,0.136,-0.546
osm4264073342,47.45821500,-122.25129760,0.136,-0.569
osm4264073341,47.45821330,-122.25113580,0.135,-0.581
osm4264073340,47.45821070,-122.25087220,0.135,-0.601
osm4264073339,47.45820870,-122.25067630,0.135,-0.616
osm53136339,47.45820150,-122.24996690,0.134,-0.669
osm2532291177,47.46051980,-122.26246300,0.392,0.271
osm98510141,47.46069110,-122.26245490,0.411,0.270
osm98510107,47.46081260,-122.26244410,0.424,0.269
osm98510134,47.46092140,-122.26242000,0.436,0.267
osm98510103,47.46104470,-122.26237710,0.450,0.264
osm98444644,47.46114350,-122.26231120,0.461,0.259
osm98510118,47.46124240,-122.26222600,0.472,0.253
osm98510111,47.46134570,-122.26213170,0.484,0.246
osm53154837,47.46144870,-122.26201300,0.495,0.237
osm53138250,47.45947020,-122.24998510,0.275,-0.668
osm4264073433,47.45947230,-122.25068410,0.275,-0.615
osm2989892500,47.45947260,-122.25078940,0.275,-0.607
osm4264073434,47.45947320,-122.25097910,0.275,-0.593
osm4264073435,47.45947630,-122.25204890,0.276,-0.512
osm2387587180,47.45947690,-122.25226630,0.276,-0.496
osm357717612,47.45839010,-122.26764370,0.155,0.660
osm889469446,47.45782850,-122.26785960,0.093,0.676
osm300452744,47.45773230,-122.26788640,0.082,0.678
osm889469449,47.45758550,-122.26790780,0.066,0.680
osm357707053,47.45750400,-122.26789700,0.057,0.679
osm889469452,47.45743860,-122.26788640,0.049,0.678
osm300452760,47.45733160,-122.26783540,0.037,0.675
osm889469454,47.45721910,-122.26776840,0.025,0.670
osm53227015,47.45710940,-122.26767380,0.013,0.662
osm889469456,47.45704140,-122.26761280,0.005,0.658
osm357707056,47.45696430,-122.26751930,-0.004,0.651
osm300452745,47.45688540,-122.26737940,-0.012,0.640
osm357707058,47.45680930,-122.26718360,-0.021,0.626
osm889469461,47.45678750,-122.26708710,-0.023,0.618
osm357707059,47.45676940,-122.26697170,-0.025,0.610
osm889469464,47.45675800,-122.26688060,-0.026,0.603
osm53227016,47.45675850,-122.26648420,-0.026,0.573
osm357706757,47.45675540,-122.26528770,-0.027,0.483
osm357706759,47.45674380,-122.26521900,-0.028,0.478
osm53082815,47.45672050,-122.26516760,-0.031,0.474
osm53096738,47.45384790,-122.24998670,-0.350,-0.667
osm4264073124,47.45385800,-122.25070630,-0.349,-0.613
osm4264073125,47.45386150,-122.25095160,-0.349,-0.595
osm4264073126,47.45386360,-122.25110590,-0.348,-0.583
osm4264073127,47.45386880,-122.25147380,-0.348,-0.556
osm4264073128,47.45387360,-122.25181750,-0.347,-0.530
osm4264073129,47.45387640,-122.25201820,-0.347,-0.515
osm2162043522,47.45387840,-122.25216000,-0.347,-0.504
osm2387589678,47.45389730,-122.25228240,-0.345,-0.495
osm53240361,47.45393280,-122.25239140,-0.341,-0.487
osm30359426,47.45875450,-122.26552290,0.196,0.501
osm98433032,47.45885130,-122.26545840,0.206,0.496
osm3690121355,47.45889250,-122.26543200,0.211,0.494
osm30359428,47.45892610,-122.26539800,0.215,0.491
osm3690121357,47.45895750,-122.26535100,0.218,0.488
osm30359429,47.45898050,-122.26529970,0.221,0.484
osm3690121359,47.45899860,-122.26523300,0.223,0.479
osm3690121360,47.45900600,-122.26517260,0.224,0.474
osm30359430,47.45900570,-122.26511110,0.223,0.470
osm3690121358,47.45899770,-122.26505530,0.223,0.466
osm30359431,47.45898280,-122.26499320,0.221,0.461
osm30359432,47.45895320,-122.26491110,0.218,0.455
osm3690121356,47.45891120,-122.26483280,0.213,0.449
