osm_wid,name,osmtype,osmsubtype,linkuse,nnodes,lat,lng,z,x,height,levels
w4757214,motorway_link01,highway,motorway_link,highway,2,47.4578001,-122.2645347,-0.4264,0.0894,0,0
w4757231,motorway_link02,highway,motorway_link,highway,5,47.4587655,-122.2632379,-0.3289,0.1968,0,0
w4757232,motorway_link03,highway,motorway_link,highway,11,47.4607899,-122.2630311,-0.3133,0.4219,0,0
w4757233,motorway_link04,highway,motorway_link,highway,23,47.4615550,-122.2619632,-0.2331,0.5070,0,0
w4759195,motorway01,highway,motorway,highway,13,47.4617090,-122.2647048,-0.4392,0.5241,0,0
w6327775,motorway_link05,highway,motorway_link,highway,5,47.4544233,-122.2636904,-0.3629,-0.2861,0,0
w6389501,Baker Boulevard,highway,unclassified,road,17,47.4582218,-122.2521454,0.5051,0.1363,0,0
w6445240,Southcenter Parkway,highway,secondary,road,9,47.4610189,-122.2623157,-0.2596,0.4473,0,0
w6450318,Evans Black Drive,highway,residential,slowroad,6,47.4594736,-122.2511255,0.5818,0.2755,0,0
w6480046,Slade Way,highway,residential,slowroad,20,47.4571566,-122.2671576,-0.6236,0.0179,0,0
w6497923,Treck Drive,highway,residential,slowroad,10,47.4538758,-122.2514894,0.5544,-0.3469,0,0
w11041005,motorway_link06,highway,motorway_link,highway,19,47.4588445,-122.2650455,-0.4648,0.2056,0,0
w11041006,motorway_link07,highway,motorway_link,highway,6,47.4590609,-122.2653621,-0.4886,0.2296,0,0
w11042013,service01,highway,service,driveway,2,47.4586538,-122.2523496,0.4897,0.1844,0,0
w11048348,motorway_link08,highway,motorway_link,highway,10,47.4597552,-122.2636789,-0.3620,0.3068,0,0
w31929168,54th Avenue South,highway,residential,slowroad,11,47.4555527,-122.2653891,-0.4906,-0.1605,0,0
w31973929,motorway_link09,highway,motorway_link,highway,3,47.4578046,-122.2644821,-0.4224,0.0899,0,0
w31973931,motorway02,highway,motorway,highway,4,47.4564925,-122.2642505,-0.4050,-0.0560,0,0
w31973932,motorway03,highway,motorway,highway,2,47.4577242,-122.2642266,-0.4032,0.0810,0,0
w31973935,Klickitat Drive,highway,secondary,road,2,47.4576189,-122.2634317,-0.3435,0.0693,0,0
w31973949,motorway04,highway,motorway,highway,3,47.4617376,-122.2636717,-0.3615,0.5273,0,0
w31973955,motorway05,highway,motorway,highway,6,47.4596743,-122.2645841,-0.4301,0.2978,0,0
w31973956,motorway06,highway,motorway,highway,2,47.4614002,-122.2651096,-0.4696,0.4897,0,0
w31973959,motorway_link10,highway,motorway_link,highway,5,47.4620729,-122.2644111,-0.4171,0.5645,0,0
w31973961,motorway_link11,highway,motorway_link,highway,9,47.4604083,-122.2639005,-0.3787,0.3794,0,0
w35128853,motorway_link12,highway,motorway_link,highway,4,47.4568553,-122.2645106,-0.4246,-0.0156,0,0
w47012117,motorway_link13,highway,motorway_link,highway,7,47.4619807,-122.2644687,-0.4214,0.5543,0,0
w52135036,service02,highway,service,driveway,30,47.4569275,-122.2570700,0.1348,-0.0076,0,0
w52135046,service03,highway,service,driveway,42,47.4584751,-122.2612116,-0.1765,0.1645,0,0
w52135047,service04,highway,service,driveway,16,47.4564894,-122.2599055,-0.0783,-0.0563,0,0
w52135052,service05,highway,service,driveway,53,47.4606501,-122.2584933,0.0278,0.4063,0,0
w52135053,service06,highway,service,driveway,2,47.4610134,-122.2567021,0.1625,0.4467,0,0
w52135054,service07,highway,service,driveway,4,47.4613572,-122.2604847,-0.1219,0.4850,0,0
w52135060,service08,highway,service,driveway,10,47.4600270,-122.2606289,-0.1327,0.3370,0,0
w52135062,service09,highway,service,driveway,27,47.4600273,-122.2568861,0.1487,0.3371,0,0
w52135090,service10,highway,service,driveway,32,47.4587153,-122.2555687,0.2477,0.1912,0,0
w124045491,motorway07,highway,motorway,highway,3,47.4570949,-122.2634527,-0.3450,0.0110,0,0
w124045509,motorway08,highway,motorway,highway,9,47.4603421,-122.2634282,-0.3432,0.3721,0,0
w138388757,motorway_link14,highway,motorway_link,highway,16,47.4565702,-122.2629875,-0.3101,-0.0473,0,0
w138388758,Southcenter Parkway01,highway,secondary,road,5,47.4567390,-122.2623367,-0.2611,-0.0286,0,0
w158278805,service11,highway,service,driveway,3,47.4553121,-122.2595988,-0.0553,-0.1872,0,0
w158278811,footway01,highway,footway,walkway,10,47.4535960,-122.2596465,-0.0589,-0.3781,0,0
w158957647,motorway_link15,highway,motorway_link,highway,16,47.4617308,-122.2558240,0.2285,0.5265,0,0
w158957648,service12,highway,service,driveway,11,47.4530486,-122.2613170,-0.1845,-0.4389,0,0
w159263257,Southcenter Parkway02,highway,secondary,road,2,47.4540371,-122.2624355,-0.2686,-0.3290,0,0
w159263259,secondary_link01,highway,secondary_link,road,10,47.4569184,-122.2626628,-0.2856,-0.0086,0,0
w159263264,Southcenter Parkway03,highway,secondary,road,3,47.4582754,-122.2625751,-0.2791,0.1423,0,0
w159263269,16500 Block,highway,service,driveway,8,47.4546587,-122.2619572,-0.2326,-0.2599,0,0
w159842361,service13,highway,service,driveway,4,47.4575258,-122.2592819,-0.0315,0.0589,0,0
w159842362,service14,highway,service,driveway,11,47.4575386,-122.2577507,0.0837,0.0604,0,0
w160157296,secondary_link02,highway,secondary_link,road,9,47.4578436,-122.2626965,-0.2882,0.0943,0,0
w180414931,service15,highway,service,driveway,5,47.4566934,-122.2580227,0.0632,-0.0336,0,0
w180414933,service16,highway,service,driveway,3,47.4574550,-122.2614203,-0.1922,0.0511,0,0
w180414934,Southcenter Parkway04,highway,secondary,road,3,47.4574344,-122.2625456,-0.2768,0.0488,0,0
w180414935,service17,highway,service,driveway,2,47.4585651,-122.2616795,-0.2117,0.1745,0,0
w180414937,service18,highway,service,driveway,2,47.4572003,-122.2615469,-0.2018,0.0227,0,0
w180414941,service19,highway,service,driveway,26,47.4572899,-122.2619840,-0.2346,0.0327,0,0
w180414942,service20,highway,service,driveway,2,47.4567922,-122.2615497,-0.2020,-0.0226,0,0
w180414943,service21,highway,service,driveway,4,47.4611485,-122.2610131,-0.1616,0.4618,0,0
w180414944,service22,highway,service,driveway,2,47.4569293,-122.2615474,-0.2018,-0.0074,0,0
w180414949,service23,highway,service,driveway,2,47.4583072,-122.2616227,-0.2075,0.1458,0,0
w180414950,service24,highway,service,driveway,2,47.4607584,-122.2618315,-0.2231,0.4184,0,0
w180414951,service25,highway,service,driveway,2,47.4562947,-122.2607492,-0.1418,-0.0780,0,0
w180414952,service26,highway,service,driveway,4,47.4560835,-122.2606979,-0.1379,-0.1014,0,0
w180414953,service27,highway,service,driveway,2,47.4562854,-122.2599091,-0.0786,-0.0790,0,0
w180414958,service28,highway,service,driveway,2,47.4566544,-122.2615589,-0.2027,-0.0380,0,0
w180414961,service29,highway,service,driveway,2,47.4565208,-122.2615679,-0.2033,-0.0528,0,0
