StapleStadium
StapleStadium/air_con,air_con (Instance)
StapleStadium/air_con_stand,air_stand (Instance)
StapleStadium/balcons,balcony (Instance)
StapleStadium/balcons_floor,balcons_floor (Instance)
StapleStadium/balcons_lamps,balcons_lamps (Instance)
StapleStadium/balcony_building,balcony_building (Instance)
StapleStadium/balustrade,balustrade (Instance)
StapleStadium/balustrade2,balustrade (Instance)
StapleStadium/bar_frame,white_frame (Instance)
StapleStadium/bar_frame.000,white_frame (Instance)
StapleStadium/base,base (Instance)
StapleStadium/black_window_frame,black_window_frame (Instance)
StapleStadium/bright_windows,bright_glass (Instance)
StapleStadium/chairs_brown,chairs_brown (Instance)
StapleStadium/chairs_tables_white,chairs_tables_white (Instance)
StapleStadium/columns,columns (Instance)
StapleStadium/Cube,Material (Instance)
StapleStadium/Cube.001,Material.001 (Instance)
StapleStadium/curtains,curtains (Instance)
StapleStadium/dark_windows,dark_glass (Instance)
StapleStadium/dome,dome (Instance)
StapleStadium/doors,doors (Instance)
StapleStadium/entry_columnB,entry_columnB (Instance)
StapleStadium/entry_columnsW,entry_columnsW (Instance)
StapleStadium/gray_ventilator,gray_wall1 (Instance)
StapleStadium/gray_wall1,gray_wall2 (Instance)
StapleStadium/gray_wall2,gray_wall2 (Instance)
StapleStadium/gray_wall3,gray_wall2 (Instance)
StapleStadium/gray_wall4,gray_wall2 (Instance)
StapleStadium/gray_wall5,gray_wall2 (Instance)
StapleStadium/gray_wall6,gray_wall2 (Instance)
StapleStadium/gray_wall7,gray_wall2 (Instance)
StapleStadium/gray_wall8,gray_wall2 (Instance)
StapleStadium/gray_wall9,gray_wall2 (Instance)
StapleStadium/gray_wall10,gray_wall2 (Instance)
StapleStadium/gray_wall11,gray_wall2 (Instance)
StapleStadium/gray_wall12,gray_wall2 (Instance)
StapleStadium/gray_wall13,gray_wall2 (Instance)
StapleStadium/gray_wall14,gray_wall2 (Instance)
StapleStadium/gray_wall15,gray_wall2 (Instance)
StapleStadium/gray_wall16,gray_wall2 (Instance)
StapleStadium/gray_wall17,gray_wall2 (Instance)
StapleStadium/gray_wall18,gray_wall2 (Instance)
StapleStadium/gray_wall19,gray_wall2 (Instance)
StapleStadium/gray_wall20,gray_wall2 (Instance)
StapleStadium/gray_wall21,gray_wall2 (Instance)
StapleStadium/ground1,wall_ground1 (Instance)
StapleStadium/ground2,wall_ground2 (Instance)
StapleStadium/ground3,wall_ground4 (Instance)
StapleStadium/ground4,wall_ground4 (Instance)
StapleStadium/ground5,wall_ground5 (Instance)
StapleStadium/ground6,wall_ground6 (Instance)
StapleStadium/ground7,wall_ground6 (Instance)
StapleStadium/ground8,wall_ground8 (Instance)
